Lättläst sammanfattning;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 utsett//VB|SUP|AKT//ROOT//2 en//DT|UTR|SIN|IND//det//4 person//NN|UTR|SIN|IND|NOM//obj//2 som//HP|-|-|-//nsubj//7 ska//VB|PRS|AKT//aux//7 utreda//VB|INF|AKT//acl:relcl//4 skolan//NN|UTR|SIN|DEF|NOM//obj//7 för//PP//case//10 elever//NN|UTR|PLU|IND|NOM//obl//7 med//PP//case//12 dövhet//NN|UTR|SIN|IND|NOM//nmod//10 ,//MID//punct//14 hörselnedsättning//NN|UTR|SIN|IND|NOM//conj//12 eller//KN//cc//16 grav//NN|UTR|SIN|IND|NOM//conj//12 språkstörning//NN|UTR|SIN|IND|NOM//conj//12 .//MAD//punct//2
Lättläst sammanfattning;I//PP//case//22 den//DT|UTR|SIN|DEF//det//22 här//AB//fixed//20 sammanfattningen//NN|UTR|SIN|DEF|NOM//obl//23 berättar//VB|PRS|AKT//parataxis//2 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//23 vad//HP|NEU|SIN|IND//obj//28 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//28 har//VB|PRS|AKT//aux//28 kommit//VB|SUP|AKT//acl:relcl//24 fram//PL//advmod//28 till//PP//case//28 .//MAD//punct//2
Lättläst sammanfattning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//33 har//VB|PRS|AKT//parataxis//2 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//35 förslag//NN|NEU|PLU|IND|NOM//obj//33 för//PP//mark//38 att//IE//mark//38 göra//VB|INF|AKT//acl//35 skolan//NN|UTR|SIN|DEF|NOM//obj//38 bättre//AB|KOM//advmod//38 för//PP//case//42 eleverna//NN|UTR|PLU|DEF|NOM//obl//38 .//MAD//punct//2

Varför finns den här utredningen?;Skolan//NN|UTR|SIN|DEF|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 svår//JJ|POS|UTR|SIN|IND|NOM//ROOT//2 för//PP//case//4 elever//NN|UTR|PLU|IND|NOM//obl//2 med//PP//case//6 dövhet//NN|UTR|SIN|IND|NOM//nmod//4 ,//MID//punct//8 hörselnedsättning//NN|UTR|SIN|IND|NOM//conj//6 eller//KN//cc//10 grav//NN|UTR|SIN|IND|NOM//conj//6 språkstörning//NN|UTR|SIN|IND|NOM//conj//6 .//MID//punct//2
Varför finns den här utredningen?;De//DT|UTR/NEU|PLU|DEF//det//14 eleverna//NN|UTR|PLU|DEF|NOM//nsubj//15 når//VB|PRS|AKT//parataxis//2 målen//NN|NEU|PLU|DEF|NOM//obj//15 i//PP//case//18 skolan//NN|UTR|SIN|DEF|NOM//nmod//16 mer//AB|KOM//advmod//20 sällan//AB//advmod//15 än//KN//case//23 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 elever//NN|UTR|PLU|IND|NOM//obl//15 .//MAD//punct//2
Varför finns den här utredningen?;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//28 är//VB|PRS|AKT//cop//28 extra//AB//advmod//28 svårt//JJ|POS|NEU|SIN|IND|NOM//conj//2 för//PP//case//30 elever//NN|UTR|PLU|IND|NOM//obl//28 med//PP//case//32 grav//NN|UTR|SIN|IND|NOM//nmod//30 språkstörning//NN|UTR|SIN|IND|NOM//obl//28 .//MAD//punct//28
Varför finns den här utredningen?;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//36 vill//VB|PRS|AKT//parataxis//28 att//SN//mark//40 skolan//NN|UTR|SIN|DEF|NOM//nsubj//40 ska//VB|PRS|AKT//aux//40 bli//VB|INF|AKT//ccomp//36 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//40 för//PP//case//43 eleverna//NN|UTR|PLU|DEF|NOM//obl//40 .//MAD//punct//28
Varför finns den här utredningen?;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//53 vill//VB|PRS|AKT//aux//53 också//AB//advmod//53 att//SN//mark//53 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//50 elever//NN|UTR|PLU|IND|NOM//nsubj//53 ska//VB|PRS|AKT//aux//53 kunna//VB|INF|AKT//aux//53 välja//VB|INF|AKT//parataxis//28 sin//PS|UTR|SIN|DEF//nmod:poss//55 skola//NN|UTR|SIN|IND|NOM//obj//53 .//MAD//punct//53
Varför finns den här utredningen?;Men//KN//cc//59 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//59 behöver//VB|PRS|AKT//conj//53 förslag//NN|NEU|SIN|IND|NOM//obj//59 från//PP//case//62 utredningen//NN|UTR|SIN|DEF|NOM//nmod//60 om//PP//mark//67 hur//HA//advmod//67 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//67 ska//VB|PRS|AKT//aux//67 göra//VB|INF|AKT//acl//62 .//MAD//punct//53

