Den vuxenpedagogiska praktiken;Illustrationer//NN|UTR|PLU|IND|NOM//ROOT//0 endast//AB//advmod//0 i//PP//case//5 den//DT|UTR|SIN|DEF//det//5 tryckta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//5 versionen//NN|UTR|SIN|DEF|NOM//obl//0

Vuxenstudier som kommunikativt handlande;Margreth//PM|NOM//ROOT//0 Hill//PM|NOM//flat:name//0
Vuxenstudier som kommunikativt handlande;Inger//PM|NOM//nsubj//2 är//VB|PRS|AKT//aux:pass//2 klädd//PC|PRF|UTR|SIN|IND|NOM//ROOT//2 i//PP//case//4 välskuren//NN|UTR|SIN|DEF|NOM//obl//2 grön//JJ|POS|UTR|SIN|IND|NOM//amod//6 dräkt//NN|UTR|SIN|IND|NOM//obj//2 ,//MID//punct//9 vit//JJ|POS|UTR|SIN|IND|NOM//amod//9 knytblus//NN|UTR|SIN|IND|NOM//conj//6 och//KN//cc//12 gröna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 sandaletter//NN|UTR|PLU|IND|NOM//conj//6 med//PP//case//15 hög//JJ|POS|UTR|SIN|IND|NOM//amod//15 klack//NN|UTR|SIN|IND|NOM//nmod//12 .//MAD//punct//2
Vuxenstudier som kommunikativt handlande;Hon//PN|UTR|SIN|DEF|SUB//nsubj//18 har//VB|PRS|AKT//parataxis//2 håret//NN|NEU|SIN|DEF|NOM//obj//18 i//PP//case//22 stram//JJ|POS|UTR|SIN|IND|NOM//amod//22 svinrygg//NN|UTR|SIN|IND|NOM//obl//18 och//KN//cc//25 är//VB|PRS|AKT//cop//25 välsminkad//PC|PRF|UTR|SIN|IND|NOM//conj//18 .//MID//punct//18
Vuxenstudier som kommunikativt handlande;Hon//PN|UTR|SIN|DEF|SUB//nsubj//28 sitter//VB|PRS|AKT//conj//18 rak//JJ|POS|UTR|SIN|IND|NOM//advmod//28 och//KN//cc//31 avvaktande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//29 ,//MID//punct//34 en//DT|UTR|SIN|IND//det//34 chefssekreterare//NN|UTR|SIN|IND|NOM//conj//28 eller//KN//cc//36 bankkassörska//NN|UTR|SIN|IND|NOM//conj//34 på//PP//case//38 utflykt//NN|UTR|SIN|IND|NOM//nmod//36 i//PP//case//42 en//DT|UTR|SIN|IND//det//42 främmande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//42 omgivning//NN|UTR|SIN|IND|NOM//nmod//34 .//MAD//punct//28
Vuxenstudier som kommunikativt handlande;Hon//PN|UTR|SIN|DEF|SUB//nsubj//45 ser//VB|PRS|AKT//conj//28 säker//JJ|POS|UTR|SIN|IND|NOM//xcomp//45 ut//AB//advmod//46 ,//MID//punct//45 men//KN//cc//51 händerna//NN|UTR|PLU|DEF|NOM//nsubj//51 plockar//VB|PRS|AKT//conj//45 oroligt//AB|POS//advmod//51 med//PP//case//54 handväskan//NN|UTR|SIN|DEF|NOM//obl//51 som//HP|-|-|-//nsubj//56 ligger//VB|PRS|AKT//acl:relcl//54 på//PP//case//58 bordet//NN|NEU|SIN|DEF|NOM//obl//56 framför//PP//case//60 henne//PN|UTR|SIN|DEF|OBJ//nmod//58 .//MAD//punct//45
Vuxenstudier som kommunikativt handlande;Conny//PM|NOM//nsubj//1 har//VB|PRS|AKT//ROOT//1 jeans//NN|UTR|PLU|IND|NOM//obj//1 ,//MID//punct//2 svart//AB|POS//amod//6 uppknäppt//PC|PRF|UTR|SIN|IND|NOM//amod//6 skinnväst//NN|UTR|SIN|IND|NOM//conj//2 och//KN//cc//12 en//DT|UTR|SIN|IND//det//12 mycket//AB|POS//advmod//10 åtsittande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//12 vit//JJ|POS|UTR|SIN|IND|NOM//amod//12 T-shirt//NN|UTR|SIN|IND|NOM//conj//2 .//MAD//punct//1
Vuxenstudier som kommunikativt handlande;Ärmarna//NN|UTR|PLU|DEF|NOM//nsubj//16 är//VB|PRS|AKT//cop//16 avklippta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//parataxis//1 över//PP//case//18 svällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//16 ,//MID//punct//20 tatuerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//21 biceps//NN|NEU|PLU|IND|NOM//nsubj//22 omslutna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//16 av//PP//case//24 guldringar//NN|UTR|PLU|IND|NOM//nmod//22 .//MID//punct//16
Vuxenstudier som kommunikativt handlande;Hans//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//30 långa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//30 ,//MID//punct//27 lockiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//30 hår//NN|NEU|SIN|IND|NOM//nsubj//32 är//VB|PRS|AKT//cop//32 blankt//JJ|POS|NEU|SIN|IND|NOM//parataxis//16 och//KN//cc//34 väldoftande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//32 .//MAD//punct//16
Vuxenstudier som kommunikativt handlande;Han//PN|UTR|SIN|DEF|SUB//nsubj//37 har//VB|PRS|AKT//conj//1 pannband//NN|NEU|SIN|IND|NOM//obj//37 och//KN//cc//43 ett//DT|NEU|SIN|IND//det//43 litet//JJ|POS|NEU|SIN|IND|NOM//advmod//42 ansat//PC|PRF|NEU|SIN|IND|NOM//amod//43 skägg//NN|NEU|SIN|IND|NOM//conj//38 .//MID//punct//37
Vuxenstudier som kommunikativt handlande;Han//PN|UTR|SIN|DEF|SUB//nsubj//46 sitter//VB|PRS|AKT//parataxis//37 långt//AB|POS//advmod//46 från//PP//case//49 bordet//NN|NEU|SIN|DEF|NOM//obl//46 ,//MID//punct//51 bakåtlutad//PC|PRF|UTR|SIN|IND|NOM//conj//49 ,//MID//punct//55 med//PP//case//54 benen//NN|NEU|PLU|DEF|NOM//obl//55 utsträckta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//46 framför//PP//case//57 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obl//55 .//MAD//punct//46
Vuxenstudier som kommunikativt handlande;Då//AB//advmod//46 och//KN//cc//62 då//AB//advmod//62 ruskar//VB|PRS|AKT//conj//46 han//PN|UTR|SIN|DEF|SUB//nsubj//62 på//PP//case//66 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//66 lockar//NN|UTR|PLU|IND|NOM//obl//62 .//MAD//punct//46
Vuxenstudier som kommunikativt handlande;Vad//HP|NEU|SIN|IND//obj//69 har//VB|PRS|AKT//conj//37 dessa//DT|UTR/NEU|PLU|DEF//det//71 personer//NN|UTR|PLU|IND|NOM//nsubj//69 gemensamt//AB|POS//advmod//69 ?//MID//punct//69
Vuxenstudier som kommunikativt handlande;Ingenting//PN|NEU|SIN|IND|SUB/OBJ//obj//37 ,//MID//punct//74 ansåg//VB|PRT|AKT//conj//37 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//76 förmodligen//AB//advmod//76 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advmod//76 i//PP//case//82 det//DT|NEU|SIN|DEF//det//82 ögonblick//NN|NEU|SIN|IND|NOM//obl//76 som//HP|-|-|-//obj//85 jag//PN|UTR|SIN|DEF|SUB//nsubj//85 minns//VB|PRS|SFO//acl:relcl//82 så//AB//advmod//87 tydligt//AB|POS//advmod//85 .//MID//punct//37
Vuxenstudier som kommunikativt handlande;En//DT|UTR|SIN|IND//det//91 hel//JJ|POS|UTR|SIN|IND|NOM//amod//91 del//NN|UTR|SIN|IND|NOM//obl//94 skulle//VB|PRT|AKT//aux//94 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//94 visa//VB|INF|AKT//conj//37 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//94 efter//PP//case//99 några//DT|UTR/NEU|PLU|IND//det//98 veckors//NN|UTR|PLU|IND|GEN//nmod:poss//99 komvuxstudier//NN|UTR|PLU|IND|NOM//obl//94 .//MAD//punct//37
Vuxenstudier som kommunikativt handlande;Det//DT|NEU|SIN|DEF//det//2 första//RO|NOM//amod//2 tillfället//NN|NEU|SIN|DEF|NOM//nsubj//10 med//PP//case//6 en//DT|UTR|SIN|IND//det//6 ny//JJ|POS|UTR|SIN|IND|NOM//amod//6 grupp//NN|UTR|SIN|IND|NOM//nmod//2 vuxenstuderande//NN|UTR|PLU|IND|NOM//nmod//2 är//VB|PRS|AKT//cop//10 alltid//AB//advmod//10 laddat//PC|PRF|NEU|SIN|IND|NOM//ROOT//10 .//MAD//punct//10
Vuxenstudier som kommunikativt handlande;Jag//PN|UTR|SIN|DEF|SUB//nsubj//13 tänker//VB|PRS|AKT//conj//10 främst//AB|SUV//advmod//13 på//PP//case//16 grupper//NN|UTR|PLU|IND|NOM//obl//13 med//PP//case//18 personer//NN|UTR|PLU|IND|NOM//nmod//16 som//HP|-|-|-//nsubj//20 läser//VB|PRS|AKT//acl:relcl//18 in//PL//compound:prt//20 grundskolekurser//NN|UTR|PLU|IND|NOM//obj//20 som//KN//mark//24 vuxna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl//22 och//KN//cc//27 som//HP|-|-|-//nsubj//27 gör//VB|PRS|AKT//conj//20 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//27 som//KN//nsubj//30 heltidsstuderande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl:relcl//28 i//PP//case//34 en//DT|UTR|SIN|IND//det//34 sammanhållen//PC|PRF|UTR|SIN|IND|NOM//amod//34 grupp//NN|UTR|SIN|IND|NOM//obl//30 .//MID//punct//13
Vuxenstudier som kommunikativt handlande;Dessa//DT|UTR/NEU|PLU|DEF//det//37 vuxna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//38 har//VB|PRS|AKT//parataxis//13 på//PP//case//45 ena//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//43 eller//KN//cc//42 andra//RO|NOM//conj//40 sättet//NN|NEU|SIN|DEF|NOM//nmod//45 dåliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//45 skolerfarenheter//NN|UTR|PLU|IND|NOM//obj//38 .//MAD//punct//13
Vuxenstudier som kommunikativt handlande;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//48 anser//VB|PRS|AKT//conj//10 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//48 inte//AB//advmod//48 ha//VB|INF|AKT//xcomp//48 ,//MID//punct//54 eller//KN//cc//54 anses//VB|PRS|SFO//conj//48 av//PP//case//56 andra//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl:agent//54 inte//AB//advmod//58 ha//VB|INF|AKT//xcomp//54 ,//MID//punct//54 tillräckliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//61 kunskaper//NN|UTR|PLU|IND|NOM//obj//48 för//PP//case//63 ett//RG|NEU|SIN|IND|NOM//det//69 i//PP//case//66 alla//DT|UTR/NEU|PLU|IND/DEF//det//66 avseenden//NN|NEU|PLU|IND|NOM//obl//68 väl//AB|POS//advmod//68 fungerande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//69 vuxenliv//NN|NEU|SIN|IND|NOM//obl//48 .//MID//punct//48
Vuxenstudier som kommunikativt handlande;Något//PN|NEU|SIN|IND|SUB/OBJ//nsubj//73 har//VB|PRS|AKT//aux//73 hänt//VB|SUP|AKT//parataxis//48 som//HP|-|-|-//nsubj//75 fått//VB|SUP|AKT//acl:relcl//73 dem//PN|UTR/NEU|PLU|DEF|OBJ//obj//75 att//IE//mark//78 anmäla//VB|INF|AKT//xcomp//75 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//78 till//PP//case//81 studier//NN|UTR|PLU|IND|NOM//obl//78 .//MAD//punct//73
Vuxenstudier som kommunikativt handlande;För//PP//case//85 de//DT|UTR/NEU|PLU|DEF//det//85 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//advmod//73 är//VB|PRS|AKT//cop//92 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//92 ett//DT|NEU|SIN|IND//det//92 stort//JJ|POS|NEU|SIN|IND|NOM//amod//92 och//KN//cc//91 avgörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//89 beslut//NN|NEU|PLU|IND|NOM//ccomp//48 efter//PP//case//95 mycket//AB|POS//advmod//95 grubblande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//92 .//MID//punct//48
