Kemikommittén föreslår följande viktiga hörnstenar i kemikaliepolitiken: Försiktighetsprincipen;Försik//NN|UTR|SIN|IND|NOM//nmod:poss//1 tighetsprincipen//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 ska//VB|PRS|AKT//aux//3 användas//VB|INF|SFO//ROOT//3
Kemikommittén föreslår följande viktiga hörnstenar i kemikaliepolitiken: Försiktighetsprincipen;Den//DT|UTR|SIN|DEF//det//2 omvända//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//2 bevisbördan//NN|UTR|SIN|DEF|NOM//nsubj:pass//4 måste//VB|PRS|AKT//aux//4 tillämpas//VB|INF|SFO//ROOT//4 oftare//AB|KOM//advmod//4

Företagen har ansvaret;Företagen//NN|NEU|PLU|DEF|NOM//nsubj//2 ska//VB|PRS|AKT//aux//2 visa//VB|INF|AKT//ROOT//2 att//SN//mark//6 varorna//NN|UTR|PLU|DEF|NOM//nsubj//6 är//VB|PRS|AKT//cop//6 säkra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ccomp//2

Lagstiftning och tillsyn;Lagstiftningen//NN|UTR|SIN|DEF|NOM//nsubj//1 lägger//VB|PRS|AKT//ROOT//1 grunden//NN|UTR|SIN|DEF|NOM//obj//1
Lagstiftning och tillsyn;Tillsynens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 roll//NN|UTR|SIN|IND|NOM//nsubj//3 bör//VB|PRS|AKT//aux//3 öka//VB|INF|AKT//ROOT//3

Generellt angreppsätt;Generellt//JJ|POS|NEU|SIN|IND|NOM//amod//1 angreppssätt//NN|NEU|SIN|IND|NOM//nsubj:pass//3 ska//VB|PRS|AKT//aux//3 användas//VB|INF|SFO//ROOT//3

Varuperspektivet allt viktigare;Tyngdpunkten//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 i//PP//case//2 kemikaliearbetet//NN|NEU|SIN|DEF|NOM//nmod//0 förskjuts//VB|PRS|SFO//ROOT//3 mot//PP//case//5 varor//NN|UTR|PLU|IND|NOM//obl//3
Varuperspektivet allt viktigare;Kemikaliekontroll//NN|UTR|SIN|IND|NOM//nsubj//5 och//KN//cc//2 utsläpps-//NN|NEU|-|-|SMS//conj//0 och//KN//cc//4 avfallsfrågor//NN|UTR|PLU|IND|NOM//conj//0 hör//VB|PRS|AKT//ROOT//5 ihop//PL//compound:prt//5
Varuperspektivet allt viktigare;Utveck//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 ling//NN|UTR|SIN|IND|NOM//ROOT//1 mot//PP//case//4 rena//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 varor//NN|UTR|PLU|IND|NOM//nmod//1

Ett nytt arbetssätt för myndigheterna;Samarbete//NN|NEU|SIN|IND|NOM//nsubj//1 bidrar//VB|PRS|AKT//ROOT//1 till//PP//case//6 en//DT|UTR|SIN|IND//det//5 hög//JJ|POS|UTR|SIN|IND|NOM//amod//5 ambitionsnivå//NN|UTR|SIN|IND|NOM//nmod//6 Konsumenter//NN|UTR|PLU|IND|NOM//obl//1 och//KN//cc//8 inköpare//NN|UTR|PLU|IND|NOM//conj//6 är//VB|PRS|AKT//cop//10 viktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//1 i//PP//case//12 kemikaliearbetet//NN|NEU|SIN|DEF|NOM//nmod//10 En//DT|UTR|SIN|IND//det//15 vidgad//PC|PRF|UTR|SIN|IND|NOM//amod//15 roll//NN|UTR|SIN|IND|NOM//obj//1 för//PP//case//18 de//DT|UTR/NEU|PLU|DEF//det//18 anställda//NN|UTR|PLU|IND|NOM//obl//1 i//PP//case//20 företagen//NN|NEU|PLU|DEF|NOM//nmod//18
Ett nytt arbetssätt för myndigheterna;Mjuka//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 styrmedel//NN|NEU|PLU|IND|NOM//nsubj//9 i//PP//case//5 form//NN|UTR|SIN|IND|NOM//fixed//2 av//PP//fixed//2 kunskap//NN|UTR|SIN|IND|NOM//nmod//1 och//KN//cc//7 information//NN|UTR|SIN|IND|NOM//conj//5 Ökad//PC|PRF|UTR|SIN|IND|NOM//amod//9 användning//NN|UTR|SIN|IND|NOM//ROOT//9 av//PP//case//12 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 styrmedel//NN|NEU|PLU|IND|NOM//nmod//9
Ett nytt arbetssätt för myndigheterna;Stöd//NN|NEU|SIN|IND|NOM//ROOT//0 och//KN//cc//2 vägledning//NN|UTR|SIN|IND|NOM//conj//0 till//PP//case//4 småföretagen//NN|NEU|PLU|DEF|NOM//obl//0

Det internationella arbetet;Gemensamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 problem//NN|NEU|PLU|IND|NOM//nsubj//2 kräver//VB|PRS|AKT//ROOT//2 gemensamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 lösningar//NN|UTR|PLU|IND|NOM//obj//2 EU//PM|NOM//flat//4 en//DT|UTR|SIN|IND//det//8 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//8 arena//NN|UTR|SIN|IND|NOM//obj//2 för//PP//case//10 lagstiftningsarbetet//NN|NEU|SIN|DEF|NOM//obl//2
Det internationella arbetet;Globala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 överenskommelser//NN|UTR|PLU|IND|NOM//nsubj//10 om//PP//case//3 kemikalier//NN|UTR|PLU|IND|NOM//nmod//1 allt//AB//advmod//5 viktigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 Handel//NN|UTR|SIN|IND|NOM//nsubj//10 och//KN//cc//8 kemikaliepolitik//NN|UTR|SIN|IND|NOM//conj//6 ska//VB|PRS|AKT//aux//10 stödja//VB|INF|AKT//ROOT//10 varandra//PN|UTR/NEU|PLU|DEF|OBJ//obj//10
Det internationella arbetet;I//PP//case//2 kapitel//NN|NEU|SIN|IND|NOM//nmod//2 2//RG|NOM//obl//5 har//VB|PRS|AKT//aux//5 vi//PN|UTR|PLU|DEF|SUB//nsubj//5 föreslagit//VB|SUP|AKT//ROOT//5 mål//NN|NEU|SIN|IND|NOM//obj//5 för//PP//case//10 den//DT|UTR|SIN|DEF//det//10 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 kemikaliepolitiken//NN|UTR|SIN|DEF|NOM//obl//5 .//MAD//punct//5
Det internationella arbetet;Vi//PN|UTR|PLU|DEF|SUB//nsubj//13 redovisar//VB|PRS|AKT//parataxis//5 i//PP//case//16 detta//DT|NEU|SIN|DEF//det//16 kapitel//NN|NEU|SIN|IND|NOM//obl//13 några//DT|UTR/NEU|PLU|IND//det//19 viktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 hörnstenar//NN|UTR|PLU|IND|NOM//nmod//16 för//PP//case//21 kemikaliepolitiken//NN|UTR|SIN|DEF|NOM//nmod//19 .//MAD//punct//13
