– dokumentation från ett seminarium;Demokratiutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 skrift//NN|UTR|SIN|IND|NOM//nmod//3 nr//NN|AN//nmod//3 12//RG|NOM//ROOT//3

Förord;I//PP//case//2 några//DT|UTR/NEU|PLU|IND//det//2 småskrifter//NN|UTR|PLU|IND|NOM//obl//5 och//KN//cc//4 forskarantologier//NN|NEU|PLU|IND|NOM//conj//2 belyser//VB|PRS|AKT//ROOT//5 Demokratiutredningen//NN|UTR|SIN|DEF|NOM//nmod//7 EU-medlemskapet//NN|NEU|SIN|DEF|NOM//nsubj//5 ur//PP//case//9 demokratisynpunkt//NN|UTR|SIN|IND|NOM//obl//5 .//MAD//punct//5
Förord;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//14 är//VB|PRS|AKT//cop//14 att//IE//mark//14 väcka//VB|INF|AKT//parataxis//5 och//KN//cc//16 fördjupa//VB|INF|AKT//conj//14 en//DT|UTR|SIN|IND//det//20 tämligen//AB//advmod//19 sällsynt//JJ|POS|UTR|SIN|IND|NOM//amod//20 debatt//NN|UTR|SIN|IND|NOM//obj//16 .//MAD//punct//14
Förord;I//PP//case//25 den//DT|UTR|SIN|DEF//det//25 första//RO|NOM//amod//25 EU-skriften//NN|UTR|SIN|DEF|NOM//obl//14 ”//PM|NOM//punct//25 Demokrati//NN|UTR|SIN|IND|NOM//nmod//25 på//PP//case//30 europeisk//JJ|POS|UTR|SIN|IND|NOM//amod//30 nivå//NN|UTR|SIN|IND|NOM//nmod//27 ?//MID//punct//25 ”//PM|NOM//punct//14
Förord;(//PAD//punct//14 SOU//PM|NOM//nmod//35 1998:124//RG|NOM//appos//14 )//PAD//punct//14 analyserade//VB|PRT|AKT//conj//14 två//RG|NOM//nummod//39 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//37 och//KN//cc//43 två//RG|NOM//nummod//43 utländska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 forskare//NN|UTR|PLU|IND|NOM//conj//39 det//DT|NEU|SIN|DEF//det//47 s.k.//AB|AN//amod//47 demokratiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//47 underskottet//NN|NEU|SIN|DEF|NOM//obj//14 .//MID//punct//14
Förord;Deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//51 demokratiteoretiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//51 utgångspunkter//NN|UTR|PLU|IND|NOM//nsubj//53 var//VB|PRT|AKT//cop//53 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//14 ,//MID//punct//53 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//56 svar//NN|NEU|PLU|IND|NOM//obj//14 på//PP//case//59 rubrikens//NN|UTR|SIN|DEF|GEN//nmod:poss//59 fråga//NN|UTR|SIN|IND|NOM//nmod//56 likaså//AB//advmod//14 .//MAD//punct//5
Förord;I//PP//case//3 denna//DT|UTR|SIN|DEF//det//3 andra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 skrift//NN|UTR|SIN|IND|NOM//obl//4 prövar//VB|PRS|AKT//ROOT//4 några//DT|UTR/NEU|PLU|IND//det//12 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 statsvetenskapliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 ,//MID//punct//9 sociologiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//7 och//KN//cc//11 rättsvetenskapliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//7 forskare//NN|UTR|PLU|IND|NOM//nsubj//4 huruvida//SN//mark//17 det//DT|NEU|SIN|DEF//det//16 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//16 medlemskapet//NN|NEU|SIN|DEF|NOM//nsubj//17 är//VB|PRS|AKT//ccomp//4 eller//KN//cc//20 kan//VB|PRS|AKT//aux//20 bli//VB|INF|AKT//conj//17 ett//DT|NEU|SIN|IND//det//23 demokratiskt//JJ|POS|NEU|SIN|IND|NOM//amod//23 projekt//NN|NEU|SIN|IND|NOM//xcomp//20 och//KN//cc//30 i//PP//case//30 så//AB//fixed//25 fall//NN|NEU|SIN|IND|NOM//fixed//25 vilken//HD|UTR|SIN|IND//det//29 sorts//NN|UTR|SIN|IND|GEN//nmod:poss//30 demokrati//NN|UTR|SIN|IND|NOM//conj//23 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//33 då//AB//advmod//33 handlar//VB|PRS|AKT//acl:relcl//30 om//PP//case//33 .//MAD//punct//36
Förord;Identitet//NN|UTR|SIN|IND|NOM//nsubj//42 ,//MID//punct//38 folkstyre//NN|NEU|SIN|IND|NOM//conj//36 och//KN//cc//40 rättsstat//NN|UTR|SIN|IND|NOM//conj//36 är//VB|PRS|AKT//cop//42 temat//NN|NEU|SIN|DEF|NOM//conj//4 för//PP//case//45 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//45 analyser//NN|UTR|PLU|IND|NOM//obl//42 .//MAD//punct//4
Förord;Tre//RG|NOM//nummod//1 folkvalda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//nsubj//2 tar//VB|PRS|AKT//ROOT//2 därefter//AB//advmod//2 vid//PL//compound:prt//2 för//PP//mark//7 att//IE//mark//7 inleda//VB|INF|AKT//advcl//2 en//DT|UTR|SIN|IND//det//9 diskussion//NN|UTR|SIN|IND|NOM//obj//7 om//PP//mark//14 hur//HA//advmod//14 man//PN|UTR|SIN|IND|SUB//nsubj//14 kan//VB|PRS|AKT//aux//14 öka//VB|INF|AKT//acl//9 medborgarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//16 inflytande//NN|NEU|SIN|IND|NOM//obj//14 över//PP//compound:prt//14 och//KN//cc//19 delaktighet//NN|UTR|SIN|IND|NOM//conj//14 i//PP//case//21 samarbetet//NN|NEU|SIN|DEF|NOM//nmod//19 inom//PP//case//23 EU//PM|NOM//nmod//21 .//MAD//punct//2
Förord;En//DT|UTR|SIN|IND//det//27 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//27 aspekt//NN|UTR|SIN|IND|NOM//obj//2 ,//MID//punct//27 som//HP|-|-|-//nsubj//30 intresserar//VB|PRS|AKT//acl:relcl//27 Demokratiutredningen//NN|UTR|SIN|DEF|NOM//obj//30 ,//MID//punct//2 är//VB|PRS|AKT//punct//2 hur//HA//advmod//38 man//PN|UTR|SIN|IND|SUB//nsubj//38 ska//VB|PRS|AKT//aux//38 kunna//VB|INF|AKT//aux//38 tillföra//VB|INF|AKT//ccomp//2 EU//PM|NOM//compound:prt//38 erfarenheter//NN|UTR|PLU|IND|NOM//obj//38 från//PP//case//42 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//45 och//KN//cc//44 regional//JJ|POS|UTR|SIN|IND|NOM//conj//42 verksamhet//NN|UTR|SIN|IND|NOM//obl//38 .//MAD//punct//2
Förord;Skriften//NN|UTR|SIN|DEF|NOM//nsubj//1 utgör//VB|PRS|AKT//ROOT//1 en//DT|UTR|SIN|IND//det//3 dokumentation//NN|UTR|SIN|IND|NOM//obj//1 av//PP//case//7 det//DT|NEU|SIN|DEF//det//7 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//7 seminarium//NN|NEU|SIN|IND|NOM//nmod//3 som//HP|-|-|-//obl//10 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//10 höll//VB|PRT|AKT//acl:relcl//7 på//PP//case//12 Handelshögskolan//NN|UTR|SIN|DEF|NOM//obl//10 i//PP//case//14 Göteborg//PM|NOM//obl//10 den//DT|UTR|SIN|DEF//det//16 14//RG|NOM//nummod//17 oktober//NN|UTR|SIN|IND|NOM//obl//10 1998//RG|NOM//nummod//17 .//MAD//punct//1
Förord;Demokratiutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 ledamöter//NN|UTR|PLU|IND|NOM//nsubj//4 har//VB|PRS|AKT//aux//4 inte//AB//advmod//4 tagit//VB|SUP|AKT//ROOT//4 ställning//NN|UTR|SIN|IND|NOM//obj//4 till//PP//case//7 synpunkterna//NN|UTR|PLU|DEF|NOM//obl//4 .//MAD//punct//4
Förord;Erik//PM|NOM//ROOT//0 Amnå//PM|NOM//flat:name//0
Förord;Huvudsekreterare//NN|UTR|SIN|IND|NOM//ROOT//0 .//MAD//punct//0 .//MAD//punct//0

