Till statsrådet Maj-Inger Klingvall ;Statsrådet//NN|NEU|SIN|DEF|NOM//nsubj//2 Klingvall//PM|NOM//flat//0 förordnade//VB|PRT|AKT//ROOT//2 fr//AB|AN//nmod//4 o//NN|AN//dep//2 m//PM|NOM//flat:name//4 den//DT|UTR|SIN|DEF//det//8 17//RG|NOM//nummod//8 mars//NN|UTR|SIN|IND|NOM//obl//10 1997//RG|NOM//nummod//8 riksdagsledamot//NN|UTR|SIN|IND|NOM//nmod//11 Maud//PM|NOM//parataxis//2 Björnemalm//PM|NOM//flat:name//11 (//PAD//punct//11 s//PM|NOM//nmod//11 )//PAD//punct//11 som//KN//mark//17 ordförande//NN|UTR|SIN|IND|NOM//advcl//2 i//PP//case//19 Organisationskommittén//NN|UTR|SIN|DEF|NOM//obl//17 .//MAD//punct//2
Till statsrådet Maj-Inger Klingvall ;Konsult//NN|UTR|SIN|IND|NOM//nmod//22 Krister//PM|NOM//appos//2 Berggren//PM|NOM//flat:name//22 (//PAD//punct//23 m//PM|NOM//conj//22 )//PAD//punct//22 ,//MID//punct//28 klinikföreståndare//NN|UTR|SIN|IND|NOM//dep//64 Gun//PM|NOM//nsubj//28 Bexell//PM|NOM//flat:name//29 (//PAD//punct//29 m//PM|NOM//nmod//29 )//PAD//punct//28 ,//MID//punct//28 f//NN|NEU|SIN|IND|NOM//nummod//36 rektor//NN|UTR|SIN|IND|NOM//nmod//37 Göte//PM|NOM//conj//28 Lundbladh//PM|NOM//flat:name//37 (//PAD//punct//40 c//NN|NEU|SIN|IND|NOM//appos//28 )//PAD//punct//40 ,//MID//punct//28 f//NN|NEU|SIN|IND|NOM//punct//45 kassaföreståndare//NN|UTR|SIN|IND|NOM//nmod//45 Sven-Erik//PM|NOM//nmod//28 Mohlin//PM|NOM//flat:name//45 (//PAD//punct//45 s//PM|NOM//nummod//45 )//PAD//punct//45 ,//MID//punct//52 riksdagsledamot//NN|UTR|SIN|IND|NOM//nmod//52 Börje//PM|NOM//conj//28 Nilsson//PM|NOM//flat:name//52 (//PAD//punct//52 s//NN|AN//nmod//52 )//PAD//punct//52 ,//MID//punct//59 undersköterska//NN|UTR|SIN|IND|NOM//nmod//59 Kerstin//PM|NOM//conj//28 Sverin//PM|NOM//flat:name//59 (//PAD//punct//59 s//PM|NOM//nmod//59 )//PAD//punct//28 förordnades//VB|PRT|SFO//parataxis//2 som//KN//mark//66 ledamöter//NN|UTR|PLU|IND|NOM//xcomp//64 .//MAD//punct//68
Till statsrådet Maj-Inger Klingvall ;Sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//64 i//PP//case//70 kommittén//NN|UTR|SIN|DEF|NOM//nmod//68 har//VB|PRS|AKT//dep//64 varit//VB|SUP|AKT//advmod//64 utredningschef//NN|UTR|SIN|IND|NOM//nmod//74 Göran//PM|NOM//nsubj//103 Geiryd//PM|NOM//flat:name//74 ,//MID//punct//74 Försäkringskasseförbundet//NN|NEU|SIN|DEF|NOM//appos//74 och//KN//cc//74 ,//MID//punct//74 avdelningschef//NN|UTR|SIN|IND|NOM//nmod//81 Jan//PM|NOM//appos//74 Nordlund//PM|NOM//flat:name//81 ,//MID//punct//81 Riksförsäkringsverket//NN|NEU|SIN|DEF|NOM//nmod//85 t//NN|AN//nmod//81 o//PM|NOM//case//85 m//NN|AN//punct//81 1997-08-31//RG|NOM//flat:name//81 och//KN//cc//90 fr//NN|AN//conj//88 o//NN|AN//flat:name//81 m//NN|AN//nmod//93 1997-09-01//RG|NOM//nmod//74 ,//MID//punct//74 enhetschef//NN|UTR|SIN|IND|NOM//nmod//96 Bertil//PM|NOM//appos//74 Thorslund//PM|NOM//flat:name//96 ,//MID//punct//99 Riksförsäkringsverket//NN|NEU|SIN|DEF|NOM//conj//96 .//MAD//punct//74
Till statsrådet Maj-Inger Klingvall ;Till//PP//case//102 experter//NN|UTR|PLU|IND|NOM//obl//103 utsågs//VB|PRT|SFO//conj//2 ombudsman//NN|UTR|SIN|IND|NOM//nmod//105 Ulf//PM|NOM//obj//103 Dragovski//PM|NOM//flat//105 ,//MID//punct//109 Försäkringsanställdas//PM|GEN//nmod:poss//109 Förbund//NN|NEU|SIN|IND|NOM//conj//103 och//KN//cc//112 facklige//JJ|POS|MAS|SIN|DEF|NOM//amod//112 förtroendemannen//NN|UTR|SIN|DEF|NOM//nmod//113 Ola//PM|NOM//appos//103 Björkholm//PM|NOM//flat:name//113 ,//MID//punct//113 SACO//PM|NOM//conj//113 .//MAD//punct//113
Till statsrådet Maj-Inger Klingvall ;Utredningssekreterare//NN|UTR|SIN|IND|NOM//parataxis//103 Margareta//PM|NOM//nsubj//118 Karlsson//PM|NOM//flat:name//119 ,//MID//punct//123 Försäkringskasseförbundet//NN|NEU|SIN|DEF|NOM//nsubj:pass//123 förordnades//VB|PRT|SFO//conj//118 till//PP//case//125 sekreterare//NN|UTR|SIN|IND|NOM//obl//123 .//MAD//punct//118
Till statsrådet Maj-Inger Klingvall ;Fr//PM|NOM//appos//103 o//PM|NOM//cc//127 m//NN|AN//nmod//127 1998-01-01//RG|NOM//conj//127 har//VB|PRS|AKT//aux//141 Kurt//PM|NOM//nsubj//131 Inge//PM|NOM//flat//132 Persson//PM|NOM//flat//132 –//RG|NOM//punct//131 som//KN//case//137 fr//AB|AN//nsubj//141 om//SN//case//140 nämnda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//140 tidpunkt//NN|UTR|SIN|IND|NOM//nmod//137 innehar//VB|PRS|AKT//conj//2 anställning//NN|UTR|SIN|IND|NOM//obj//141 som//KN//mark//144 direktör//NN|UTR|SIN|IND|NOM//xcomp//141 vid//PP//case//146 Skåne//PM|GEN//nmod//144 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//148 försäkringskassa//NN|UTR|SIN|IND|NOM//obj//141 –//RG|NOM//punct//141 deltagit//VB|SUP|AKT//conj//141 i//PP//case//153 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//153 kommittésammanträden//NN|UTR|SIN|DEF|NOM//obl//150 .//MAD//punct//2
Till statsrådet Maj-Inger Klingvall ;Kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//1 ledamöter//NN|UTR|PLU|IND|NOM//nsubj:pass//2 utgörs//VB|PRS|SFO//ROOT//2 av//PP//case//6 de//DT|UTR/NEU|PLU|DEF//det//6 två//RG|NOM//nummod//6 presidierna//NN|UTR|PLU|DEF|NOM//obl:agent//2 ,//MID//punct//6 dvs//AB|AN//advmod//10  //_SP////8 ordförande//NN|UTR|SIN|IND|NOM//appos//6 och//KN//cc//12 vice//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//10 ordförande//NN|UTR|SIN|IND|NOM//conj//10 ,//MID//punct//6 i//PP//case//18 Kristianstads//PM|GEN//nmod:poss//18 respektive//AB//cc//18 Malmöhus//PM|GEN//nmod//22 läns//NN|NEU|SIN|IND|GEN//nmod:poss//22 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 försäkringskassors//NN|UTR|PLU|IND|GEN//nmod:poss//22 styrelser//NN|UTR|PLU|IND|NOM//conj//6 och//KN//cc//27 därutöver//AB//advmod//27 ytterligare//AB|KOM//advmod//26 en//DT|UTR|SIN|IND//det//27 ledamot//NN|UTR|SIN|IND|NOM//conj//6 från//PP//case//30 respektive//AB//amod//30 kassastyrelse//NN|UTR|SIN|IND|NOM//nmod//27 .//MAD//punct//2
Till statsrådet Maj-Inger Klingvall ;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 december//NN|UTR|SIN|IND|NOM//obl//0 1998//RG|NOM//nummod//2
Till statsrådet Maj-Inger Klingvall ;Maud//PM|NOM//ROOT//0 Björnemalm//PM|NOM//flat:name//0 /Margareta//RG|NOM//compound:prt//0 Karlsson//PM|NOM//flat:name//0

1 Redovisning av kommittéarbetets bedrivande med mera;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 vid//PP//case//3 regeringssammanträde//NN|NEU|SIN|IND|NOM//obl//1 den//DT|UTR|SIN|DEF//det//6 9//RO|NOM//nummod//6 januari//NN|UTR|SIN|IND|NOM//obl//1 1997//RG|NOM//nummod//6 att//SN//mark//12 en//DT|UTR|SIN|IND//det//10 organisationskommitté//NN|UTR|SIN|IND|NOM//nsubj:pass//12 skulle//VB|PRT|AKT//aux//12 tillsättas//VB|INF|SFO//acl//6 för//PP//mark//15 att//IE//mark//15 förbereda//VB|INF|AKT//advcl//12 och//KN//cc//17 genomföra//VB|INF|AKT//conj//15 bildandet//NN|NEU|SIN|DEF|NOM//obj//17 av//PP//case//20 Skåne//PM|NOM//nmod//18 läns//NN|NEU|SIN|IND|GEN//nmod:poss//23 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//23 försäkringskassa//NN|UTR|SIN|IND|NOM//obj//17 .//MAD//punct//1
