Utredningen om tullens dimensionering m.m.;”//PAD//punct//2 En//DT|UTR|SIN|IND//det//2 gräns//NN|UTR|SIN|IND|NOM//ROOT//2 –//RG|NOM//punct//5 en//DT|UTR|SIN|IND//det//5 myndighet//NN|UTR|SIN|IND|NOM//appos//2 ?//MAD//punct//5 ”//RG|NOM//punct//2

Till statsrådet Thomas Östros;Vid//PP//case//2 sitt//PS|NEU|SIN|DEF//nmod:poss//2 sammanträde//NN|NEU|SIN|IND|NOM//obl//7 den//DT|UTR|SIN|DEF//det//5 20//RG|NOM//nummod//5 februari//NN|UTR|SIN|IND|NOM//obl//7 1997//RG|NOM//nummod//5 beslöt//VB|PRT|AKT//ROOT//7 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//7 att//IE//mark//10 tillkalla//VB|INF|AKT//xcomp//7 en//DT|UTR|SIN|IND//det//12 utredningsman//NN|UTR|SIN|IND|NOM//obj//10 med//PP//case//14 uppdrag//NN|NEU|SIN|IND|NOM//nmod//12 att//IE//mark//16 analysera//VB|INF|AKT//acl//14 effekterna//NN|UTR|PLU|DEF|NOM//obj//16 för//PP//case//20 Tullverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//20 organisation//NN|UTR|SIN|IND|NOM//nmod//17 och//KN//cc//22 dimensionering//NN|UTR|SIN|IND|NOM//conj//20 med//PP//case//24 anledning//NN|UTR|SIN|IND|NOM//nmod//22 av//PP//case//26 medlemskapet//NN|NEU|SIN|DEF|NOM//nmod//24 i//PP//case//28 EU//PM|NOM//nmod//24 .//MAD//punct//7
Till statsrådet Thomas Östros;Av//PP//case//1 direktiven//NN|NEU|PLU|DEF|NOM//obl//10 (//PAD//punct//1 dir//NN|AN//appos//1 .//MID//punct//1
Till statsrådet Thomas Östros;Fi//PM|NOM//appos//1 1997:34//RG|NOM//obj//5 )//PAD//punct//5 till//PP//case//9 utredningen//NN|UTR|SIN|DEF|NOM//obl//10 framgår//VB|PRS|AKT//ROOT//10 att//SN//mark//16 utvärderingen//NN|UTR|SIN|DEF|NOM//nsubj//16 bland//PP//case//14 annat//PN|NEU|SIN|IND|SUB/OBJ//obl//16 skall//VB|PRS|AKT//aux//16 belysa//VB|INF|AKT//csubj//10 effekterna//NN|UTR|PLU|DEF|NOM//obj//16 för//PP//case//19 kontrollverksamheten//NN|UTR|SIN|DEF|NOM//nmod//17 och//KN//cc//21 tullverksamheten//NN|UTR|SIN|DEF|NOM//conj//19 i//PP//nmod//21 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//22 ,//MID//punct//16 om//SN//mark//27 dimensioneringen//NN|UTR|SIN|DEF|NOM//nsubj//27 blivit//VB|SUP|AKT//advcl//16 riktig//JJ|POS|UTR|SIN|IND|NOM//xcomp//27 med//PP//case//32 hänsyn//NN|UTR|SIN|IND|NOM//fixed//29 till//PP//fixed//29 förändringar//NN|UTR|PLU|IND|NOM//obl//28 i//PP//case//34 regelverk//NN|NEU|PLU|IND|NOM//nmod//32 och//KN//cc//36 arbetsvolymer//NN|UTR|PLU|IND|NOM//conj//34 ,//MID//punct//38 förutsättningen//NN|UTR|SIN|DEF|NOM//conj//27 för//PP//case//38 och//KN//cc//41 erfarenheterna//NN|UTR|PLU|DEF|NOM//conj//38 av//PP//case//44 Tullverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//44 samarbete//NN|NEU|SIN|IND|NOM//nmod//41 med//PP//case//47 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 myndigheter//NN|UTR|PLU|IND|NOM//nmod//44 ,//MID//punct//38 särskilt//AB//advmod//38 ur//PP//case//52 ett//DT|NEU|SIN|IND//det//52 EU-perspektiv//NN|NEU|SIN|IND|NOM//nmod//38 .//MAD//punct//10
Till statsrådet Thomas Östros;Den//DT|UTR|SIN|DEF//det//2 8//RO|NOM//nummod//2 april//NN|UTR|SIN|IND|NOM//nsubj:pass//4 1997//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 riksdagsman//NN|UTR|SIN|IND|NOM//amod//6 Sven-Erik//PM|NOM//nsubj:pass//4 Österberg//PM|NOM//flat:name//6 som//KN//mark//9 utredningsman//NN|UTR|SIN|IND|NOM//xcomp//4 .//MAD//punct//4
Till statsrådet Thomas Östros;Till//PP//case//12 experter//NN|UTR|PLU|IND|NOM//obl//15 i//PP//case//14 utredningen//NN|UTR|SIN|DEF|NOM//nmod//12 förordnades//VB|PRT|SFO//parataxis//4 departementssekreterarna//NN|UTR|PLU|DEF|NOM//nmod//17 Lars//PM|NOM//nsubj//15 Elfvin//PM|NOM//flat//17 och//KN//cc//20 Eva-Lotta//PM|NOM//conj//15 Pivén//PM|NOM//cc//20 samt//KN//cc//23 avdelningsdirektör//NN|UTR|SIN|IND|NOM//nmod//24 Mats//PM|NOM//appos//15 Lindahl//PM|NOM//flat:name//24 .//MAD//punct//15
Till statsrådet Thomas Östros;Den//DT|UTR|SIN|DEF//det//2 17//RG|NOM//nummod//2 juni//NN|UTR|SIN|IND|NOM//obl//4 1997//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 civilingenjör//NN|UTR|SIN|IND|NOM//nmod//6 Mats//PM|NOM//nsubj:pass//4 B-O//PM|NOM//flat//6 Larsson//PM|NOM//flat:name//6 som//KN//case//10 sekreterare//NN|UTR|SIN|IND|NOM//xcomp//4 i//PP//case//12 utredningen//NN|UTR|SIN|DEF|NOM//nmod//10 .//MAD//punct//4
Till statsrådet Thomas Östros;Härmed//AB//advmod//1 överlämnar//VB|PRS|AKT//ROOT//1 vi//PN|UTR|PLU|DEF|SUB//nsubj//1 vårt//PS|NEU|SIN|DEF//nmod:poss//4 betänkande//NN|NEU|SIN|IND|NOM//obj//1 ”//PAD//punct//7 En//DT|UTR|SIN|IND//det//7 gräns//NN|UTR|SIN|IND|NOM//obj//1 –//RG|NOM//punct//10 en//DT|UTR|SIN|IND//det//10 myndighet//NN|UTR|SIN|IND|NOM//appos//7 ?//MAD//punct//10 ”//RG|NOM//punct//7
Till statsrådet Thomas Östros;Stockholm//PM|NOM//ROOT//0 den//DT|UTR|SIN|DEF//det//3 30//RG|NOM//nummod//3 januari//NN|UTR|SIN|IND|NOM//obj//0 1998//RG|NOM//nummod//3
Till statsrådet Thomas Östros;Sven-Erik//PM|NOM//ROOT//0 Österberg//PM|NOM//flat//0 /Mats//RG|NOM//nmod:poss//3 B-O//PM|NOM//conj//0 Larsson//PM|NOM//flat:name//3
