–STERSJ¶HANDELSKOMMITT©N (N1997:07) ;Till//PP//case//1 Regeringen//NN|UTR|SIN|DEF|NOM//ROOT//1
–STERSJ¶HANDELSKOMMITT©N (N1997:07) ;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 9//RO|NOM//nummod//4 oktober//NN|UTR|SIN|IND|NOM//obl//1 1997//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//xcomp//1 en//DT|UTR|SIN|IND//det//9 kommitté//NN|UTR|SIN|IND|NOM//obj//7 för//PP//mark//12 att//IE//mark//12 identifiera//VB|INF|AKT//advcl//7 hinder//NN|NEU|PLU|IND|NOM//obj//12 och//KN//cc//15 föreslå//VB|INF|AKT//conj//12 åtgärder//NN|UTR|PLU|IND|NOM//obj//15 för//PP//mark//19 att//IE//mark//19 underlätta//VB|INF|AKT//advcl//15 handel//NN|UTR|SIN|IND|NOM//obj//19 och//KN//cc//22 investeringar//NN|UTR|PLU|IND|NOM//conj//20 i//PP//case//24 Östersjöregionen//NN|UTR|SIN|DEF|NOM//nmod//22 samt//KN//cc//27 att//IE//mark//27 förordna//VB|INF|AKT//conj//7 statsrådet//NN|NEU|SIN|DEF|NOM//obj//27
–STERSJ¶HANDELSKOMMITT©N (N1997:07) ;Pagrotsky//PM|NOM//ROOT//0 att//IE//mark//3 vara//VB|INF|AKT//cop//3 ordförande//NN|UTR|SIN|IND|NOM//acl//0 i//PP//case//5 kommittén//NN|UTR|SIN|DEF|NOM//obl//3 .//MAD//punct//0
–STERSJ¶HANDELSKOMMITT©N (N1997:07) ;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//8 bemyndigade//VB|PRT|AKT//parataxis//0 statsrådet//NN|NEU|SIN|DEF|NOM//det//10 Pagrotsky//PM|NOM//obj//8 att//IE//mark//12 utse//VB|INF|AKT//advcl//8 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 ledamöter//NN|UTR|PLU|IND|NOM//obj//12 i//PP//case//16 kommittén//NN|UTR|SIN|DEF|NOM//obl//12 .//MAD//punct//0
–STERSJ¶HANDELSKOMMITT©N (N1997:07) ;Med//PP//case//1 stöd//NN|NEU|SIN|IND|NOM//obl//4 av//PP//case//3 bemyndigandet//NN|NEU|SIN|DEF|NOM//nmod//1 förordnade//VB|PRT|AKT//ROOT//4 statsrådet//NN|NEU|SIN|DEF|NOM//nmod//6 Pagrotsky//PM|NOM//nsubj//4 den//DT|UTR|SIN|DEF//det//9 9//RO|NOM//nummod//9 oktober//NN|UTR|SIN|IND|NOM//nmod//12 1997//RG|NOM//nummod//9 Hans//PM|NOM//nmod//12 Blücher//PM|NOM//obl//4 ,//MID//punct//14 Mats//PM|NOM//conj//4 Gabrielsson//PM|NOM//flat:name//14 ,//MID//punct//14 Ulla//PM|NOM//appos//14 Holm//PM|NOM//flat:name//17 ,//MID//punct//20 Ulf//PM|NOM//conj//14 Larsson//PM|NOM//flat:name//20 ,//MID//punct//23 Sture//PM|NOM//appos//14 Lindmark//PM|NOM//flat//23 ,//MID//punct//23 Eva//PM|NOM//dep//14 Nilsson//PM|NOM//flat:name//26 ,//MID//punct//26 Ingemar//PM|NOM//conj//14 Nilsson//PM|NOM//flat:name//29 och//KN//cc//32 Christina//PM|NOM//conj//29 Nordin//PM|NOM//flat:name//32 som//KN//mark//35 ledamöter//NN|UTR|PLU|IND|NOM//acl:relcl//29 .//MAD//punct//14
–STERSJ¶HANDELSKOMMITT©N (N1997:07) ;Till//PP//case//38 sekreterare//NN|UTR|SIN|IND|NOM//obl//39 utsågs//VB|PRT|SFO//conj//4 den//DT|UTR|SIN|DEF//det//42 22//RG|NOM//nummod//42 oktober//NN|UTR|SIN|IND|NOM//nsubj:pass//39 1997//RG|NOM//nummod//44 Per//PM|NOM//appos//39 Olov//PM|NOM//flat//44 Nützmann//PM|NOM//flat//44 .//MAD//punct//39
–STERSJ¶HANDELSKOMMITT©N (N1997:07) ;Som//KN//case//1 sakkunnig//JJ|POS|UTR|SIN|IND|NOM//obl//2 utsågs//VB|PRT|SFO//ROOT//2 den//DT|UTR|SIN|DEF//det//5 11//RG|NOM//nummod//5 november//NN|UTR|SIN|IND|NOM//nsubj:pass//2 1997//RG|NOM//nummod//5 Anders//PM|NOM//nmod//8 Sahlén//PM|NOM//conj//5 och//KN//cc//11 som//KN//case//11 experter//NN|UTR|PLU|IND|NOM//conj//5 utsågs//VB|PRT|SFO//conj//2 samma//DT|UTR/NEU|SIN/PLU|IND//det//14 dag//NN|UTR|SIN|IND|NOM//nmod//15 Nina//PM|NOM//obl//12 Brunstedt//PM|NOM//flat:name//15 ,//MID//punct//18 Bengt//PM|NOM//appos//12 Lundborg//PM|NOM//flat:name//18 och//KN//cc//21 NilsErik//PM|NOM//conj//18 Schyberg//PM|NOM//flat:name//18 .//MAD//punct//2
–STERSJ¶HANDELSKOMMITT©N (N1997:07) ;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//3 får//VB|PRS|AKT//aux//3 härmed//AB//advmod//3 överlämna//VB|INF|AKT//ROOT//3 betänkandet//NN|NEU|SIN|DEF|NOM//obj//3 ://MID//punct//3
–STERSJ¶HANDELSKOMMITT©N (N1997:07) ;Ta//VB|IMP|AKT//parataxis//3 vara//NN|-|-|-|-//obj//6 på//PP//case//9 möjligheterna//NN|UTR|PLU|DEF|NOM//obl//6 i//PP//case//11 Östersjöregionen//NN|UTR|SIN|DEF|NOM//nmod//9 .//MAD//punct//3
–STERSJ¶HANDELSKOMMITT©N (N1997:07) ;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//16 är//VB|PRS|AKT//cop//16 därmed//AB//advmod//16 slutfört//PC|PRF|NEU|SIN|IND|NOM//parataxis//3 .//MAD//punct//16
