Till statsrådet Lars-Erik Lövdén ;Genom//PP//case//1 beslut//NN|NEU|SIN|IND|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 12//RG|NOM//nummod//4 november//NN|UTR|SIN|IND|NOM//obl//6 1998//RG|NOM//nummod//4 bemyndigade//VB|PRT|AKT//ROOT//6 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//6 chefen//NN|UTR|SIN|DEF|NOM//obj//6 för//PP//case//10 Inrikesdepartementet//NN|NEU|SIN|DEF|NOM//nmod//8 ,//MID//punct//6 statsrådet//NN|NEU|SIN|DEF|NOM//appos//6 Engqvist//PM|NOM//flat//12 ,//MID//punct//12 att//IE//mark//16 tillkalla//VB|INF|AKT//acl//12 en//DT|UTR|SIN|IND//det//19 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//19 utredare//NN|UTR|SIN|IND|NOM//obj//16 för//PP//mark//22 att//IE//mark//22 göra//VB|INF|AKT//advcl//16 en//DT|UTR|SIN|IND//det//24 översyn//NN|UTR|SIN|IND|NOM//obj//22 av//PP//case//27 Fastighetsmäklarnämndens//NN|UTR|SIN|DEF|GEN//nmod:poss//27 tillsyn//NN|UTR|SIN|IND|NOM//nmod//24 över//PP//case//29 fastighetsmäklare//NN|UTR|PLU|IND|NOM//nmod//27 .//MAD//punct//6
Till statsrådet Lars-Erik Lövdén ;Med//PP//case//1 stöd//NN|NEU|SIN|IND|NOM//obl//4 av//PP//case//3 bemyndigandet//NN|NEU|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 samma//DT|UTR/NEU|SIN/PLU|IND//det//6 dag//NN|UTR|SIN|IND|NOM//nmod//7 enhetschefen//NN|UTR|SIN|DEF|NOM//nsubj//4 vid//PP//case//10 Finansinspektionen//NN|UTR|SIN|DEF|NOM//nmod//10 Maria//PM|NOM//nmod//7 Renmyr//PM|NOM//flat:name//10 som//KN//mark//13 utredare//NN|UTR|SIN|IND|NOM//xcomp//4 .//MAD//punct//4
Till statsrådet Lars-Erik Lövdén ;I//PP//case//18 ett//DT|NEU|SIN|IND//det//18 utvidgat//PC|PRF|NEU|SIN|IND|NOM//amod//18 utredningsuppdrag//NN|NEU|SIN|IND|NOM//obl//19 förordnades//VB|PRT|SFO//parataxis//4 hon//PN|UTR|SIN|DEF|SUB//nsubj//19 den//DT|UTR|SIN|DEF//det//23 10//RG|NOM//nummod//23 december//NN|UTR|SIN|IND|NOM//obl//19 1998//RG|NOM//nummod//23 att//IE//mark//26 förbereda//VB|INF|AKT//xcomp//19 övergången//NN|UTR|SIN|DEF|NOM//advmod//26 från//PP//case//29 nämndmyndighet//NN|UTR|SIN|IND|NOM//obl//26 till//PP//case//32 självständig//JJ|POS|UTR|SIN|IND|NOM//amod//32 myndighet//NN|UTR|SIN|IND|NOM//obl//26 .//MAD//punct//19
Till statsrådet Lars-Erik Lövdén ;Genom//PP//case//35 beslut//NN|NEU|SIN|IND|NOM//obl//19 den//DT|UTR|SIN|DEF//det//38 17//RG|NOM//nummod//38 december//NN|UTR|SIN|IND|NOM//obl//40 1998//RG|NOM//nummod//38 anställdes//VB|PRT|SFO//acl:relcl//35 Maria//PM|NOM//cc//44 Renmyr//PM|NOM//flat:name//41 som//KN//mark//44 ordförande//NN|UTR|SIN|IND|NOM//flat//40 tillika//AB//amod//46 chef//NN|UTR|SIN|IND|NOM//nsubj:pass//40 för//PP//case//48 Fastighetsmäklarnämnden//PM|NOM//nmod//46 fr.o.m.//AB|AN//case//52 den//DT|UTR|SIN|DEF//det//52 2//RO|NOM//nummod//52 januari//NN|UTR|SIN|IND|NOM//obl//40 1999//RG|NOM//nummod//52 .//MAD//punct//4
Till statsrådet Lars-Erik Lövdén ;Jur.//NN|AN//amod//1 kand//NN|AN//dep//5 .//MAD//punct//1
Till statsrådet Lars-Erik Lövdén ;Kajsa//PM|NOM//nmod//4 Fernqvist//PM|NOM//nsubj:pass//5 förordnades//VB|PRT|SFO//ROOT//5 den//DT|UTR|SIN|DEF//det//8 1//RO|NOM//nummod//8 december//NN|UTR|SIN|IND|NOM//obl//5 1998//RG|NOM//nummod//8 att//IE//mark//12 vara//VB|INF|AKT//cop//12 sekreterare//NN|UTR|SIN|IND|NOM//obl//5 i//PP//case//14 utredningen//NN|UTR|SIN|DEF|NOM//nmod//12 .//MAD//punct//12
Till statsrådet Lars-Erik Lövdén ;Fil//PM|NOM//obl//5 .//MAD//punct//16
Till statsrådet Lars-Erik Lövdén ;mag//NN|AN//punct//5 .//MID//punct//18
Till statsrådet Lars-Erik Lövdén ;Elin//PM|NOM//nsubj//22 Schedin//PM|NOM//flat//20 biträdde//VB|PRT|AKT//conj//5 utredningen//NN|UTR|SIN|DEF|NOM//obj//22 under//PP//case//25 december//NN|UTR|SIN|IND|NOM//obl//22 månad//NN|UTR|SIN|IND|NOM//nmod//27 1998//RG|NOM//nmod//25 med//PP//case//30 visst//JJ|POS|NEU|SIN|IND|NOM//amod//30 arbete//NN|NEU|SIN|IND|NOM//obl//22 .//MAD//punct//22
Till statsrådet Lars-Erik Lövdén ;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj//4 med//PP//case//3 själva//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 startade//VB|PRT|AKT//ROOT//4 dock//AB//advmod//4 inte//AB//advmod//4 förrän//SN//case//10 den//DT|UTR|SIN|DEF//det//10 1//RO|NOM//nummod//10 januari//NN|UTR|SIN|IND|NOM//obl//4 1999//RG|NOM//nummod//10 då//HA//advmod//10 både//KN//cc//14 utredare//NN|UTR|PLU|IND|NOM//nsubj//17 och//KN//cc//16 sekreterare//NN|UTR|SIN|IND|NOM//conj//14 fanns//VB|PRT|SFO//acl:relcl//10 på//PP//case//19 plats//NN|UTR|SIN|IND|NOM//obl//17 .//MAD//punct//4
Till statsrådet Lars-Erik Lövdén ;En//DT|UTR|SIN|IND//det//22 hearing//NN|UTR|SIN|IND|NOM//nsubj//23 hölls//VB|PRT|SFO//parataxis//4 den//DT|UTR|SIN|DEF//det//26 16//RG|NOM//nummod//26 februari//NN|UTR|SIN|IND|NOM//obj//23 1999//RG|NOM//nummod//26 med//PP//case//29 företrädare//NN|UTR|PLU|IND|NOM//obl//23 för//PP//case//31 fastighetsmäklarbranschen//NN|UTR|SIN|DEF|NOM//nmod//29 ,//MID//punct//35 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//35 myndigheter//NN|UTR|PLU|IND|NOM//conj//31 och//KN//cc//37 organisationer//NN|UTR|PLU|IND|NOM//conj//31 samt//KN//cc//39 regeringen//NN|UTR|SIN|DEF|NOM//conj//31 .//MAD//punct//4
