
Pågående förstudier Avslutade förstudier;-//MID//punct//4 Nej//IN//cc//4 till//PP//case//4 fortsatta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//4 undersökningar//NN|UTR|PLU|IND|NOM//ROOT//4


Läsanvisning;I//PP//case//2 denna//DT|UTR|SIN|DEF//det//2 rapport//NN|UTR|SIN|IND|NOM//obl//3 beskrivs//VB|PRS|SFO//ROOT//3 den//DT|UTR|SIN|DEF//det//5 process//NN|UTR|SIN|IND|NOM//nsubj:pass//3 som//HP|-|-|-//nsubj//8 skall//VB|PRS|AKT//aux//8 leda//VB|INF|AKT//acl:relcl//5 fram//AB//advmod//8 till//PP//case//11 valet//NN|NEU|SIN|DEF|NOM//obl//8 av//PP//case//13 plats//NN|UTR|SIN|IND|NOM//nmod//11 för//PP//case//15 slutförvaring//NN|UTR|SIN|IND|NOM//nmod//13 av//PP//case//17 det//DT|NEU|SIN|DEF//nmod//15 använda//PC|PRF|UTR/NEU|SIN|DEF|NOM//xcomp//3 kärnbränslet//NN|NEU|SIN|DEF|NOM//obj//18 från//PP//case//23 de//DT|UTR/NEU|PLU|DEF//det//23 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 kärnkraftverken//NN|NEU|PLU|DEF|NOM//nmod//19 .//MAD//punct//3
Läsanvisning;Rapporten//NN|UTR|SIN|DEF|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 avsedd//PC|PRF|UTR|SIN|IND|NOM//ROOT//2 främst//AB|SUV//advmod//2 som//KN//case//5 information//NN|UTR|SIN|IND|NOM//obl//2 för//PP//case//8 de//DT|UTR/NEU|PLU|DEF//det//8 kommuner//NN|UTR|PLU|IND|NOM//nmod//5 som//HP|-|-|-//nsubj//10 medverkar//VB|PRS|AKT//acl:relcl//8 eller//KN//cc//12 överväger//VB|PRS|AKT//conj//10 att//IE//mark//14 medverka//VB|INF|AKT//acl//5 i//PP//case//17 s.k.//AB|AN//amod//17 förstudier//NN|NEU|PLU|IND|NOM//obl//14 om//PP//case//19 förutsättningarna//NN|UTR|PLU|DEF|NOM//obl//14 för//PP//case//23 en//DT|UTR|SIN|IND//det//23 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 lokalisering//NN|UTR|SIN|IND|NOM//nmod//19 av//PP//case//26 ett//DT|NEU|SIN|IND//det//26 djupförvar//NN|NEU|SIN|IND|NOM//nmod//23 inom//PP//case//28 kommunen//NN|UTR|SIN|DEF|NOM//nmod//26 .//MAD//punct//2
Läsanvisning;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//31 innehåller//VB|PRS|AKT//parataxis//2 inga//DT|UTR/NEU|PLU|IND//det//33 rekommendationer//NN|UTR|PLU|IND|NOM//obj//31 eller//KN//cc//35 förslag//NN|NEU|PLU|IND|NOM//conj//33 .//MAD//punct//31
Läsanvisning;Texten//NN|UTR|SIN|DEF|NOM//nsubj//6 är//VB|PRS|AKT//cop//6 en//DT|UTR|SIN|IND//det//6 reviderad//PC|PRF|UTR|SIN|IND|NOM//amod//6 och//KN//cc//5 uppdaterad//PC|PRF|UTR|SIN|IND|NOM//conj//3 version//NN|UTR|SIN|IND|NOM//ROOT//6 av//PP//case//9 en//DT|UTR|SIN|IND//det//9 promemoria//NN|UTR|SIN|IND|NOM//nmod//6 från//PP//case//11 maj//NN|UTR|SIN|IND|NOM//nmod//9 1998//RG|NOM//nummod//11 .//MAD//punct//6
Läsanvisning;I//PP//case//16 möjligaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//16 mån//NN|UTR|SIN|IND|NOM//obl//18 har//VB|PRS|AKT//aux//18 beaktats//VB|SUP|SFO//parataxis//6 händelseutvecklingen//NN|UTR|SIN|DEF|NOM//nsubj:pass//18 fram//AB//advmod//22 till//PP//case//22 slutet//NN|NEU|SIN|DEF|NOM//obl//18 av//PP//case//24 januari//NN|UTR|SIN|IND|NOM//nmod//22 1999//RG|NOM//nummod//24 .//MAD//punct//6
Läsanvisning;Rapporten//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 har//VB|PRS|AKT//aux//2 delats//VB|SUP|SFO//ROOT//2 in//PL//advmod//2 i//PP//case//6 tre//RG|NOM//nummod//6 huvuddelar//NN|UTR|PLU|IND|NOM//obl//2 .//MAD//punct//2
Läsanvisning;I//PP//case//3 den//DT|UTR|SIN|DEF//det//3 första//RO|NOM//amod//3 delen//NN|UTR|SIN|DEF|NOM//obl//12 ,//MID//punct//5 Bakgrund//NN|UTR|SIN|IND|NOM//appos//3  //_SP////5 (//PAD//punct//9 avsnitt//NN|NEU|SIN|IND|NOM//nmod//9 1–6//RG|NOM//nmod//5 )//PAD//punct//9 ,//MID//punct//3 ges//VB|PRS|SFO//ROOT//12 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 basfakta//NN|NEU|PLU|IND|NOM//nsubj:pass//12 om//PP//case//16 teknik//NN|UTR|SIN|IND|NOM//obl//12 ,//MID//punct//18 säkerhet//NN|UTR|SIN|IND|NOM//conj//16 ,//MID//punct//20 regelverk//NN|NEU|PLU|IND|NOM//conj//16 och//KN//cc//22 aktörer//NN|UTR|PLU|IND|NOM//conj//16 i//PP//case//24 frågor//NN|UTR|PLU|IND|NOM//nmod//22 som//HP|-|-|-//nsubj//26 gäller//VB|PRS|AKT//acl:relcl//22 hantering//NN|UTR|SIN|IND|NOM//obj//26 och//KN//cc//29 förvaring//NN|UTR|SIN|IND|NOM//conj//27 av//PP//case//32 använt//PC|PRF|NEU|SIN|IND|NOM//amod//32 kärnbränsle//NN|NEU|SIN|IND|NOM//nmod//29 och//KN//cc//37 annat//JJ|POS|NEU|SIN|IND|NOM//amod//37 långlivat//JJ|POS|NEU|SIN|IND|NOM//advmod//36 radioaktivt//JJ|POS|NEU|SIN|IND|NOM//amod//37 avfall//NN|NEU|SIN|IND|NOM//conj//32 från//PP//case//39 kärnkraftverken//NN|NEU|PLU|DEF|NOM//nmod//37 .//MAD//punct//12
Läsanvisning;Denna//DT|UTR|SIN|DEF//det//42 del//NN|UTR|SIN|IND|NOM//nsubj//43 riktar//VB|PRS|AKT//parataxis//12 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//43 främst//AB|SUV//advmod//43 till//PP//case//48 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//48 läsare//NN|UTR|PLU|IND|NOM//obl//43 som//HP|-|-|-//nsubj//50 saknar//VB|PRS|AKT//acl:relcl//48 förkunskaper//NN|UTR|PLU|IND|NOM//obj//50 på//PP//case//53 området//NN|NEU|SIN|DEF|NOM//nmod//51 .//MAD//punct//12
