Till statsrådet Maj-Inger Klingvall ;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 19//RG|NOM//nummod//4 mars//NN|UTR|SIN|IND|NOM//obl//1 1998//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 göra//VB|INF|AKT//acl//12 en//DT|UTR|SIN|IND//det//16 översyn//NN|UTR|SIN|IND|NOM//obj//14 av//PP//case//19 Barnombudsmannens//NN|UTR|SIN|DEF|GEN//nmod:poss//19 verksamhet//NN|UTR|SIN|IND|NOM//nmod//16 .//MAD//punct//1
Till statsrådet Maj-Inger Klingvall ;Den//DT|UTR|SIN|DEF//det//23 18//RG|NOM//nummod//23 juni//NN|UTR|SIN|IND|NOM//obl//25 1998//RG|NOM//nummod//23 förordnade//VB|PRT|AKT//parataxis//1 statsrådet//NN|NEU|SIN|DEF|NOM//nmod//27 Maj-Inger//PM|NOM//nsubj//25 Klingvall//PM|NOM//flat:name//27 generaldirektören//NN|UTR|SIN|DEF|NOM//obj//25 och//KN//cc//31 chefen//NN|UTR|SIN|DEF|NOM//conj//29 för//PP//case//33 Utlänningsnämnden//NN|UTR|SIN|DEF|NOM//nmod//34 Göran//PM|NOM//obl//25 Håkansson//PM|NOM//flat:name//34 till//PP//case//38 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//38 utredare//NN|UTR|SIN|IND|NOM//obl//25 .//MAD//punct//1
Till statsrådet Maj-Inger Klingvall ;Den//DT|UTR|SIN|DEF//det//2 31//RG|NOM//nummod//2 augusti//NN|UTR|SIN|IND|NOM//nsubj:pass//4 1998//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 som//KN//mark//6 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//4 i//PP//case//8 utredningen//NN|UTR|SIN|DEF|NOM//nmod//6 projektledaren//NN|UTR|SIN|DEF|NOM//nmod//10 Rolf//PM|NOM//nsubj//4 Josefsson//PM|NOM//flat:name//10 ,//MID//punct//13 Ungdomsstyrelsen//NN|UTR|SIN|DEF|NOM//conj//10 ,//MID//punct//10 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//16 Barbara//PM|NOM//appos//10 Martin//PM|NOM//flat:name//16 Korpi//PM|NOM//flat:name//17 ,//MID//punct//20 Utbildningsdepartementet//NN|NEU|SIN|DEF|NOM//conj//16 ,//MID//punct//10 och//KN//cc//24 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//24 Tarja//PM|NOM//conj//10 Saarinen//PM|NOM//flat:name//24 ,//MID//punct//24 Socialdepartementet//NN|NEU|SIN|DEF|NOM//nmod//24 .//MAD//punct//4
Till statsrådet Maj-Inger Klingvall ;Samma//DT|UTR/NEU|SIN/PLU|IND//det//1 dag//NN|UTR|SIN|IND|NOM//nsubj:pass//2 förordnades//VB|PRT|SFO//ROOT//2 som//KN//mark//4 experter//NN|UTR|PLU|IND|NOM//obl//2 i//PP//case//6 utredningen//NN|UTR|SIN|DEF|NOM//nmod//4 direktören//NN|UTR|SIN|DEF|NOM//nmod//8 Gunilla//PM|NOM//conj//4 Bodin//PM|NOM//flat:name//8 ,//MID//punct//8 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//12 nämnd//NN|UTR|SIN|IND|NOM//conj//4 för//PP//case//15 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 adoptionsfrågor//NN|UTR|PLU|IND|NOM//nmod//12 ,//MID//punct//2 avdelningsdirektören//NN|UTR|SIN|DEF|NOM//parataxis//2 Eva//PM|NOM//nsubj//17 Lindblom//PM|NOM//flat:name//18 ,//MID//punct//21 Statskontoret//NN|NEU|SIN|DEF|NOM//conj//17 ,//MID//punct//24 numera//AB//advmod//24 sakkunnig//JJ|POS|UTR|SIN|IND|NOM//conj//17 i//PP//case//26 Finansdepartementet//NN|NEU|SIN|DEF|NOM//nmod//24 och//KN//cc//28 avdelningsdirektören//NN|UTR|SIN|DEF|NOM//nmod//29 Elisabeth//PM|NOM//conj//24 Landgren//PM|NOM//flat//29 Möller//PM|NOM//flat//30 ,//MID//punct//29 Statistiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//34 centralbyrån//NN|UTR|SIN|DEF|NOM//conj//24 .//MAD//punct//2
Till statsrådet Maj-Inger Klingvall ;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//obl//2 förordnades//VB|PRT|SFO//ROOT//2 den//DT|UTR|SIN|DEF//det//5 28//RG|NOM//nummod//5 september//NN|UTR|SIN|IND|NOM//nsubj:pass//2 1998//RG|NOM//nummod//7 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//obl//2 Katarina//PM|NOM//flat//7 Adolfson//PM|NOM//flat//8 .//MAD//punct//2
Till statsrådet Maj-Inger Klingvall ;Härutöver//NN|UTR|PLU|IND|NOM//advmod//16 har//VB|PRS|AKT//aux//16 socionomen//NN|UTR|SIN|DEF|NOM//nmod//14 Barbro//PM|NOM//nsubj:pass//16 Holmberg//PM|NOM//flat:name//14 anlitats//VB|SUP|SFO//parataxis//2 för//PP//case//18 sekreteraruppgifter//NN|UTR|PLU|IND|NOM//obl//16 .//MAD//punct//2
Till statsrådet Maj-Inger Klingvall ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//10 ,//MID//punct//0 som//HP|-|-|-//nsubj//4 har//VB|PRS|AKT//aux//4 antagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//6 BO-utredningen//NN|UTR|SIN|DEF|NOM//obj//4 ,//MID//punct//0 får//VB|PRS|AKT//aux//10 härmed//AB//advmod//10 överlämna//VB|INF|AKT//ROOT//10 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//12 Barnombudsmannen//NN|UTR|SIN|DEF|NOM//obj//10 –//RG|NOM//punct//14 företrädare//NN|UTR|PLU|IND|NOM//appos//12 för//PP//case//16 barn//NN|NEU|PLU|IND|NOM//nmod//14 och//KN//cc//18 ungdomar//NN|UTR|PLU|IND|NOM//conj//16 (//PAD//punct//14 SOU//PM|NOM//conj//12 1999:65//RG|NOM//nmod//20 )//PAD//punct//12 .//MAD//punct//10
Till statsrådet Maj-Inger Klingvall ;Särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//1 yttranden//NN|NEU|PLU|IND|NOM//nsubj:pass//3 har//VB|PRS|AKT//aux//3 lämnats//VB|SUP|SFO//ROOT//3 av//PP//case//6 Barbara//PM|NOM//nmod//6 Martin//PM|NOM//obl:agent//3 Korpi//PM|NOM//flat//6 och//KN//cc//9 Tarja//PM|NOM//conj//6 Saarinen//PM|NOM//flat//9 .//MAD//punct//3
Till statsrådet Maj-Inger Klingvall ;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 härmed//AB//advmod//4 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//4 .//MAD//punct//4
Till statsrådet Maj-Inger Klingvall ;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 maj//NN|UTR|SIN|IND|NOM//obl//0 1999//RG|NOM//nummod//2
Till statsrådet Maj-Inger Klingvall ;Göran//PM|NOM//ROOT//0 Håkansson//PM|NOM//flat:name//0 ///MID//cc//3 Katarina//PM|NOM//conj//0 Adolfson//PM|NOM//flat//3
