Del 1;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Vindkraftsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0


1.1 Direktiv för utredningen;Direktivet//NN|NEU|SIN|DEF|NOM//nsubj:pass//3 för//PP//case//2 utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 återges//VB|PRS|SFO//ROOT//3 i//PP//case//5 bilaga//NN|UTR|SIN|IND|NOM//obl//3 1//RG|NOM//nummod//5 .//MAD//punct//3
1.1 Direktiv för utredningen;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 uppgifter//NN|UTR|PLU|IND|NOM//nsubj//5 har//VB|PRS|AKT//aux//5 sammanfattningsvis//AB//advmod//5 varit//VB|SUP|AKT//cop//5 ·//NN|UTR|SIN|IND|NOM//ROOT//5 att//IE//mark//7 sammanställa//VB|INF|AKT//csubj//5 aktuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 uppgifter//NN|UTR|PLU|IND|NOM//obj//7 om//PP//case//11 utbyggnaden//NN|UTR|SIN|DEF|NOM//obl//7 av//PP//case//13 vindkraftverk//NN|NEU|PLU|IND|NOM//nmod//11 ,//MID//punct//11 ·//PP//conj//11 att//IE//mark//17 sammanställa//VB|INF|AKT//acl//11 aktuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 uppgifter//NN|UTR|PLU|IND|NOM//obj//17 om//PP//case//21 erfarenheter//NN|UTR|PLU|IND|NOM//obl//17 av//PP//case//23 vindkraftverk//NN|NEU|PLU|IND|NOM//nmod//21 ,//MID//punct//21 ·//PP//obl//7 att//IE//mark//27 analysera//VB|INF|AKT//xcomp//7 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//27 för//PP//case//32 en//DT|UTR|SIN|IND//det//32 fortsatt//PC|PRF|UTR|SIN|IND|NOM//amod//32 utbyggnad//NN|UTR|SIN|IND|NOM//obl//27 av//PP//case//34 vindkraftverk//NN|NEU|PLU|IND|NOM//nmod//32 i//PP//case//36 Sverige//PM|NOM//nmod//32 ,//MID//punct//7 ·//PP//obl//7 att//IE//mark//40 föreslå//VB|INF|AKT//xcomp//7 kriterier//NN|NEU|PLU|IND|NOM//obj//40 för//PP//case//43 lokalisering//NN|UTR|SIN|IND|NOM//nmod//41 som//KN//mark//45 underlag//NN|NEU|SIN|IND|NOM//nmod//43 för//PP//case//47 prövning//NN|UTR|SIN|IND|NOM//nmod//45 av//PP//case//49 tillstånd//NN|NEU|SIN|IND|NOM//nmod//47 till//PP//case//51 land-//NN|NEU|-|-|SMS//nmod//47 och//KN//cc//53 havsbaserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//51 vindkraftverk//NN|NEU|PLU|IND|NOM//conj//51 ,//MID//punct//47 ·//PP//obl//7 att//IE//mark//58 redovisa//VB|INF|AKT//conj//7 behov//NN|NEU|SIN|IND|NOM//obj//58 av//PP//mark//62 att//IE//mark//62 förstärka//VB|INF|AKT//acl//59 lokala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 elnät//NN|NEU|PLU|IND|NOM//obj//62 vid//PP//case//66 utbyggnad//NN|UTR|SIN|IND|NOM//obl//62 av//PP//case//68 vindkraftverk//NN|NEU|PLU|IND|NOM//nmod//66 och//KN//cc//70 ·//NN|UTR|SIN|IND|NOM//conj//66 att//IE//mark//72 överväga//VB|INF|AKT//advcl//62 behovet//NN|NEU|SIN|DEF|NOM//obj//72 av//PP//case//72 och//KN//cc//76 förutsättningar//NN|UTR|PLU|IND|NOM//conj//72 för//PP//case//79 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//79 ersättning//NN|UTR|SIN|IND|NOM//nmod//76 till//PP//case//81 nätägare//NN|UTR|PLU|IND|NOM//obl//72 .//MAD//punct//5
1.1 Direktiv för utredningen;1.1.1//RG|NOM//nmod//84 Utgångspunkter//NN|UTR|PLU|IND|NOM//appos//5
1.1 Direktiv för utredningen;Som//KN//case//1 motiv//NN|NEU|SIN|IND|NOM//obl//4 för//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 anförs//VB|PRS|SFO//ROOT//4 i//PP//case//6 direktivet//NN|NEU|SIN|DEF|NOM//obl//4 ·//PP//nummod//4 att//SN//mark//11 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//11 är//VB|PRS|AKT//cop//11 angeläget//JJ|POS|NEU|SIN|IND|NOM//ccomp//4 att//IE//mark//13 få//VB|INF|AKT//csubj//11 en//DT|UTR|SIN|IND//det//16 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//16 bild//NN|UTR|SIN|IND|NOM//obj//13 av//PP//mark//24 hur//HA//advmod//24 en//DT|UTR|SIN|IND//det//21 fortsatt//PC|PRF|UTR|SIN|IND|NOM//amod//21 vindkraftsutbyggnad//NN|UTR|SIN|IND|NOM//nsubj//24 kommer//VB|PRS|AKT//aux//24 att//IE//mark//24 inverka//VB|INF|AKT//acl//16 på//PP//case//26 hushållningen//NN|UTR|SIN|DEF|NOM//obl//24 med//PP//case//28 mark-//NN|UTR|-|-|SMS//nmod//26 och//KN//cc//30 vattenresurser//NN|UTR|PLU|IND|NOM//conj//28 ·//PP//nmod//11 att//SN//mark//34 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//34 finns//VB|PRS|SFO//csubj//11 behov//NN|NEU|SIN|IND|NOM//nsubj//34 av//PP//case//37 överblick//NN|UTR|SIN|IND|NOM//nmod//35 över//PP//case//39 läget//NN|NEU|SIN|DEF|NOM//obl//34 i//PP//case//44 fråga//NN|UTR|SIN|IND|NOM//fixed//40 om//PP//fixed//40 vindkraftens//NN|NEU|PLU|DEF|GEN//nmod:poss//44 utbyggnad//NN|UTR|SIN|IND|NOM//nmod//39 i//PP//case//48 landets//NN|NEU|SIN|DEF|GEN//nmod:poss//48 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//48 delar//NN|UTR|PLU|IND|NOM//nmod//49 ·//PP//obl//34 att//SN//mark//52 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//52 behövs//VB|PRS|SFO//csubj//11 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//54 kunskap//NN|UTR|SIN|IND|NOM//nsubj:pass//52 och//KN//cc//56 metodutveckling//NN|UTR|SIN|IND|NOM//conj//54 när//HA//mark//59 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//59 gäller//VB|PRS|AKT//advcl//52 planering//NN|UTR|SIN|IND|NOM//obj//59 inför//PP//case//62 beslut//NN|NEU|SIN|IND|NOM//nmod//60 om//PP//case//64 tillstånd//NN|NEU|SIN|IND|NOM//obl//59 till//PP//case//66 lokalisering//NN|UTR|SIN|IND|NOM//nmod//64 av//PP//case//68 land-//NN|NEU|-|-|SMS//nmod//66 och//KN//cc//70 havslokaliserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//68 vindkraftanläggningar//NN|UTR|PLU|IND|NOM//obj//59 ·//PP//mark//90 att//SN//mark//90 samverkan//NN|UTR|SIN|IND|NOM//nsubj//89 mellan//PP//case//79 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//79 och//KN//cc//78 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//76 myndigheter//NN|UTR|PLU|IND|NOM//nmod//74 och//KN//cc//82 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//82 intressenter//NN|UTR|PLU|IND|NOM//conj//79 i//PP//case//84 anknytning//NN|UTR|SIN|IND|NOM//nmod//82 till//PP//case//88 den//DT|UTR|SIN|DEF//det//88 kommunala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//88 översiktsplaneringen//NN|UTR|SIN|DEF|NOM//nmod//82 behöver//VB|PRS|AKT//aux//90 förstärkas//VB|INF|SFO//advcl//52 ·//PP//nsubj:pass//90 att//SN//mark//93 lokaliseringskriterier//NN|UTR|PLU|IND|NOM//nsubj:pass//97 för//PP//case//95 vindkraftsetablering//NN|UTR|SIN|IND|NOM//nmod//93 behöver//VB|PRS|AKT//aux//97 utvecklas//VB|INF|SFO//conj//4 för//PP//mark//100 att//IE//mark//100 främja//VB|INF|AKT//advcl//97 en//DT|UTR|SIN|IND//det//104 långsiktigt//AB|POS//advmod//103 god//JJ|POS|UTR|SIN|IND|NOM//amod//104 hushållning//NN|UTR|SIN|IND|NOM//obj//100 med//PP//case//106 mark-//NN|UTR|-|-|SMS//nmod//104 och//KN//cc//108 vattenområden//NN|NEU|PLU|IND|NOM//conj//106 ·//PP//obl//100 att//SN//mark//119 behovet//NN|NEU|SIN|DEF|NOM//nsubj:pass//119 av//PP//case//113 förstärkningar//NN|UTR|PLU|IND|NOM//nmod//111 av//PP//case//117 de//DT|UTR/NEU|PLU|DEF//det//117 lokala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//117 elnäten//NN|NEU|PLU|DEF|NOM//nmod//113 behöver//VB|PRS|AKT//aux//119 undersökas//VB|INF|SFO//ccomp//100 och//KN//cc//121 kostnadsberäknas//VB|INF|SFO//conj//119
1.1 Direktiv för utredningen;I//PP//case//1 direktivet//NN|NEU|SIN|DEF|NOM//obl//2 sägs//VB|PRS|SFO//ROOT//2 vidare//AB|KOM//advmod//2 att//SN//mark//11 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//11 är//VB|PRS|AKT//cop//11 i//PP//advmod//11 första//RO|NOM//fixed//7 hand//NN|UTR|SIN|IND|NOM//fixed//7 kommunernas//NN|UTR|PLU|DEF|GEN//nmod:poss//11 ansvar//NN|NEU|SIN|IND|NOM//ccomp//2 att//IE//mark//19 genom//PP//case//14 avvägningar//NN|UTR|PLU|IND|NOM//obl//19 i//PP//case//18 den//DT|UTR|SIN|DEF//det//18 översiktliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//18 planeringen//NN|UTR|SIN|DEF|NOM//nmod//14 verka//VB|INF|AKT//acl//11 för//PP//mark//25 att//SN//mark//25 etableringsområden//NN|NEU|PLU|IND|NOM//nsubj:pass//25 för//PP//case//24 vindkraft//NN|UTR|SIN|IND|NOM//nmod//22 lokaliseras//VB|PRS|SFO//advcl//19 på//PP//case//28 ett//DT|NEU|SIN|IND//det//28 sätt//NN|NEU|SIN|IND|NOM//obl//25 som//HP|-|-|-//nsubj//31 inte//AB//advmod//31 leder//VB|PRS|AKT//acl:relcl//28 till//PP//case//34 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 intrång//NN|NEU|PLU|IND|NOM//obl//31 i//PP//case//37 värdefulla//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 natur-//NN|UTR|-|-|SMS//obl//31 och//KN//cc//39 kulturmiljöer//NN|UTR|PLU|IND|NOM//conj//37 och//KN//cc//43 som//HP|-|-|-//nsubj//43 är//VB|PRS|AKT//cop//43 förenligt//JJ|POS|NEU|SIN|IND|NOM//conj//31 med//PP//case//45 bestämmelserna//NN|UTR|PLU|DEF|NOM//obl//43 i//PP//case//47 naturresurslagen//NN|UTR|SIN|DEF|NOM//nmod//45 om//SN//case//49 hushållningen//NN|UTR|SIN|DEF|NOM//nmod//47 med//PP//case//51 mark-//NN|UTR|-|-|SMS//nmod//49 och//KN//cc//53 vattenområden//NN|NEU|PLU|IND|NOM//conj//51 .//MAD//punct//2
1.1 Direktiv för utredningen;1.1.2//RG|NOM//nmod//56 Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//2

1.1 Direktiv för utredningen / Kartläggning;I//PP//case//3 en//DT|UTR|SIN|IND//det//3 första//RO|NOM//amod//3 etapp//NN|UTR|SIN|IND|NOM//obl//6 skulle//VB|PRT|AKT//aux//6 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//6 ställa//VB|INF|AKT//ROOT//6 samman//PL//compound:prt//6 uppgifter//NN|UTR|PLU|IND|NOM//obj//6 om//PP//case//11 dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//11 situation//NN|UTR|SIN|IND|NOM//nmod//8 när//HA//case//15 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//12 gäller//VB|PRS|AKT//fixed//12 intresset//NN|NEU|SIN|DEF|NOM//obl//6 av//PP//mark//18 att//IE//mark//18 bygga//VB|INF|AKT//acl//15 vindkraftverk//NN|NEU|PLU|IND|NOM//obj//18 och//KN//cc//22 om//PP//case//22 konflikter//NN|UTR|PLU|IND|NOM//conj//18 med//PP//case//25 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 mark-//NN|UTR|-|-|SMS//nmod//22 och//KN//cc//27 vattenanvändningsintressen//NN|UTR|SIN|DEF|NOM//conj//25 till//PP//advmod//22 havs//NN|NEU|SIN|IND|GEN//fixed//28 och//KN//cc//32 på//PP//case//32 land//NN|NEU|SIN|IND|NOM//conj//28 och//KN//cc//36 i//PP//case//36 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 delar//NN|UTR|PLU|IND|NOM//conj//22 av//PP//case//38 landet//NN|NEU|SIN|DEF|NOM//nmod//36 .//MAD//punct//6
