SVEN  -  ERIC LIEDMAN  ,  professor idéhistoria, Göteborg, samtalsledare ;THOMAS//PM|NOM//ROOT//0 ÖSTROS//PM|NOM//nsubj//0  //_SP////1 ,//MID//punct//5  //_SP////3 utbildningsminister//NN|UTR|PLU|IND|NOM//conj//1
SVEN  -  ERIC LIEDMAN  ,  professor idéhistoria, Göteborg, samtalsledare ;KARIN//PM|NOM//nmod//1 GRÄVARE//PM|NOM//nsubj//2 SILBERNAGEL//PM|NOM//ROOT//2 ,//MID//punct//5  //_SP////3 sjukgymnast//NN|UTR|SIN|IND|NOM//conj//2

Vad är kunskap?;”//PAD//punct//2 Idag//AB//advmod//2 talas//VB|PRS|SFO//ROOT//2 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//2 om//PP//case//7 det//DT|NEU|SIN|DEF//det//7 livslånga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//7 lärandet//NN|NEU|SIN|DEF|NOM//obl//2 ,//MID//punct//2 om//PP//mark//13 att//SN//mark//13 kunskap//NN|UTR|SIN|IND|NOM//nsubj:pass//13 snabbt//AB|POS//advmod//13 förändras//VB|PRS|SFO//advcl//2 .//MAD//punct//2
Vad är kunskap?;I//PP//case//17 det//DT|NEU|SIN|DEF//det//17 sammanhanget//NN|NEU|SIN|DEF|NOM//obl//18 behöver//VB|PRS|AKT//aux//20 vi//PN|UTR|PLU|DEF|SUB//nsubj//20 försvara//VB|INF|AKT//parataxis//2 en//DT|UTR|SIN|IND//det//23 traditionell//JJ|POS|UTR|SIN|IND|NOM//amod//23 syn//NN|UTR|SIN|IND|NOM//obj//20 på//PP//case//25 kunskap//NN|UTR|SIN|IND|NOM//nmod//23 ,//MID//punct//20 inte//AB//advmod//28 minst//AB|SUV//advmod//20 när//HA//mark//31 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//31 gäller//VB|PRS|AKT//advcl//20 högskoleutbildningen//NN|UTR|SIN|DEF|NOM//obj//31 .//MAD//punct//2
Vad är kunskap?;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//35 handlar//VB|PRS|AKT//parataxis//2 om//PP//case//38 en//DT|UTR|SIN|IND//det//38 träning//NN|UTR|SIN|IND|NOM//obl//35 i//PP//case//40 förmågan//NN|UTR|SIN|DEF|NOM//nmod//38 att//IE//mark//42 abstrahera//VB|INF|AKT//acl//40 ,//MID//punct//35 att//IE//mark//45 försöka//VB|INF|AKT//advcl//35 ﬁnna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 samband//NN|NEU|PLU|IND|NOM//obj//45 ,//MID//punct//51 att//IE//mark//51 kunna//VB|INF|AKT//aux//51 använda//VB|INF|AKT//advcl//45 teorier//NN|UTR|PLU|IND|NOM//obj//51 ,//MID//punct//52 att//IE//mark//55 kunna//VB|INF|AKT//acl//52 akademisera//VB|INF|AKT//xcomp//55 och//KN//cc//58 resonera//VB|INF|AKT//conj//55 kring//PP//case//62 mycket//AB|POS//advmod//61 komplicerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//62 frågor//NN|UTR|PLU|IND|NOM//obl//58 .//MID//punct//35
Vad är kunskap?;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//65 behövs//VB|PRS|SFO//parataxis//2 en//DT|UTR|SIN|IND//det//67 diskussion//NN|UTR|SIN|IND|NOM//nsubj:pass//65 som//HP|-|-|-//nsubj//70 mer//AB|KOM//advmod//70 koncentrerar//VB|PRS|AKT//acl:relcl//67 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//70 på//PP//mark//76 vilka//HD|UTR/NEU|PLU|IND//det//74 verktyg//NN|NEU|PLU|IND|NOM//nmod:poss//75 människor//NN|UTR|PLU|IND|NOM//nsubj//76 behöver//VB|PRS|AKT//advcl//70 i//PP//case//79 ett//DT|NEU|SIN|IND//det//79 samhälle//NN|NEU|SIN|IND|NOM//obl//76 som//HP|-|-|-//nsubj:pass//81 förändras//VB|PRS|SFO//acl:relcl//79 rasande//AB//advmod//83 snabbt//AB|POS//advmod//81 .//MAD//punct//65 ”//RG|NOM//punct//65
Vad är kunskap?;Orden//NN|NEU|PLU|DEF|NOM//nsubj:pass//1 uttalades//VB|PRT|SFO//ROOT//1 av//PP//case//3 utbildningsminister//NN|UTR|SIN|IND|NOM//nmod//4 Thomas//PM|NOM//obl:agent//1 Östros//PM|NOM//flat:name//4 ,//MID//punct//4 en//PN|UTR|SIN|IND|SUB/OBJ//conj//4 av//PP//case//9 deltagarna//NN|UTR|PLU|DEF|NOM//nmod//7 i//PP//case//12 ett//DT|NEU|SIN|IND//det//12 samtal//NN|NEU|SIN|IND|NOM//nmod//9 om//PP//case//14 kunskap//NN|UTR|SIN|IND|NOM//nmod//12 som//HP|-|-|-//nsubj//16 ägde//VB|PRT|AKT//acl:relcl//14 rum//NN|NEU|SIN|IND|NOM//obj//16 på//PP//case//19 Bok-//NN|UTR|-|-|SMS//obl//16 och//KN//cc//21 biblioteksmässan//NN|UTR|SIN|DEF|NOM//conj//19 i//PP//case//23 Göteborg//PM|NOM//nmod//21 den//DT|UTR|SIN|DEF//det//25 16//RG|NOM//nummod//26 september//NN|UTR|SIN|IND|NOM//obl//16 1999//RG|NOM//nummod//26 .//MAD//punct//1
Vad är kunskap?;Samtalet//NN|NEU|SIN|DEF|NOM//nsubj:pass//30 leddes//VB|PRT|SFO//parataxis//1 av//PP//case//33 professor//NN|UTR|SIN|IND|NOM//nmod//33 Sven-Eric//PM|NOM//obl:agent//30 Liedman//PM|NOM//flat:name//33 .//MAD//punct//30
Vad är kunskap?;Förutom//PP//case//37 Thomas//PM|NOM//obl//39 Östros//PM|NOM//advmod//37 deltog//VB|PRT|AKT//conj//30 Karl-Erik//PM|NOM//nsubj//39 Eriksson//PM|NOM//flat//40 ,//MID//punct//40 professor//NN|UTR|SIN|IND|NOM//obj//39 i//PP//case//46 teoretisk//JJ|POS|UTR|SIN|IND|NOM//amod//46 fysik//NN|UTR|SIN|IND|NOM//nmod//43 ,//MID//punct//43 Lars//PM|NOM//nmod//43 Å//PM|NOM//flat:name//48 Hanson//PM|NOM//flat//48 ,//MID//punct//52 professor//NN|UTR|SIN|IND|NOM//conj//43 i//PP//case//55 klinisk//JJ|POS|UTR|SIN|IND|NOM//amod//55 immunologi//NN|UTR|SIN|IND|NOM//nmod//52 ,//MID//punct//57 Karin//PM|NOM//appos//39 Grävare//PM|NOM//flat:name//57 Silbernagel//PM|NOM//flat:name//57 ,//MID//punct//61 sjukgymnast//NN|UTR|SIN|IND|NOM//conj//57 samt//KN//cc//63 Jan//PM|NOM//conj//57 Ling//PM|NOM//flat//63 ,//MID//punct//66 musikvetare//NN|UTR|SIN|IND|NOM//conj//57 ,//MID//punct//68 konsertpianist//NN|UTR|SIN|IND|NOM//conj//57 och//KN//cc//72 före//PP//case//72 detta//PN|NEU|SIN|DEF|SUB/OBJ//det//72 rektor//NN|UTR|SIN|IND|NOM//conj//57 för//PP//case//75 Göteborgs//PM|GEN//nmod:poss//75 universitet//NN|NEU|SIN|IND|NOM//nmod//72 .//MAD//punct//1
Vad är kunskap?;I//PP//case//1 samtalet//NN|NEU|SIN|DEF|NOM//obl//2 skärskådas//VB|PRS|SFO//ROOT//2 de//DT|UTR/NEU|PLU|DEF//det//4 ord//NN|NEU|PLU|IND|NOM//obj//2 som//HP|-|-|-//obj//7 man//PN|UTR|SIN|IND|SUB//nsubj//7 brukar//VB|PRS|AKT//acl:relcl//4 använda//VB|INF|AKT//xcomp//7 för//PP//mark//11 att//IE//mark//11 ringa//VB|INF|AKT//advcl//8 in//PL//compound:prt//11 begreppet//NN|NEU|SIN|DEF|NOM//nmod//14 kunskap//NN|UTR|SIN|IND|NOM//obj//11 .//MAD//punct//2
