PELLE EHN  ,  professor i Konst, kultur och kommunikation vid Malmö Högskola, samtalsledare JAN  -  ERIC SUNDGREN  ,  rektor för Chalmers Tekniska Högskola i Göteborg ;HENNING//NN|UTR|SIN|IND|NOM//amod//1 MANKELL//NN|UTR|SIN|IND|NOM//ROOT//1  //_SP////1 ,//MID//punct//5  //_SP////3 författare//NN|UTR|PLU|IND|NOM//conj//1 och//KN//cc//7 dramatiker//NN|UTR|SIN|IND|NOM//conj//5 ,//MID//punct//9 Stockholm//PM|NOM//conj//5 och//KN//cc//11 Moçambique//PM|NOM//conj//5
PELLE EHN  ,  professor i Konst, kultur och kommunikation vid Malmö Högskola, samtalsledare JAN  -  ERIC SUNDGREN  ,  rektor för Chalmers Tekniska Högskola i Göteborg ;SVEN//PM|NOM//ROOT//0  //_SP////0 -//MID//punct//0  //_SP////2 ERIC//PM|NOM//appos//0 LIEDMAN//PM|NOM//nmod//4  //_SP////5 ,//MID//punct//9  //_SP////7 professor//NN|UTR|SIN|IND|NOM//conj//4 i//PP//case//11 idé-//NN|UTR|-|-|SMS//nmod//9 och//KN//cc//13 lärdomshistoria//NN|UTR|SIN|IND|NOM//conj//11 vid//PP//case//16 Göteborgs//PM|GEN//nmod:poss//16 Universitet//NN|NEU|SIN|IND|NOM//nmod//11
PELLE EHN  ,  professor i Konst, kultur och kommunikation vid Malmö Högskola, samtalsledare JAN  -  ERIC SUNDGREN  ,  rektor för Chalmers Tekniska Högskola i Göteborg ;BIRGITTA//PM|NOM//nsubj//20 CAPPELEN//PM|NOM//nmod//0  //_SP////1 ,//MID//punct//5  //_SP////3 doktorand//NN|UTR|SIN|IND|NOM//conj//0 i//PP//case//7 design//NN|UTR|SIN|IND|NOM//nmod//5 och//KN//cc//10 digitala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 medier//NN|NEU|PLU|IND|NOM//conj//5 vid//PP//case//12 Konst//NN|UTR|SIN|IND|NOM//nmod//10 ,//MID//punct//14 kultur//NN|UTR|SIN|IND|NOM//conj//12 och//KN//cc//16 kommunikation//NN|UTR|SIN|IND|NOM//conj//12 ,//MID//punct//18 Malmö//PM|NOM//nmod//19 Högskola//NN|UTR|SIN|IND|NOM//conj//0 LIVIA//PM|NOM//ROOT//20 SUNESSON//PM|NOM//obj//20  //_SP////21 ,//MID//punct//25  //_SP////23 studerande//NN|UTR|PLU|IND|NOM//conj//20 i//PP//case//29 interaktionsteknologi//NN|UTR|SIN|IND|NOM//fixed//26 vid//PP//case//29 Konst//NN|UTR|SIN|IND|NOM//nmod//25 ,//MID//punct//31 kultur//NN|UTR|SIN|IND|NOM//conj//29 och//KN//cc//33 kommunikation//NN|UTR|SIN|IND|NOM//conj//31 ,//MID//punct//35 Malmö//PM|NOM//nmod//36 Högskola//NN|UTR|SIN|IND|NOM//conj//29

IT-samhällets estetiska praktik;–//RG|NOM//punct//2 ett//DT|NEU|SIN|IND//det//2 samtal//NN|NEU|SIN|IND|NOM//ROOT//2 om//PP//case//4 framtiden//NN|UTR|SIN|DEF|NOM//nmod//2 och//KN//cc//6 mötet//NN|NEU|SIN|DEF|NOM//conj//4 mellan//PP//case//8 konst//NN|UTR|SIN|IND|NOM//nmod//6 och//KN//cc//10 teknologi//NN|UTR|SIN|IND|NOM//conj//8
IT-samhällets estetiska praktik;Mötet//NN|NEU|SIN|DEF|NOM//nsubj//16 mellan//PP//case//2 konst//NN|UTR|SIN|IND|NOM//nmod//0 och//KN//cc//4 teknik//NN|UTR|SIN|IND|NOM//conj//2 ,//MID//punct//7 mellan//PP//case//7 vetenskap//NN|UTR|SIN|IND|NOM//nmod//0 och//KN//cc//9 politik//NN|UTR|SIN|IND|NOM//conj//7 .//MID//punct//0
IT-samhällets estetiska praktik;Roller//NN|UTR|PLU|IND|NOM//appos//0 i//PP//case//13 förändring//NN|UTR|SIN|IND|NOM//nmod//11 .//MAD//punct//11
IT-samhällets estetiska praktik;Att//IE//mark//16 utveckla//VB|INF|AKT//ROOT//16 det//DT|NEU|SIN|DEF//det//18 digitala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//23 ,//MID//punct//20 interaktiva//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//18 och//KN//cc//22 icke-linjära//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//18 berättandet//NN|NEU|SIN|DEF|NOM//obj//16 där//HA//advmod//31 användaren//NN|UTR|SIN|DEF|NOM//nsubj//31 ,//MID//punct//27 betraktaren//NN|UTR|SIN|DEF|NOM//conj//25 och//KN//cc//29 konsumenten//NN|UTR|SIN|DEF|NOM//conj//25 är//VB|PRS|AKT//cop//31 medskapande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl:relcl//23 är//VB|PRS|AKT//cop//34 en//DT|UTR|SIN|IND//det//34 utmaning//NN|UTR|SIN|IND|NOM//ccomp//16 i//PP//case//36 mötet//NN|NEU|SIN|DEF|NOM//nmod//34 mellan//PP//case//38 konst//NN|UTR|SIN|IND|NOM//nmod//36 och//KN//cc//40 informationsteknik//NN|UTR|SIN|IND|NOM//conj//38 .//MAD//punct//34
IT-samhällets estetiska praktik;En//DT|UTR|SIN|IND//det//45 annan//JJ|POS|UTR|SIN|IND|NOM//amod//45 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//45 utmaning//NN|UTR|SIN|IND|NOM//appos//34 i//PP//case//47 mötet//NN|NEU|SIN|DEF|NOM//nmod//45 mellan//PP//case//49 konst//NN|UTR|SIN|IND|NOM//nmod//47 och//KN//cc//51 teknik//NN|UTR|SIN|IND|NOM//conj//49 gäller//VB|PRS|AKT//conj//16 de//DT|UTR/NEU|PLU|DEF//det//55 digitala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//55 rummen//NN|NEU|PLU|DEF|NOM//obj//52 och//KN//cc//57 tingen//NN|NEU|PLU|DEF|NOM//conj//55 .//MAD//punct//16
IT-samhällets estetiska praktik;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//60 handlar//VB|PRS|AKT//parataxis//16 om//PP//case//63 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//63 upplevelser//NN|UTR|PLU|IND|NOM//obl//60 och//KN//cc//65 kommunikationsmöjligheter//NN|UTR|PLU|IND|NOM//conj//63 när//HA//mark//74 virtuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//68 världar//NN|UTR|PLU|IND|NOM//nsubj//74 och//KN//cc//71 materiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//71 rum//NN|NEU|PLU|IND|NOM//conj//68 och//KN//cc//73 ting//NN|NEU|SIN|IND|NOM//conj//71 smälter//VB|PRS|AKT//advcl//60 samman//PL//compound:prt//74 ,//MID//punct//81 när//HA//mark//81 vi//PN|UTR|PLU|DEF|SUB//nsubj//81 inte//AB//advmod//81 längre//AB|KOM//advmod//81 sitter//VB|PRS|AKT//conj//60 fjättrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//nsubj//81 vid//PP//case//84 bildskärmen//NN|UTR|SIN|DEF|NOM//obl//81 utan//KN//cc//87 snarare//AB|KOM//advmod//87 ﬁnner//VB|PRS|AKT//conj//81 att//SN//mark//92 tekniken//NN|UTR|SIN|DEF|NOM//nsubj//92 är//VB|PRS|AKT//cop//92 ständigt//AB|POS//advmod//92 närvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ccomp//87 i//PP//case//94 tingen//NN|NEU|PLU|DEF|NOM//obl//92 omkring//PP//case//96 oss//PN|UTR|PLU|DEF|OBJ//obl//92 ://MID//punct//92
IT-samhällets estetiska praktik;i//PP//case//99 byggnader//NN|UTR|PLU|IND|NOM//obl//92 ,//MID//punct//101 kläder//NN|UTR|PLU|IND|NOM//conj//99 ,//MID//punct//103 verktyg//NN|NEU|PLU|IND|NOM//conj//99 ,//MID//punct//105 bruksföremål//NN|NEU|PLU|IND|NOM//conj//99 och//KN//cc//107 konstverk//NN|NEU|PLU|IND|NOM//conj//99 .//MAD//punct//16
