Till statsrådet Lena Hjelm-Wallén ;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 2//RO|NOM//nummod//4 september//NN|UTR|SIN|IND|NOM//obl//1 1999//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//xcomp//1 en//DT|UTR|SIN|IND//det//11 parlamentariskt//AB|POS//advmod//10 sammansatt//PC|PRF|UTR|SIN|IND|NOM//amod//11 kommitté//NN|UTR|SIN|IND|NOM//obj//7 för//PP//mark//14 att//IE//mark//14 utreda//VB|INF|AKT//advcl//7 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 frågor//NN|UTR|PLU|IND|NOM//obj//14 som//HP|-|-|-//nsubj//18 rör//VB|PRS|AKT//acl:relcl//16 regeringsformen//NN|UTR|SIN|DEF|NOM//obj//18 .//MAD//punct//1
Till statsrådet Lena Hjelm-Wallén ;Till//PP//case//1 ordförande//NN|UTR|SIN|IND|NOM//obl//4 i//PP//case//3 kommittén//NN|UTR|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 den//DT|UTR|SIN|DEF//det//7 13//RG|NOM//nummod//7 september//NN|UTR|SIN|IND|NOM//nmod//10 1999//RG|NOM//nummod//9 landshövdingen//NN|UTR|SIN|DEF|NOM//nmod//10 Ulf//PM|NOM//nsubj//4 Lönnqvist//PM|NOM//flat:name//10 .//MAD//punct//4
Till statsrådet Lena Hjelm-Wallén ;Samtidigt//AB//advmod//14 förordnades//VB|PRT|SFO//parataxis//4 justitiekanslern//NN|UTR|SIN|DEF|NOM//nmod//16 Hans//PM|NOM//nmod:poss//17 Regner//PM|NOM//nsubj:pass//14 som//KN//mark//19 ledamot//NN|UTR|SIN|IND|NOM//xcomp//14 .//MAD//punct//4
Till statsrådet Lena Hjelm-Wallén ;Den//DT|UTR|SIN|DEF//det//23 12//RG|NOM//nummod//23 november//NN|UTR|SIN|IND|NOM//nsubj:pass//25 1999//RG|NOM//nummod//23 förordnades//VB|PRT|SFO//parataxis//4 dessutom//AB//advmod//25 riksdagsledamöterna//NN|UTR|PLU|DEF|NOM//nmod//28 Helena//PM|NOM//nsubj:pass//25 Bargholtz//PM|NOM//flat:name//28 och//KN//cc//31 Rune//PM|NOM//conj//29 Berglund//PM|NOM//flat:name//31 ,//MID//punct//28 förste//RO|MAS|SIN|IND/DEF|NOM//advmod//35 vice//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//4 talmannen//NN|UTR|SIN|DEF|NOM//nmod//37 Anders//PM|NOM//nmod//38 Björck//PM|NOM//nsubj//35 ,//MID//punct//38 språkröret//NN|NEU|SIN|DEF|NOM//nmod//41 Lotta//PM|NOM//conj//35 Nilsson//PM|NOM//flat:name//41 Hedström//PM|NOM//flat:name//42 ,//MID//punct//42 riksdagsledamöterna//NN|UTR|PLU|DEF|NOM//nmod//46 Kenneth//PM|NOM//conj//41 Johansson//PM|NOM//flat:name//46 och//KN//cc//49 Kenneth//PM|NOM//conj//46 Kvist//PM|NOM//flat:name//49 ,//MID//punct//46 f.d.//JJ|AN//amod//55 kammarrättspresidenten//NN|UTR|SIN|DEF|NOM//nmod//54 Reidunn//PM|NOM//compound//55 Laurén//PM|NOM//conj//41 samt//KN//cc//58 riksdagsledamöterna//NN|UTR|PLU|DEF|NOM//nmod//58 Göran//PM|NOM//conj//41 Magnusson//PM|NOM//flat:name//58 och//KN//cc//61 Barbro//PM|NOM//conj//58 Hietala//PM|NOM//flat:name//58 Nordlund//PM|NOM//flat:name//62 att//IE//mark//67 som//KN//mark//67 ledamöter//NN|UTR|PLU|IND|NOM//nsubj//67 ingå//VB|INF|AKT//acl:relcl//41 i//PP//case//69 kommittén//NN|UTR|SIN|DEF|NOM//obl//67 .//MAD//punct//4
Till statsrådet Lena Hjelm-Wallén ;Att//IE//mark//3 som//KN//mark//3 experter//NN|UTR|PLU|IND|NOM//nsubj//3 biträda//VB|INF|AKT//advcl//5 kommittén//NN|UTR|SIN|DEF|NOM//obj//3 förordnades//VB|PRT|SFO//ROOT//5 den//DT|UTR|SIN|DEF//det//8 24//RG|NOM//nummod//8 november//NN|UTR|SIN|IND|NOM//nmod//12 1999//RG|NOM//nummod//11 biträdande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 kammarsekreteraren//NN|UTR|SIN|DEF|NOM//nmod//12 Ulf//PM|NOM//dep//5 Christoffersson//PM|NOM//flat:name//12 ,//MID//punct//12 departementsrådet//NN|NEU|SIN|DEF|NOM//nmod//16 Stefan//PM|NOM//appos//12 Rubenson//PM|NOM//flat:name//16 ,//MID//punct//12 numera//AB//advmod//20 kanslirådet//NN|NEU|SIN|DEF|NOM//conj//12 Kristina//PM|NOM//nmod//22 Svahn//PM|NOM//flat:name//12 Starrsjö//PM|NOM//flat:name//22 och//KN//cc//27 numera//AB//advmod//26 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//27 Lena//PM|NOM//conj//12 Stenwall//PM|NOM//flat:name//27 .//MAD//punct//5
Till statsrådet Lena Hjelm-Wallén ;Till//PP//case//1 sekreterare//NN|UTR|SIN|IND|NOM//obl//2 förordnades//VB|PRT|SFO//ROOT//2 den//DT|UTR|SIN|DEF//det//5 30//RG|NOM//nummod//5 oktober//NN|UTR|SIN|IND|NOM//nsubj:pass//2 1999//RG|NOM//nummod//7 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//obl//2 Dag//PM|NOM//nummod//7 Cohen//PM|NOM//conj//7 och//KN//cc//11 kammarrättsassessorn//NN|UTR|SIN|DEF|NOM//conj//7 Lars//PM|NOM//conj//7 Seger//PM|NOM//flat:name//12 .//MAD//punct//2
Till statsrådet Lena Hjelm-Wallén ;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//6 1999//RG|NOM//nummod//5 års//NN|NEU|SIN|IND|GEN//nmod:poss//6 författningsutredning//NN|UTR|SIN|IND|NOM//obj//2 (//PAD//punct//6 Ju//NN|AN//advmod//9 1999:13//RG|NOM//appos//6 )//PAD//punct//6 .//MAD//punct//2
Till statsrådet Lena Hjelm-Wallén ;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//3 får//VB|PRS|AKT//aux//3 härmed//AB//advmod//3 överlämna//VB|INF|AKT//ROOT//3 sitt//PS|NEU|SIN|DEF//nmod:poss//5 delbetänkande//NN|NEU|SIN|IND|NOM//amod//7 Vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 grundlagsfrågor//NN|UTR|PLU|IND|NOM//obj//3 (//PAD//punct//7 SOU//PM|NOM//appos//7 2001:19//RG|NOM//conj//7 )//PAD//punct//3 .//MAD//punct//3
Till statsrådet Lena Hjelm-Wallén ;Till//PP//case//1 betänkandet//NN|NEU|SIN|DEF|NOM//obl//2 fogas//VB|PRS|SFO//ROOT//2 reservationer//NN|UTR|PLU|IND|NOM//nsubj:pass//2 och//KN//cc//6 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//6 yttranden//NN|NEU|PLU|IND|NOM//conj//3 .//MAD//punct//2
Till statsrådet Lena Hjelm-Wallén ;Betänkandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//2 omfattar//VB|PRS|AKT//parataxis//2 de//DT|UTR/NEU|PLU|DEF//det//11 delar//NN|UTR|PLU|IND|NOM//obj//9 av//PP//case//14 vårt//PS|NEU|SIN|DEF//nmod:poss//14 uppdrag//NN|NEU|SIN|IND|NOM//nmod//11 som//HP|-|-|-//nsubj//16 hänför//VB|PRS|AKT//acl:relcl//14 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//16 till//PP//case//19 bestämmelser//NN|UTR|PLU|IND|NOM//obl//16 dels//KN//advmod//26 i//PP//case//26 1//RG|NOM//nummod//23 kap.//NN|AN//nmod//24 2//RG|NOM//nummod//25 §//NN|AN//nmod//26 regeringsformen//NN|UTR|SIN|DEF|NOM//obl//9 om//PP//case//28 skydd//NN|NEU|SIN|IND|NOM//nmod//26 för//PP//case//30 miljön//NN|UTR|SIN|DEF|NOM//nmod//26 samt//KN//cc//32 funktionshindrades//VB|PRT|SFO//conj//9 och//KN//cc//35 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//35 utsatta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//32 gruppers//NN|UTR|PLU|IND|GEN//nmod:poss//37 delaktighet//NN|UTR|SIN|IND|NOM//obj//35 och//KN//cc//39 jämlikhet//NN|UTR|SIN|IND|NOM//conj//37 i//PP//case//41 samhället//NN|NEU|SIN|DEF|NOM//nmod//39 ,//MID//punct//32 dels//KN//advmod//51 i//PP//case//51 2//RG|NOM//nummod//46 kap.//NN|AN//nmod//47 18//RG|NOM//nummod//48 §//NN|AN//nmod//50 andra//RO|NOM//amod//50 stycket//NN|NEU|SIN|DEF|NOM//nmod//51 regeringsformen//NN|UTR|SIN|DEF|NOM//conj//32 om//PP//case//53 skydd//NN|NEU|SIN|IND|NOM//nmod//51 för//PP//case//55 egendom//NN|UTR|SIN|IND|NOM//nmod//53 .//MAD//punct//2
