3 Ekonomiska och materiella resurser ;Jan//PM|NOM//ROOT//0 O.//PM|NOM//flat:name//0 Jonsson//PM|NOM//flat:name//1

3.1 Inledning;Att//SN//mark//4 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 resurser//NN|UTR|PLU|IND|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 centrala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//csubj//8 för//PP//case//7 individers//NN|UTR|PLU|IND|GEN//nmod:poss//7 levnadsförhållanden//NN|NEU|PLU|IND|NOM//obl//4 behöver//VB|PRS|AKT//advcl//76 man//PN|UTR|SIN|IND|SUB//nsubj//8 knappast//AB|SUV//advmod//11 argumentera//VB|INF|AKT//xcomp//8 för//PP//compound:prt//11 .//MAD//punct//8
3.1 Inledning;En//PN|UTR|SIN|IND|SUB/OBJ//nsubj//8 av//PP//case//16 anledningarna//NN|UTR|PLU|DEF|NOM//nmod//14 är//VB|PRS|AKT//cop//14 förstås//AB//advmod//8 att//SN//mark//23 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//21 resurser//NN|UTR|PLU|IND|NOM//nsubj//23 är//VB|PRS|AKT//cop//23 möjliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ccomp//8 att//IE//mark//25 använda//VB|INF|AKT//acl//23 på//PP//case//30 en//DT|UTR|SIN|IND//det//28 mängd//NN|UTR|SIN|IND|NOM//nmod//30 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 sätt//NN|NEU|PLU|IND|NOM//obl//25 .//MAD//punct//8
3.1 Inledning;En//DT|UTR|SIN|IND//det//34 god//JJ|POS|UTR|SIN|IND|NOM//amod//34 ekonomi//NN|UTR|SIN|IND|NOM//nsubj//38 är//VB|PRS|AKT//cop//38 inte//AB//advmod//38 bara//AB//advmod//38 trygghet//NN|UTR|SIN|IND|NOM//parataxis//8 och//KN//cc//40 frihet//NN|UTR|SIN|IND|NOM//conj//38 ,//MID//punct//8 utan//KN//cc//43 ökar//VB|PRS|AKT//conj//8 möjligheten//NN|UTR|SIN|DEF|NOM//obj//43 att//IE//mark//46 förebygga//VB|INF|AKT//acl//44 ohälsa//NN|UTR|SIN|IND|NOM//obj//46 och//KN//cc//49 undvika//VB|INF|AKT//conj//46 social//JJ|POS|UTR|SIN|IND|NOM//amod//51 isolering//NN|UTR|SIN|IND|NOM//obj//49 .//MAD//punct//8
3.1 Inledning;Även//AB//mark//58 om//SN//fixed//53 vi//PN|UTR|PLU|DEF|SUB//nsubj//58 inte//AB//advmod//58 kan//VB|PRS|AKT//aux//58 säga//VB|INF|AKT//advcl//8 att//SN//mark//63 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//63 t.ex.//AB|AN//advmod//63 är//VB|PRS|AKT//cop//63 viktigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//ccomp//58 att//IE//mark//65 ha//VB|INF|AKT//csubj//63 en//DT|UTR|SIN|IND//det//68 god//JJ|POS|UTR|SIN|IND|NOM//amod//68 ekonomi//NN|UTR|SIN|IND|NOM//obj//65 än//KN//case//72 en//DT|UTR|SIN|IND//det//72 god//JJ|POS|UTR|SIN|IND|NOM//amod//72 hälsa//NN|UTR|SIN|IND|NOM//obl//65 ,//MID//punct//76 är//VB|PRS|AKT//cop//76 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//76 klart//JJ|POS|NEU|SIN|IND|NOM//ROOT//76 att//SN//mark//80 ekonomin//NN|UTR|SIN|DEF|NOM//nsubj//80 är//VB|PRS|AKT//cop//80 central//JJ|POS|UTR|SIN|IND|NOM//ccomp//76 i//PP//case//83 människors//NN|UTR|PLU|IND|GEN//nmod:poss//83 liv//NN|NEU|SIN|IND|NOM//obl//80 därför//HA//mark//87 att//SN//fixed//84 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//87 har//VB|PRS|AKT//advcl//80 samband//NN|NEU|SIN|IND|NOM//obj//87 med//PP//case//92 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//92 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//92 välfärdsdimensioner//NN|UTR|PLU|IND|NOM//obl//87 (//PAD//punct//92 Erikson//PM|NOM//appos//92 och//KN//cc//96 Tåhlin//PM|NOM//conj//94 1984//RG|NOM//nummod//96 )//PAD//punct//76 .//MAD//punct//76
3.1 Inledning;Hur//HA//advmod//3 skall//VB|PRS|AKT//aux//3 vi//PN|UTR|PLU|DEF|SUB//nsubj//3 se//VB|INF|AKT//ROOT//3 på//PP//case//8 barns//NN|NEU|PLU|IND|GEN//nmod:poss//8 och//KN//cc//7 ungdomars//NN|UTR|PLU|IND|GEN//conj//5 ekonomi//NN|UTR|SIN|IND|NOM//obl//3 ?//MID//punct//3
3.1 Inledning;Här//AB//advmod//12 ,//MID//punct//12 mer//AB|KOM//advmod//22 än//KN//case//18 inom//PP//case//18 kanske//AB//advmod//18 något//DT|NEU|SIN|IND//det//18 annat//JJ|POS|NEU|SIN|IND|NOM//amod//18 område//NN|NEU|SIN|IND|NOM//nmod//12 ,//MID//punct//22 är//VB|PRS|AKT//cop//22 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//22 uppenbart//JJ|POS|NEU|SIN|IND|NOM//advcl//3 att//SN//mark//26 barnen//NN|NEU|PLU|DEF|NOM//nsubj//26 är//VB|PRS|AKT//cop//26 del//NN|UTR|SIN|IND|NOM//ccomp//3 i//PP//case//29 ett//DT|NEU|SIN|IND//det//29 hushåll//NN|NEU|SIN|IND|NOM//obl//26 och//KN//cc//36 att//SN//mark//36 resurserna//NN|UTR|PLU|DEF|NOM//nsubj//36 framför//PP//case//34 allt//PN|NEU|SIN|IND|SUB/OBJ//obl//36 är//VB|PRS|AKT//cop//36 givna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//26 av//PP//case//40 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//39 föräldrars//NN|UTR|PLU|IND|GEN//nmod:poss//40 inkomster//NN|UTR|PLU|IND|NOM//obl//36 och//KN//cc//42 förmögenheter//NN|UTR|PLU|IND|NOM//conj//40 .//MAD//punct//3
3.1 Inledning;Men//KN//cc//49 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//49 är//VB|PRS|AKT//cop//49 inte//AB//advmod//49 så//AB//advmod//49 enkelt//JJ|POS|NEU|SIN|IND|NOM//conj//3 att//SN//mark//53 vi//PN|UTR|PLU|DEF|SUB//nsubj//53 kan//VB|PRS|AKT//aux//53 läsa//VB|INF|AKT//csubj//49 av//PP//case//57 de//DT|UTR/NEU|PLU|DEF//det//56 ungas//JJ|POS|UTR/NEU|PLU|IND/DEF|GEN//nmod:poss//57 ekonomi//NN|UTR|SIN|IND|NOM//obl//53 från//PP//case//59 föräldrarnas//NN|UTR|PLU|DEF|GEN//obl//53 .//MAD//punct//49
3.1 Inledning;I//PP//case//62 praktiken//NN|UTR|SIN|DEF|NOM//obl//65 är//VB|PRS|AKT//cop//65 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//65 fråga//NN|UTR|SIN|IND|NOM//conj//49 om//PP//case//68 en//DT|UTR|SIN|IND//det//68 fördelning//NN|UTR|SIN|IND|NOM//nmod//65 av//PP//case//71 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//71 resurser//NN|UTR|PLU|IND|NOM//nmod//68 från//PP//case//73 föräldrar//NN|UTR|PLU|IND|NOM//nmod//71 till//PP//case//75 barn//NN|NEU|PLU|IND|NOM//nmod//68 ,//MID//punct//81 och//KN//cc//81 den//DT|UTR|SIN|DEF//det//79 fördelningen//NN|UTR|SIN|DEF|NOM//nsubj//81 kan//VB|PRS|AKT//aux//81 se//VB|INF|AKT//conj//49 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advmod//83 ut//PL//compound:prt//81 i//PP//case//86 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//86 familjer//NN|UTR|PLU|IND|NOM//obl//83 .//MAD//punct//49
3.1 Inledning;Här//AB//advmod//91 kan//VB|PRS|AKT//aux//91 man//PN|UTR|SIN|IND|SUB//nsubj//91 tänka//VB|INF|AKT//parataxis//3 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//iobj//91 två//RG|NOM//nummod//94 scenarier//NN|NEU|PLU|IND|NOM//obj//91 av//PP//case//100 stort//AB//amod//100 teoretiskt//JJ|POS|NEU|SIN|IND|NOM//amod//100 och//KN//cc//100 praktiskt//JJ|POS|NEU|SIN|IND|NOM//amod//100 intresse//NN|NEU|SIN|IND|NOM//nmod//94 för//PP//case//104 de//DT|UTR/NEU|PLU|DEF//det//103 ungas//JJ|POS|UTR/NEU|PLU|IND/DEF|GEN//nmod:poss//104 levnadsnivå//NN|UTR|SIN|IND|NOM//nmod//100 .//MAD//punct//91
