Bilaga 1;Automatiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 stabilisatorer//NN|UTR|PLU|IND|NOM//ROOT//1 och//KN//cc//4 aktiv//JJ|POS|UTR|SIN|IND|NOM//amod//4 finanspolitik//NN|UTR|SIN|IND|NOM//conj//1 inom//PP//case//6 EMU//PM|NOM//nmod//4 *//MID//punct//1

Bilaga 1 / Henrik Braconier;*//MID//punct//3  //_SP////0 Författarens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 kontaktadress//NN|UTR|SIN|IND|NOM//ROOT//3 ://MID//punct//3
Bilaga 1 / Henrik Braconier;Industriens//PM|GEN//nmod:poss//6 Utredningsinstitut//NN|NEU|SIN|IND|NOM//nsubj//11 (//PAD//punct//6 IUI//PM|NOM//appos//6 )//PAD//punct//6 ,//MID//punct//6 Box//PM|NOM//parataxis//3 5501//RG|NOM//nummod//11 ,//MID//punct//11 114//RG|NOM//nummod//16 85//RG|NOM//nummod//16 Stockholm//PM|NOM//conj//11 .//MAD//punct//11
Bilaga 1 / Henrik Braconier;E-mail//NN|NEU|SIN|IND|NOM//conj//11 ://MID//punct//18
Bilaga 1 / Henrik Braconier;henrikb@iui.se//NN|UTR|PLU|IND|NOM//conj//11 .//MAD//punct//11
Bilaga 1 / Henrik Braconier;Författaren//NN|UTR|SIN|DEF|NOM//nsubj//23 tackar//VB|PRS|AKT//conj//11 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//25 ledamöter//NN|UTR|PLU|IND|NOM//obj//23 för//PP//case//27 synpunkter//NN|UTR|PLU|IND|NOM//nmod//25 .//MAD//punct//3
Bilaga 1 / Henrik Braconier;Ett//DT|NEU|SIN|IND//det//31 speciellt//JJ|POS|NEU|SIN|IND|NOM//advmod//31 tack//NN|NEU|SIN|IND|NOM//nsubj//32 går//VB|PRS|AKT//parataxis//3 till//PP//case//34 Stefan//PM|NOM//obl//32 Ackerby//PM|NOM//flat//34 ,//MID//punct//34 Lars//PM|NOM//conj//34 Calmfors//PM|NOM//flat//37 ,//MID//punct//40 Ingemar//PM|NOM//conj//34 Hansson//PM|NOM//flat:name//40 ,//MID//punct//40 Yngve//PM|NOM//nmod//44 Lindh//PM|NOM//conj//34 ,//MID//punct//46 Henry//PM|NOM//conj//32 Ohlsson//PM|NOM//flat:name//46 och//KN//cc//50 Inga//PM|NOM//det//50 Persson//PM|NOM//conj//46 .//MID//punct//46
Bilaga 1 / Henrik Braconier;Tomas//PM|NOM//nsubj//58 Forsfält//PM|NOM//flat:name//52 och//KN//cc//55 Malin//PM|NOM//conj//52 Hübner//PM|NOM//flat:name//55 har//VB|PRS|AKT//aux//58 bidragit//VB|SUP|AKT//conj//32 med//PP//case//61 värdefull//JJ|POS|UTR|SIN|IND|NOM//amod//61 data//NN|UTR|SIN|IND|NOM//obl//58 .//MAD//punct//32

1 Inledning;I//PP//case//1 händelse//NN|UTR|SIN|IND|NOM//obl//27 av//PP//case//6 ett//DT|NEU|SIN|IND//det//6 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 svenskt//JJ|POS|NEU|SIN|IND|NOM//amod//6 medlemskap//NN|NEU|SIN|IND|NOM//nmod//1 i//PP//case//10 den//DT|UTR|SIN|DEF//det//10 tredje//RO|NOM//amod//10 etappen//NN|UTR|SIN|DEF|NOM//nmod//1 av//PP//case//15 Ekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//15 och//KN//cc//14 Monetära//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//12 Unionen//NN|UTR|SIN|DEF|NOM//nmod//10 (//PAD//punct//15 EMU//PM|NOM//appos//15 )//PAD//punct//1 kommer//VB|PRS|AKT//aux//27 möjligheten//NN|UTR|SIN|DEF|NOM//nsubj//27 att//IE//mark//22 föra//VB|INF|AKT//acl//20 en//DT|UTR|SIN|IND//det//25 självständig//JJ|POS|UTR|SIN|IND|NOM//amod//25 penningpolitik//NN|UTR|SIN|IND|NOM//obj//22 att//IE//mark//27 försvinna//VB|INF|AKT//ROOT//27 .//MAD//punct//27
