Till statsrådet Lars-Erik Lövdén ;Genom//PP//case//1 beslut//NN|NEU|SIN|IND|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 12//RG|NOM//nummod//4 oktober//NN|UTR|SIN|IND|NOM//obl//6 2000//RG|NOM//nummod//4 bemyndigade//VB|PRT|AKT//ROOT//6 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//6 det//DT|NEU|SIN|DEF//det//9 statsråd//NN|NEU|SIN|IND|NOM//obj//6 som//HP|-|-|-//nsubj//11 ansvarar//VB|PRS|AKT//acl:relcl//9 för//PP//case//13 frågor//NN|UTR|PLU|IND|NOM//obl//11 om//PP//case//16 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//16 ekonomi//NN|UTR|SIN|IND|NOM//nmod//13 att//IE//mark//18 tillkalla//VB|INF|AKT//acl//16 en//DT|UTR|SIN|IND//det//21 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//21 utredare//NN|UTR|SIN|IND|NOM//obj//18 med//PP//case//23 uppdrag//NN|NEU|SIN|IND|NOM//obl//18 att//IE//mark//26 dels//KN//advmod//26 hantera//VB|INF|AKT//acl//23 den//DT|UTR|SIN|DEF//det//29 fortsatta//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//29 utvecklingen//NN|UTR|SIN|DEF|NOM//obj//26 av//PP//case//33 en//DT|UTR|SIN|IND//det//33 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//33 databas//NN|UTR|SIN|IND|NOM//nmod//29 ,//MID//punct//36 dels//KN//advmod//36 lämna//VB|INF|AKT//conj//6 förslag//NN|NEU|SIN|IND|NOM//obj//36 på//PP//case//39 former//NN|UTR|PLU|IND|NOM//nmod//37 och//KN//cc//41 innehåll//NN|NEU|SIN|IND|NOM//conj//39 för//PP//case//46 ett//DT|NEU|SIN|IND//det//46 utvecklat//PC|PRF|NEU|SIN|IND|NOM//amod//46 tvärsektoriellt//JJ|POS|NEU|SIN|IND|NOM//amod//46 uppföljnings-//NN|UTR|-|-|SMS//nmod//41 och//KN//cc//48 utvärderingsarbete//NN|NEU|SIN|IND|NOM//conj//46 .//MAD//punct//6
Till statsrådet Lars-Erik Lövdén ;Med//PP//case//1 stöd//NN|NEU|SIN|IND|NOM//obl//4 av//PP//case//3 bemyndigandet//NN|NEU|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 den//DT|UTR|SIN|DEF//det//7 15//RG|NOM//nummod//7 november//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2000//RG|NOM//punct//7 stadsdirektören//NN|UTR|SIN|DEF|NOM//appos//7 Håkan//PM|NOM//nsubj//4 Sörman//PM|NOM//flat:name//10 som//KN//mark//14 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//14 utredare//NN|UTR|SIN|IND|NOM//obl//4 .//MAD//punct//4
Till statsrådet Lars-Erik Lövdén ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 antog//VB|PRT|AKT//ROOT//1 namnet//NN|NEU|SIN|DEF|NOM//nmod//3 Utredningen//NN|UTR|SIN|DEF|NOM//obj//1 för//PP//case//7 en//DT|UTR|SIN|IND//det//7 fortsatt//PC|PRF|UTR|SIN|IND|NOM//amod//7 utveckling//NN|UTR|SIN|IND|NOM//obl//1 av//PP//case//11 en//DT|UTR|SIN|IND//det//11 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//11 databas//NN|UTR|SIN|IND|NOM//nmod//7 m.m.//AB|AN//nmod//11 (//PAD//punct//14 Fi//PM|NOM//appos//1 2000:08//RG|NOM//conj//14 )//PAD//punct//14 .//MAD//punct//1
Till statsrådet Lars-Erik Lövdén ;Från//PP//case//3 den//DT|UTR|SIN|DEF//det//3 1//RO|NOM//nummod//3 december//NN|UTR|SIN|IND|NOM//obl//5 2000//RG|NOM//nummod//3 förordnades//VB|PRT|SFO//ROOT//5 som//KN//mark//7 sakkunnig//JJ|POS|UTR|SIN|IND|NOM//xcomp//5 i//PP//case//9 utredningen//NN|UTR|SIN|DEF|NOM//nmod//7 departementsrådet//NN|NEU|SIN|DEF|NOM//amod//12 Ilija//PM|NOM//amod//12 Batljan//PM|NOM//conj//7 ,//MID//punct//12 Socialdepartementet//NN|NEU|SIN|DEF|NOM//conj//12 ,//MID//punct//12 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//17 Marika//PM|NOM//nsubj:pass//5 Dagenbrink//PM|NOM//flat:name//17 ,//MID//punct//20 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//17 ,//MID//punct//20 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//23 Sofia//PM|NOM//conj//17 Wallström//PM|NOM//flat:name//23 ,//MID//punct//26 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//23 och//KN//cc//28 kanslirådet//NN|NEU|SIN|DEF|NOM//conj//23 Eva//PM|NOM//conj//23 Hjortendal-Hellman//PM|NOM//flat:name//29 ,//MID//punct//32 Utbildningsdepartementet//NN|NEU|SIN|DEF|NOM//conj//23 .//MID//punct//17
Till statsrådet Lars-Erik Lövdén ;Som//KN//mark//35 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//39 att//IE//mark//37 biträda//VB|INF|AKT//acl//35 utredningen//NN|UTR|SIN|DEF|NOM//obj//37 förordnades//VB|PRT|SFO//advcl//5 fr.o.m.//AB|AN//case//43 den//DT|UTR|SIN|DEF//det//43 1//RO|NOM//nummod//43 december//NN|UTR|SIN|IND|NOM//nmod//46 2000//RG|NOM//nummod//45 programchefen//NN|UTR|SIN|DEF|NOM//nmod//46 Margareta//PM|NOM//appos//5 Andersson//PM|NOM//flat:name//46 ,//MID//punct//49 SCB//PM|NOM//conj//46 ,//MID//punct//51 enhetschefen//NN|UTR|SIN|DEF|NOM//nmod//52 Barbro//PM|NOM//conj//46 Loogna//PM|NOM//flat:name//52 ,//MID//punct//55 Socialstyrelsen//NN|UTR|SIN|DEF|NOM//conj//46 ,//MID//punct//55 avdelningschefen//NN|UTR|SIN|DEF|NOM//nmod//58 Staffan//PM|NOM//appos//46 Lundh//PM|NOM//flat:name//58 ,//MID//punct//61 Skolverket//PM|NOM//conj//58 ,//MID//punct//63 utredaren//NN|UTR|SIN|DEF|NOM//nmod//64 Bengt-Olof//PM|NOM//conj//58 Knutsson//PM|NOM//flat:name//64 ,//MID//punct//68 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//68 Kommunförbundet//NN|NEU|SIN|DEF|NOM//conj//58 och//KN//cc//70 ämnessakkunnige//JJ|POS|MAS|SIN|DEF|NOM//nmod//71 Tore//PM|NOM//conj//46 Melin//PM|NOM//flat:name//71 ,//MID//punct//71 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//46 .//MAD//punct//5
Till statsrådet Lars-Erik Lövdén ;Från//PP//case//3 den//DT|UTR|SIN|DEF//det//3 13//RG|NOM//nummod//3 december//NN|UTR|SIN|IND|NOM//obl//5 2000//RG|NOM//nummod//3 förordades//VB|PRT|SFO//ROOT//5 därutöver//AB//advmod//5 controllern//NN|UTR|SIN|DEF|NOM//nmod//8 Peter//PM|NOM//nsubj//5 Andersson//PM|NOM//flat:name//8 ,//MID//punct//11 Malmö//PM|NOM//conj//8 kommun//NN|UTR|SIN|IND|NOM//conj//8 som//KN//mark//14 expert//NN|UTR|SIN|IND|NOM//xcomp//5 i//PP//case//16 utredningen//NN|UTR|SIN|DEF|NOM//obl//5 och//KN//cc//21 från//PP//case//21 den//DT|UTR|SIN|DEF//det//21 15//RG|NOM//nummod//21 december//NN|UTR|SIN|IND|NOM//nsubj:pass//22 förordnades//VB|PRT|SFO//conj//5 likaledes//AB//advmod//22 som//KN//case//26 expert//NN|UTR|SIN|IND|NOM//amod//26 chefekonomen//NN|UTR|SIN|DEF|NOM//nmod//27 Jörgen//PM|NOM//dep//22 Öckinger//PM|NOM//flat:name//27 ,//MID//punct//27 Linköpings//PM|GEN//nmod:poss//31 kommun//NN|UTR|SIN|IND|NOM//appos//27 .//MAD//punct//5
Till statsrådet Lars-Erik Lövdén ;Under//PP//case//1 utredningstiden//NN|UTR|SIN|DEF|NOM//obl//13 har//VB|PRS|AKT//aux//13 departementsrådet//NN|NEU|SIN|DEF|NOM//nmod//4 Ilija//PM|NOM//amod//5 Baltjan//PM|NOM//nsubj:pass//13 från//PP//case//11 och//KN//fixed//6 med//PP//fixed//6 den//DT|UTR|SIN|DEF//det//11 12//RG|NOM//nummod//11 februari//NN|UTR|SIN|IND|NOM//obl//13 2001//RG|NOM//nummod//11 ersatts//VB|SUP|SFO//ROOT//13 av//PP//case//16 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//16 Uta//PM|NOM//obl:agent//13 Bertram//PM|NOM//flat:name//16 ,//MID//punct//16 Socialdepartementet//NN|NEU|SIN|DEF|NOM//conj//16 ,//MID//punct//16 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//22 Sofia//PM|NOM//appos//16 Wallström//PM|NOM//flat:name//22 ersatts//VB|SUP|SFO//acl:relcl//16 från//PP//case//30 och//KN//fixed//25 med//PP//fixed//25 den//DT|UTR|SIN|DEF//det//30 12//RG|NOM//nummod//30 april//NN|UTR|SIN|IND|NOM//obl//24 2001//RG|NOM//nummod//30 av//PP//case//34 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//34 Magdalena//PM|NOM//nmod//31 Brasch//PM|NOM//flat:name//34 ,//MID//punct//37 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//34 .//MAD//punct//13
Till statsrådet Lars-Erik Lövdén ;Från//PP//case//3 den//DT|UTR|SIN|DEF//det//3 1//RO|NOM//nummod//3 december//NN|UTR|SIN|IND|NOM//obl//5 2000//RG|NOM//nummod//3 anställdes//VB|PRT|SFO//ROOT//5 ekonomen//NN|UTR|SIN|DEF|NOM//nmod//7 Kristina//PM|NOM//nsubj:pass//5 Stig//PM|NOM//flat:name//7 som//KN//case//10 sekreterare//NN|UTR|SIN|IND|NOM//obl//5 i//PP//case//12 utredningen//NN|UTR|SIN|DEF|NOM//nmod//10 .//MAD//punct//5
Till statsrådet Lars-Erik Lövdén ;Den//DT|UTR|SIN|DEF//det//2 16//RG|NOM//nummod//2 mars//NN|UTR|SIN|IND|NOM//nsubj:pass//4 2001//RG|NOM//nummod//2 anställdes//VB|PRT|SFO//csubj//22 ekonomen//NN|UTR|SIN|DEF|NOM//nsubj:pass//4 Bo//PM|NOM//compound//7 Gertsson//PM|NOM//nsubj:pass//4 som//KN//mark//10 biträdande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 sekreterare//NN|UTR|SIN|IND|NOM//nsubj:pass//4 i//PP//case//12 utredningen//NN|UTR|SIN|DEF|NOM//nmod//10 från//PP//case//16 den//DT|UTR|SIN|DEF//det//16 1//RO|NOM//nummod//16 februari//NN|UTR|SIN|IND|NOM//nmod//12 2001//RG|NOM//nummod//16 .//MAD//punct//4
Till statsrådet Lars-Erik Lövdén ;I//PP//case//21 sekretariatets//NN|NEU|SIN|DEF|GEN//nmod:poss//21 arbete//NN|NEU|SIN|IND|NOM//obl//4 har//VB|PRS|AKT//aux//27 även//AB//advmod//22 experten//NN|UTR|SIN|DEF|NOM//obj//22 Tore//PM|NOM//nsubj//27 Melin//PM|NOM//flat:name//25 deltagit//VB|SUP|AKT//ROOT//27 .//MAD//punct//27
Till statsrådet Lars-Erik Lövdén ;Härmed//AB//advmod//1 överlämnas//VB|PRS|SFO//ROOT//1 betänkandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//3 www.kommundatabas//RG|NOM//nsubj:pass//1 .//MAD//punct//3
