2.2 Närmare om den nuvarande räddningstjänst- ;3.2//RG|NOM//ROOT//0 Av//PP//case//2 statsmakterna//NN|UTR|PLU|DEF|NOM//nmod//0 fastlagda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//4 utgångspunkter//NN|UTR|PLU|IND|NOM//nmod//0 för//PP//case//8 3.3//RG|NOM//nummod//8 Särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//8 utgångspunkter//NN|UTR|PLU|IND|NOM//nmod//4 med//PP//case//14 hänsyn//NN|UTR|SIN|IND|NOM//fixed//9 till//PP//fixed//9 kommunal//NN|UTR|SIN|IND|NOM//amod//13 4.3//RG|NOM//nmod//14 Ledningsfunktionen//NN|UTR|SIN|DEF|NOM//nmod//4 i//PP//case//17 kommunal//JJ|POS|UTR|SIN|IND|NOM//amod//17 räddningstjänst//NN|UTR|SIN|IND|NOM//nmod//14 och//KN//cc//20 5.3//RG|NOM//nmod//20 Fördelningen//NN|UTR|SIN|DEF|NOM//conj//4 av//PP//case//22 tillsynsansvaret//NN|NEU|SIN|DEF|NOM//nmod//20 mellan//PP//case//24 kommunen//NN|UTR|SIN|DEF|NOM//nmod//22 ,//MID//punct//28 5.4//RG|NOM//nmod//28 Geografisk//JJ|POS|UTR|SIN|IND|NOM//amod//28 avgränsning//NN|UTR|SIN|IND|NOM//conj//20 mellan//PP//case//34 statens//NN|UTR|SIN|DEF|GEN//nmod:poss//34 och//KN//cc//32 5.5//RG|NOM//conj//30 Ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 konsekvenser//NN|UTR|PLU|IND|NOM//nmod//28 för//PP//case//36 stat//NN|UTR|SIN|IND|NOM//nmod//34 och//KN//cc//38 kommun//NN|UTR|SIN|IND|NOM//conj//36 av//PP//case//42 det//PN|NEU|SIN|DEF|SUB/OBJ//det//41 6.2//RG|NOM//nmod//42 Anläggningar//NN|UTR|PLU|IND|NOM//nmod//34 där//HA//advmod//45 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj//45 innebär//VB|PRS|AKT//acl:relcl//42 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//47 fara//NN|UTR|SIN|IND|NOM//obj//45 ,//MID//punct//28 6.3//RG|NOM//nummod//50 Förhållandet//NN|NEU|SIN|DEF|NOM//nmod//0 mellan//PP//case//52 räddningstjänstlagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//50 och//KN//cc//55 annan//JJ|POS|UTR|SIN|IND|NOM//amod//55 lagstiftning//NN|UTR|SIN|IND|NOM//conj//52 när//HA//case//60 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//56 gäller//VB|PRS|AKT//fixed//56 kommunens//NN|UTR|SIN|DEF|GEN//nmod:poss//60 7.3//RG|NOM//nmod//61 Ansvarsförhållanden//NN|NEU|PLU|IND|NOM//nmod//50 vid//PP//case//65 ett//DT|NEU|SIN|IND//det//65 första//RO|NOM//amod//65 omhändertagande//NN|NEU|SIN|IND|NOM//nmod//50 av//PP//case//69 8.3//RG|NOM//nummod//68 RUFF-utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//69 rapport//NN|UTR|SIN|IND|NOM//nmod//65 och//KN//cc//71 principdiskussio-ner//NN|UTR|SIN|IND|NOM//conj//69


1 Förslag till lag (0000:0000) om skydd mot olyckor som kan föranleda räddningsinsatser;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//1 .//MAD//punct//1

1 Förslag till lag (0000:0000) om skydd mot olyckor som kan föranleda räddningsinsatser / 1 kap. Inledande bestämmelser;1//RG|NOM//nummod//1 §//NN|AN//nsubj//7  //_SP////1 Bestämmelserna//NN|UTR|PLU|DEF|NOM//nmod//1 i//PP//case//6 denna//DT|UTR|SIN|DEF//det//6 lag//NN|UTR|SIN|IND|NOM//nmod//3 syftar//VB|PRS|AKT//ROOT//7 till//PP//mark//14 att//SN//mark//14 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//14 i//PP//case//13 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 landet//NN|NEU|SIN|DEF|NOM//obl//14 upprätthålls//VB|PRS|SFO//advcl//7 ett//DT|NEU|SIN|IND//obj//14 ,//MID//punct//14 med//PP//case//22 hänsyn//NN|UTR|SIN|IND|NOM//fixed//17 till//PP//case//22 de//DT|UTR/NEU|PLU|DEF//det//22 lokala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 förhållandena//NN|NEU|PLU|DEF|NOM//obl//14 ,//MID//punct//22 tillfredsställande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//27 och//KN//cc//26 likvärdigt//JJ|POS|NEU|SIN|IND|NOM//conj//24 skydd//NN|NEU|SIN|IND|NOM//conj//22 mot//PP//case//29 olyckor//NN|UTR|PLU|IND|NOM//nmod//27 med//PP//case//34 avseende//NN|NEU|SIN|IND|NOM//fixed//30 på//PP//case//34 människors//NN|UTR|PLU|IND|GEN//nmod:poss//34 liv//NN|NEU|SIN|IND|NOM//nmod//29 och//KN//cc//36 hälsa//NN|UTR|SIN|IND|NOM//conj//34 samt//KN//cc//38 egendom//NN|UTR|SIN|IND|NOM//conj//34 och//KN//cc//40 miljön//NN|UTR|SIN|DEF|NOM//conj//38 .//MAD//punct//7
1 Förslag till lag (0000:0000) om skydd mot olyckor som kan föranleda räddningsinsatser / 1 kap. Inledande bestämmelser;Den//DT|UTR|SIN|DEF//det//1 enskildes//JJ|POS|MAS|SIN|DEF|GEN//nsubj:pass//16 och//KN//cc//6 de//DT|UTR/NEU|PLU|DEF//det//5 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 samhällsverksamheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//6 förmåga//NN|UTR|SIN|IND|NOM//conj//1 att//IE//mark//9 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 vidta//VB|INF|AKT//acl//6 åtgärder//NN|UTR|PLU|IND|NOM//obj//9 till//PP//case//12 skydd//NN|NEU|SIN|IND|NOM//obl//9 mot//PP//case//14 olyckor//NN|UTR|PLU|IND|NOM//obl//9 skall//VB|PRS|AKT//aux//16 stödjas//VB|INF|SFO//ROOT//16 .//MAD//punct//16
1 Förslag till lag (0000:0000) om skydd mot olyckor som kan föranleda räddningsinsatser / 1 kap. Inledande bestämmelser;2//RG|NOM//nummod//19 §//NN|AN//nsubj//23  //_SP////19 I//PP//case//22 lagen//NN|UTR|SIN|DEF|NOM//nmod//19 finns//VB|PRS|SFO//parataxis//16 föreskrifter//NN|UTR|PLU|IND|NOM//nsubj//23 om//PP//case//26 skyldighet//NN|UTR|SIN|IND|NOM//obl//23 för//PP//case//28 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//23 ,//MID//punct//30 kommuner//NN|UTR|PLU|IND|NOM//conj//28 och//KN//cc//32 staten//NN|UTR|SIN|DEF|NOM//conj//28 att//IE//mark//34 vidta//VB|INF|AKT//advcl//23 åtgärder//NN|UTR|PLU|IND|NOM//obj//34 till//PP//case//37 skydd//NN|NEU|SIN|IND|NOM//obl//34 mot//PP//case//39 olyckor//NN|UTR|PLU|IND|NOM//obl//34 .//MAD//punct//23
1 Förslag till lag (0000:0000) om skydd mot olyckor som kan föranleda räddningsinsatser / 1 kap. Inledande bestämmelser;Skyldigheterna//NN|UTR|PLU|DEF|NOM//nsubj//43 skall//VB|PRS|AKT//aux//43 gälla//VB|INF|AKT//parataxis//23 utan//PP//mark//47 att//SN//mark//47 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//47 påverkar//VB|PRS|AKT//advcl//43 det//DT|NEU|SIN|DEF//det//49 ansvar//NN|NEU|SIN|IND|NOM//obj//47 som//HP|-|-|-//nsubj//54 var//PN|UTR|SIN|IND|SUB/OBJ//cop//54 och//KN//fixed//51 en//PN|UTR|SIN|IND|SUB/OBJ//fixed//51 har//VB|PRS|AKT//acl:relcl//49 för//PP//case//58 sin//PS|UTR|SIN|DEF//nmod:poss//58 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//58 säkerhet//NN|UTR|SIN|IND|NOM//obl//54 eller//KN//cc//61 den//DT|UTR|SIN|DEF//det//61 skyldighet//NN|UTR|SIN|IND|NOM//conj//58 att//IE//mark//63 vidta//VB|INF|AKT//acl//61 åtgärder//NN|UTR|PLU|IND|NOM//obj//63 till//PP//case//66 skydd//NN|NEU|SIN|IND|NOM//obl//63 mot//PP//case//68 olyckor//NN|UTR|PLU|IND|NOM//obl//63 som//HP|-|-|-//nsubj//72 eljest//AB//advmod//72 är//VB|PRS|AKT//cop//72 föreskriven//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//68 i//PP//case//75 annan//JJ|POS|UTR|SIN|IND|NOM//amod//75 lag//NN|UTR|SIN|IND|NOM//obl//72 .//MAD//punct//43
1 Förslag till lag (0000:0000) om skydd mot olyckor som kan föranleda räddningsinsatser / 1 kap. Inledande bestämmelser;3//RG|NOM//nummod//78 §//NN|AN//nsubj:pass//83  //_SP////78 I//PP//case//82 denna//DT|UTR|SIN|DEF//det//82 lag//NN|UTR|SIN|IND|NOM//obl//83 används//VB|PRS|SFO//parataxis//43 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//85 uttryck//NN|NEU|PLU|IND|NOM//nsubj:pass//83 med//PP//case//88 angiven//PC|PRF|UTR|SIN|IND|NOM//amod//88 betydelse//NN|UTR|SIN|IND|NOM//nmod//85 .//MAD//punct//83
1 Förslag till lag (0000:0000) om skydd mot olyckor som kan föranleda räddningsinsatser / 1 kap. Inledande bestämmelser;Åtgärder//NN|UTR|PLU|IND|NOM//appos//83 till//PP//case//92 skydd//NN|NEU|SIN|IND|NOM//nmod//90 mot//PP//case//94 olyckor//NN|UTR|PLU|IND|NOM//nmod//90 ://MID//punct//90
