Till statsrådet Lena Hjelm-Wallén ;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 2//RO|NOM//nummod//4 september//NN|UTR|SIN|IND|NOM//obl//1 1999//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//xcomp//1 en//DT|UTR|SIN|IND//det//11 parlamentariskt//AB|POS//advmod//10 sammansatt//PC|PRF|UTR|SIN|IND|NOM//amod//11 kommitté//NN|UTR|SIN|IND|NOM//obj//7 för//PP//mark//14 att//IE//mark//14 utreda//VB|INF|AKT//advcl//7 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 frågor//NN|UTR|PLU|IND|NOM//obj//14 som//HP|-|-|-//nsubj//18 rör//VB|PRS|AKT//acl:relcl//16 regeringsformen//NN|UTR|SIN|DEF|NOM//obj//18 .//MAD//punct//1
Till statsrådet Lena Hjelm-Wallén ;Till//PP//case//1 ordförande//NN|UTR|SIN|IND|NOM//obl//6 resp.//AB|AN//cc//3 ledamot//NN|UTR|SIN|IND|NOM//conj//1 i//PP//case//5 kommittén//NN|UTR|SIN|DEF|NOM//nmod//3 förordnades//VB|PRT|SFO//ROOT//6 fr.o.m.//AB|AN//case//10 den//DT|UTR|SIN|DEF//det//9 13//RG|NOM//nummod//10 september//NN|UTR|SIN|IND|NOM//obl//6 1999//RG|NOM//nummod//10 numera//AB//advmod//13 f.d.//JJ|AN//amod//20 landshövdingen//NN|UTR|SIN|DEF|NOM//nmod//15 Ulf//PM|NOM//nsubj//13 Lönnqvist//PM|NOM//flat:name//15 och//KN//cc//19 numera//AB//advmod//19 f.d.//JJ|AN//amod//20 justitiekanslern//NN|UTR|SIN|DEF|NOM//nmod//22 Hans//PM|NOM//nmod:poss//22 Regner//PM|NOM//nsubj//6 .//MAD//punct//29
Till statsrådet Lena Hjelm-Wallén ;Som//KN//mark//29 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//26 ledamöter//NN|UTR|PLU|IND|NOM//nsubj:pass//29 i//PP//case//28 kommittén//NN|UTR|SIN|DEF|NOM//nmod//26 förordnades//VB|PRT|SFO//advcl//6 fr.o.m.//AB|AN//case//33 den//DT|UTR|SIN|DEF//det//33 12//RG|NOM//nummod//33 november//NN|UTR|SIN|IND|NOM//obl//29 1999//RG|NOM//nummod//33 riksdagsledamöterna//NN|UTR|PLU|DEF|NOM//nmod//36 Helena//PM|NOM//appos//33 Bargholtz//PM|NOM//flat:name//36 och//KN//cc//39 Rune//PM|NOM//conj//36 Berglund//PM|NOM//flat:name//39 ,//MID//punct//33 förste//RO|MAS|SIN|IND/DEF|NOM//advmod//43 vice//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//6 talmannen//NN|UTR|SIN|DEF|NOM//nmod//45 Anders//PM|NOM//nmod//46 Björck//PM|NOM//nsubj:pass//75 ,//MID//punct//46 språkröret//NN|NEU|SIN|DEF|NOM//nmod//49 Lotta//PM|NOM//appos//46 Nilsson//PM|NOM//flat:name//49 Hedström//PM|NOM//flat:name//50 ,//MID//punct//50 riksdagsledamöterna//NN|UTR|PLU|DEF|NOM//nmod//54 Kenneth//PM|NOM//conj//46 Johansson//PM|NOM//flat:name//54 och//KN//cc//57 Kenneth//PM|NOM//conj//54 Kvist//PM|NOM//flat:name//57 ,//MID//punct//54 f.d.//JJ|AN//amod//63 kammarrättspresidenten//NN|UTR|SIN|DEF|NOM//nmod//62 Reidunn//PM|NOM//compound//63 Laurén//PM|NOM//conj//46 samt//KN//cc//66 riksdagsledamöterna//NN|UTR|PLU|DEF|NOM//nmod//66 Göran//PM|NOM//conj//46 Magnusson//PM|NOM//flat:name//66 och//KN//cc//69 Barbro//PM|NOM//conj//66 Hietala//PM|NOM//flat:name//69 Nordlund//PM|NOM//flat:name//70 .//MID//punct//66
Till statsrådet Lena Hjelm-Wallén ;Hans//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//74 Regner//PM|NOM//nsubj:pass//75 entledigades//VB|PRT|SFO//conj//6 från//PP//case//77 kommittén//NN|UTR|SIN|DEF|NOM//obl//75 fr.o.m.//AB|AN//case//81 den//DT|UTR|SIN|DEF//det//81 14//RG|NOM//nummod//81 februari//NN|UTR|SIN|IND|NOM//obl//75 2001//RG|NOM//nummod//81 .//MAD//punct//6
Till statsrådet Lena Hjelm-Wallén ;Att//IE//mark//3 som//KN//mark//3 experter//NN|UTR|PLU|IND|NOM//nsubj//3 biträda//VB|INF|AKT//csubj//5 kommittén//NN|UTR|SIN|DEF|NOM//obj//3 förordnades//VB|PRT|SFO//ROOT//5 fr.o.m.//AB|AN//case//9 den//DT|UTR|SIN|DEF//det//9 24//RG|NOM//nummod//9 november//NN|UTR|SIN|IND|NOM//obl//5 1999//RG|NOM//nummod//12 biträdande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//12 kammarsekreteraren//NN|UTR|SIN|DEF|NOM//nmod//13 Ulf//PM|NOM//nsubj//9 Christoffersson//PM|NOM//flat:name//13 ,//MID//punct//9 numera//AB//advmod//17 ordföranden//NN|UTR|SIN|DEF|NOM//appos//9 och//KN//cc//19 chefen//NN|UTR|SIN|DEF|NOM//conj//17 för//PP//case//23 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//22 va-nämnd//NN|UTR|SIN|IND|NOM//nmod//23 Stefan//PM|NOM//nmod//19 Rubenson//PM|NOM//flat//23 samt//KN//cc//29 numera//AB//advmod//27 ämnesråden//NN|UTR|SIN|DEF|NOM//nmod//28 Kristina//PM|NOM//nmod//29 Svahn//PM|NOM//conj//17 Starrsjö//PM|NOM//flat:name//29 och//KN//cc//32 Lena//PM|NOM//conj//17 Stenwall//PM|NOM//flat//32 .//MID//punct//5
Till statsrådet Lena Hjelm-Wallén ;Stefan//PM|NOM//nsubj:pass//40 Rubenson//PM|NOM//flat:name//35 och//KN//cc//38 Lena//PM|NOM//conj//36 Stenwall//PM|NOM//flat:name//38 entledigades//VB|PRT|SFO//parataxis//5 från//PP//case//42 kommittén//NN|UTR|SIN|DEF|NOM//obl//40 fr.o.m.//AB|AN//case//46 den//DT|UTR|SIN|DEF//det//46 14//RG|NOM//nummod//46 februari//NN|UTR|SIN|IND|NOM//obl//40 resp.//AB|AN//cc//50 den//DT|UTR|SIN|DEF//det//50 7//RO|NOM//nummod//50 mars//NN|UTR|SIN|IND|NOM//conj//46 2001//RG|NOM//nummod//50 .//MAD//punct//40
Till statsrådet Lena Hjelm-Wallén ;Som//KN//mark//56 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//55 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//56 förordnades//VB|PRT|SFO//advcl//73 fr.o.m.//AB|AN//case//60 den//DT|UTR|SIN|DEF//det//60 1//RO|NOM//nummod//60 mars//NN|UTR|SIN|IND|NOM//obl//56 2001//RG|NOM//nummod//60 dispaschören//NN|UTR|SIN|DEF|NOM//conj//60 Svante//PM|NOM//nummod//60 O.//PM|NOM//nummod//60 Johansson//PM|NOM//nummod//60 och//KN//cc//70 fr.o.m.//AB|AN//case//70 den//DT|UTR|SIN|DEF//det//70 15//RG|NOM//nummod//70 januari//NN|UTR|SIN|IND|NOM//obl//73 2002//RG|NOM//nummod//70 numera//AB//advmod//73 föredraganden//NN|UTR|SIN|DEF|NOM//conj//40 i//PP//case//75 konstitutionsutskottet//NN|NEU|SIN|DEF|NOM//nmod//76 Lars//PM|NOM//nsubj//73 Seger//PM|NOM//flat:name//76 .//MAD//punct//5
Till statsrådet Lena Hjelm-Wallén ;Till//PP//case//1 sekreterare//NN|UTR|SIN|IND|NOM//obl//2 förordnades//VB|PRT|SFO//ROOT//2 fr.o.m.//AB|AN//case//6 den//DT|UTR|SIN|DEF//det//6 1//RO|NOM//nummod//6 december//NN|UTR|SIN|IND|NOM//obl//2 1999//RG|NOM//nummod//8 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//nmod//6 Dag//PM|NOM//nummod//8 Cohen//PM|NOM//conj//8 och//KN//cc//12 Lars//PM|NOM//conj//8 Seger//PM|NOM//flat:name//12 .//MID//punct//6
Till statsrådet Lena Hjelm-Wallén ;Lars//PM|NOM//nsubj:pass//17 Seger//PM|NOM//flat:name//15 entledigades//VB|PRT|SFO//conj//2 från//PP//case//19 sekreteraruppdraget//NN|NEU|SIN|DEF|NOM//obl//17 fr.o.m.//AB|AN//case//23 den//DT|UTR|SIN|DEF//det//23 15//RG|NOM//nummod//23 januari//NN|UTR|SIN|IND|NOM//obl//17 2002//RG|NOM//nummod//23 .//MAD//punct//2
Till statsrådet Lena Hjelm-Wallén ;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//16 ,//MID//punct//4 som//HP|-|-|-//nsubj//4 har//VB|PRS|AKT//aux//4 antagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//8 1999//RG|NOM//nummod//7 års//NN|NEU|SIN|IND|GEN//nmod:poss//8 författningsutredning//NN|UTR|SIN|IND|NOM//obj//4 (//PAD//punct//8 Ju//NN|AN//advmod//11 1999:13//RG|NOM//appos//8 )//PAD//punct//8 ,//MID//punct//0 får//VB|PRS|AKT//aux//16 härmed//AB//advmod//16 överlämna//VB|INF|AKT//ROOT//16 sitt//PS|NEU|SIN|DEF//nmod:poss//18 slutbetänkande//NN|NEU|SIN|IND|NOM//obj//16 Den//DT|UTR|SIN|DEF//det//21 gemensamma//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//21 valdagen//NN|UTR|SIN|DEF|NOM//obj//16 och//KN//cc//24 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 valfrågor//NN|UTR|PLU|IND|NOM//conj//21 (//PAD//punct//24 SOU//PM|NOM//appos//24 2002:42//RG|NOM//nummod//26 )//PAD//punct//24 .//MAD//punct//16
Till statsrådet Lena Hjelm-Wallén ;Tidigare//AB|KOM//advmod//33 har//VB|PRS|AKT//aux//33 kommittén//NN|UTR|SIN|DEF|NOM//nsubj//33 avlämnat//VB|SUP|AKT//amod//34 delbetänkandena//NN|NEU|PLU|DEF|NOM//obj//16 Vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 grundlagsfrågor//NN|UTR|PLU|IND|NOM//obj//16 (//PAD//punct//36 SOU//PM|NOM//appos//36 2001:19//RG|NOM//conj//36 )//PAD//punct//16 och//KN//cc//43 Offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 valförberedelser//NN|UTR|PLU|IND|NOM//conj//16 –//RG|NOM//punct//16
