Promemoria;Finansdepartementet//NN|NEU|SIN|DEF|NOM//ROOT//0
Promemoria;Länsstyrelseenheten//NN|UTR|SIN|DEF|NOM//ROOT//0

Sammanställning av inkomna synpunkter Ansvarskommitténs delbetänkande – Utvecklingskraft för hållbar välfärd (SOU 2003:123);Sammanställning//NN|UTR|SIN|IND|NOM//ROOT//0 av//PP//case//3 inkomna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//3 synpunkter//NN|UTR|PLU|IND|NOM//nmod//0 på//PP//case//6 Ansvarskommitténs//PM|GEN//nmod:poss//6 delbetänkande//NN|NEU|SIN|IND|NOM//nmod//0 -//MID//punct//0 Utvecklingskraft//NN|UTR|SIN|IND|NOM//conj//0 för//PP//case//11 hållbar//JJ|POS|UTR|SIN|IND|NOM//amod//11 välfärd//NN|UTR|SIN|IND|NOM//nmod//8 (//PAD//punct//11 SOU//PM|NOM//appos//11 2003:123//RG|NOM//nummod//13 )//PAD//punct//13 1//RG|NOM//nummod//13 .//MAD//punct//0
Sammanställning av inkomna synpunkter Ansvarskommitténs delbetänkande – Utvecklingskraft för hållbar välfärd (SOU 2003:123);Inledning//NN|UTR|SIN|IND|NOM//nmod//0
Sammanställning av inkomna synpunkter Ansvarskommitténs delbetänkande – Utvecklingskraft för hållbar välfärd (SOU 2003:123);Finansdepartementet//NN|NEU|SIN|DEF|NOM//nsubj//1 inbjöd//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 15//RG|NOM//nummod//4 januari//NN|UTR|SIN|IND|NOM//obj//1 2004//RG|NOM//nummod//4 (//PAD//punct//4 dnr//NN|AN//parataxis//4 Fi2003/6563//PM|NOM//advmod//7 )//PAD//punct//7 totalt//AB|POS//advmod//11 462//RG|NOM//nummod//12 organisationer//NN|UTR|PLU|IND|NOM//conj//4 att//IE//mark//14 lämna//VB|INF|AKT//acl//12 synpunkter//NN|UTR|PLU|IND|NOM//obj//14 på//PP//case//18 Ansvarskommitténs//PM|GEN//nmod:poss//18 delbetänkande//NN|NEU|SIN|IND|NOM//obl//14 .//MAD//punct//4
Sammanställning av inkomna synpunkter Ansvarskommitténs delbetänkande – Utvecklingskraft för hållbar välfärd (SOU 2003:123);Av//PP//case//21 dem//PN|UTR/NEU|PLU|DEF|OBJ//obl//24 har//VB|PRS|AKT//aux//24 315//RG|NOM//nummod//24 inkommit//VB|SUP|AKT//conj//1 med//PP//case//26 synpunkter//NN|UTR|PLU|IND|NOM//obl//24 .//MAD//punct//1
Sammanställning av inkomna synpunkter Ansvarskommitténs delbetänkande – Utvecklingskraft för hållbar välfärd (SOU 2003:123);Härutöver//NN|UTR|PLU|IND|NOM//nsubj//29 har//VB|PRS|AKT//parataxis//1 27//RG|NOM//nummod//31 organisationer//NN|UTR|PLU|IND|NOM//obj//29 och//KN//cc//34 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advmod//34 lämnat//VB|SUP|AKT//conj//29 synpunkter//NN|UTR|PLU|IND|NOM//obj//34 på//PP//case//38 eget//JJ|POS|NEU|SIN|IND/DEF|NOM//amod//38 initiativ//NN|NEU|SIN|IND|NOM//obl//34 .//MAD//punct//1
Sammanställning av inkomna synpunkter Ansvarskommitténs delbetänkande – Utvecklingskraft för hållbar välfärd (SOU 2003:123);Inbjudan//NN|UTR|SIN|DEF|NOM//nsubj:pass//1 redovisas//VB|PRS|SFO//ROOT//1 i//PP//case//3 bilaga//NN|UTR|SIN|IND|NOM//obl//1 1//RG|NOM//nummod//3 och//KN//cc//7 de//DT|UTR/NEU|PLU|DEF//det//7 organisationer//NN|UTR|PLU|IND|NOM//conj//3 och//KN//cc//9 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//7 som//HP|-|-|-//nsubj//11 lämnat//VB|SUP|AKT//acl:relcl//9 synpunkter//NN|UTR|PLU|IND|NOM//obj//11 i//PP//case//14 bilaga//NN|UTR|SIN|IND|NOM//obl//11 2//RG|NOM//nummod//14 .//MAD//punct//1
Sammanställning av inkomna synpunkter Ansvarskommitténs delbetänkande – Utvecklingskraft för hållbar välfärd (SOU 2003:123);Hur//HA//advmod//1 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//7 som//HP|-|-|-//nsubj//4 har//VB|PRS|AKT//aux//4 lämnat//VB|SUP|AKT//acl:relcl//1 svar//NN|NEU|SIN|IND|NOM//obj//4 ,//MID//punct//1 uppdelat//PC|PRF|NEU|SIN|IND|NOM//ROOT//7 på//PP//case//11 de//DT|UTR/NEU|PLU|DEF//det//11 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 instanser//NN|UTR|PLU|IND|NOM//obl//7 som//HP|-|-|-//nsubj//13 fått//VB|SUP|AKT//acl:relcl//11 inbjudan//NN|UTR|SIN|IND|NOM//obj//13 ,//MID//punct//7 framgår//VB|PRS|AKT//conj//7 av//PP//case//18 följande//NN|NEU|SIN|IND|NOM//obl//16 ://MAD//punct//7
Sammanställning av inkomna synpunkter Ansvarskommitténs delbetänkande – Utvecklingskraft för hållbar välfärd (SOU 2003:123);Sammanställningen//NN|UTR|SIN|DEF|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 disponerad//PC|PRF|UTR|SIN|IND|NOM//ROOT//2 med//PP//case//11 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//3 i//PP//fixed//3 särskilt//AB//advmod//7 intressanta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 och//KN//cc//9 frekvent//AB|POS//conj//7 förekommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 synpunkter//NN|UTR|PLU|IND|NOM//obl//2 .//MAD//punct//2
Sammanställning av inkomna synpunkter Ansvarskommitténs delbetänkande – Utvecklingskraft för hållbar välfärd (SOU 2003:123);Dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj:pass//15 har//VB|PRS|AKT//aux//15 grupperats//VB|SUP|SFO//parataxis//2 i//PP//case//18 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 avsnitt//NN|NEU|PLU|IND|NOM//obl//15 .//MAD//punct//2
Sammanställning av inkomna synpunkter Ansvarskommitténs delbetänkande – Utvecklingskraft för hållbar välfärd (SOU 2003:123);Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//21 finns//VB|PRS|SFO//parataxis//2 också//AB//advmod//21 ett//DT|NEU|SIN|IND//det//24 avsnitt//NN|NEU|SIN|IND|NOM//nsubj//21 med//PP//case//27 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 synpunkter//NN|UTR|PLU|IND|NOM//nmod//24 .//MID//punct//21
Sammanställning av inkomna synpunkter Ansvarskommitténs delbetänkande – Utvecklingskraft för hållbar välfärd (SOU 2003:123);Avsnittsindelningen//NN|UTR|SIN|DEF|NOM//nsubj//35 är//VB|PRS|AKT//cop//35 inte//AB//advmod//35 på//PP//case//34 något//DT|NEU|SIN|IND//det//34 sätt//NN|NEU|SIN|IND|NOM//obl//35 given//PC|PRF|UTR|SIN|IND|NOM//parataxis//21 .//MAD//punct//35
Sammanställning av inkomna synpunkter Ansvarskommitténs delbetänkande – Utvecklingskraft för hållbar välfärd (SOU 2003:123);Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//38 finns//VB|PRS|SFO//parataxis//35 synpunkter//NN|UTR|PLU|IND|NOM//nsubj//38 som//HP|-|-|-//nsubj:pass//45 mycket//AB|POS//advmod//42 väl//AB|POS//advmod//45 skulle//VB|PRT|AKT//aux//45 kunna//VB|INF|AKT//aux//45 placeras//VB|INF|SFO//acl:relcl//39 i//PP//case//49 ett//DT|NEU|SIN|IND//det//49 annat//JJ|POS|NEU|SIN|IND|NOM//amod//49 avsnitt//NN|NEU|SIN|IND|NOM//obl//45 än//KN//mark//54 där//HA//advmod//54 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//54 nu//AB//advmod//54 hamnat//VB|SUP|AKT//acl//49 ,//MID//punct//38 valet//NN|NEU|SIN|DEF|NOM//nsubj//61 är//VB|PRS|AKT//cop//61 i//PP//case//60 den//DT|UTR|SIN|DEF//det//60 meningen//NN|UTR|SIN|DEF|NOM//obl//61 subjektivt//AB|POS//conj//38 .//MAD//punct//38
Sammanställning av inkomna synpunkter Ansvarskommitténs delbetänkande – Utvecklingskraft för hållbar välfärd (SOU 2003:123);I//PP//case//64 sammanställningen//NN|UTR|SIN|DEF|NOM//obl//65 redovisas//VB|PRS|SFO//conj//38 endast//AB//advmod//65 exempel//NN|NEU|PLU|IND|NOM//nsubj:pass//65 på//PP//case//69 synpunkter//NN|UTR|PLU|IND|NOM//obl//65 .//MAD//punct//35
Sammanställning av inkomna synpunkter Ansvarskommitténs delbetänkande – Utvecklingskraft för hållbar välfärd (SOU 2003:123);Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//72 innebär//VB|PRS|AKT//parataxis//35 att//SN//mark//81 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//75 instanser//NN|UTR|PLU|IND|NOM//nsubj//81 som//HP|-|-|-//nsubj//77 inkommit//VB|SUP|AKT//acl:relcl//75 med//PP//case//79 synpunkter//NN|UTR|PLU|IND|NOM//obl//77 inte//AB//advmod//81 finns//VB|PRS|SFO//ccomp//72 refererade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//xcomp//81 .//MAD//punct//21
