B I L A G A 5;Landstingens//NN|NEU|PLU|DEF|GEN//ROOT//0

Bilaga 5;I//PP//case//2 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 uppdrag//NN|NEU|SIN|IND|NOM//obl//3 ingår//VB|PRS|AKT//ROOT//3 att//SN//mark//6 ”//PAD//nsubj//6 se//VB|INF|AKT//ccomp//3 över//PL//case//8 omhändertagandet//NN|NEU|SIN|DEF|NOM//obl//6 inom//PP//case//10 hälso-//NN|UTR|-|-|SMS//obl//6 och//KN//cc//12 sjukvården//NN|UTR|SIN|DEF|NOM//conj//10 av//PP//case//14 personer//NN|UTR|PLU|IND|NOM//nmod//12 som//HP|-|-|-//nsubj//16 relaterar//VB|PRS|AKT//acl:relcl//10 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//18 besvär//NN|NEU|PLU|IND|NOM//obj//16 till//PP//case//21 dentala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 material//NN|NEU|PLU|IND|NOM//obl//16 ”//PAD//punct//3 .//MAD//punct//3
Bilaga 5;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//28 har//VB|PRS|AKT//aux//28 också//AB//advmod//28 i//PP//case//28 uppdrag//NN|NEU|SIN|IND|NOM//parataxis//3 att//IE//mark//30 titta//VB|INF|AKT//acl//28 närmare//AB|KOM//advmod//30 på//PP//mark//40 hur//HA//advmod//40 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//40 i//PP//case//36 tandvårdsförordningen//NN|UTR|SIN|DEF|NOM//nmod//34 (//PAD//punct//36 1998:1338//RG|NOM//appos//36 )//PAD//punct//36 tolkas//VB|PRS|SFO//advcl//28 och//KN//cc//42 tillämpas//VB|PRS|SFO//conj//40 i//PP//case//45 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//45 landsting//NN|NEU|PLU|IND|NOM//obl//42 (//PAD//punct//45 dir//NN|AN//appos//45 .//MAD//punct//28
Bilaga 5;2002:60//RG|NOM//punct//3 )//PAD//punct//3 .//MAD//punct//3
Bilaga 5;Under//PP//case//1 oktober//NN|UTR|SIN|IND|NOM//obl//4 månad//NN|UTR|SIN|IND|NOM//nmod//3 2002//RG|NOM//nummod//1 skickades//VB|PRT|SFO//ROOT//4 därför//AB//advmod//4 en//DT|UTR|SIN|IND//det//7 enkät//NN|UTR|SIN|IND|NOM//nsubj:pass//4 till//PP//case//10 alla//DT|UTR/NEU|PLU|IND/DEF//det//10 landsting//NN|NEU|PLU|IND|NOM//nmod//7 med//PP//case//14 ett//DT|NEU|SIN|IND//det//13 antal//NN|NEU|SIN|IND|NOM//nmod//14 frågor//NN|UTR|PLU|IND|NOM//nmod//10 utifrån//PP//case//16 utredningsuppdraget//NN|NEU|SIN|DEF|NOM//nmod//14 .//MID//punct//4
Bilaga 5;De//DT|UTR/NEU|PLU|DEF//det//19 frågor//NN|UTR|PLU|IND|NOM//nsubj//24 som//HP|-|-|-//nsubj:pass//21 ställdes//VB|PRT|SFO//acl:relcl//19 i//PP//case//23 enkäten//NN|UTR|SIN|DEF|NOM//obl//21 handlade//VB|PRT|AKT//parataxis//4 bl.a.//AB|AN//advmod//24 om//PP//case//27 utbildning//NN|UTR|SIN|IND|NOM//obl//24 och//KN//cc//29 information//NN|UTR|SIN|IND|NOM//conj//27 för//PP//case//31 anställda//NN|UTR|PLU|IND|NOM//nmod//29 ,//MID//punct//24 hur//HA//advmod//40 patienter//NN|UTR|PLU|IND|NOM//nsubj:pass//40 med//PP//case//36 symtom//NN|NEU|PLU|IND|NOM//nmod//34 av//PP//case//39 dentala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 material//NN|NEU|PLU|IND|NOM//nmod//36 tas//VB|PRS|SFO//ccomp//24 om//PP//compound:prt//40 hand//NN|UTR|SIN|IND|NOM//compound:prt//40 inom//PP//case//44 vården//NN|UTR|SIN|DEF|NOM//obl//40 i//PP//advmod//40 dag//NN|UTR|SIN|IND|NOM//fixed//45 och//KN//cc//50 om//SN//mark//50 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//50 finns//VB|PRS|SFO//conj//40 några//DT|UTR/NEU|PLU|IND//det//52 planer//NN|UTR|PLU|IND|NOM//nsubj//50 på//PP//case//54 förändringar//NN|UTR|PLU|IND|NOM//nmod//52 av//PP//case//57 den//DT|UTR|SIN|DEF//det//57 vården//NN|UTR|SIN|DEF|NOM//nmod//54 .//MAD//punct//4
Bilaga 5;Frågorna//NN|UTR|PLU|DEF|NOM//nsubj//1 handlade//VB|PRT|AKT//ROOT//1 också//AB//advmod//1 om//PP//compound:prt//1 hur//HA//advmod//6 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 förhandsbedömningar//NN|UTR|PLU|IND|NOM//obj//1 enligt//PP//case//13 6//RG|NOM//nummod//11 och//KN//cc//8 7//RG|NOM//nummod//8 §//NN|AN//nmod//12 §//NN|AN//nmod//13 tandvårdsförordningen//NN|UTR|SIN|DEF|NOM//nmod//6 som//HP|-|-|-//nsubj//15 kommit//VB|SUP|AKT//acl:relcl//13 in//PL//compound:prt//15 till//PP//case//18 landstingen//NN|NEU|PLU|DEF|NOM//obl//15 under//PP//case//21 åren//NN|NEU|PLU|DEF|NOM//nmod//21 1999–2001//NN|UTR|SIN|IND|NOM//obl//15 ,//MID//punct//21 hur//HA//advmod//24 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//appos//21 som//HP|-|-|-//nsubj//26 blivit//VB|SUP|AKT//acl:relcl//24 avslagna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//26 och//KN//cc//29 kostnader//NN|UTR|PLU|IND|NOM//conj//24 för//PP//case//31 behandlingar//NN|UTR|PLU|IND|NOM//nmod//29 .//MAD//punct//1
Bilaga 5;Alla//DT|UTR/NEU|PLU|IND/DEF//det//1 landsting//NN|NEU|PLU|IND|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 besvarat//VB|SUP|AKT//ROOT//3 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//5 enkät//NN|UTR|SIN|IND|NOM//obj//3 .//MAD//punct//3
Bilaga 5;Men//KN//cc//12 alla//DT|UTR/NEU|PLU|IND/DEF//det//9 landsting//NN|NEU|PLU|IND|NOM//nsubj//12 har//VB|PRS|AKT//aux//12 inte//AB//advmod//12 avgett//VB|SUP|AKT//conj//3 fullständiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 svar//NN|NEU|PLU|IND|NOM//obj//12 på//PP//case//17 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//17 frågor//NN|UTR|PLU|IND|NOM//obl//12 .//MAD//punct//3
Bilaga 5;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//20 gäller//VB|PRS|AKT//parataxis//3 särskilt//AB//advmod//20 de//DT|UTR/NEU|PLU|DEF//det//23 frågor//NN|UTR|PLU|IND|NOM//obj//20 vi//PN|UTR|PLU|DEF|SUB//nsubj//25 ställde//VB|PRT|AKT//acl:relcl//23 om//PP//case//27 förhandsbedömningar//NN|UTR|PLU|IND|NOM//obl//25 .//MAD//punct//3
Bilaga 5;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//4 har//VB|PRS|AKT//aux//4 från//PP//case//3 landstingen//NN|NEU|PLU|DEF|NOM//obl//4 begärt//VB|SUP|AKT//ROOT//4 in//PL//compound:prt//4 uppgifter//NN|UTR|PLU|IND|NOM//obj//4 för//PP//case//9 åren//NN|NEU|PLU|DEF|NOM//nmod//9 1999//RG|NOM//obl//4 ,//MID//punct//9 2000//RG|NOM//nummod//9 och//KN//cc//9 2001//RG|NOM//nummod//9 om//PP//case//18 det//DT|NEU|SIN|DEF//det//17 totala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//17 antalet//NN|NEU|SIN|DEF|NOM//nmod//18 förhandsbedömningar//NN|UTR|PLU|IND|NOM//obl//4 för//PP//case//21 kategori//NN|UTR|SIN|IND|NOM//nmod//21 1–14//NN|NEU|SIN|IND|NOM//nmod//18 och//KN//cc//23 antalet//NN|NEU|SIN|DEF|NOM//conj//21 förhandsbedömningar//NN|UTR|PLU|IND|NOM//conj//18 respektive//AB//amod//26 kostnader//NN|UTR|PLU|IND|NOM//conj//24 uppdelat//PC|PRF|NEU|SIN|IND|NOM//advcl//4 på//PP//case//30 kategori//NN|UTR|SIN|IND|NOM//nmod//30 11//RG|NOM//obl//27 och//KN//cc//30 12//RG|NOM//nummod//30 .//MAD//punct//4
Bilaga 5;13//RG|NOM//nummod//35 landsting//NN|NEU|PLU|IND|NOM//nsubj//37 har//VB|PRS|AKT//aux//37 lämnat//VB|SUP|AKT//parataxis//4 i//PP//case//42 det//DT|NEU|SIN|DEF//det//42 närmaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//42 fullständiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 uppgifter//NN|UTR|PLU|IND|NOM//obl//37 för//PP//case//45 åren//NN|NEU|PLU|DEF|NOM//nmod//45 1999–2001//RG|NOM//nmod//42 ,//MID//punct//45 4//RG|NOM//nummod//45 för//PP//case//49 åren//NN|NEU|PLU|DEF|NOM//nmod//50 2000–2001//RG|NOM//obl//37 ,//MID//punct//50 2//RG|NOM//nummod//50 för//PP//case//55 år//NN|NEU|SIN|IND|NOM//nmod//55 2001//RG|NOM//obl//37 och//KN//cc//55 2//RG|NOM//nummod//55 har//VB|PRS|AKT//aux//59 lämnat//VB|SUP|AKT//conj//4 enstaka//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//61 uppgifter//NN|UTR|PLU|IND|NOM//obj//59 för//PP//case//65 de//DT|UTR/NEU|PLU|DEF//det//65 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//65 åren//NN|NEU|PLU|DEF|NOM//obl//59 .//MAD//punct//4
Bilaga 5;När//HA//mark//4 landstingen//NN|NEU|PLU|DEF|NOM//nsubj//4 inte//AB//advmod//4 har//VB|PRS|AKT//aux//4 lämnat//VB|SUP|AKT//advcl//7 en//DT|UTR|SIN|IND//det//6 uppgift//NN|UTR|SIN|IND|NOM//obj//4 redovisas//VB|PRS|SFO//ROOT//7 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//7 som//KN//mark//12 ”//PAD//punct//12 Uppgift//NN|UTR|SIN|IND|NOM//nsubj:pass//12 saknas//VB|PRS|SFO//advcl//7 ”//NN|UTR|SIN|IND|NOM//punct//7 .//MAD//punct//7
Bilaga 5;Orsaken//NN|UTR|SIN|DEF|NOM//nsubj:pass//7 till//PP//mark//21 att//SN//mark//21 landstingen//NN|NEU|PLU|DEF|NOM//nsubj//21 inte//AB//advmod//21 kunna//VB|INF|AKT//aux//21 lämna//VB|INF|AKT//acl//15 dessa//DT|UTR/NEU|PLU|DEF//det//23 uppgifter//NN|UTR|PLU|IND|NOM//obj//21 till//PP//case//25 utredningen//NN|UTR|SIN|DEF|NOM//obl//21 är//VB|PRS|AKT//cop//15 att//SN//mark//29 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//29 uppger//VB|PRS|AKT//csubj//15 att//SN//mark//35 de//DT|UTR/NEU|PLU|DEF//det//33 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 patientkategorierna//NN|UTR|PLU|DEF|NOM//nsubj:pass//35 inte//AB//advmod//35 bokförs//VB|PRS|SFO//ccomp//29 på//PP//case//39 ett//DT|NEU|SIN|IND//det//39 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//39 sätt//NN|NEU|SIN|IND|NOM//obl//35 att//SN//mark//43 uppgiften//NN|UTR|SIN|DEF|NOM//nsubj:pass//43 kunnat//VB|SUP|AKT//aux//43 tas//VB|INF|SFO//acl//39 fram//PL//compound:prt//43 utan//PP//case//49 en//DT|UTR|SIN|IND//det//49 mycket//AB|POS//advmod//48 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//49 arbetsinsats//NN|UTR|SIN|IND|NOM//obl//43 .//MAD//punct//7
Bilaga 5;I//PP//case//2 denna//DT|UTR|SIN|DEF//det//2 sammanställning//NN|UTR|SIN|IND|NOM//obl//6 av//PP//case//5 landstingens//NN|NEU|PLU|DEF|GEN//nmod:poss//5 svar//NN|NEU|PLU|IND|NOM//nmod//2 redovisas//VB|PRS|SFO//ROOT//6 siffrorna//NN|UTR|PLU|DEF|NOM//nsubj:pass//6 för//PP//case//9 förhandsbedömningarna//NN|UTR|PLU|DEF|NOM//obl//6 i//PP//case//13 en//DT|UTR|SIN|IND//det//13 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//13 tabelldel//NN|UTR|SIN|IND|NOM//nmod//9 .//MAD//punct//6
Bilaga 5;Frågeenkäten//NN|UTR|SIN|DEF|NOM//nsubj//1 finns//VB|PRS|SFO//ROOT//1 längst//AB|SUV//advmod//3 bak//AB//advmod//1 i//PP//case//6 denna//DT|UTR|SIN|DEF//det//6 bilaga//NN|UTR|SIN|IND|NOM//obl//1 .//MAD//punct//1
Bilaga 5;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 också//AB//advmod//3 skickat//VB|SUP|AKT//ROOT//3 en//DT|UTR|SIN|IND//det//5 enkät//NN|UTR|SIN|IND|NOM//obj//3 till//PP//case//8 landstingens//NN|NEU|PLU|DEF|GEN//nmod:poss//8 patientnämnder//NN|UTR|PLU|IND|NOM//nmod//5 .//MAD//punct//3
Bilaga 5;En//DT|UTR|SIN|IND//det//11 redogörelse//NN|UTR|SIN|IND|NOM//appos//3 för//PP//case//13 resultatet//NN|NEU|SIN|DEF|NOM//nmod//11 av//PP//case//15 den//PN|UTR|SIN|DEF|SUB/OBJ//nmod//13 finns//VB|PRS|SFO//conj//3 efter//PP//case//18 sammanställningen//NN|UTR|SIN|DEF|NOM//obl//16 av//PP//case//21 landstingens//NN|NEU|PLU|DEF|GEN//nmod:poss//21 svar//NN|NEU|SIN|IND|NOM//nmod//18 .//MAD//punct//3

1. Anordnar landstinget vidareutbildning i egen regi om hälsoproblem relaterade till amalgam och andra dentala material för tandläkare inom folktandvården?;Alla//DT|UTR/NEU|PLU|IND/DEF//det//1 landsting//NN|NEU|PLU|IND|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 besvarat//VB|SUP|AKT//ROOT//3 frågan//NN|UTR|SIN|DEF|NOM//obj//3 .//MAD//punct//4
1. Anordnar landstinget vidareutbildning i egen regi om hälsoproblem relaterade till amalgam och andra dentala material för tandläkare inom folktandvården?;17//RG|NOM//nummod//7 landsting//NN|NEU|PLU|IND|NOM//appos//4 uppger//VB|PRS|AKT//advcl//3 att//SN//mark//12 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//12 inte//AB//advmod//12 anordnar//VB|PRS|AKT//ccomp//8 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//14 utbildning//NN|UTR|SIN|IND|NOM//obj//12 för//PP//case//16 tandläkare//NN|UTR|PLU|IND|NOM//obl//12 ,//MID//punct//12 3//RG|NOM//nummod//21 att//SN//mark//21 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//21 gör//VB|PRS|AKT//conj//3 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//21 ://MID//punct//21
1. Anordnar landstinget vidareutbildning i egen regi om hälsoproblem relaterade till amalgam och andra dentala material för tandläkare inom folktandvården?;Jönköping//PM|NOM//appos//21 ,//MID//punct//26 Örebro//PM|NOM//conj//24  //_SP////26 och//KN//cc//29 Norrbotten//PM|NOM//conj//24 .//MID//punct//21
1. Anordnar landstinget vidareutbildning i egen regi om hälsoproblem relaterade till amalgam och andra dentala material för tandläkare inom folktandvården?;Västerbotten//PM|NOM//appos//21  //_SP////31 som//HP|-|-|-//nsubj//35 har//VB|PRS|AKT//aux//35 svarat//VB|SUP|AKT//acl:relcl//31 både//KN//cc//37 ja//IN//obj//35 och//KN//cc//42 nej//IN//nsubj//42 på//PP//case//41 frågan//NN|UTR|SIN|DEF|NOM//nmod//39 uppger//VB|PRS|AKT//conj//3 att//SN//mark//46 landstinget//NN|NEU|SIN|DEF|NOM//nsubj//46 inte//AB//advmod//46 anordnar//VB|PRS|AKT//ccomp//42 utbildning//NN|UTR|SIN|IND|NOM//obj//46 i//PP//case//50 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//50 regi//NN|UTR|SIN|IND|NOM//obl//46 ,//MID//punct//57 men//KN//cc//57 att//SN//mark//57 tandläkare//NN|UTR|PLU|IND|NOM//nsubj:pass//57 inom//PP//case//56 landstinget//NN|NEU|SIN|DEF|NOM//nmod//54 uppmuntras//VB|PRS|SFO//conj//3 att//IE//mark//59 läsa//VB|INF|AKT//xcomp//57 kurser//NN|UTR|PLU|IND|NOM//obj//59 på//PP//case//62 universitet//NN|NEU|SIN|IND|NOM//obl//59 .//MAD//punct//3
1. Anordnar landstinget vidareutbildning i egen regi om hälsoproblem relaterade till amalgam och andra dentala material för tandläkare inom folktandvården?;Flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//1 landsting//NN|NEU|PLU|IND|NOM//nsubj//2 uppger//VB|PRS|AKT//ROOT//2 att//SN//mark//7 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//7 är//VB|PRS|AKT//cop//7 vårdgivarens//NN|UTR|SIN|DEF|GEN//nmod:poss//7 ansvar//NN|NEU|SIN|IND|NOM//ccomp//2 att//IE//mark//9 anordna//VB|INF|AKT//acl//7 utbildning//NN|UTR|SIN|IND|NOM//obj//9 .//MID//punct//2
1. Anordnar landstinget vidareutbildning i egen regi om hälsoproblem relaterade till amalgam och andra dentala material för tandläkare inom folktandvården?;Ett//DT|NEU|SIN|IND//det//13 landsting//NN|NEU|SIN|IND|NOM//nsubj//14 uppger//VB|PRS|AKT//parataxis//2 att//SN//mark//18 man//PN|UTR|SIN|IND|SUB//nsubj//18 tidigare//AB|KOM//advmod//18 anordnade//VB|PRT|AKT//ccomp//14 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//20 kurser//NN|UTR|PLU|IND|NOM//obj//18 ,//MID//punct//27 men//KN//cc//27 att//SN//mark//27 intresset//NN|NEU|SIN|DEF|NOM//nsubj//27 varit//VB|SUP|AKT//cop//27 alltför//AB//advmod//27 lågt//JJ|POS|NEU|SIN|IND|NOM//conj//14 .//MAD//punct//27
1. Anordnar landstinget vidareutbildning i egen regi om hälsoproblem relaterade till amalgam och andra dentala material för tandläkare inom folktandvården?;I//PP//case//30 Skåne//PM|NOM//obl//32  //_SP////30 anordnar//VB|PRS|AKT//conj//14 folktandvården//NN|UTR|SIN|DEF|NOM//nsubj//32 kurser//NN|UTR|PLU|IND|NOM//obj//32 om//PP//case//37 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 fyllningsmaterial//NN|NEU|PLU|IND|NOM//nmod//34 och//KN//cc//40 tandvårdsnämnden//NN|UTR|SIN|DEF|NOM//nsubj//40 har//VB|PRS|AKT//conj//14 anordnat//VB|SUP|AKT//amod//42 seminarier//NN|NEU|PLU|IND|NOM//obj//40 för//PP//case//45 både//KN//cc//45 tandläkare//NN|UTR|PLU|IND|NOM//obl//40 och//KN//cc//47 läkare//NN|UTR|PLU|IND|NOM//conj//45 där//HA//advmod//51 frågorna//NN|UTR|PLU|DEF|NOM//nsubj:pass//51 har//VB|PRS|AKT//aux//51 diskuterats//VB|SUP|SFO//acl:relcl//47 .//MAD//punct//14
1. Anordnar landstinget vidareutbildning i egen regi om hälsoproblem relaterade till amalgam och andra dentala material för tandläkare inom folktandvården?;2//RG|NOM//punct//2 .//MAD//punct//2
1. Anordnar landstinget vidareutbildning i egen regi om hälsoproblem relaterade till amalgam och andra dentala material för tandläkare inom folktandvården?;Anordnar//VB|PRS|AKT//parataxis//2 landstinget//NN|NEU|SIN|DEF|NOM//amod//57 vidareutbildning//NN|UTR|SIN|IND|NOM//obj//55 i//PP//case//60 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//60 regi//NN|UTR|SIN|IND|NOM//obl//55 om//PP//case//62 hälsoproblem//NN|NEU|PLU|IND|NOM//nmod//60 relaterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//62 till//PP//case//65 amalgam//NN|NEU|SIN|IND|NOM//obl//63 och//KN//cc//69 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//69 dentala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//69 material//NN|NEU|PLU|IND|NOM//conj//65 för//PP//case//71 anställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//nmod//72 läkare//NN|UTR|PLU|IND|NOM//nsubj//55  //_SP////72 inom//PP//case//75 primärvården//NN|UTR|SIN|DEF|NOM//obl//55 ?//MAD//punct//2
1. Anordnar landstinget vidareutbildning i egen regi om hälsoproblem relaterade till amalgam och andra dentala material för tandläkare inom folktandvården?;Alla//DT|UTR/NEU|PLU|IND/DEF//det//1 landsting//NN|NEU|PLU|IND|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 besvarat//VB|SUP|AKT//ROOT//3 frågan//NN|UTR|SIN|DEF|NOM//obj//3 .//MAD//punct//4
1. Anordnar landstinget vidareutbildning i egen regi om hälsoproblem relaterade till amalgam och andra dentala material för tandläkare inom folktandvården?;17//RG|NOM//nummod//7 landsting//NN|NEU|PLU|IND|NOM//appos//4 uppger//VB|PRS|AKT//advcl//3 att//SN//mark//12 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//12 inte//AB//advmod//12 anordnar//VB|PRS|AKT//ccomp//8 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//14 utbildning//NN|UTR|SIN|IND|NOM//obj//12 för//PP//case//16 läkare//NN|UTR|PLU|IND|NOM//obl//12 ,//MID//punct//12 2//RG|NOM//nummod//21 att//SN//mark//21 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//21 gör//VB|PRS|AKT//conj//3 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//21 och//KN//cc//24 2//RG|NOM//conj//21 har//VB|PRS|AKT//aux//26 svarat//VB|SUP|AKT//conj//3 vet//VB|PRS|AKT//xcomp//26 ej//AB//advmod//27 .//MAD//punct//3
