4 Sysselsättning och kapitalavkastning ;I//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 kapitel//NN|NEU|SIN|IND|NOM//obl//3 behandlas//VB|PRS|SFO//ROOT//3 två//RG|NOM//nummod//6 viktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 bestämningsfaktorer//NN|UTR|PLU|IND|NOM//nsubj:pass//3 för//PP//case//8 balanstalet//NN|NEU|SIN|DEF|NOM//nmod//6 och//KN//cc//10 därmed//AB//conj//3 för//PP//case//14 fördelningssystemets//NN|NEU|SIN|DEF|GEN//nmod:poss//14 finansiella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 utveckling//NN|UTR|SIN|IND|NOM//obl//10 ,//MID//punct//10 nämligen//AB//advmod//17 sysselsättningen//NN|UTR|SIN|DEF|NOM//parataxis//10 och//KN//cc//19 avkastningen//NN|UTR|SIN|DEF|NOM//conj//17 på//PP//case//21 kapital//NN|NEU|SIN|IND|NOM//nmod//19 i//PP//case//23 buffertfonden//NN|UTR|SIN|DEF|NOM//nmod//21 .//MAD//punct//3
4 Sysselsättning och kapitalavkastning ;Kapitlet//NN|NEU|SIN|DEF|NOM//nsubj//26 ger//VB|PRS|AKT//parataxis//3 en//DT|UTR|SIN|IND//det//31 principiell//JJ|POS|UTR|SIN|IND|NOM//amod//31 och//KN//cc//30 empirisk//JJ|POS|UTR|SIN|IND|NOM//conj//28 grund//NN|UTR|SIN|IND|NOM//obj//26 för//PP//case//33 UTÖ-modellen//NN|UTR|SIN|DEF|NOM//obl//26 ,//MID//punct//26 den//DT|UTR|SIN|DEF//det//36 simuleringsmodell//NN|UTR|SIN|IND|NOM//conj//26 som//HP|-|-|-//obj//39 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//39 använder//VB|PRS|AKT//acl:relcl//36 för//PP//mark//42 att//IE//mark//42 undersöka//VB|INF|AKT//advcl//39 effekter//NN|UTR|PLU|IND|NOM//obj//42 av//PP//case//48 en//DT|UTR|SIN|IND//det//48 automatiskt//AB|POS//advmod//47 verkande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//48 regel//NN|UTR|SIN|IND|NOM//nmod//43 för//PP//case//50 utdelning//NN|UTR|SIN|IND|NOM//obl//42 av//PP//case//52 överskott//NN|NEU|SIN|IND|NOM//nmod//50 i//PP//case//54 fördelningssystemet//NN|NEU|SIN|DEF|NOM//nmod//52 .//MAD//punct//26
4 Sysselsättning och kapitalavkastning ;I//PP//case//1 kapitlet//NN|NEU|SIN|DEF|NOM//obl//2 redovisas//VB|PRS|SFO//ROOT//2 dels//KN//advmod//5 de//DT|UTR/NEU|PLU|DEF//det//5 antaganden//NN|NEU|PLU|IND|NOM//nsubj:pass//2 som//HP|-|-|-//nsubj:pass//7 gjorts//VB|SUP|SFO//acl:relcl//5 om//PP//case//9 sysselsättning//NN|UTR|SIN|IND|NOM//obl//7 och//KN//cc//11 kapitalavkastning//NN|UTR|SIN|IND|NOM//conj//9 på//PP//case//14 lång//JJ|POS|UTR|SIN|IND|NOM//amod//14 sikt//NN|UTR|SIN|IND|NOM//nmod//11 ,//MID//punct//5 dels//KN//advmod//18 de//DT|UTR/NEU|PLU|DEF//det//18 modellsamband//NN|NEU|PLU|IND|NOM//appos//5 som//HP|-|-|-//nsubj:pass//20 konstruerats//VB|SUP|SFO//acl:relcl//18 för//PP//mark//23 att//IE//mark//23 avbilda//VB|INF|AKT//advcl//20 kortsiktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 variationer//NN|UTR|PLU|IND|NOM//obj//23 i//PP//case//28 dessa//DT|UTR/NEU|PLU|DEF//det//28 bestämningsfaktorer//NN|UTR|PLU|IND|NOM//obl//23 .//MAD//punct//2
4 Sysselsättning och kapitalavkastning ;Delvis//AB//advmod//34 är//VB|PRS|AKT//cop//34 framställningen//NN|UTR|SIN|DEF|NOM//advmod//34 ganska//AB//advmod//34 teknisk//JJ|POS|UTR|SIN|IND|NOM//conj//2 och//KN//cc//38 en//DT|UTR|SIN|IND//det//37 del//NN|UTR|SIN|IND|NOM//nmod//38 innehåll//NN|NEU|SIN|IND|NOM//conj//34 har//VB|PRS|AKT//aux//40 förlagts//VB|SUP|SFO//conj//34 till//PP//case//42 fotnoter//NN|UTR|PLU|IND|NOM//obl//40 .//MAD//punct//2
4 Sysselsättning och kapitalavkastning ;Dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj//47 torde//VB|PRT|AKT//aux//47 kunna//VB|INF|AKT//aux//47 hoppas//VB|INF|SFO//parataxis//2 över//PL//compound:prt//47 utan//PP//mark//55 att//SN//mark//55 förståelsen//NN|UTR|SIN|DEF|NOM//nsubj:pass//55 i//PP//case//54 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//54 huvuddrag//NN|NEU|PLU|IND|NOM//nmod//51 äventyras//VB|PRS|SFO//advcl//47 nämnvärt//AB|POS//advmod//55 .//MAD//punct//47
4 Sysselsättning och kapitalavkastning ;4.1//RG|NOM//nmod//1 Utgångspunkter//NN|UTR|PLU|IND|NOM//ROOT//1
4 Sysselsättning och kapitalavkastning ;Viktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 komponenter//NN|UTR|PLU|IND|NOM//nsubj//19 i//PP//case//4 en//DT|UTR|SIN|IND//det//4 modell//NN|UTR|SIN|IND|NOM//nmod//1 som//HP|-|-|-//nsubj//7 skall//VB|PRS|AKT//aux//7 avbilda//VB|INF|AKT//acl:relcl//4 ett//DT|NEU|SIN|IND//det//9 pensionssystems//NN|NEU|SIN|IND|GEN//nmod:poss//11 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 tillgångar//NN|UTR|PLU|IND|NOM//obj//7 och//KN//cc//13 skulder//NN|UTR|PLU|IND|NOM//conj//11 är//VB|PRS|AKT//cop//19 de//DT|UTR/NEU|PLU|DEF//det//19 befolkningsmässiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 och//KN//cc//18 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//16 förutsättningarna//NN|UTR|PLU|DEF|NOM//ROOT//19 .//MID//punct//19
4 Sysselsättning och kapitalavkastning ;Hur//HA//advmod//26 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//26 kommer//VB|PRS|AKT//aux//26 att//IE//mark//26 vara//VB|INF|AKT//cop//26 förvärvsaktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//appos//19 och//KN//cc//29 därmed//AB//advmod//29 tjäna//VB|INF|AKT//conj//26 in//PL//compound:prt//29 pensionsrätt//NN|UTR|SIN|IND|NOM//obj//29 ,//MID//punct//26 samtidigt//AB//mark//36 som//HA//fixed//33 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//36 betalar//VB|PRS|AKT//advcl//19 in//PL//compound:prt//36 pensionsavgifter//NN|UTR|PLU|IND|NOM//obj//36 ?//MID//punct//19
4 Sysselsättning och kapitalavkastning ;Hur//HA//advmod//45 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//45 kommer//VB|PRS|AKT//aux//45 att//IE//mark//45 vara//VB|INF|AKT//cop//45 pensionärer//NN|UTR|PLU|IND|NOM//appos//19 och//KN//cc//53 hur//HA//advmod//48 länge//AB|POS//advmod//53 ?//MID//punct//48
4 Sysselsättning och kapitalavkastning ;Hur//HA//advmod//51 stor//JJ|POS|UTR|SIN|IND|NOM//amod//52 avkastning//NN|UTR|SIN|IND|NOM//nsubj//53 kommer//VB|PRS|AKT//conj//19 buffertfondens//NN|UTR|SIN|DEF|GEN//nmod:poss//55 placeringar//NN|UTR|PLU|IND|NOM//obj//53 i//PP//case//57 obligationer//NN|UTR|PLU|IND|NOM//nmod//55 och//KN//cc//59 aktier//NN|UTR|PLU|IND|NOM//conj//57 att//IE//mark//61 ge//VB|INF|AKT//acl//59 ?//MAD//punct//19
4 Sysselsättning och kapitalavkastning ;De//DT|UTR/NEU|PLU|DEF//det//2 demografiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 förutsättningarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//6 i//PP//case//4 UTÖ-modellen//NN|UTR|SIN|DEF|NOM//nmod//2 har//VB|PRS|AKT//aux//6 hämtats//VB|SUP|SFO//ROOT//6 från//PP//case//9 den//DT|UTR|SIN|DEF//det//9 framskrivningsmodell//NN|UTR|SIN|IND|NOM//obl//6 som//HP|-|-|-//nsubj:pass//11 utvecklats//VB|SUP|SFO//acl:relcl//9 av//PP//case//13 Riksförsäkringsverket//NN|NEU|SIN|DEF|NOM//obl:agent//11 ,//MID//punct//18 och//KN//cc//18 som//HP|-|-|-//nsubj//18 bl.a.//AB|AN//advmod//18 bygger//VB|PRS|AKT//conj//11 på//PP//case//20 SCB//PM|NOM//obl//18 ://MID//punct//20 s//PP//nummod//23 befolkningsprognos//NN|UTR|SIN|IND|NOM//appos//20 .//MAD//punct//6
4 Sysselsättning och kapitalavkastning ;Valet//NN|NEU|SIN|DEF|NOM//nsubj:pass//33 av//PP//case//28 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 förutsättningar//NN|UTR|PLU|IND|NOM//nmod//25 som//HP|-|-|-//nsubj//30 ingår//VB|PRS|AKT//acl:relcl//28 i//PP//case//32 UTÖ-modellen//NN|UTR|SIN|DEF|NOM//obl//30 styrs//VB|PRS|SFO//conj//6 bl.a.//AB|AN//advmod//33 av//PP//case//39 det//DT|NEU|SIN|DEF//det//38 reformerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//38 fördelningssystemets//NN|NEU|SIN|DEF|GEN//nmod:poss//39 konstruktion//NN|UTR|SIN|IND|NOM//obl:agent//33 .//MID//punct//33
4 Sysselsättning och kapitalavkastning ;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//42 utvecklas//VB|PRS|SFO//parataxis//33 närmare//AB|KOM//advmod//42 nedan//AB//advmod//42 .//MAD//punct//6
4 Sysselsättning och kapitalavkastning ;Sysselsättning//NN|UTR|SIN|IND|NOM//ROOT//0 och//KN//cc//2 kapitalavkastning//NN|UTR|SIN|IND|NOM//conj//0
4 Sysselsättning och kapitalavkastning ;Med//PP//case//1 pensionsreformen//NN|UTR|SIN|DEF|NOM//obl//4 har//VB|PRS|AKT//aux//4 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//4 blivit//VB|SUP|AKT//ROOT//4 möjligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//4 att//IE//mark//7 följa//VB|INF|AKT//csubj//4 systemets//NN|NEU|SIN|DEF|GEN//nmod:poss//10 finansiella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 ställning//NN|UTR|SIN|IND|NOM//obj//7 i//PP//case//12 termer//NN|UTR|PLU|IND|NOM//obl//7 av//PP//case//14 tillgångar//NN|UTR|PLU|IND|NOM//nmod//12 och//KN//cc//16 skulder//NN|UTR|PLU|IND|NOM//conj//14 .//MAD//punct//4
4 Sysselsättning och kapitalavkastning ;Systemet//NN|NEU|SIN|DEF|NOM//nsubj//19 har//VB|PRS|AKT//parataxis//4 två//RG|NOM//nummod//21 slags//NN|NEU|PLU|IND|GEN//nmod:poss//22 tillgångar//NN|UTR|PLU|IND|NOM//obj//19 som//HP|-|-|-//nsubj//26 tillsammans//AB//advmod//26 skall//VB|PRS|AKT//aux//26 säkra//VB|INF|AKT//acl:relcl//22 möjligheterna//NN|UTR|PLU|DEF|NOM//obj//26 att//IE//mark//31 i//PP//case//30 framtiden//NN|UTR|SIN|DEF|NOM//obl//31 betala//VB|INF|AKT//acl//27 ut//PL//compound:prt//31 pensioner//NN|UTR|PLU|IND|NOM//obj//31 och//KN//cc//36 därmed//AB//advmod//36 uppfylla//VB|INF|AKT//conj//31 sitt//PS|NEU|SIN|DEF//nmod:poss//38 åtagande//NN|NEU|SIN|IND|NOM//obj//36 .//MAD//punct//19
4 Sysselsättning och kapitalavkastning ;Det//DT|NEU|SIN|DEF//det//42 ena//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//42 tillgångsslaget//NN|NEU|SIN|DEF|NOM//nsubj//46 är//VB|PRS|AKT//cop//46 den//DT|UTR|SIN|DEF//det//46 s.k.//AB|AN//amod//46 avgiftstillgången//NN|UTR|SIN|DEF|NOM//parataxis//19 ,//MID//punct//46 som//HP|-|-|-//nsubj//49 består//VB|PRS|AKT//acl:relcl//46 av//PP//case//53 den//DT|UTR|SIN|DEF//det//53 lagstadgade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//53 skyldigheten//NN|UTR|SIN|DEF|NOM//obl//49 för//PP//case//55 arbetsgivare//NN|UTR|PLU|IND|NOM//nmod//53 ,//MID//punct//57 arbetstagare//NN|UTR|PLU|IND|NOM//conj//55 och//KN//cc//62 i//PP//case//61 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//61 avseenden//NN|NEU|PLU|IND|NOM//nmod//62 staten//NN|UTR|SIN|DEF|NOM//conj//55 att//IE//mark//64 betala//VB|INF|AKT//advcl//49 in//PL//compound:prt//64 pensionsavgifter//NN|UTR|PLU|IND|NOM//obj//64 .//MAD//punct//19
4 Sysselsättning och kapitalavkastning ;Det//DT|NEU|SIN|DEF//det//69 andra//RO|NOM//nsubj//71 är//VB|PRS|AKT//cop//71 buffertfonden//NN|UTR|SIN|DEF|NOM//parataxis//19 ,//MID//punct//71 som//HP|-|-|-//nsubj//74 består//VB|PRS|AKT//acl:relcl//71 av//PP//case//76 aktier//NN|UTR|PLU|IND|NOM//obl//74 ,//MID//punct//78 obligationer//NN|UTR|PLU|IND|NOM//conj//76 och//KN//cc//81 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//81 värdepapper//NN|NEU|PLU|IND|NOM//conj//76 .//MAD//punct//4
