7 Särskilt beträffande kulturinstitutioner ;Kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//8 ://MID//punct//1
7 Särskilt beträffande kulturinstitutioner ; //_SP////2 En//DT|UTR|SIN|IND//det//6 oberoende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 besiktningsman//NN|UTR|SIN|IND|NOM//nsubj:pass//8 skall//VB|PRS|AKT//aux//8 tillsättas//VB|INF|SFO//ROOT//8 av//PP//case//10 regeringen//NN|UTR|SIN|DEF|NOM//obl:agent//8 för//PP//mark//13 att//IE//mark//13 bedöma//VB|INF|AKT//advcl//8 kulturinstitutionernas//NN|UTR|PLU|DEF|GEN//nmod:poss//15 underhållsbehov//NN|NEU|PLU|IND|NOM//obj//13 och//KN//cc//17 undersöka//VB|INF|AKT//conj//13 om//SN//mark//20 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//20 föreligger//VB|PRS|AKT//advcl//17 eftersatt//PC|PRF|NEU|SIN|IND|NOM//amod//22 underhåll//NN|NEU|SIN|IND|NOM//nsubj//20 .//MAD//punct//8
7 Särskilt beträffande kulturinstitutioner ;Kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//1 bedömning//NN|UTR|SIN|IND|NOM//nsubj//11 ://MID//punct//1
7 Särskilt beträffande kulturinstitutioner ; //_SP////2 Vid//PP//case//5 hyressättning//NN|UTR|SIN|IND|NOM//nmod//1 av//PP//case//7 ändamålsbyggnader//NN|UTR|PLU|IND|NOM//nmod//5 bör//VB|PRS|AKT//aux//11 ett//DT|NEU|SIN|IND//det//10 avkastningskrav//NN|NEU|SIN|IND|NOM//nsubj//11 ingå//VB|INF|AKT//ROOT//11 .//MAD//punct//11
7 Särskilt beträffande kulturinstitutioner ;En//DT|UTR|SIN|IND//det//14 riskpremie//NN|UTR|SIN|IND|NOM//nsubj//18 bör//VB|PRS|AKT//aux//18 vara//VB|INF|AKT//cop//18 en//DT|UTR|SIN|IND//det//18 del//NN|UTR|SIN|IND|NOM//parataxis//11 av//PP//case//20 avkastningskravet//NN|NEU|SIN|DEF|NOM//nmod//18 .//MAD//punct//11

7.1 Inledning;I//PP//case//1 november//NN|UTR|SIN|IND|NOM//obl//4 år//NN|NEU|SIN|IND|NOM//nmod//3 2000//RG|NOM//nummod//1 beslutade//VB|PRT|AKT//ROOT//4 Finansdepartementet//NN|NEU|SIN|DEF|NOM//nsubj//4 att//IE//mark//7 tillsätta//VB|INF|AKT//acl//5 en//DT|UTR|SIN|IND//det//9 arbetsgrupp//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//11 uppgift//NN|UTR|SIN|IND|NOM//obl//7 att//IE//mark//13 se//VB|INF|AKT//advcl//7 över//PL//case//15 hyressättningen//NN|UTR|SIN|DEF|NOM//obl//13 i//PP//case//19 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 ändamålsfastigheter//NN|UTR|PLU|IND|NOM//obl//13 .//MAD//punct//4
7.1 Inledning;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//24 till//PP//case//23 arbetsgruppen//NN|UTR|SIN|DEF|NOM//nmod//21 var//VB|PRT|AKT//parataxis//4 att//IE//mark//26 göra//VB|INF|AKT//xcomp//24 en//DT|UTR|SIN|IND//det//28 översyn//NN|UTR|SIN|IND|NOM//obj//26 av//PP//case//30 hyresprinciperna//NN|UTR|PLU|DEF|NOM//nmod//28 och//KN//cc//33 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//33 tillämpning//NN|UTR|SIN|IND|NOM//conj//30 för//PP//case//37 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 ändamålsfastigheter//NN|UTR|PLU|IND|NOM//nmod//33 ,//MID//punct//42 i//PP//case//42 första//RO|NOM//fixed//39 hand//NN|UTR|SIN|IND|NOM//fixed//39 kulturinstitutionerna//NN|UTR|PLU|DEF|NOM//obl//24 ,//MID//punct//46 samt//KN//cc//46 att//IE//mark//46 föreslå//VB|INF|AKT//conj//4 de//DT|UTR/NEU|PLU|DEF//det//48 ändringar//NN|UTR|PLU|IND|NOM//obj//46 som//HP|-|-|-//obl//51 översynen//NN|UTR|SIN|DEF|NOM//nsubj//51 gav//VB|PRT|AKT//acl:relcl//48 anledning//NN|UTR|SIN|IND|NOM//obj//51 till//PP//case//49 .//MAD//punct//4
7.1 Inledning;Arbetsgruppen//NN|UTR|SIN|DEF|NOM//nsubj//1 ansåg//VB|PRT|AKT//ROOT//1 att//SN//mark//12 tillämpningen//NN|UTR|SIN|DEF|NOM//nsubj//12 av//PP//case//7 de//DT|UTR/NEU|PLU|DEF//det//7 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 hyresmodellerna//NN|UTR|PLU|DEF|NOM//nmod//3 på//PP//case//11 det//DT|NEU|SIN|DEF//det//11 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//11 taget//PC|PRF|NEU|SIN|IND|NOM//nmod//7 syntes//VB|PRT|SFO//ccomp//1 rimlig//JJ|POS|UTR|SIN|IND|NOM//xcomp//12 ,//MID//punct//16 men//KN//cc//16 fann//VB|PRT|AKT//conj//1 att//SN//mark//30 den//DT|UTR|SIN|DEF//det//20 marknadsliknande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//20 hyresmodell//NN|UTR|SIN|IND|NOM//nsubj//30 som//HP|-|-|-//nsubj:pass//22 användes//VB|PRT|SFO//acl:relcl//20 för//PP//mark//25 att//IE//mark//25 fastställa//VB|INF|AKT//advcl//22 hyran//NN|UTR|SIN|DEF|NOM//obj//25 för//PP//case//29 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 ändamålslokaler//NN|UTR|PLU|IND|NOM//obl//25 framstod//VB|PRT|AKT//ccomp//16 som//KN//mark//32 tveksam//JJ|POS|UTR|SIN|IND|NOM//xcomp//30 för//PP//case//35 de//DT|UTR/NEU|PLU|DEF//det//35 huvudbyggnader//NN|UTR|PLU|IND|NOM//obl//30 som//HP|-|-|-//nsubj:pass//37 används//VB|PRS|SFO//acl:relcl//35 av//PP//case//39 Operan//PM|NOM//obl:agent//37 ,//MID//punct//41 Dramaten//PM|NOM//conj//39 ,//MID//punct//43 Nationalmuseum//NN|NEU|SIN|DEF|NOM//conj//39 ,//MID//punct//46 Naturhistoriska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//46 riksmuseet//NN|NEU|SIN|DEF|NOM//conj//39 och//KN//cc//49 Historiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//49 museet//NN|NEU|SIN|DEF|NOM//conj//39 .//MAD//punct//1
7.1 Inledning;Arbetsgruppens//NN|UTR|SIN|DEF|GEN//nmod:poss//52 översyn//NN|UTR|SIN|IND|NOM//nsubj//53 ledde//VB|PRT|AKT//conj//1 till//PP//compound:prt//53 att//SN//mark//57 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//57 beslutade//VB|PRT|AKT//ccomp//53 om//PP//case//60 kostnadsbaserad//PC|PRF|UTR|SIN|IND|NOM//amod//60 hyra//NN|UTR|SIN|IND|NOM//obl//57 för//PP//case//66 ovan//AB//advmod//63 nämnda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//65 fem//RG|NOM//nummod//65 kulturinstitutioners//NN|UTR|PLU|IND|GEN//nmod:poss//66 huvudbyggnader//NN|UTR|PLU|IND|NOM//obl//60 .//MAD//punct//1
7.1 Inledning;Under//PP//case//2 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//2 arbete//NN|NEU|SIN|IND|NOM//obl//4 har//VB|PRS|AKT//aux//4 framkommit//VB|SUP|AKT//ROOT//4 att//SN//mark//13 enbart//AB//advmod//7 en//RG|UTR|SIN|IND|NOM//nsubj//13 av//PP//case//11 ovan//AB//advmod//10 nämnda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//11 institutioner//NN|UTR|PLU|IND|NOM//nmod//7 har//VB|PRS|AKT//aux//13 träffat//VB|SUP|AKT//ccomp//4 avtal//NN|NEU|SIN|IND|NOM//obj//13 med//PP//case//17 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//17 fastighetsverk//NN|NEU|SIN|IND|NOM//nmod//14 (//PAD//punct//19 SFV//PM|NOM//appos//17 )//PAD//punct//19 om//PP//case//22 hyressättningen//NN|UTR|SIN|DEF|NOM//obl//13 .//MAD//punct//27
