4WFOTL  LPE  GÚS   CPMBHTTUZSOJOH ;&//KN|AN//cc//2 ÚRSLAG//JJ|POS|UTR/NEU|SIN|DEF|NOM//mark//2 FRÍN//PM|NOM//ROOT//2 +//MID//cc//4 ODGRUPPEN//PM|NOM//conj//2


Svensk kod för bolagsstyrning Förslag från Kodgruppen;Stockholm//PM|NOM//ROOT//0 2004//RG|NOM//nummod//0

Förord;Härmed//AB//advmod//1 presenteras//VB|PRS|SFO//ROOT//1 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//1 till//PP//case//6 en//DT|UTR|SIN|IND//det//6 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//6 kod//NN|UTR|SIN|IND|NOM//nmod//2 för//PP//case//8 bolagsstyrning//NN|UTR|SIN|IND|NOM//nmod//6 (//PAD//punct//11 corporate//UO//amod//11 governance//UO//appos//8 )//PAD//punct//2 .//MAD//punct//1
Förord;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//6 med//PP//mark//3 att//IE//mark//3 utveckla//VB|INF|AKT//acl//0 koden//NN|UTR|SIN|DEF|NOM//obj//3 har//VB|PRS|AKT//aux//6 bedrivits//VB|SUP|SFO//ROOT//6 inom//PP//case//10 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 arbetsgrupp//NN|UTR|SIN|IND|NOM//obl//6 ,//MID//punct//14 den//DT|UTR|SIN|DEF//det//14 s.k.//AB|AN//amod//14 Kodgruppen//NN|UTR|SIN|DEF|NOM//appos//10 ,//MID//punct//17 i//PP//case//17 samverkan//NN|UTR|SIN|IND|NOM//conj//10 mellan//PP//case//19 Förtroendekommissionen//NN|UTR|SIN|DEF|NOM//nmod//17 och//KN//cc//22 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//22 organ//NN|NEU|PLU|IND|NOM//conj//19 och//KN//cc//24 organisationer//NN|UTR|PLU|IND|NOM//conj//19 i//PP//case//26 näringslivet//NN|NEU|SIN|DEF|NOM//nmod//24 ://MID//punct//10
Förord;Föreningen//NN|UTR|SIN|DEF|NOM//nmod//30 Auktoriserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//30 Revisorer//NN|UTR|PLU|IND|NOM//appos//10 (//PAD//punct//30 FAR//PM|NOM//appos//30 )//PAD//punct//32 ,//MID//punct//36 Näringslivets//NN|NEU|SIN|DEF|GEN//nmod:poss//36 Börskommitté//PM|NOM//conj//30 ,//MID//punct//36 Stockholmsbörsen//PM|NOM//conj//30 ,//MID//punct//41 Stockholms//PM|GEN//nmod:poss//41 Handelskammare//NN|UTR|SIN|IND|NOM//nmod//38 ,//MID//punct//44 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//44 Bankföreningen//NN|UTR|SIN|DEF|NOM//conj//38 ,//MID//punct//47 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//47 Fondhandlareföreningen//NN|UTR|SIN|DEF|NOM//conj//38 ,//MID//punct//50 Svenskt//JJ|POS|NEU|SIN|IND|NOM//compound//50 Näringsliv//NN|NEU|SIN|IND|NOM//conj//38 ,//MID//punct//54 Sveriges//PM|GEN//nmod:poss//54 Aktiesparares//NN|UTR|PLU|IND|GEN//compound//54 Riksförbund//NN|NEU|SIN|IND|NOM//conj//38 och//KN//cc//57 Sveriges//PM|GEN//nmod:poss//57 Försäkringsförbund//NN|NEU|SIN|IND|NOM//conj//38 .//MAD//punct//6
Förord;Deltagare//NN|UTR|PLU|IND|NOM//nsubj//4 från//PP//case//2 Förtroendekommissionen//NN|UTR|SIN|DEF|NOM//nmod//0 har//VB|PRS|AKT//aux//4 varit//VB|SUP|AKT//ROOT//4 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//6 ordförande//NN|UTR|SIN|IND|NOM//nmod//7 Erik//PM|NOM//obl//4 Åsbrink//PM|NOM//flat:name//7 ,//MID//punct//7 tillika//AB//amod//11 ordförande//NN|UTR|SIN|IND|NOM//xcomp//4 för//PP//case//13 Kodgruppen//NN|UTR|SIN|DEF|NOM//nmod//11 ,//MID//punct//15 Marianne//PM|NOM//conj//13 Nivert//PM|NOM//flat:name//15 och//KN//cc//18 Bengt//PM|NOM//conj//13 Rydén//PM|NOM//flat:name//18 .//MAD//punct//4
Förord;Från//PP//case//23 näringslivets//NN|NEU|SIN|DEF|GEN//nmod:poss//23 sida//NN|UTR|SIN|IND|NOM//obl//25 har//VB|PRS|AKT//aux//25 deltagit//VB|SUP|AKT//parataxis//4 Claes//PM|NOM//nsubj//25 Dahlbäck//PM|NOM//flat//26 ,//MID//punct//26 Karin//PM|NOM//obj//25 Forseke//PM|NOM//flat:name//29 ,//MID//punct//29 Lars-Erik//PM|NOM//nmod//29 Forsgårdh//PM|NOM//flat//32 ,//MID//punct//32 Kerstin//PM|NOM//conj//29 Hessius//PM|NOM//flat//35 ,//MID//punct//35 Arne//PM|NOM//conj//29 Mårtensson//PM|NOM//flat:name//38 och//KN//cc//41 Lars//PM|NOM//conj//38 Otterbeck//PM|NOM//flat//41 .//MAD//punct//29
Förord;Rune//PM|NOM//nmod//45 Brandinger//PM|NOM//nsubj//50 och//KN//cc//47 Eva//PM|NOM//conj//45 Halvarsson//PM|NOM//flat:name//47 har//VB|PRS|AKT//aux//50 deltagit//VB|SUP|AKT//conj//25 som//KN//case//53 adjungerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//53 ledamöter//NN|UTR|PLU|IND|NOM//obl//50 .//MAD//punct//50
