Kommittédirektiv;Beslut//NN|NEU|SIN|IND|NOM//ROOT//0 vid//PP//case//2 regeringssammanträde//NN|NEU|SIN|IND|NOM//nmod//0 den//DT|UTR|SIN|DEF//det//5 19//RG|NOM//nummod//5 december//NN|UTR|SIN|IND|NOM//nmod//0 2002//RG|NOM//nummod//5 .//MAD//punct//0


2.1 Dokumentets syfte;Huvudsyftet//NN|NEU|SIN|DEF|NOM//nsubj:pass//26 med//PP//case//3 detta//DT|NEU|SIN|DEF//det//3 dokument//NN|NEU|SIN|IND|NOM//nmod//0 är//VB|PRS|AKT//cop//0 att//IE//mark//6 tjäna//VB|INF|AKT//csubj//0 som//KN//case//10 en//DT|UTR|SIN|IND//det//10 teknisk//JJ|POS|UTR|SIN|IND|NOM//amod//10 bakgrund//NN|UTR|SIN|IND|NOM//obl//6 till//PP//case//13 de//DT|UTR/NEU|PLU|DEF//det//13 rön//NN|NEU|PLU|IND|NOM//obl//6 om//PP//case//15 migrering//NN|UTR|SIN|IND|NOM//nmod//13 som//HP|-|-|-//nsubj:pass//17 presenterats//VB|SUP|SFO//acl:relcl//15 i//PP//case//19 SLBA-utredningen//NN|UTR|SIN|DEF|NOM//obl//17 (//PAD//punct//0 U2003:8//PM|NOM//appos//0 )//PAD//punct//21 .//MAD//punct//0
2.1 Dokumentets syfte;Dokumentet//NN|NEU|SIN|DEF|NOM//nsubj:pass//26 har//VB|PRS|AKT//aux//26 skrivits//VB|SUP|SFO//ROOT//26 av//PP//case//28 Martin//PM|NOM//obl:agent//26 Jacobson//PM|NOM//flat//28 (//PAD//punct//28 teknisk//JJ|POS|UTR|SIN|IND|NOM//amod//32 chef//NN|UTR|SIN|IND|NOM//appos//28 vid//PP//case//35 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//35 ljud-//NN|NEU|-|-|SMS//nmod//32 och//KN//cc//37 bildarkiv//NN|NEU|SIN|IND|NOM//conj//35 )//PAD//punct//28 på//PP//case//40 uppdrag//NN|NEU|SIN|IND|NOM//obl//26 av//PP//case//42 utredningen//NN|UTR|SIN|DEF|NOM//nmod//40 och//KN//cc//45 är//VB|PRS|AKT//cop//45 godkänd//PC|PRF|UTR|SIN|IND|NOM//conj//26 av//PP//case//48 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//48 teknikgrupp//NN|UTR|SIN|IND|NOM//obl//45 .//MAD//punct//26
2.1 Dokumentets syfte;Denna//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//51 består//VB|PRS|AKT//parataxis//26 av//PP//case//53 Björn//PM|NOM//obl//51 Blomberg//PM|NOM//flat//53 (//PAD//punct//53 Sveriges//PM|GEN//nmod:poss//58 Radios//NN|UTR|SIN|IND|GEN//amod//58 Förvaltning//NN|UTR|SIN|IND|NOM//nmod//59 AB//PM|NOM//appos//53 )//PAD//punct//53 ,//MID//punct//62 Jonas//PM|NOM//conj//51 Collsiöö//PM|NOM//flat//62 (//PAD//punct//65 TV4//PM|NOM//appos//63 )//PAD//punct//65 ,//MID//punct//65 Eva-Lis//PM|NOM//dep//62 Green//PM|NOM//flat:name//68 (//PAD//punct//69 Sveriges//PM|GEN//nmod:poss//72 Television//NN|UTR|SIN|IND|NOM//appos//69 )//PAD//punct//68 och//KN//cc//75 Martin//PM|NOM//conj//62 Jacobson//PM|NOM//flat:name//75 (//PAD//punct//75 SLBA//PM|NOM//appos//75 )//PAD//punct//75 .//MAD//punct//51

2.2 Presentation;När//HA//mark//2 man//PN|UTR|SIN|IND|SUB//nsubj:pass//2 ställs//VB|PRS|SFO//advcl//12 inför//PP//case//4 utmaningen//NN|UTR|SIN|DEF|NOM//obl//2 att//IE//mark//6 rädda//VB|INF|AKT//acl//4 (//PAD//punct//8 migrera//VB|INF|AKT//appos//6 )//PAD//punct//6 bokstavligen//AB//advmod//12 miljontals//AB//nmod:poss//12 timmar//NN|UTR|PLU|IND|NOM//obl//24 av//PP//case//14 programmaterial//NN|NEU|PLU|IND|NOM//nmod//12 i//PP//case//17 varierande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//17 grad//NN|UTR|SIN|IND|NOM//nmod//14 av//PP//case//20 tekniskt//JJ|POS|NEU|SIN|IND|NOM//amod//20 förfall//NN|NEU|SIN|IND|NOM//nmod//17 och//KN//cc//22 åldringssymptom//NN|UTR|SIN|IND|NOM//conj//20 ,//MID//punct//12 finns//VB|PRS|SFO//ROOT//24 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//24 en//DT|UTR|SIN|IND//det//27 rad//NN|UTR|SIN|IND|NOM//nmod//28 begrepp//NN|NEU|PLU|IND|NOM//nsubj//24 som//HP|-|-|-//nsubj//30 skapar//VB|PRS|AKT//acl:relcl//28 ett//DT|NEU|SIN|IND//det//32 ramverk//NN|NEU|SIN|IND|NOM//obj//30 inom//PP//case//34 vilket//HP|NEU|SIN|IND//obl//30 man//PN|UTR|SIN|IND|SUB//nsubj//37 kan//VB|PRS|AKT//aux//37 verka//VB|INF|AKT//acl:relcl//34 .//MAD//punct//24
2.2 Presentation;Inom//PP//case//41 detta//DT|NEU|SIN|DEF//det//41 ramverk//NN|NEU|SIN|IND|NOM//obl//44 kan//VB|PRS|AKT//aux//44 man//PN|UTR|SIN|IND|SUB//nsubj//44 välja//VB|INF|AKT//parataxis//24 mellan//PP//case//47 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 alternativ//NN|NEU|PLU|IND|NOM//obl//44 som//KN//mark//49 standarder//NN|UTR|PLU|IND|NOM//obl//44 ,//MID//punct//51 format//NN|NEU|PLU|IND|NOM//conj//49 ,//MID//punct//53 kvalitetsnivåer//NN|UTR|PLU|IND|NOM//conj//49 och//KN//cc//55 modeller//NN|UTR|PLU|IND|NOM//conj//49 .//MAD//punct//24
2.2 Presentation;Ambitionen//NN|UTR|SIN|DEF|NOM//nsubj//61 i//PP//case//60 detta//DT|NEU|SIN|DEF//det//60 dokument//NN|NEU|SIN|IND|NOM//nmod//57 är//VB|PRS|AKT//parataxis//24 inte//AB//advmod//61 att//SN//punct//24
2.2 Presentation;presentera//VB|INF|AKT//ROOT//0 en//DT|UTR|SIN|IND//det//3 slutgiltig//JJ|POS|UTR|SIN|IND|NOM//amod//3 lösning//NN|UTR|SIN|IND|NOM//obj//0 ,//MID//punct//9 utan//KN//cc//9 snarare//AB|KOM//advmod//9 att//IE//mark//9 generellt//AB|POS//advmod//9 presentera//VB|INF|AKT//conj//0 alternativen//NN|NEU|PLU|DEF|NOM//obj//9 och//KN//cc//12 ge//VB|INF|AKT//conj//0 läsaren//NN|UTR|SIN|DEF|NOM//iobj//12 en//DT|UTR|SIN|IND//det//16 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 förståelse//NN|UTR|SIN|IND|NOM//obj//12 för//PP//case//18 ramverket//NN|NEU|SIN|DEF|NOM//obl//12 .//MAD//punct//0
