9 Samhällsekonomiska konsekvenser ;I//PP//case//1 direktiven//NN|NEU|PLU|DEF|NOM//obl//2 anges//VB|PRS|SFO//ROOT//2 att//SN//mark//8 ”//PM|NOM//punct//8 Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//8 skall//VB|PRS|AKT//aux//8 inte//AB//advmod//8 innebära//VB|INF|AKT//dep//2 några//DT|UTR/NEU|PLU|IND//det//11 ökade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//11 kostnader//NN|UTR|PLU|IND|NOM//obj//8 för//PP//case//15 den//DT|UTR|SIN|DEF//det//15 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//15 sektorn//NN|UTR|SIN|DEF|NOM//nmod//11 ”//PM|NOM//punct//8 .//MAD//punct//19
9 Samhällsekonomiska konsekvenser ;Jag//PN|UTR|SIN|DEF|SUB//nsubj//19 har//VB|PRS|AKT//parataxis//2 tidigare//AB|KOM//advmod//19 ,//MID//punct//19 i//PP//case//24 mina//PS|UTR/NEU|PLU|DEF//nmod:poss//24 kommentarer//NN|UTR|PLU|IND|NOM//obl//19 till//PP//case//26 direktiven//NN|NEU|PLU|DEF|NOM//nmod//24 ,//MID//punct//28 framhållit//VB|SUP|AKT//advcl//19 att//SN//mark//39 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//39 kanske//AB//advmod//39 inte//AB//advmod//39 –//RG|NOM//punct//39 i//PP//case//36 alla//DT|UTR/NEU|PLU|IND/DEF//det//36 fall//NN|NEU|PLU|IND|NOM//obl//39 på//PP//case//39 kort//JJ|POS|UTR|SIN|IND|NOM//amod//39 sikt//NN|UTR|SIN|IND|NOM//ccomp//28 –//RG|NOM//punct//44 är//VB|PRS|AKT//cop//44 en//DT|UTR|SIN|IND//det//44 realistisk//JJ|POS|UTR|SIN|IND|NOM//amod//44 restriktion//NN|UTR|SIN|IND|NOM//parataxis//19 när//HA//mark//49 direktiven//NN|NEU|PLU|DEF|NOM//nsubj//49 i//PP//advmod//49 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//47 uttrycker//VB|PRS|AKT//advcl//44 starka//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//51 ambitioner//NN|UTR|PLU|IND|NOM//obj//49 om//PP//mark//62 att//SN//mark//62 socialtjänsten//NN|UTR|SIN|DEF|NOM//nsubj//62 ,//MID//punct//56 sjukvården//NN|UTR|SIN|DEF|NOM//conj//54 och//KN//cc//60 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//60 instanser//NN|UTR|PLU|IND|NOM//conj//54 ska//VB|PRS|AKT//aux//62 ta//VB|INF|AKT//acl//51 emot//PL//compound:prt//62 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//65 personer//NN|UTR|PLU|IND|NOM//obj//62 med//PP//case//68 tungt//JJ|POS|NEU|SIN|IND|NOM//amod//68 missbruk//NN|NEU|SIN|IND|NOM//obl//62 för//PP//case//70 vård//NN|UTR|SIN|IND|NOM//nmod//68 och//KN//cc//72 behandling//NN|UTR|SIN|IND|NOM//conj//70 och//KN//cc//49 att//SN//cc//49 målgruppen//NN|UTR|SIN|DEF|NOM//obj//49 som//KN//nsubj//79 helhet//NN|UTR|SIN|IND|NOM//nsubj//79 ska//VB|PRS|AKT//aux//79 få//VB|INF|AKT//acl:relcl//75 en//DT|UTR|SIN|IND//det//82 bättre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//82 livssituation//NN|UTR|SIN|IND|NOM//obj//79 .//MAD//punct//75
9 Samhällsekonomiska konsekvenser ;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//2 är//VB|PRS|AKT//cop//2 svårt//JJ|POS|NEU|SIN|IND|NOM//ROOT//2 att//IE//mark//6 med//PP//case//5 säkerhet//NN|UTR|SIN|IND|NOM//obl//6 uttala//VB|INF|AKT//csubj//2 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//6 om//PP//case//10 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 effekter//NN|UTR|PLU|IND|NOM//obl//6 av//PP//case//12 behandlings-//NN|UTR|-|-|SMS//nmod//10 och//KN//cc//14 vårdinsatser//NN|UTR|PLU|IND|NOM//conj//12 mot//PP//case//16 missbruk//NN|NEU|SIN|IND|NOM//nmod//10 .//MAD//punct//2
9 Samhällsekonomiska konsekvenser ;Inom//PP//case//19 missbrukarvården//NN|UTR|SIN|DEF|NOM//obl//2 ,//MID//punct//19 liksom//PP//advmod//25 inom//PP//case//25 det//DT|NEU|SIN|DEF//det//25 sociala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//25 området//NN|NEU|SIN|DEF|NOM//acl:relcl//19 i//PP//nmod//25 stort//JJ|POS|NEU|SIN|IND|NOM//fixed//26 ,//MID//punct//25 är//VB|PRS|AKT//cop//30 sambandet//NN|NEU|SIN|DEF|NOM//nsubj//37 mellan//PP//case//32 insats//NN|UTR|SIN|IND|NOM//nmod//30 och//KN//cc//34 effekt//NN|UTR|SIN|IND|NOM//conj//32 ofta//AB|POS//advmod//37 inte//AB//advmod//37 självklart//AB|POS//conj//2 ,//MID//punct//37 särskilt//AB//advmod//46 inte//AB//advmod//46 när//HA//mark//46 den//DT|UTR|SIN|DEF//det//44 positiva//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//44 effekten//NN|UTR|SIN|DEF|NOM//nsubj:pass//46 ska//VB|PRS|AKT//aux//46 uppnås//VB|INF|SFO//conj//37 genom//PP//case//49 bestående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//49 attityd-//NN|UTR|-|-|SMS//obl//46 och//KN//cc//51 beteendeförändringar//NN|UTR|PLU|IND|NOM//conj//49 hos//PP//case//54 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//54 personer//NN|UTR|PLU|IND|NOM//nmod//51 .//MAD//punct//2
9 Samhällsekonomiska konsekvenser ;Därtill//AB//advmod//57 saknas//VB|PRS|SFO//parataxis//2 i//PP//case//60 stor//JJ|POS|UTR|SIN|IND|NOM//amod//60 utsträckning//NN|UTR|SIN|IND|NOM//obl//57 såväl//KN//advmod//62 tradition//NN|UTR|SIN|IND|NOM//nsubj:pass//57 som//KN//cc//64 metoder//NN|UTR|PLU|IND|NOM//conj//62 för//PP//mark//67 att//IE//mark//67 genomföra//VB|INF|AKT//advcl//57 systematiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//69 utvärderingar//NN|UTR|PLU|IND|NOM//obj//67 av//PP//case//77 det//DT|NEU|SIN|DEF//det//73 sociala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//73 arbetets//NN|NEU|SIN|DEF|GEN//nmod:poss//77 ekonomiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//77 ///MID//cc//76 kostnadsmässiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//77 effekter//NN|UTR|PLU|IND|NOM//obl//67 .//MAD//punct//2
9 Samhällsekonomiska konsekvenser ;Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 beredning//NN|UTR|SIN|IND|NOM//nsubj//8 för//PP//case//4 medicinsk//JJ|POS|UTR|SIN|IND|NOM//amod//4 utvärdering//NN|UTR|SIN|IND|NOM//nmod//1 (//PAD//punct//1 SBU//PM|NOM//appos//1 )//PAD//punct//1 granskade//VB|PRT|AKT//ROOT//8 inför//PP//case//11 rapporten//NN|UTR|SIN|DEF|NOM//nmod//11 Behandling//NN|UTR|SIN|IND|NOM//obl//8 av//PP//case//13 alkohol-//NN|UTR|-|-|SMS//nmod//11 och//KN//cc//15 narkotikaproblem(2001//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//13 )//PAD//punct//11 drygt//AB|POS//advmod//18 1//RG|NOM//nummod//19 200//RG|NOM//nummod//20 studier//NN|UTR|PLU|IND|NOM//obl//8 som//HP|-|-|-//nsubj//22 tog//VB|PRT|AKT//acl:relcl//20 upp//PL//compound:prt//22 missbruk//NN|NEU|SIN|IND|NOM//obj//22 i//PP//case//28 samband//NN|NEU|SIN|IND|NOM//fixed//25 med//PP//fixed//25 kostnader//NN|UTR|PLU|IND|NOM//obl//22 och//KN//cc//30 ekonomi//NN|UTR|SIN|IND|NOM//conj//28 .//MAD//punct//8
9 Samhällsekonomiska konsekvenser ;Endast//AB//advmod//33 24//RG|NOM//appos//8 av//PP//case//36 dessa//DT|UTR/NEU|PLU|DEF//det//36 studier//NN|UTR|PLU|IND|NOM//nmod//33 innehöll//VB|PRT|AKT//conj//8 någon//DT|UTR|SIN|IND//det//40 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//40 analys//NN|UTR|SIN|IND|NOM//obj//37 i//PP//case//43 formell//JJ|POS|UTR|SIN|IND|NOM//amod//43 mening//NN|UTR|SIN|IND|NOM//nmod//40 .//MAD//punct//8
9 Samhällsekonomiska konsekvenser ;Sammanfattningsvis//AB//advmod//46 bedömde//VB|PRT|AKT//conj//8 SBU//PM|NOM//obj//46 att//SN//mark//54 det//DT|NEU|SIN|DEF//det//51 vetenskapliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//51 underlaget//NN|NEU|SIN|DEF|NOM//nsubj//54 var//VB|PRT|AKT//cop//54 för//AB//advmod//54 svagt//JJ|POS|NEU|SIN|IND|NOM//advcl//46 ,//MID//punct//57 eller//KN//cc//57 motsägande//NN|NEU|SIN|IND|NOM//conj//54 ,//MID//punct//64 för//PP//mark//64 att//SN//fixed//59 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//64 skulle//VB|PRT|AKT//aux//64 vara//VB|INF|AKT//cop//64 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//54 att//IE//mark//66 dra//VB|INF|AKT//csubj//64 slutsatser//NN|UTR|PLU|IND|NOM//obj//66 om//PP//case//69 kostnadseffektivitet//NN|UTR|SIN|IND|NOM//obl//66 i//PP//case//72 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//72 behandlingsmetoder//NN|UTR|PLU|IND|NOM//nmod//69 .//MAD//punct//8
9 Samhällsekonomiska konsekvenser ;För//PP//mark//2 att//IE//mark//2 uttala//VB|INF|AKT//advcl//20 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//2 om//PP//mark//15 vilka//HD|UTR/NEU|PLU|IND//det//7 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 effekter//NN|UTR|PLU|IND|NOM//nsubj//15 som//KN//case//9 förändringar//NN|UTR|PLU|IND|NOM//nmod//7 ///MID//cc//11 reformer//NN|UTR|PLU|IND|NOM//conj//9 inom//PP//case//13 missbrukarvården//NN|UTR|SIN|DEF|NOM//nmod//11 kan//VB|PRS|AKT//aux//15 få//VB|INF|AKT//ccomp//2 för//PP//case//19 den//DT|UTR|SIN|DEF//det//19 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//19 sektorn//NN|UTR|SIN|DEF|NOM//obl//15 krävs//VB|PRS|SFO//ROOT//20 ett//DT|NEU|SIN|IND//det//23 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//23 grepp//NN|NEU|SIN|IND|NOM//nsubj:pass//20 ,//MID//punct//27 en//DT|UTR|SIN|IND//det//27 samhällsekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//27 analys//NN|UTR|SIN|IND|NOM//appos//23 .//MAD//punct//20
9 Samhällsekonomiska konsekvenser ;I//PP//case//1 rapporten//NN|UTR|SIN|DEF|NOM//obl//2 Tänk//VB|IMP|AKT//ROOT//2 långsiktigt//JJ|POS|NEU|SIN|IND|NOM//advmod//2 –//RG|NOM//punct//7 en//DT|UTR|SIN|IND//det//7 samhällsekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//7 modell//NN|UTR|SIN|IND|NOM//advmod//2 för//PP//case//9 prioriteringar//NN|UTR|PLU|IND|NOM//nmod//7 som//HP|-|-|-//nsubj//11 påverkar//VB|PRS|AKT//acl:relcl//9 barns//NN|NEU|PLU|IND|GEN//nmod:poss//14 psykiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 hälsa//NN|UTR|SIN|IND|NOM//obj//11 som//KN//case//16 Socialstyrelsen//NN|UTR|SIN|DEF|NOM//obl//11 ,//MID//punct//2
9 Samhällsekonomiska konsekvenser ;Skolverket//NN|NEU|SIN|DEF|NOM//nsubj//4 och//KN//cc//2 Folkhälsoinstitutet//NN|NEU|SIN|DEF|NOM//conj//0 gemensamt//AB|POS//advmod//4 gav//VB|PRT|AKT//ROOT//4 ut//PL//compound:prt//4 2004//RG|NOM//obj//4 ,//MID//punct//4 beskrivs//VB|PRS|SFO//conj//4 en//DT|UTR|SIN|IND//det//11 samhällsekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//11 analys//NN|UTR|SIN|IND|NOM//nsubj:pass//8 enligt//PP//case//13 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//8 (//PAD//punct//13 sidan//NN|UTR|SIN|DEF|NOM//nmod//16 65//RG|NOM//appos//13 )//PAD//punct//4
