– en översikt;Rapport//NN|UTR|SIN|IND|NOM//ROOT//0 1//RG|NOM//nummod//0 till//PP//case//3 Organisationsutredningen//NN|UTR|SIN|DEF|NOM//obl//0 för//PP//case//6 regional//JJ|POS|UTR|SIN|IND|NOM//amod//6 tillväxt//NN|UTR|SIN|IND|NOM//nmod//3


Förord;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//10 med//PP//case//2 rapporten//NN|UTR|SIN|DEF|NOM//nmod//0 ”//PAD//punct//5 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//5 partnerskap//NN|NEU|SIN|IND|NOM//nmod//2 –//RG|NOM//punct//8 en//DT|UTR|SIN|IND//det//8 översikt//NN|UTR|SIN|IND|NOM//conj//2 ”//PM|NOM//punct//0 är//VB|PRS|AKT//ROOT//10 att//IE//mark//12 ge//VB|INF|AKT//xcomp//10 en//DT|UTR|SIN|IND//det//15 bred//JJ|POS|UTR|SIN|IND|NOM//amod//15 beskrivning//NN|UTR|SIN|IND|NOM//obj//12 av//PP//mark//22 hur//HA//advmod//22 arbetet//NN|NEU|SIN|DEF|NOM//nsubj//22 i//PP//case//21 s.k.//AB|AN//amod//21 partnerskap//NN|NEU|SIN|IND|NOM//nmod//18 fungerar//VB|PRS|AKT//acl//15 i//PP//case//24 Sverige//PM|NOM//obl//22 .//MAD//punct//10
Förord;Rapporten//NN|UTR|SIN|DEF|NOM//nsubj:pass//28 har//VB|PRS|AKT//aux//28 författats//VB|SUP|SFO//parataxis//10 av//PP//case//30 Peter//PM|NOM//obl:agent//28 Gorpe//PM|NOM//flat//30 på//PP//case//33 uppdrag//NN|NEU|SIN|IND|NOM//obl//28 av//PP//case//35 Organisationsutredningen//NN|UTR|SIN|DEF|NOM//nmod//33 för//PP//case//38 regional//JJ|POS|UTR|SIN|IND|NOM//amod//38 tillväxt//NN|UTR|SIN|IND|NOM//nmod//35 .//MAD//punct//28
Förord;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//43 har//VB|PRS|AKT//aux//43 bl.a.//AB|AN//advmod//43 haft//VB|SUP|AKT//conj//28 till//PP//case//45 uppgift//NN|UTR|SIN|IND|NOM//obl//43 att//IE//mark//47 kartlägga//VB|INF|AKT//acl//45 och//KN//cc//49 analysera//VB|INF|AKT//conj//47 partnerskapets//NN|NEU|SIN|DEF|GEN//nmod:poss//51 roll//NN|UTR|SIN|IND|NOM//obj//49 och//KN//cc//53 funktion//NN|UTR|SIN|IND|NOM//conj//51 i//PP//case//55 programarbete//NN|NEU|SIN|IND|NOM//nmod//53 och//KN//cc//57 genomförande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//55 av//PP//case//59 EU//PM|NOM//nmod//57 ://MID//punct//43 s//NN|NEU|SIN|IND|GEN//nummod//62 sammanhållningspolitik//NN|UTR|SIN|IND|NOM//parataxis//43 .//MAD//punct//43
Förord;Peter//PM|NOM//nsubj//2 Gorpe//PM|NOM//flat:name//0 har//VB|PRS|AKT//ROOT//2 en//DT|UTR|SIN|IND//det//5 mångårig//JJ|POS|UTR|SIN|IND|NOM//amod//5 erfarenhet//NN|UTR|SIN|IND|NOM//obj//2 av//PP//case//8 regionalt//JJ|POS|NEU|SIN|IND|NOM//amod//8 utvecklingsarbete//NN|NEU|SIN|IND|NOM//nmod//5 i//PP//case//11 Stockholms//PM|GEN//nmod:poss//11 län//NN|NEU|SIN|IND|NOM//nmod//8 och//KN//cc//13 har//VB|PRS|AKT//aux//18 som//KN//mark//15 forskare//NN|UTR|PLU|IND|NOM//obl//13 och//KN//cc//17 utredare//NN|UTR|PLU|IND|NOM//conj//15 arbetat//VB|SUP|AKT//conj//2 med//PP//case//20 frågor//NN|UTR|PLU|IND|NOM//obl//18 om//PP//case//22 organisation//NN|UTR|SIN|IND|NOM//nmod//20 ,//MID//punct//24 planering//NN|UTR|SIN|IND|NOM//conj//22 och//KN//cc//26 styrning//NN|UTR|SIN|IND|NOM//conj//22 .//MAD//punct//2
Förord;Genom//PP//case//2 Sveriges//PM|GEN//nmod:poss//2 medlemskap//NN|NEU|SIN|IND|NOM//obl//8 i//PP//case//4 EU//PM|NOM//nmod//2 har//VB|PRS|AKT//aux//8 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 partnerskap//NN|NEU|PLU|IND|NOM//nsubj//8 blivit//VB|SUP|AKT//ROOT//8 en//DT|UTR|SIN|IND//det//11 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//11 del//NN|UTR|SIN|IND|NOM//xcomp//8 av//PP//case//14 vårt//PS|NEU|SIN|DEF//nmod:poss//14 planeringslandskap//NN|NEU|SIN|IND|NOM//nmod//11 .//MAD//punct//8
Förord;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//18 har//VB|PRS|AKT//aux//18 genomförts//VB|SUP|SFO//parataxis//8 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//20 utvärderingar//NN|UTR|PLU|IND|NOM//nsubj:pass//18 av//PP//case//23 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 EU-program//NN|NEU|PLU|IND|NOM//nmod//20 och//KN//cc//26 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 program//NN|NEU|PLU|IND|NOM//conj//23 för//PP//case//28 tillväxt//NN|UTR|SIN|IND|NOM//nmod//26 och//KN//cc//30 utveckling//NN|UTR|SIN|IND|NOM//conj//28 ,//MID//punct//18 där//HA//advmod//36 frågor//NN|UTR|PLU|IND|NOM//nsubj//36 om//PP//case//35 partnerskap//NN|NEU|SIN|IND|NOM//nmod//33 ingår//VB|PRS|AKT//acl:relcl//18 .//MAD//punct//18
Förord;Någon//DT|UTR|SIN|IND//det//41 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//40 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//41 beskrivning//NN|UTR|SIN|IND|NOM//appos//18 och//KN//cc//43 jämförelse//NN|UTR|SIN|IND|NOM//conj//41 mellan//PP//case//46 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 partnerskap//NN|NEU|PLU|IND|NOM//nmod//43 som//HP|-|-|-//nsubj:pass//48 ges//VB|PRS|SFO//acl:relcl//46 här//AB//advmod//48 har//VB|PRS|AKT//aux//53 dock//AB//advmod//53 inte//AB//advmod//53 gjorts//VB|SUP|SFO//conj//18 .//MAD//punct//18
Förord;Jämförelserna//NN|UTR|PLU|DEF|NOM//nsubj//60 och//KN//cc//57 slutsatserna//NN|UTR|PLU|DEF|NOM//conj//55 i//PP//case//59 studien//NN|UTR|SIN|DEF|NOM//nmod//57 bygger//VB|PRS|AKT//conj//18 på//PP//case//65 en//DT|UTR|SIN|IND//det//65 relativt//AB|POS//advmod//64 bred//JJ|POS|UTR|SIN|IND|NOM//amod//65 enkät//NN|UTR|SIN|IND|NOM//obl//60 till//PP//case//67 ledamöter//NN|UTR|PLU|IND|NOM//nmod//65 i//PP//case//72 ett//DT|NEU|SIN|IND//det//70 femtiotal//NN|NEU|SIN|IND|NOM//nmod//72 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//72 partnerskap//NN|NEU|PLU|IND|NOM//nmod//67 .//MID//punct//60
