
Stockholm 2006;21//RG|NOM//nummod//1 Förslag//NN|NEU|PLU|IND|NOM//nsubj//58 till//PP//case//3 lag//NN|UTR|SIN|IND|NOM//nmod//1 om//PP//case//5 ändring//NN|UTR|SIN|IND|NOM//nmod//3 i//PP//case//7 lagen//NN|UTR|SIN|DEF|NOM//nmod//5 (//PAD//punct//9 1998:1757//RG|NOM//appos//1 )//PAD//punct//9 om//PP//case//12 förvaltning//NN|UTR|SIN|IND|NOM//nmod//1 av//PP//case//15 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 fonder//NN|UTR|PLU|IND|NOM//nmod//12 inom//PP//case//18 socialförsäkrings30//PM|GEN//amod//18 Förslag//NN|NEU|SIN|IND|NOM//nmod//12 till//PP//case//20 lag//NN|UTR|SIN|IND|NOM//nmod//18 om//PP//case//22 ändring//NN|UTR|SIN|IND|NOM//nmod//20 i//PP//case//24 lagen//NN|UTR|SIN|DEF|NOM//nmod//22 (//PAD//punct//26 2000:1087//RG|NOM//conj//12 )//PAD//punct//26 om//PP//case//29 anmälningsskyldighet//NN|UTR|SIN|IND|NOM//conj//12 för//PP//case//32 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 innehav//NN|NEU|PLU|IND|NOM//nmod//29 av//PP//case//36 finansiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advmod//35 19.2.20//RG|NOM//nummod//36 Förslag//NN|NEU|PLU|IND|NOM//nmod//32 till//PP//case//38 lag//NN|UTR|SIN|IND|NOM//nmod//36 om//PP//case//40 ändring//NN|UTR|SIN|IND|NOM//nmod//38 i//PP//case//42 lagen//NN|UTR|SIN|DEF|NOM//nmod//40 (//PAD//punct//44 2000:35//RG|NOM//nmod//12 )//PAD//punct//44 19.2.21//DT|UTR/NEU|SIN|IND//nummod//47 Förslag//NN|NEU|SIN|IND|NOM//conj//12 till//PP//case//49 lag//NN|UTR|SIN|IND|NOM//nmod//47 om//PP//case//51 ändring//NN|UTR|SIN|IND|NOM//nmod//49 i//PP//case//53 lagen//NN|UTR|SIN|DEF|NOM//nmod//51 (//PAD//punct//55 2000:192//RG|NOM//nmod//47 )//PAD//punct//55 19.2.22//RO|NOM//nummod//58 Förslag//NN|NEU|SIN|IND|NOM//ROOT//58 till//PP//case//60 lag//NN|UTR|SIN|IND|NOM//nmod//58 om//PP//case//62 ändring//NN|UTR|SIN|IND|NOM//nmod//60 i//PP//case//64 lagen//NN|UTR|SIN|DEF|NOM//nmod//62 (//PAD//punct//66 2000:193//RG|NOM//conj//58 )//PAD//punct//69 19.2.23//PM|GEN//nummod//69 Förslag//NN|NEU|SIN|IND|NOM//conj//66 till//PP//case//71 lag//NN|UTR|SIN|IND|NOM//nmod//69 om//PP//case//73 ändring//NN|UTR|SIN|IND|NOM//nmod//71 i//PP//case//75 lagen//NN|UTR|SIN|DEF|NOM//nmod//73 (//PAD//punct//77 2000:1087//RG|NOM//conj//66 )//PAD//punct//77 om//PP//case//80 anmälningsskyldighet//NN|UTR|SIN|IND|NOM//conj//66 för//PP//case//83 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//83 innehav//NN|NEU|PLU|IND|NOM//nmod//80 av//PP//case//86 19.2.24//RG|NOM//nummod//86 Förslag//NN|NEU|SIN|IND|NOM//nmod//83 till//PP//case//88 lag//NN|UTR|SIN|IND|NOM//nmod//86 om//PP//case//90 ändring//NN|UTR|SIN|IND|NOM//nmod//88 i//PP//case//92 lagen//NN|UTR|SIN|DEF|NOM//nmod//90 (//PAD//punct//94 2001:1227//RG|NOM//nmod//90 )//PAD//punct//94 19.2.25//PC|PRF|UTR/NEU|PLU|IND/DEF|GEN//amod//97 Förslag//NN|NEU|SIN|IND|NOM//conj//66 till//PP//case//99 lag//NN|UTR|SIN|IND|NOM//nmod//97 om//PP//case//101 ändring//NN|UTR|SIN|IND|NOM//nmod//99 i//PP//case//103 lagen//NN|UTR|SIN|DEF|NOM//nmod//101 (//PAD//punct//105 2003:862//RG|NOM//nmod//101 )//PAD//punct//105 19.2.26//RG|NOM//amod//108 Förslag//NN|NEU|SIN|IND|NOM//conj//66 till//PP//case//110 lag//NN|UTR|SIN|IND|NOM//nmod//108 om//PP//case//112 ändring//NN|UTR|SIN|IND|NOM//nmod//110 i//PP//case//114 lagen//NN|UTR|SIN|DEF|NOM//nmod//112 (//PAD//punct//116 2004:46//RG|NOM//appos//108 )//PAD//punct//116 19.2.27//RG|NOM//nummod//119 Förslag//NN|NEU|SIN|IND|NOM//conj//66 till//PP//case//121 lag//NN|UTR|SIN|IND|NOM//nmod//119 om//PP//case//123 ändring//NN|UTR|SIN|IND|NOM//nmod//121 i//PP//case//125 lagen//NN|UTR|SIN|DEF|NOM//nmod//123 (//PAD//punct//127 2004:297//RG|NOM//conj//125 )//PAD//punct//127 19.2.28//PM|GEN//amod//130 Förslag//NN|NEU|SIN|IND|NOM//conj//66 till//PP//case//132 lag//NN|UTR|SIN|IND|NOM//nmod//130 om//PP//case//134 ändring//NN|UTR|SIN|IND|NOM//nmod//132 i//PP//case//136 lagen//NN|UTR|SIN|DEF|NOM//nmod//134 (//PAD//punct//138 2005:377//RG|NOM//conj//130 )//PAD//punct//138 19.2.29//RG|NOM//amod//141 Förslag//NN|NEU|SIN|IND|NOM//conj//66 till//PP//case//143 lag//NN|UTR|SIN|IND|NOM//nmod//141 om//PP//case//145 ändring//NN|UTR|SIN|IND|NOM//nmod//143 i//PP//case//147 lagen//NN|UTR|SIN|DEF|NOM//nmod//145 (//PAD//punct//149 2005:405//RG|NOM//conj//147 )//PAD//punct//149 19.2.30//RG|NOM//nummod//152 Förslag//NN|NEU|SIN|IND|NOM//conj//66 till//PP//case//154 lag//NN|UTR|SIN|IND|NOM//nmod//152 om//PP//case//156 ändring//NN|UTR|SIN|IND|NOM//nmod//154 i//PP//case//158 aktiebolagslagen//NN|UTR|SIN|DEF|NOM//nmod//156 19.2.31//PM|GEN//nummod//160 Förslag//NN|NEU|SIN|IND|NOM//conj//66 till//PP//case//162 lag//NN|UTR|SIN|IND|NOM//nmod//160 om//PP//case//164 ändring//NN|UTR|SIN|IND|NOM//nmod//162 i//PP//case//166 lagen//NN|UTR|SIN|DEF|NOM//nmod//164 (//PAD//punct//168 2005:1047//RG|NOM//conj//66 )//PAD//punct//168 om//PP//case//174 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//172 förhållanden//NN|NEU|PLU|IND|NOM//fixed//170 rörande//PP//case//174 försäkringsföretags//NN|NEU|PLU|IND|GEN//conj//66 och//KN//cc//176 kreditinstituts//NN|NEU|SIN|IND|GEN//conj//174 insolvens//NN|UTR|SIN|IND|NOM//conj//174 .....//MID//punct//174 359//RG|NOM//nummod//180 19.2.32//RG|NOM//nummod//181 Förslag//NN|NEU|SIN|IND|NOM//conj//58 till//PP//case//183 lag//NN|UTR|SIN|IND|NOM//nmod//181 om//PP//case//185 ändring//NN|UTR|SIN|IND|NOM//nmod//183 i//PP//case//187 lagen//NN|UTR|SIN|DEF|NOM//nmod//185 (//PAD//punct//58 2006:00//RG|NOM//advmod//58 )//PAD//punct//58 om//PP//case//193 offentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//193 uppköpserbjudanden//NN|NEU|PLU|IND|NOM//nmod//58 på//PP//case//195 aktie-//NN|UTR|-|-|SMS//nmod//193


1 Förslag till lag om värdepappersmarknaden;Härigenom//AB//advmod//1 föreskrivs//VB|PRS|SFO//ROOT//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//1 .//MAD//punct//1


1 Förslag till lag om värdepappersmarknaden / 1 kap. Allmänna bestämmelser;Lagens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 tillämpningsområde//NN|NEU|SIN|IND|NOM//nsubj//8 1//RG|NOM//nummod//3 §//NN|AN//nmod//1  //_SP////3 I//PP//case//7 denna//DT|UTR|SIN|DEF//det//7 lag//NN|UTR|SIN|IND|NOM//obl//8 finns//VB|PRS|SFO//ROOT//8 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//8 om//PP//case//11 värdepappersmarknaden//NN|UTR|SIN|DEF|NOM//nmod//9 .//MAD//punct//8
1 Förslag till lag om värdepappersmarknaden / 1 kap. Allmänna bestämmelser;I//PP//case//3 2//RG|NOM//nummod//2 11//RG|NOM//nummod//3 kap.//NN|AN//obl//4 finns//VB|PRS|SFO//ROOT//4 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//6 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//4 om//PP//case//8 värdepappersrörelse//NN|UTR|SIN|IND|NOM//nmod//6 ,//MID//punct//8 i//PP//case//13 12//RG|NOM//nummod//12 18//RG|NOM//nummod//13 kap.//NN|AN//obl//4 om//PP//case//16 reglerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//16 marknader//NN|UTR|PLU|IND|NOM//nmod//13 och//KN//cc//21 i//PP//case//21 19//RG|NOM//nummod//20 21//RG|NOM//nummod//21 kap.//NN|AN//conj//16 om//PP//case//23 clearingverksamhet//NN|UTR|SIN|IND|NOM//nmod//21 .//MAD//punct//4
1 Förslag till lag om värdepappersmarknaden / 1 kap. Allmänna bestämmelser;I//PP//case//28 22//RG|NOM//nummod//28 26//RG|NOM//nummod//28 kap.//NN|AN//obl//29 finns//VB|PRS|SFO//parataxis//4 avslutande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//31 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//29 .//MAD//punct//29
1 Förslag till lag om värdepappersmarknaden / 1 kap. Allmänna bestämmelser;2//RG|NOM//nummod//34 §//NN|AN//nsubj//4  //_SP////34 För//PP//case//38 utländska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 företags//NN|NEU|PLU|IND|GEN//nmod:poss//39 verksamhet//NN|UTR|SIN|IND|NOM//conj//34 i//PP//case//41 Sverige//PM|NOM//nmod//34 gäller//VB|PRS|AKT//conj//4 bestämmelserna//NN|UTR|PLU|DEF|NOM//obj//42 i//PP//case//46 denna//DT|UTR|SIN|DEF//det//46 lag//NN|UTR|SIN|IND|NOM//obl//42 i//PP//case//49 tillämpliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 delar//NN|UTR|PLU|IND|NOM//nmod//46 .//MAD//punct//4
