SOU 2007:77;2007-10-15//RG|NOM//ROOT//0

Veteransoldatutredningen;Fö//NN|AN//ROOT//0 2007:03//RG|NOM//nummod//0

En svensk veteranpolitik, del 1;Ansvaret//NN|NEU|SIN|DEF|NOM//ROOT//0 för//PP//case//2 personalen//NN|UTR|SIN|DEF|NOM//nmod//0 före//PP//advmod//0 ,//MID//punct//0 under//PP//advmod//4 och//KN//cc//10 efter//PP//case//10 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 militära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 insatser//NN|UTR|PLU|IND|NOM//conj//0
En svensk veteranpolitik, del 1;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 från//PP//case//2 Veteransoldatutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
En svensk veteranpolitik, del 1;Stockholm//PM|NOM//ROOT//0 2007//RG|NOM//nummod//0

Till statsrådet och chefen för Försvarsdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 14//RG|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obl//1 2007//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 utforma//VB|INF|AKT//acl//12 förslag//NN|NEU|PLU|IND|NOM//obj//14 till//PP//case//19 en//DT|UTR|SIN|IND//det//19 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//19 veteranpolitik//NN|UTR|SIN|IND|NOM//obl//14 ,//MID//punct//4 d.v.s.//AB|AN//advmod//22 ansvaret//NN|NEU|SIN|DEF|NOM//appos//4 för//PP//case//24 personalen//NN|UTR|SIN|DEF|NOM//nmod//22 före//PP//advmod//22 ,//MID//punct//32 under//PP//advmod//26 och//KN//cc//32 efter//PP//case//32 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 militära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 insatser//NN|UTR|PLU|IND|NOM//conj//4 .//MAD//punct//1
Till statsrådet och chefen för Försvarsdepartementet;Chefen//NN|UTR|SIN|DEF|NOM//nsubj//3 för//PP//case//2 Försvarsdepartementet//NN|NEU|SIN|DEF|NOM//nmod//0 förordnade//VB|PRT|AKT//ROOT//3 samma//DT|UTR/NEU|SIN/PLU|IND//det//5 dag//NN|UTR|SIN|IND|NOM//obj//3 ,//MID//punct//9 den//DT|UTR|SIN|DEF//det//9 14//RG|NOM//nummod//9 juni//NN|UTR|SIN|IND|NOM//appos//3 2007//RG|NOM//nummod//9 ,//MID//punct//9 riksdagsledamoten//NN|UTR|SIN|DEF|NOM//nmod//13 Allan//PM|NOM//appos//9 Widman//PM|NOM//flat:name//13 som//KN//mark//17 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//17 utredare//NN|UTR|SIN|IND|NOM//nmod//9 .//MAD//punct//3
Till statsrådet och chefen för Försvarsdepartementet;Som//KN//case//1 sakkunnig//JJ|POS|UTR|SIN|IND|NOM//nsubj:pass//2 förordnades//VB|PRT|SFO//ROOT//2 fr.o.m.//AB|AN//case//6 den//DT|UTR|SIN|DEF//det//6 3//RO|NOM//nummod//6 juli//NN|UTR|SIN|IND|NOM//obl//2 2007//RG|NOM//nummod//6 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//9 Johan//PM|NOM//parataxis//2 Appelberg//PM|NOM//flat:name//9 .//MAD//punct//9
Till statsrådet och chefen för Försvarsdepartementet;Som//KN//mark//14 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//14 förkunnades//VB|PRT|SFO//advcl//9 fr.o.m.//AB|AN//case//17 samma//DT|UTR/NEU|SIN/PLU|IND//det//17 dag//NN|UTR|SIN|IND|NOM//obl//14 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//19 Cecilia//PM|NOM//obl//14 Skjöldebrand//PM|NOM//flat:name//19 ,//MID//punct//19 kanslirådet//NN|NEU|SIN|DEF|NOM//conj//19 Eva//PM|NOM//nsubj//22 Stina//PM|NOM//flat//23 Lönngren//PM|NOM//flat//23 ,//MID//punct//22 överstelöjtnant//NN|UTR|SIN|IND|NOM//nmod//28 Peter//PM|NOM//appos//22 Öberg//PM|NOM//flat:name//28 och//KN//cc//31 Fil//PM|NOM//conj//28 kand//PM|NOM//conj//28 Maria//PM|NOM//flat:name//28 Jonsson//PM|NOM//flat:name//33 Assander//NN|UTR|PLU|IND|NOM//flat:name//28 .//MAD//punct//2
Till statsrådet och chefen för Försvarsdepartementet;Den//DT|UTR|SIN|DEF//det//39 3//RO|NOM//nummod//39 juli//NN|UTR|SIN|IND|NOM//obl//41 2007//RG|NOM//nummod//39 förordnades//VB|PRT|SFO//parataxis//2 herr//NN|UTR|SIN|IND|NOM//nmod//43 Jens//PM|NOM//nsubj:pass//41 .//MAD//punct//2
Till statsrådet och chefen för Försvarsdepartementet;G.//PM|NOM//compound//50 Pettersson//PM|NOM//flat:name//45 att//IE//mark//50 vara//VB|INF|AKT//cop//50 biträdande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//50 sekreterare//NN|UTR|SIN|IND|NOM//parataxis//2 t.o.m.//AB|AN//case//54 den//DT|UTR|SIN|DEF//det//54 30//RG|NOM//nummod//54 september//NN|UTR|SIN|IND|NOM//nmod//50 2007//RG|NOM//nummod//54 och//KN//cc//60 från//PP//case//60 den//DT|UTR|SIN|DEF//det//59 1//RO|NOM//nummod//60 oktober//NN|UTR|SIN|IND|NOM//conj//50 2007//RG|NOM//nummod//60 att//IE//mark//64 vara//VB|INF|AKT//cop//64 expert//NN|UTR|SIN|IND|NOM//advcl//2 .//MAD//punct//2
