Del B: Bilagor;Stockholm//PM|NOM//ROOT//0 2008//RG|NOM//nummod//0

Förord;Äldreboendedelegationen//NN|UTR|SIN|DEF|NOM//nsubj//5 har//VB|PRS|AKT//aux//5 i//PP//advmod//5 uppdrag//NN|NEU|SIN|IND|NOM//fixed//2 att//IE//mark//5 följa//VB|INF|AKT//ROOT//5 och//KN//cc//7 analysera//VB|INF|AKT//conj//5 behoven//NN|NEU|PLU|DEF|NOM//obj//7 av//PP//compound:prt//7 och//KN//cc//11 utvecklingen//NN|UTR|SIN|DEF|NOM//conj//5 av//PP//case//13 bostäder//NN|UTR|PLU|IND|NOM//nmod//11 och//KN//cc//15 boende//NN|UTR|PLU|IND|NOM//conj//13 för//PP//case//17 äldre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//11 .//MAD//punct//5
Förord;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//21 ska//VB|PRS|AKT//aux//21 lämna//VB|INF|AKT//parataxis//5 förslag//NN|NEU|SIN|IND|NOM//obj//21 till//PP//case//24 åtgärder//NN|UTR|PLU|IND|NOM//nmod//22 som//HP|-|-|-//nsubj//27 kan//VB|PRS|AKT//aux//27 stimulera//VB|INF|AKT//acl:relcl//24 utvecklingen//NN|UTR|SIN|DEF|NOM//obj//27 av//PP//case//30 bostäder//NN|UTR|PLU|IND|NOM//nmod//28 och//KN//cc//32 boendemiljöer//NN|UTR|PLU|IND|NOM//conj//30 anpassade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//advcl//21 till//PP//case//36 äldres//NN|UTR|PLU|IND|GEN//nmod:poss//36 behov//NN|NEU|PLU|IND|NOM//obl//33 både//KN//cc//41 inom//PP//case//41 den//DT|UTR|SIN|DEF//det//41 ordinära//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//41 bostadsmarknaden//NN|UTR|SIN|DEF|NOM//conj//36 och//KN//cc//45 inom//PP//case//45 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//45 boendeformer//NN|UTR|PLU|IND|NOM//conj//41 .//MAD//punct//5
Förord;En//DT|UTR|SIN|IND//det//49 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//49 del//NN|UTR|SIN|IND|NOM//appos//5 i//PP//case//52 Äldreboendedelegationens//NN|NEU|PLU|DEF|GEN//nmod:poss//52 uppdrag//NN|NEU|SIN|IND|NOM//nmod//49 är//VB|PRS|AKT//cop//5 att//IE//mark//55 lämna//VB|INF|AKT//xcomp//5 förslag//NN|NEU|SIN|IND|NOM//obj//55 till//PP//mark//63 hur//HA//advmod//59 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//61 äldre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//61 personer//NN|UTR|PLU|IND|NOM//nsubj//63 ska//VB|PRS|AKT//aux//63 få//VB|INF|AKT//acl//56 tillgång//NN|UTR|SIN|IND|NOM//obj//63 till//PP//case//66 bostad//NN|UTR|SIN|IND|NOM//nmod//64 i//PP//case//69 ”//PAD//punct//69 mellanboendeformer//NN|UTR|PLU|IND|NOM//nmod//66 eller//KN//cc//71 trygghetsbostäder//NN|UTR|PLU|IND|NOM//conj//69 ”//RG|NOM//punct//5 .//MAD//punct//5
Förord;Under//PP//case//1 arbetet//NN|NEU|SIN|DEF|NOM//obl//2 har//VB|PRS|AKT//aux//6 ett//DT|NEU|SIN|IND//det//4 flertal//NN|NEU|SIN|IND|NOM//nmod//5 experter//NN|UTR|PLU|IND|NOM//nsubj//6 lämnat//VB|SUP|AKT//ROOT//6 underlag//NN|NEU|SIN|IND|NOM//obj//6 för//PP//case//10 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//10 bedömningar//NN|UTR|PLU|IND|NOM//nmod//7 av//PP//case//14 den//DT|UTR|SIN|DEF//det//14 pågående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 utvecklingen//NN|UTR|SIN|DEF|NOM//nmod//10 när//HA//case//19 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//15 gäller//VB|PRS|AKT//fixed//15 äldres//NN|UTR|PLU|IND|GEN//nmod:poss//19 bostäder//NN|UTR|PLU|IND|NOM//nmod//14 och//KN//cc//21 boenden//NN|NEU|PLU|IND|NOM//conj//19 .//MAD//punct//6
Förord;Ett//DT|NEU|SIN|IND//det//24 antal//NN|NEU|SIN|IND|NOM//nmod//25 expertrapporter//NN|UTR|PLU|IND|NOM//nsubj:pass//27 har//VB|PRS|AKT//aux//27 utarbetats//VB|SUP|SFO//parataxis//6 där//AB//advmod//27 bl.a.//AB|AN//advmod//27 behov//NN|NEU|PLU|IND|NOM//obj//27 och//KN//cc//32 konsekvenser//NN|UTR|PLU|IND|NOM//conj//30 av//PP//case//35 ”//PAD//punct//35 mellanboendeformer//NN|UTR|PLU|IND|NOM//nmod//32 ”//PM|NOM//punct//6 belysts//VB|SUP|SFO//parataxis//6 .//MAD//punct//6
Förord;En//DT|UTR|SIN|IND//det//1 del//NN|UTR|SIN|IND|NOM//nsubj:pass//5 av//PP//case//3 expertrapporterna//NN|UTR|PLU|DEF|NOM//nmod//1 har//VB|PRS|AKT//aux//5 fogats//VB|SUP|SFO//ROOT//5 som//KN//case//7 bilagor//NN|UTR|PLU|IND|NOM//obl//5 till//PP//case//10 Äldreboendedelegationens//NN|NEU|PLU|DEF|GEN//nmod:poss//10 delbetänkande//NN|NEU|SIN|IND|NOM//nmod//7 (//PAD//punct//10 SOU//PM|NOM//nmod//13 2007:103//RG|NOM//appos//10 )//PAD//punct//7 Bo//PM|NOM//xcomp//5 för//PP//mark//18 att//IE//mark//18 leva//VB|INF|AKT//advcl//15 –//PAD//punct//20 seniorbostäder//NN|UTR|PLU|IND|NOM//obj//18 och//KN//cc//22 trygghetsbostäder//NN|UTR|PLU|IND|NOM//conj//20 .//MAD//punct//5
Förord;De//DT|UTR/NEU|PLU|DEF//det//25 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//26 återfinns//VB|PRS|SFO//parataxis//5 i//PP//case//29 denna//DT|UTR|SIN|DEF//det//29 bilagerapport//NN|UTR|SIN|IND|NOM//obl//26 till//PP//case//31 slutbetänkandet//NN|NEU|SIN|DEF|NOM//obl//26 .//MAD//punct//5
Förord;Ansvaret//NN|NEU|SIN|DEF|NOM//nsubj//9 för//PP//case//4 de//DT|UTR/NEU|PLU|DEF//det//4 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//4 bilagorna//NN|UTR|PLU|DEF|NOM//nmod//0 och//KN//cc//6 bedömningarna//NN|UTR|PLU|DEF|NOM//conj//4 i//PP//case//8 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nmod//6 vilar//VB|PRS|AKT//ROOT//9 på//PP//case//12 respektive//AB//amod//12 författare//NN|UTR|SIN|IND|NOM//obl//9 .//MAD//punct//9
Förord;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 december//NN|UTR|SIN|IND|NOM//obl//0 2008//RG|NOM//nummod//2
Förord;Barbro//PM|NOM//ROOT//0 Westerholm//PM|NOM//flat:name//0
Förord;Särskild//PC|PRF|UTR|SIN|IND|NOM//amod//1 utredare//NN|UTR|SIN|IND|NOM//ROOT//1


