– vad betyder mest?;Bilaga//NN|UTR|SIN|IND|NOM//ROOT//0   //_SP////0 till//PP//case//3 Långtidsutredningen//NN|UTR|SIN|DEF|NOM//obl//0

Förord;Långtidsutredningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 2008//RG|NOM//nummod//0 utarbetas//VB|PRS|SFO//ROOT//2 inom//PP//case//4 Finansdepartementet//NN|NEU|SIN|DEF|NOM//obl//2 under//PP//case//6 ledning//NN|UTR|SIN|IND|NOM//obl//2 av//PP//case//8 Strukturenheten//NN|UTR|SIN|DEF|NOM//nmod//6 .//MAD//punct//2
Förord;I//PP//case//13 samband//NN|NEU|SIN|IND|NOM//fixed//10 med//PP//case//13 utredningen//NN|UTR|SIN|DEF|NOM//obl//14 genomförs//VB|PRS|SFO//conj//2 ett//DT|NEU|SIN|IND//det//16 antal//NN|NEU|SIN|IND|NOM//nmod//17 specialstudier//NN|UTR|PLU|IND|NOM//nsubj:pass//14 vilka//HP|UTR/NEU|PLU|IND//nsubj:pass//19 presenteras//VB|PRS|SFO//acl:relcl//17 som//KN//case//21 bilagor//NN|UTR|PLU|IND|NOM//obl//19 till//PP//case//23 Långtidsutredningen//NN|UTR|SIN|DEF|NOM//nmod//21 .//MAD//punct//14
Förord;Av//PP//case//28 det//DT|NEU|SIN|DEF//det//28 kommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//28 huvudbetänkandet//NN|NEU|SIN|DEF|NOM//obl//29 framgår//VB|PRS|AKT//parataxis//14 hur//HA//advmod//33 bilagorna//NN|UTR|PLU|DEF|NOM//nsubj:pass//33 har//VB|PRS|AKT//aux//33 använts//VB|SUP|SFO//ccomp//29 i//PP//case//36 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//36 arbete//NN|NEU|SIN|IND|NOM//obl//33 .//MAD//punct//2
Förord;Denna//DT|UTR|SIN|DEF//det//1 bilaga//NN|UTR|SIN|IND|NOM//nsubj//2 analyserar//VB|PRS|AKT//ROOT//2 produktivitetsutvecklingen//NN|UTR|SIN|DEF|NOM//obj//2 i//PP//case//6 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 branscher//NN|UTR|PLU|IND|NOM//obl//2 i//PP//case//10 det//DT|NEU|SIN|DEF//det//10 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 näringslivet//NN|NEU|SIN|DEF|NOM//nmod//6 och//KN//cc//13 i//PP//case//13 näringslivet//NN|NEU|SIN|DEF|NOM//conj//10 som//KN//mark//15 helhet//NN|UTR|SIN|IND|NOM//acl//13 för//PP//case//18 åren//NN|NEU|PLU|DEF|NOM//nmod//18 1997–2005//RG|NOM//nmod//15 .//MAD//punct//2
Förord;Med//PP//case//23 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//20 från//PP//fixed//20 analysen//NN|UTR|SIN|DEF|NOM//obl//24 görs//VB|PRS|SFO//parataxis//2 framskrivningar//NN|UTR|PLU|IND|NOM//nsubj:pass//24 av//PP//case//29 den//DT|UTR|SIN|DEF//det//29 trendmässiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//29 utvecklingen//NN|UTR|SIN|DEF|NOM//nmod//25 av//PP//case//31 produktiviteten//NN|UTR|SIN|DEF|NOM//nmod//29 och//KN//cc//33 förädlingsvärdet//NN|NEU|SIN|DEF|NOM//conj//31 .//MAD//punct//2
Förord;Bilagan//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 har//VB|PRS|AKT//aux//2 utarbetats//VB|SUP|SFO//ROOT//2 av//PP//case//5 en//DT|UTR|SIN|IND//det//5 projektgrupp//NN|UTR|SIN|IND|NOM//obl:agent//2 vid//PP//case//7 Konjunkturinstitutet//PM|NOM//nmod//5 .//MAD//punct//2
Förord;Projektledare//NN|UTR|SIN|IND|NOM//nsubj//12 har//VB|PRS|AKT//aux//12 varit//VB|SUP|AKT//cop//12 bitr//NN|UTR|SIN|IND|NOM//parataxis//2 .//MAD//punct//12
Förord;prognoschef//NN|UTR|SIN|IND|NOM//parataxis//12 Kristian//PM|NOM//nmod//16 Nilsson//PM|NOM//nsubj//14 .//MAD//punct//14
Förord;I//PP//case//19 projektet//NN|NEU|SIN|DEF|NOM//obl//20 har//VB|PRS|AKT//conj//12 enhetschef//NN|UTR|SIN|IND|NOM//nmod//22 Christina//PM|NOM//obj//20 Nyman//PM|NOM//flat//22 ,//MID//punct//20 ekonom//NN|UTR|SIN|IND|NOM//nmod//26 Åsa//PM|NOM//obl//29 Olli-Segendorff//PM|NOM//flat:name//26 ,//MID//punct//26 enhetschef//NN|UTR|SIN|IND|NOM//parataxis//20 Johan//PM|NOM//nsubj//36 Samuelsson//PM|NOM//flat:name//30 och//KN//cc//34 ekonom//NN|UTR|SIN|IND|NOM//nmod//34 Anna//PM|NOM//conj//30 Öster//PM|NOM//flat:name//34 medverkat//VB|SUP|AKT//acl:relcl//29 .//MAD//punct//12
