Staten och imamerna;Religion//NN|UTR|SIN|IND|NOM//ROOT//0 ,//MID//punct//2 integration//NN|UTR|SIN|IND|NOM//conj//0 ,//MID//punct//4 autonomi//NN|UTR|SIN|IND|NOM//conj//0

Betänkande av Imamutbildningsutredningen;Stockholm//PM|NOM//ROOT//0 2009//RG|NOM//nummod//0

Till statsrådet Lars Leijonborg;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 22//RG|NOM//nummod//4 maj//NN|UTR|SIN|IND|NOM//obl//1 2008//RG|NOM//nummod//4 att//IE//mark//7 bemyndiga//VB|INF|AKT//advcl//1 statsrådet//NN|NEU|SIN|DEF|NOM//nmod//9 Lars//PM|NOM//obj//7 Leijonborg//PM|NOM//flat:name//9 att//IE//mark//12 tillkalla//VB|INF|AKT//xcomp//7 en//DT|UTR|SIN|IND//det//15 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//15 utredare//NN|UTR|SIN|IND|NOM//obj//12 med//PP//case//17 uppdrag//NN|NEU|SIN|IND|NOM//obl//12 att//IE//mark//19 kartlägga//VB|INF|AKT//acl//17 och//KN//cc//21 analysera//VB|INF|AKT//conj//19 behov//NN|NEU|PLU|IND|NOM//obj//21 av//PP//case//24 utbildning//NN|UTR|SIN|IND|NOM//nmod//22 för//PP//case//26 imamer//NN|UTR|PLU|IND|NOM//nmod//24 i//PP//case//28 Sverige//PM|NOM//nmod//26 (//PAD//punct//7 dir//NN|AN//appos//7 .//MAD//punct//7
Till statsrådet Lars Leijonborg;2008:66//RG|NOM//obl//7 )//PAD//punct//7 .//MAD//punct//1
Till statsrådet Lars Leijonborg;Med//PP//case//1 stöd//NN|NEU|SIN|IND|NOM//obl//4 av//PP//case//3 bemyndigandet//NN|NEU|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 Erik//PM|NOM//nsubj//4 Amnå//PM|NOM//flat//5 ,//MID//punct//8 professor//NN|UTR|SIN|IND|NOM//xcomp//4 i//PP//case//10 statskunskap//NN|UTR|SIN|IND|NOM//nmod//8 vid//PP//case//13 Örebro//PM|GEN//amod//13 universitet//NN|NEU|SIN|IND|NOM//nmod//8 ,//MID//punct//17 som//KN//case//17 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//17 utredare//NN|UTR|SIN|IND|NOM//appos//8 .//MAD//punct//4
Till statsrådet Lars Leijonborg;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 Imamutbildningsutredningen//NN|UTR|SIN|DEF|NOM//obj//2 .//MAD//punct//2
Till statsrådet Lars Leijonborg;Den//DT|UTR|SIN|DEF//det//8 19//RG|NOM//nummod//8 augusti//NN|UTR|SIN|IND|NOM//obl//10 2008//RG|NOM//nummod//8 förordnades//VB|PRT|SFO//parataxis//2 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//12 personer//NN|UTR|PLU|IND|NOM//nsubj:pass//10 att//IE//mark//14 ingå//VB|INF|AKT//acl//12 som//KN//mark//16 experter//NN|UTR|PLU|IND|NOM//obl//14 i//PP//case//18 utredningen//NN|UTR|SIN|DEF|NOM//obl//14 ://MID//punct//10
Till statsrådet Lars Leijonborg;departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//21 Mari//PM|NOM//appos//10 Granath//PM|NOM//flat:name//21 Lagercrantz//PM|NOM//flat:name//21 ,//MID//punct//21 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//26 Göran//PM|NOM//appos//21 Lindqvist//PM|NOM//flat:name//26 och//KN//cc//29 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//30 Kerstin//PM|NOM//conj//21 Molander//PM|NOM//flat:name//30 .//MAD//punct//2
Till statsrådet Lars Leijonborg;Följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 personer//NN|UTR|PLU|IND|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 ingått//VB|SUP|AKT//ROOT//3 i//PP//case//6 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//6 referensgrupp//NN|UTR|SIN|IND|NOM//obl//3 ://MID//punct//3
Till statsrådet Lars Leijonborg;"utredaren//NN|UTR|SIN|DEF|NOM//nmod//9 Hedda//PM|NOM//appos//3 Gunneng//PM|NOM//flat:name//9 ,//MID//punct//9 Högskoleverket//NN|NEU|SIN|DEF|NOM//conj//9 ;//MID//punct//9"
Till statsrådet Lars Leijonborg;"generalsekreteraren//NN|UTR|SIN|DEF|NOM//nmod//15 JanErik//PM|NOM//conj//9 Levy//PM|NOM//flat:name//15 ,//MID//punct//18 Nämnden//NN|UTR|SIN|DEF|NOM//conj//9 för//PP//case//21 statligt//JJ|POS|NEU|SIN|IND|NOM//amod//21 stöd//NN|NEU|SIN|IND|NOM//nmod//18 till//PP//case//23 trossamfund//NN|NEU|SIN|IND|NOM//nmod//18 ,//MID//punct//25 SST//PM|NOM//conj//23 ;//MID//punct//9"
Till statsrådet Lars Leijonborg;samt//KN//cc//29 generalsekreteraren//NN|UTR|SIN|DEF|NOM//nmod//29 Britten//PM|NOM//conj//9 Månsson-Wallin//PM|NOM//flat:name//29 ,//MID//punct//32 Folkbildningsrådet//NN|NEU|SIN|DEF|NOM//conj//29 .//MAD//punct//3
Till statsrådet Lars Leijonborg;Den//DT|UTR|SIN|DEF//det//2 1//RO|NOM//nummod//2 september//NN|UTR|SIN|IND|NOM//obl//4 2008//RG|NOM//nummod//2 anställdes//VB|PRT|SFO//ROOT//4 fil//NN|AN//nsubj:pass//4 .//MID//punct//4
Till statsrådet Lars Leijonborg;dr//NN|AN//nmod//8 Pia//PM|NOM//appos//4 Brundin//PM|NOM//flat:name//8 och//KN//cc//12 docent//NN|UTR|SIN|IND|NOM//nmod//12 Göran//PM|NOM//conj//8 Larsson//PM|NOM//flat:name//12 som//KN//case//15 sekreterare//NN|UTR|SIN|IND|NOM//nmod//12 i//PP//case//17 utredningen//NN|UTR|SIN|DEF|NOM//nmod//15 .//MAD//punct//4
Till statsrådet Lars Leijonborg;Imamutbildningsutredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 betänkandet//NN|NEU|SIN|DEF|NOM//obj//1
Till statsrådet Lars Leijonborg;Staten//NN|UTR|SIN|DEF|NOM//nsubj//18 och//KN//cc//2 imamerna//NN|UTR|PLU|DEF|NOM//conj//0 .//MID//punct//0
Till statsrådet Lars Leijonborg;Religion//NN|UTR|SIN|IND|NOM//conj//0 ,//MID//punct//6 integration//NN|UTR|SIN|IND|NOM//conj//4 ,//MID//punct//8 autonomi//NN|UTR|SIN|IND|NOM//conj//4 (//PAD//punct//10 SOU//PM|NOM//conj//4 2009:52//RG|NOM//conj//4 )//PAD//punct//0 .//MAD//punct//0
Till statsrådet Lars Leijonborg;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//15 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//18 är//VB|PRS|AKT//cop//18 därmed//AB//advmod//18 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//18 .//MAD//punct//18
Till statsrådet Lars Leijonborg;Stockholm//PM|NOM//ROOT//0 den//DT|UTR|SIN|DEF//det//3 1//RO|NOM//nummod//3 juni//NN|UTR|SIN|IND|NOM//obj//0 2009//RG|NOM//nummod//3
Till statsrådet Lars Leijonborg;Erik//PM|NOM//ROOT//0 Amnå//PM|NOM//flat//0 /Pia//MID//nmod//3 Brundin//PM|NOM//nmod//0
Till statsrådet Lars Leijonborg;Göran//PM|NOM//ROOT//0 Larsson//PM|NOM//flat:name//0

Utredningen har tagit fasta på imamers eventuella betydelse för den kulturella integrationen av invandrare. Även om imamer uppvisar stora variationer sinsemellan när det gäller bakgrund, utbildning och tid i Sverige saknar många tillräckliga kunskaper i svenska språket, samt om svensk lagstiftning och samhällsorganisation. Det är brister som många av dem gärna vill åtgärda för att kunna spela en fortsatt roll som församlingsledare. Utan en sådan förtrogenhet riskerar de på sikt att förlora i trovärdighet, framför allt bland yngre generationer.;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 konstaterar//VB|PRS|AKT//ROOT//1 att//SN//mark//8 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//8 på//PP//case//6 kort//JJ|POS|UTR|SIN|IND|NOM//amod//6 sikt//NN|UTR|SIN|IND|NOM//obl//8 kan//VB|PRS|AKT//aux//8 finnas//VB|INF|SFO//ccomp//1 ett//DT|NEU|SIN|IND//det//10 utbildningsbehov//NN|NEU|SIN|IND|NOM//nsubj//8 av//PP//case//13 icke-konfessionell//JJ|POS|UTR|SIN|IND|NOM//amod//13 natur//NN|UTR|SIN|IND|NOM//nmod//10 bland//PP//case//18 i//PP//case//16 Sverige//PM|NOM//obl//17 arbetande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 imamer//NN|UTR|PLU|IND|NOM//obl//8 som//HP|-|-|-//obj//23 staten//NN|UTR|SIN|DEF|NOM//nsubj//23 skulle//VB|PRT|AKT//aux//23 kunna//VB|INF|AKT//aux//23 möta//VB|INF|AKT//acl:relcl//18 .//MAD//punct//1
Utredningen har tagit fasta på imamers eventuella betydelse för den kulturella integrationen av invandrare. Även om imamer uppvisar stora variationer sinsemellan när det gäller bakgrund, utbildning och tid i Sverige saknar många tillräckliga kunskaper i svenska språket, samt om svensk lagstiftning och samhällsorganisation. Det är brister som många av dem gärna vill åtgärda för att kunna spela en fortsatt roll som församlingsledare. Utan en sådan förtrogenhet riskerar de på sikt att förlora i trovärdighet, framför allt bland yngre generationer.;Deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//26 betydelse//NN|UTR|SIN|IND|NOM//nsubj:pass//37 som//KN//mark//29 religiösa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 ledare//NN|UTR|PLU|IND|NOM//nmod//26 och//KN//cc//31 företrädare//NN|UTR|PLU|IND|NOM//conj//29 för//PP//case//34 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 invandrare//NN|UTR|PLU|IND|NOM//nmod//31 skulle//VB|PRT|AKT//aux//37 därmed//AB//advmod//37 ges//VB|INF|SFO//parataxis//1 ett//DT|NEU|SIN|IND//det//40 offentligt//JJ|POS|NEU|SIN|IND|NOM//amod//40 erkännande//NN|NEU|SIN|IND|NOM//nsubj:pass//37 i//PP//case//42 paritet//NN|UTR|SIN|IND|NOM//obl//37 med//PP//case//46 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 religiösa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 ledare//NN|UTR|PLU|IND|NOM//nmod//42 .//MAD//punct//1
Utredningen har tagit fasta på imamers eventuella betydelse för den kulturella integrationen av invandrare. Även om imamer uppvisar stora variationer sinsemellan när det gäller bakgrund, utbildning och tid i Sverige saknar många tillräckliga kunskaper i svenska språket, samt om svensk lagstiftning och samhällsorganisation. Det är brister som många av dem gärna vill åtgärda för att kunna spela en fortsatt roll som församlingsledare. Utan en sådan förtrogenhet riskerar de på sikt att förlora i trovärdighet, framför allt bland yngre generationer.;Men//KN//cc//2 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//2 finns//VB|PRS|SFO//ROOT//2 ändå//AB//advmod//2 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//6 starka//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 skäl//NN|NEU|PLU|IND|NOM//nsubj//2 som//HP|-|-|-//nsubj//8 talar//VB|PRS|AKT//acl:relcl//6 emot//PP//case//11 en//DT|UTR|SIN|IND//det//11 särbehandling//NN|UTR|SIN|IND|NOM//obl//8 för//PP//mark//14 att//IE//mark//14 möta//VB|INF|AKT//advcl//8 imamers//NN|UTR|PLU|IND|GEN//nmod:poss//16 utbildningsbehov//NN|NEU|SIN|IND|NOM//obj//14 ,//MID//punct//22 såväl//KN//advmod//22 av//PP//case//22 konstitutionellt//JJ|POS|NEU|SIN|IND|NOM//amod//22 ,//MID//punct//22 politiskt//AB|POS//advmod//14 som//KN//mark//26 av//PP//case//26 praktiskt//JJ|POS|NEU|SIN|IND|NOM//amod//26 slag//NN|NEU|SIN|IND|NOM//obl//22 .//MAD//punct//2
