16.1 Uppdraget;Enligt//PP//case//1 direktiven//NN|NEU|PLU|DEF|NOM//obl//6 till//PP//case//3 Trafikförsäkringsutredningen//NN|UTR|SIN|DEF|NOM//nmod//1 ska//VB|PRS|AKT//aux//6 utredaren//NN|UTR|SIN|DEF|NOM//nsubj//6 belysa//VB|INF|AKT//ROOT//6 situationen//NN|UTR|SIN|DEF|NOM//obj//6 särskilt//AB//advmod//6 för//PP//case//11 oförsäkrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//11 fordonsägare//NN|UTR|PLU|IND|NOM//obl//6 samt//KN//cc//13 föreslå//VB|INF|AKT//conj//6 de//DT|UTR/NEU|PLU|DEF//det//15 ändringar//NN|UTR|PLU|IND|NOM//obj//13 som//HP|-|-|-//nsubj:pass//17 anses//VB|PRS|SFO//acl:relcl//15 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//17 för//PP//mark//26 att//SN//mark//26 antalet//NN|NEU|SIN|DEF|NOM//det//23 oförsäkrade//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 fordonsägare//NN|UTR|PLU|IND|NOM//nsubj//26 inte//AB//advmod//26 ska//VB|PRS|AKT//aux//26 öka//VB|INF|AKT//advcl//17 .//MAD//punct//6

16.2 Trafikförsäkringsplikten;Trafikförsäkringen//NN|UTR|SIN|DEF|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 en//DT|UTR|SIN|IND//det//4 obligatorisk//JJ|POS|UTR|SIN|IND|NOM//amod//4 försäkring//NN|UTR|SIN|IND|NOM//ROOT//4 som//HP|-|-|-//nsubj//6 ger//VB|PRS|AKT//acl:relcl//4 ersättning//NN|UTR|SIN|IND|NOM//obj//6 för//PP//case//10 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 typer//NN|UTR|PLU|IND|NOM//obl//6 av//PP//case//12 skador//NN|UTR|PLU|IND|NOM//nmod//10 i//PP//case//14 trafiken//NN|UTR|SIN|DEF|NOM//nmod//12 .//MAD//punct//4
16.2 Trafikförsäkringsplikten;I//PP//case//19 2//RG|NOM//nummod//18 §//NN|AN//nmod//19 trafikskadelagen//NN|UTR|SIN|DEF|NOM//obl//20 föreskrivs//VB|PRS|SFO//parataxis//4 att//SN//mark//24 trafikförsäkring//NN|UTR|SIN|IND|NOM//nsubj//24 ska//VB|PRS|AKT//aux//24 finnas//VB|INF|SFO//ccomp//20 för//PP//case//27 motordrivet//PC|PRF|NEU|SIN|IND|NOM//amod//27 fordon//NN|NEU|SIN|IND|NOM//obl//24 som//HP|-|-|-//nsubj//30 är//VB|PRS|AKT//cop//30 registrerat//PC|PRF|NEU|SIN|IND|NOM//acl:relcl//27 i//PP//case//32 vägtrafikregistret//NN|NEU|SIN|DEF|NOM//obl//30 och//KN//cc//36 inte//AB//advmod//36 är//VB|PRS|AKT//cop//36 avställt//PC|PRF|NEU|SIN|IND|NOM//conj//30 samt//KN//cc//41 för//PP//case//40 annat//JJ|POS|NEU|SIN|IND|NOM//amod//40 motordrivet//PC|PRF|NEU|SIN|IND|NOM//amod//41 fordon//NN|NEU|SIN|IND|NOM//conj//27 som//HP|-|-|-//nsubj:pass//43 brukas//VB|PRS|SFO//acl:relcl//41 i//PP//case//45 trafik//NN|UTR|SIN|IND|NOM//obl//43 här//AB//advmod//43 i//PP//case//48 landet//NN|NEU|SIN|DEF|NOM//obl//46 .//MAD//punct//4
16.2 Trafikförsäkringsplikten;Enligt//PP//case//1 huvudregeln//NN|UTR|SIN|DEF|NOM//obl//5 är//VB|PRS|AKT//cop//5 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//5 fordonets//NN|NEU|SIN|DEF|GEN//nmod:poss//5 ägare//NN|UTR|SIN|IND|NOM//ROOT//5 som//HP|-|-|-//nsubj//8 ska//VB|PRS|AKT//aux//8 teckna//VB|INF|AKT//acl:relcl//5 försäkring//NN|UTR|SIN|IND|NOM//obj//8 .//MAD//punct//5
16.2 Trafikförsäkringsplikten;Försäkringspliktens//NN|UTR|SIN|DEF|GEN//nmod:poss//12 fullgörande//NN|NEU|SIN|IND|NOM//nsubj//13 åligger//VB|PRS|AKT//parataxis//5 den//PN|UTR|SIN|DEF|SUB/OBJ//obj//13 som//HP|-|-|-//nsubj:pass//17 har//VB|PRS|AKT//aux//17 registrerats//VB|SUP|SFO//acl:relcl//14 som//KN//case//20 fordonets//NN|NEU|SIN|DEF|GEN//nmod:poss//20 ägare//NN|UTR|SIN|IND|NOM//obl//17 eller//KN//cc//23 någon//DT|UTR|SIN|IND//det//23 annan//JJ|POS|UTR|SIN|IND|NOM//conj//20 som//HP|-|-|-//nsubj:pass//25 visas//VB|PRS|SFO//acl:relcl//23 vara//VB|INF|AKT//cop//29 den//DT|UTR|SIN|DEF//det//29 verklige//JJ|POS|MAS|SIN|DEF|NOM//amod//29 ägaren//NN|UTR|SIN|DEF|NOM//xcomp//25 .//MAD//punct//5
16.2 Trafikförsäkringsplikten;Innehas//VB|INF|AKT//parataxis//5 fordonet//NN|NEU|SIN|DEF|NOM//obj//31 på//PP//case//36 grund//NN|UTR|SIN|IND|NOM//fixed//33 av//PP//fixed//33 kreditköp//NN|NEU|PLU|IND|NOM//obl//31 med//PP//case//38 förbehåll//NN|NEU|SIN|IND|NOM//nmod//36 om//PP//case//40 återtaganderätt//NN|UTR|SIN|IND|NOM//nmod//38 eller//KN//cc//42 innehas//VB|PRS|SFO//conj//31 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//42 med//PP//case//45 nyttjanderätt//NN|UTR|SIN|IND|NOM//obl//42 för//PP//case//48 bestämd//PC|PRF|UTR|SIN|IND|NOM//amod//48 tid//NN|UTR|SIN|IND|NOM//nmod//45 om//PP//case//52 minst//AB|SUV//advmod//51 ett//RG|NEU|SIN|IND|NOM//nummod//52 år//NN|NEU|SIN|IND|NOM//obl//42 ,//MID//punct//31 fullgörs//VB|PRS|SFO//parataxis//5 dock//AB//advmod//54 försäkringsplikten//NN|UTR|SIN|DEF|NOM//nsubj:pass//54 av//PP//case//58 innehavaren//NN|UTR|SIN|DEF|NOM//nmod//56 .//MAD//punct//5
16.2 Trafikförsäkringsplikten;Byter//VB|PRS|AKT//advcl//6 ett//DT|NEU|SIN|IND//det//2 fordon//NN|NEU|SIN|IND|NOM//nmod//3 ägare//NN|UTR|PLU|IND|NOM//nsubj//0 är//VB|PRS|AKT//cop//6 både//KN//cc//6 överlåtaren//NN|UTR|SIN|DEF|NOM//nsubj//9 och//KN//cc//8 förvärvaren//NN|UTR|SIN|DEF|NOM//conj//6 skyldiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advcl//65 att//IE//mark//11 anmäla//VB|INF|AKT//xcomp//9 ägarbytet//NN|NEU|SIN|DEF|NOM//obj//11 till//PP//case//14 Transportstyrelsen//NN|UTR|SIN|DEF|NOM//obl//11 för//PP//case//16 registrering//NN|UTR|SIN|IND|NOM//obl//11 i//PP//case//18 vägtrafikregistret//NN|NEU|SIN|DEF|NOM//nmod//16 .//MAD//punct//9
16.2 Trafikförsäkringsplikten;Ägaren//NN|UTR|SIN|DEF|NOM//nsubj//22 kan//VB|PRS|AKT//aux//22 begära//VB|INF|AKT//parataxis//9 att//SN//mark//31 ett//DT|NEU|SIN|IND//det//25 fordon//NN|NEU|SIN|IND|NOM//nsubj:pass//31 avställs//AB//nmod//25 om//SN//mark//31 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//31 inte//AB//advmod//31 ska//VB|PRS|AKT//aux//31 användas//VB|INF|SFO//ccomp//22 under//PP//case//34 en//DT|UTR|SIN|IND//det//34 tid//NN|UTR|SIN|IND|NOM//obl//31 .//MAD//punct//22
16.2 Trafikförsäkringsplikten;Avställs//PM|NOM//case//37 fordonet//NN|NEU|SIN|DEF|NOM//obl//9 ,//MID//punct//9 upphör//VB|PRS|AKT//parataxis//9 försäkringsplikten//NN|UTR|SIN|DEF|NOM//obj//39 .//MAD//punct//9
16.2 Trafikförsäkringsplikten;Vill//VB|PRS|AKT//aux//44 ägaren//NN|UTR|SIN|DEF|NOM//nsubj//44 börja//VB|INF|AKT//conj//9 använda//VB|INF|AKT//xcomp//44 ett//DT|NEU|SIN|IND//det//48 avställt//PC|PRF|NEU|SIN|IND|NOM//amod//48 fordon//NN|NEU|SIN|IND|NOM//obj//45 igen//AB//advmod//45 ,//MID//punct//53 får//VB|PRS|AKT//aux//53 han//PN|UTR|SIN|DEF|SUB//nsubj//53 anmäla//VB|INF|AKT//conj//9 att//SN//mark//56 avställningen//NN|UTR|SIN|DEF|NOM//nsubj//56 upphör//VB|PRS|AKT//ccomp//53 .//MAD//punct//9
