Avtalad upphovsrätt;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Upphovsrättsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Avtalad upphovsrätt;Stockholm//PM|NOM//ROOT//0 2010//RG|NOM//nummod//0

Till statsrådet och chefen för Justitiedepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 10//RG|NOM//nummod//4 april//NN|UTR|SIN|IND|NOM//obj//1 2008//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//15 bl.a.//AB|AN//advmod//15 göra//VB|INF|AKT//acl//12 en//DT|UTR|SIN|IND//det//17 översyn//NN|UTR|SIN|IND|NOM//obj//15 av//PP//case//19 bestämmelserna//NN|UTR|PLU|DEF|NOM//nmod//17 om//PP//case//22 upphovsrättens//NN|UTR|SIN|DEF|GEN//nmod:poss//22 övergång//NN|UTR|SIN|IND|NOM//obl//15 i//PP//case//26 3//RG|NOM//nummod//25 kap.//NN|AN//nmod//26 lag//NN|UTR|SIN|IND|NOM//nmod//22 (//PAD//punct//28 1960:729//RG|NOM//appos//26 )//PAD//punct//26 om//PP//case//31 upphovsrätt//NN|UTR|SIN|IND|NOM//obl//15 till//PP//case//36 litterära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 och//KN//cc//35 konstnärliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//33 verk//NN|NEU|PLU|IND|NOM//nmod//31 och//KN//cc//38 se//VB|INF|AKT//conj//15 över//PL//case//41 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 frågor//NN|UTR|PLU|IND|NOM//obl//38 om//PP//case//43 avtalslicenser//NN|UTR|PLU|IND|NOM//nmod//41 m.m.//AB|AN//nmod//43 (//PAD//punct//44 Dir//NN|AN//obl//38 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;2008:37//RG|NOM//obl//1 )//PAD//punct//48 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Genom//PP//case//52 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//57 den//DT|UTR|SIN|DEF//det//55 25//RG|NOM//nummod//55 juni//NN|UTR|SIN|IND|NOM//obj//52 2009//RG|NOM//nummod//55 fick//VB|PRT|AKT//conj//1 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//57 i//PP//case//60 uppdrag//NN|NEU|SIN|IND|NOM//obl//57 att//IE//mark//63 även//AB//advmod//63 ta//VB|INF|AKT//acl//60 ställning//NN|UTR|SIN|IND|NOM//obj//63 till//PP//case//64 om//SN//mark//69 upphovsrättslagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//69 bör//VB|PRS|AKT//aux//69 ändras//VB|INF|SFO//advcl//57 för//PP//mark//72 att//IE//mark//72 underlätta//VB|INF|AKT//advcl//69 för//PP//case//74 bibliotek//NN|NEU|SIN|IND|NOM//obl//72 och//KN//cc//76 arkiv//NN|NEU|PLU|IND|NOM//conj//74 att//IE//mark//78 digitalisera//VB|INF|AKT//xcomp//72 och//KN//cc//80 tillgängliggöra//VB|INF|AKT//conj//78 upphovsrättsligt//AB|POS//advmod//82 skyddade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//83 verk//NN|NEU|PLU|IND|NOM//obj//80 ,//MID//punct//90 om//SN//mark//90 en//DT|UTR|SIN|IND//det//88 generell//JJ|POS|UTR|SIN|IND|NOM//amod//88 avtalslicens//NN|UTR|SIN|IND|NOM//nsubj:pass//90 bör//VB|PRS|AKT//aux//90 införas//VB|INF|SFO//advcl//57 och//KN//cc//95 om//SN//mark//95 upphovsrättslagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//95 bör//VB|PRS|AKT//aux//95 ändras//VB|INF|SFO//conj//90 för//PP//mark//98 att//IE//mark//98 säkerställa//VB|INF|AKT//advcl//95 att//SN//mark//111 de//DT|UTR/NEU|PLU|DEF//det//101 ersättningar//NN|UTR|PLU|IND|NOM//nsubj//111 som//HP|-|-|-//nsubj:pass//103 betalas//VB|PRS|SFO//acl:relcl//101 till//PP//case//106 en//DT|UTR|SIN|IND//det//106 organisation//NN|UTR|SIN|IND|NOM//obl//103 på//PP//case//110 grundval//NN|NEU|SIN|IND|NOM//fixed//107 av//PP//fixed//107 avtalslicenser//NN|UTR|PLU|IND|NOM//nmod//106 kommer//VB|PRS|AKT//ccomp//98 rättighetshavare//NN|UTR|PLU|IND|NOM//advmod//111 ,//MID//punct//115 särskilt//AB//advmod//115 sådana//PN|UTR/NEU|PLU|IND|SUB/OBJ//conj//111 som//HP|-|-|-//nsubj:pass//118 inte//AB//advmod//118 företräds//VB|PRS|SFO//acl:relcl//115 av//PP//case//120 organisationen//NN|UTR|SIN|DEF|NOM//obl:agent//118 ,//MID//punct//123 till//PP//case//123 del//NN|UTR|SIN|IND|NOM//appos//57 (//PAD//punct//123 Dir//NN|AN//appos//123 .//MAD//punct//123
Till statsrådet och chefen för Justitiedepartementet;2009:65//RG|NOM//conj//57 )//PAD//punct//57 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Till//PP//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//obl//3 förordnades//VB|PRT|SFO//ROOT//3 Jan//PM|NOM//nsubj:pass//3 Rosén//PM|NOM//flat//4 ,//MID//punct//4 professor//NN|UTR|SIN|IND|NOM//conj//4 i//PP//case//9 civilrätt//NN|UTR|SIN|IND|NOM//nmod//7 vid//PP//case//12 Stockholms//PM|GEN//nmod:poss//12 universitet//NN|NEU|SIN|IND|NOM//nmod//7 ,//MID//punct//4 från//PP//case//19 och//KN//fixed//14 med//PP//fixed//14 den//DT|UTR|SIN|DEF//det//19 1//RO|NOM//nummod//19 maj//NN|UTR|SIN|IND|NOM//obl//3 2008//RG|NOM//nummod//19 .//MAD//punct//3
Till statsrådet och chefen för Justitiedepartementet;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//obl//2 förordnades//VB|PRT|SFO//ROOT//2 den//DT|UTR|SIN|DEF//det//5 4//RO|NOM//nummod//5 juni//NN|UTR|SIN|IND|NOM//nsubj:pass//2 2008//RG|NOM//punct//5 bolagsjuristen//NN|UTR|SIN|DEF|NOM//nmod//8 Birgitta//PM|NOM//obl//2 Adamson//PM|NOM//flat:name//8 ,//MID//punct//12 konkurrenssakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//12 Katarina//PM|NOM//conj//8 Alfredsson//PM|NOM//flat//12 ,//MID//punct//12 verkställande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 direktören//NN|UTR|SIN|DEF|NOM//nmod//17 Anders//PM|NOM//conj//8 Appelqvist//PM|NOM//flat//17 ,//MID//punct//17 juristen//NN|UTR|SIN|DEF|NOM//nmod//21 Martina//PM|NOM//conj//8 Andersson//PM|NOM//flat//21 ,//MID//punct//25 språkexperten//NN|UTR|SIN|DEF|NOM//nmod//25 Bengt//PM|NOM//appos//8 Baedecke//PM|NOM//flat:name//25 ,//MID//punct//25 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//29 Elisabeth//PM|NOM//appos//8 Bill//PM|NOM//flat:name//29 ,//MID//punct//29 bolagsjuristen//NN|UTR|SIN|DEF|NOM//nmod//33 Thomas//PM|NOM//conj//8 Boström//PM|NOM//flat:name//33 ,//MID//punct//33 advokaten//NN|UTR|SIN|DEF|NOM//nmod//37 Karin//PM|NOM//conj//8 Cederlund//PM|NOM//flat:name//37 ,//MID//punct//40 jur.kand//PM|NOM//conj//37 .//MID//punct//37
Till statsrådet och chefen för Justitiedepartementet;Antje//PM|NOM//nmod//43 Dedering//PM|NOM//conj//8 ,//MID//punct//43 förbundsjuristen//NN|UTR|SIN|DEF|NOM//nmod//46 Catharina//PM|NOM//conj//43 Ekdahl//PM|NOM//flat:name//46 ,//MID//punct//49 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//50 Helle//PM|NOM//conj//8 Ellehöj//PM|NOM//flat:name//50 ,//MID//punct//54 intendenten//NN|UTR|SIN|DEF|NOM//nmod//54 Maria//PM|NOM//conj//8 Granström//PM|NOM//flat:name//54 ,//MID//punct//54 chefsjuristen//NN|UTR|SIN|DEF|NOM//nmod//58 Lars//PM|NOM//conj//8 Grönquist//PM|NOM//flat:name//58 ,//MID//punct//58 verkställande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//62 direktören//NN|UTR|SIN|DEF|NOM//nmod//63 Lars//PM|NOM//conj//8 Gustafsson//PM|NOM//flat:name//63 ,//MID//punct//67 verkställande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//67 direktören//NN|UTR|SIN|DEF|NOM//nmod//68 Christer//PM|NOM//conj//8 Johansson//PM|NOM//flat:name//68 ,//MID//punct//71 jur.kand//PM|NOM//conj//8 .//MID//punct//8
