Med rätt att välja;–//RG|NOM//punct//2 flexibel//JJ|POS|UTR|SIN|IND|NOM//amod//2 utbildning//NN|UTR|SIN|IND|NOM//ROOT//2 för//PP//case//4 elever//NN|UTR|PLU|IND|NOM//nmod//2 som//HP|-|-|-//nsubj//6 tillhör//VB|PRS|AKT//acl:relcl//4 specialskolans//NN|UTR|SIN|DEF|GEN//nmod:poss//8 målgrupp//NN|UTR|SIN|IND|NOM//obj//6
Med rätt att välja;Delbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//6 en//DT|UTR|SIN|IND//det//6 flexibel//JJ|POS|UTR|SIN|IND|NOM//amod//6 specialskola//NN|UTR|SIN|IND|NOM//nmod//2
Med rätt att välja;Stockholm//PM|NOM//ROOT//0 2011//RG|NOM//nummod//0

Till statsrådet och chefen för Utbildningsdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 22//RG|NOM//nummod//4 april//NN|UTR|SIN|IND|NOM//obj//1 2010//RG|NOM//nummod//4 att//IE//mark//7 ge//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 i//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 utreda//VB|INF|AKT//acl//12 och//KN//cc//16 föreslå//VB|INF|AKT//conj//14 hur//HA//advmod//23 en//DT|UTR|SIN|IND//det//20 flexibel//JJ|POS|UTR|SIN|IND|NOM//amod//20 specialskola//NN|UTR|SIN|IND|NOM//nsubj:pass//23 ska//VB|PRS|AKT//aux//23 kunna//VB|INF|AKT//aux//23 införas//VB|INF|SFO//ccomp//16 .//MAD//punct//4
Till statsrådet och chefen för Utbildningsdepartementet;Ann-Marie//PM|NOM//nmod//26 Begler//PM|NOM//appos//4 ,//MID//punct//26 generaldirektör//NN|UTR|SIN|IND|NOM//conj//26 ,//MID//punct//26 Skolinspektionen//NN|UTR|SIN|DEF|NOM//nsubj:pass//31 förordnades//VB|PRT|SFO//acl:relcl//4 som//KN//mark//34 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//34 utredare//NN|UTR|SIN|IND|NOM//obl//31 den//DT|UTR|SIN|DEF//det//37 29//RG|NOM//nummod//37 april//NN|UTR|SIN|IND|NOM//obl//31 2010//RG|NOM//nummod//37 .//MAD//punct//1
Till statsrådet och chefen för Utbildningsdepartementet;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//nsubj:pass//2 förordnades//VB|PRT|SFO//ROOT//2 fr.o.m.//AB|AN//case//6 den//DT|UTR|SIN|DEF//det//6 11//RG|NOM//nummod//6 oktober//NN|UTR|SIN|IND|NOM//obl//2 2010//RG|NOM//nummod//6 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//9 Andreas//PM|NOM//obl//2 Hermansson//PM|NOM//flat:name//9 ,//MID//punct//9 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//9 ,//MID//punct//9 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//15 Leo//PM|NOM//appos//9 Gumpert//PM|NOM//flat:name//15 ,//MID//punct//18 Utbildningsdepartementet//NN|NEU|SIN|DEF|NOM//conj//15 ,//MID//punct//15 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//21 Marie//PM|NOM//appos//9 Törn//PM|NOM//flat:name//21 ,//MID//punct//24 Utbildningsdepartementet//NN|NEU|SIN|DEF|NOM//conj//21 ,//MID//punct//21 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//27 Lars//PM|NOM//conj//9 Nilsson//PM|NOM//flat:name//27 ,//MID//punct//27 Socialdepartementet//NN|NEU|SIN|DEF|NOM//conj//9 ,//MID//punct//9 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//33 Anders//PM|NOM//nsubj//39 Widholm//PM|NOM//flat:name//33 ,//MID//punct//36 Utbildningsdepartementet//NN|NEU|SIN|DEF|NOM//conj//33 och//KN//cc//38 kanslirådet//NN|NEU|SIN|DEF|NOM//conj//33 Ulrika//PM|NOM//nmod//40 Åkerdahl//PM|NOM//conj//9 ,//MID//punct//42 Utbildningsdepartementet//NN|NEU|SIN|DEF|NOM//conj//40 .//MAD//punct//2
Till statsrådet och chefen för Utbildningsdepartementet;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//nsubj:pass//2 anställdes//VB|PRT|SFO//ROOT//2 fr.o.m.//AB|AN//case//6 den//DT|UTR|SIN|DEF//det//6 19//RG|NOM//nummod//6 maj//NN|UTR|SIN|IND|NOM//obl//2 2010//RG|NOM//nummod//8 Karin//PM|NOM//nmod//6 Flemström//PM|NOM//flat:name//8 ,//MID//punct//11 föredragande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//8 ,//MID//punct//8 Kammarrätten//NN|UTR|SIN|DEF|NOM//conj//8 i//PP//case//15 Stockholm//PM|NOM//nmod//13 ,//MID//punct//6 och//KN//cc//23 fr.o.m.//AB|AN//case//23 den//DT|UTR|SIN|DEF//det//21 1//RO|NOM//nummod//21 juni//NN|UTR|SIN|IND|NOM//nmod//23 2010//RG|NOM//nummod//23 Gabriel//PM|NOM//conj//6 Brandström//PM|NOM//flat:name//23 ,//MID//punct//26 undervisningsråd//NN|NEU|SIN|IND|NOM//conj//23 ,//MID//punct//28 Skolverket//PM|NOM//conj//23 .//MAD//punct//6
Till statsrådet och chefen för Utbildningsdepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//obl//2 ,//MID//punct//30 som//HP|-|-|-//nsubj//33 antagit//VB|SUP|AKT//acl:relcl//30 namnet//NN|NEU|SIN|DEF|NOM//nmod//35 Utredningen//NN|UTR|SIN|DEF|NOM//obj//33 om//PP//case//39 en//DT|UTR|SIN|IND//det//39 flexibel//JJ|POS|UTR|SIN|IND|NOM//amod//39 specialskola//NN|UTR|SIN|IND|NOM//obl//33 ,//MID//punct//30 överlämnar//VB|PRS|AKT//conj//2 härmed//AB//advmod//41 delbetänkandet//NN|NEU|SIN|DEF|NOM//obj//41 Med//PP//case//45 rätt//NN|UTR|SIN|IND|NOM//obl//41 att//IE//mark//47 välja//VB|INF|AKT//acl//45  //_SP////47 -//MID//punct//2  //_SP////49 flexibel//JJ|POS|UTR|SIN|IND|NOM//amod//52 utbildning//NN|UTR|SIN|IND|NOM//parataxis//2 för//PP//case//54 elever//NN|UTR|PLU|IND|NOM//nmod//52 som//HP|-|-|-//nsubj//56 tillhör//VB|PRS|AKT//acl:relcl//54 specialskolans//NN|UTR|SIN|DEF|GEN//nmod:poss//58 målgrupp//NN|UTR|SIN|IND|NOM//obj//56  //_SP////58 (//PAD//punct//61 SOU//PM|NOM//appos//56 2011:30//RG|NOM//nummod//61 )//PAD//punct//61 .//MAD//punct//2
Till statsrådet och chefen för Utbildningsdepartementet;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//7 i//PP//case//4 denna//DT|UTR|SIN|DEF//det//4 del//NN|UTR|SIN|IND|NOM//nmod//1 är//VB|PRS|AKT//cop//7 härmed//AB//advmod//7 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//7 .//MAD//punct//7
Till statsrådet och chefen för Utbildningsdepartementet;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 mars//NN|UTR|SIN|IND|NOM//obl//0 2011//RG|NOM//nummod//2
Till statsrådet och chefen för Utbildningsdepartementet;Ann-Marie//PM|NOM//nmod//1 Begler//PM|NOM//ROOT//1 /Karin//NN|UTR|SIN|DEF|NOM//nmod//3 Flemström//PM|NOM//flat:name//1
