Forskning och utveckling samt försvarslogistik;–//RG|NOM//punct//4 i//PP//case//4 det//DT|NEU|SIN|DEF//det//4 reformerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//4 försvaret//NN|NEU|SIN|DEF|NOM//ROOT//4
Forskning och utveckling samt försvarslogistik;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Försvarsstrukturutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
Forskning och utveckling samt försvarslogistik;Stockholm//PM|NOM//ROOT//0 2011//RG|NOM//nummod//0

Förteckning över bilagorna Tidigare beslut och utredningar vad gäller Försvarets stödverksamheter Konsultrapport utarbetad på uppdrag av Försvarsstrukturutredningen;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 oktober//NN|UTR|SIN|IND|NOM//obl//0 2010//RG|NOM//nummod//4 3//RG|NOM//obl//0 .//MAD//punct//0
Förteckning över bilagorna Tidigare beslut och utredningar vad gäller Försvarets stödverksamheter Konsultrapport utarbetad på uppdrag av Försvarsstrukturutredningen;Politiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 beslut//NN|NEU|PLU|IND|NOM//appos//0 och//KN//cc//9 förslag//NN|NEU|PLU|IND|NOM//conj//7 som//HP|-|-|-//nsubj//11 avser//VB|PRS|AKT//acl:relcl//9 stöd//NN|NEU|SIN|IND|NOM//obj//11 3.3//RG|NOM//nmod//14 Skrivelsen//NN|UTR|SIN|DEF|NOM//obj//11 om//PP//case//18 en//DT|UTR|SIN|IND//det//18 ändamålsenlig//JJ|POS|UTR|SIN|IND|NOM//amod//18 styrning//NN|UTR|SIN|IND|NOM//obl//11 och//KN//cc//20 5.1//RG|NOM//conj//18 2001//RG|NOM//nummod//22 års//NN|NEU|SIN|IND|GEN//nmod:poss//23 materielförsörjnings-//NN|UTR|-|-|SMS//conj//18 och//KN//cc//26 5.2//RG|NOM//nmod//26 Organisationsöversyner//NN|UTR|PLU|IND|NOM//conj//23 under//PP//case//28 perioden//NN|UTR|SIN|DEF|NOM//obl//11 2002//RG|NOM//nummod//28 –//NN|AN//punct//0 5.3//RG|NOM//nmod//32 Utredningar//NN|UTR|PLU|IND|NOM//appos//0 om//PP//case//34 stödverksamheterna//NN|UTR|PLU|DEF|NOM//nmod//32 som//HP|-|-|-//nsubj//36 har//VB|PRS|AKT//acl:relcl//34


1. Uppdraget;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//6 med//PP//case//3 denna//DT|UTR|SIN|DEF//det//3 rapport//NN|UTR|SIN|IND|NOM//nmod//0 är//VB|PRS|AKT//cop//6 att//IE//mark//6 sammanfatta//VB|INF|AKT//ROOT//6 resultatet//NN|NEU|SIN|DEF|NOM//obj//6 av//PP//case//10 de//DT|UTR/NEU|PLU|DEF//det//10 beslut//NN|NEU|PLU|IND|NOM//nmod//7 och//KN//cc//12 utredningar//NN|UTR|PLU|IND|NOM//conj//10 som//HP|-|-|-//nsubj:pass//15 har//VB|PRS|AKT//aux//15 fattats//VB|SUP|SFO//acl:relcl//12 respektive//AB//cc//17 genomförts//VB|SUP|SFO//obl//15 beträffande//PP//case//22 det//DT|NEU|SIN|DEF//det//21 militära//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//21 försvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//22 stödverksamheter//NN|UTR|PLU|IND|NOM//nmod//17 under//PP//case//25 senare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//25 år//NN|NEU|PLU|IND|NOM//nmod//22 .//MAD//punct//6
1. Uppdraget;Tonvikten//NN|UTR|SIN|DEF|NOM//nsubj:pass//29 har//VB|PRS|AKT//aux//29 lagts//VB|SUP|SFO//parataxis//6 på//PP//case//31 beslut//NN|NEU|SIN|IND|NOM//obl//29 och//KN//cc//33 förslag//NN|NEU|SIN|IND|NOM//conj//31 som//HP|-|-|-//nsubj//36 har//VB|PRS|AKT//aux//36 gällt//VB|SUP|AKT//acl:relcl//33 besparingsåtgärder//NN|UTR|PLU|IND|NOM//obj//36 samt//KN//cc//39 struktur-//NN|UTR|-|-|SMS//conj//37 och//KN//cc//41 organisationsförändringar//NN|UTR|PLU|IND|NOM//conj//39 inom//PP//case//43 stödverksamheten//NN|UTR|SIN|DEF|NOM//nmod//41 .//MAD//punct//6
1. Uppdraget;Avsikten//NN|UTR|SIN|DEF|NOM//parataxis//6 är//VB|PRS|AKT//cop//45 att//SN//mark//51 materialet//NN|NEU|SIN|DEF|NOM//nsubj//51 ska//VB|PRS|AKT//aux//51 kunna//VB|INF|AKT//aux//51 bidra//VB|INF|AKT//csubj//45 till//PP//case//54 de//DT|UTR/NEU|PLU|DEF//det//54 analyser//NN|UTR|PLU|IND|NOM//obl//51 som//HP|-|-|-//obj//58 Försvarsstrukturutredningen//NN|UTR|SIN|DEF|NOM//nsubj//58 måste//VB|PRS|AKT//aux//58 göra//VB|INF|AKT//acl:relcl//54 för//PP//mark//62 att//IE//mark//62 kunna//VB|INF|AKT//aux//62 redovisa//VB|INF|AKT//advcl//58 förslag//NN|NEU|PLU|IND|NOM//obj//62 enligt//PP//case//66 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//66 direktiv//NN|NEU|PLU|IND|NOM//nmod//63 .//MAD//punct//6
1. Uppdraget;Stödverksamhet//NN|UTR|SIN|IND|NOM//nsubj:pass//2 kan//VB|PRS|AKT//aux//2 avgränsas//VB|INF|SFO//ROOT//2 på//PP//case//5 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 sätt//NN|NEU|PLU|IND|NOM//obl//2 .//MID//punct//2
1. Uppdraget;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//8 saknas//VB|PRS|SFO//parataxis//2 en//DT|UTR|SIN|IND//det//12 allmänt//AB|POS//advmod//11 accepterad//PC|PRF|UTR|SIN|IND|NOM//amod//12 definition//NN|UTR|SIN|IND|NOM//nsubj:pass//8 av//PP//mark//17 vad//HP|NEU|SIN|IND//dislocated//17 som//HP|-|-|-//nsubj//17 är//VB|PRS|AKT//cop//17 stödverksamhet//NN|UTR|SIN|IND|NOM//acl//12 respektive//AB//cc//19 kärnverksamhet//NN|UTR|SIN|IND|NOM//conj//17 inom//PP//case//23 det//DT|NEU|SIN|DEF//det//23 militära//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//23 försvaret//NN|NEU|SIN|DEF|NOM//obl//17 .//MAD//punct//8
1. Uppdraget;I//PP//case//27 det//DT|NEU|SIN|DEF//det//27 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//28 har//VB|PRS|AKT//parataxis//8 beslut//NN|NEU|PLU|IND|NOM//obj//28 och//KN//cc//31 utredningar//NN|UTR|PLU|IND|NOM//conj//29 som//HP|-|-|-//nsubj//34 har//VB|PRS|AKT//aux//34 berört//VB|SUP|AKT//acl:relcl//31 eller//KN//cc//36 har//VB|PRS|AKT//conj//34 betydelse//NN|UTR|SIN|IND|NOM//obj//36 för//PP//case//39 materielförsörjnings-//NN|UTR|-|-|SMS//obl//36 och//KN//cc//41 logistikprocesserna//NN|UTR|PLU|DEF|NOM//conj//39 samt//KN//cc//44 för//PP//case//44 forsknings-//NN|UTR|-|-|SMS//nsubj:pass//47 och//KN//cc//46 teknikutvecklingsverksamheten//NN|UTR|SIN|DEF|NOM//conj//44 medtagits//VB|SUP|SFO//conj//8 .//MAD//punct//47
