Framgångsrik företagshälsovård;–//RG|NOM//punct//1 möjligheter//NN|UTR|PLU|IND|NOM//ROOT//1 och//KN//cc//3 metoder//NN|UTR|PLU|IND|NOM//conj//1
Framgångsrik företagshälsovård;Studiehandbok//NN|UTR|SIN|IND|NOM//ROOT//0 från//PP//case//2 FHV-delegationen//NN|UTR|SIN|DEF|NOM//nmod//0
Framgångsrik företagshälsovård;Stockholm//PM|NOM//ROOT//0 2011//RG|NOM//nummod//0

Förord;Våren//NN|UTR|SIN|DEF|NOM//nmod//1 2009//RG|NOM//obl//2 tillsattes//VB|PRT|SFO//ROOT//2 Delegationen//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 för//PP//case//6 kunskapsområdet//NN|NEU|SIN|DEF|NOM//nmod//6 företagshälsovård//NN|UTR|SIN|IND|NOM//obl//2 ,//MID//punct//8 fhv-delegationen//NN|UTR|SIN|DEF|NOM//conj//6 .//MAD//punct//2
Förord;Delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//11 uppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//2 var//VB|PRT|AKT//cop//2 att//IE//mark//14 stärka//VB|INF|AKT//csubj//2 kunskapsområdet//NN|NEU|SIN|DEF|NOM//obj//14 genom//PP//mark//18 att//IE//mark//18 satsa//VB|INF|AKT//advcl//14 på//PP//case//20 forskning//NN|UTR|SIN|IND|NOM//obl//18 ,//MID//punct//2 få//VB|INF|AKT//conj//2 till//PP//compound:prt//22 stånd//NN|NEU|SIN|IND|NOM//fixed//23 universitetsutbildningar//NN|UTR|PLU|IND|NOM//obj//22 av//PP//case//28 de//DT|UTR/NEU|PLU|DEF//det//28 professioner//NN|UTR|PLU|IND|NOM//nmod//25 som//HP|-|-|-//nsubj//30 finns//VB|PRS|SFO//acl:relcl//28 inom//PP//case//32 företagshälsovården//NN|UTR|SIN|DEF|NOM//obl//30 och//KN//cc//34 genomföra//VB|INF|AKT//conj//30 en//DT|UTR|SIN|IND//det//39 riktad//PC|PRF|UTR|SIN|IND|NOM//amod//39 men//KN//cc//38 tidsbegränsad//PC|PRF|UTR|SIN|IND|NOM//conj//36 utbildningssatsning//NN|UTR|SIN|IND|NOM//obj//34 för//PP//case//42 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//42 anställda//NN|UTR|PLU|IND|NOM//obl//34 .//MAD//punct//2
Förord;Ett//DT|NEU|SIN|IND//det//46 viktigt//JJ|POS|NEU|SIN|IND|NOM//amod//46 inslag//NN|NEU|SIN|IND|NOM//nsubj:pass//2 i//PP//case//49 den//DT|UTR|SIN|DEF//det//49 satsningen//NN|UTR|SIN|DEF|NOM//nmod//46 var//VB|PRT|AKT//cop//46 att//IE//mark//52 vidareutveckla//VB|INF|AKT//csubj//46 en//DT|UTR|SIN|IND//det//54 kurs//NN|UTR|SIN|IND|NOM//obj//52 med//PP//case//56 inriktning//NN|UTR|SIN|IND|NOM//obl//52 mot//PP//case//58 företagshälsovårdskunskap//NN|UTR|SIN|IND|NOM//nmod//56 ,//MID//punct//46 alltså//AB//advmod//61 kärnan//NN|UTR|SIN|DEF|NOM//appos//46 i//PP//case//64 såväl//KN//advmod//64 arbetsområdet//NN|NEU|SIN|DEF|NOM//nmod//61 som//KN//mark//66 kunskapsfältet//NN|NEU|SIN|DEF|NOM//conj//61 .//MAD//punct//46
Förord;Företagshälsovård//NN|UTR|SIN|IND|NOM//appos//46 som//KN//obl//71 kunskapsområde//NN|NEU|SIN|IND|NOM//nsubj//71 har//VB|PRS|AKT//acl:relcl//68 förgreningar//NN|UTR|PLU|IND|NOM//obj//71 till//PP//case//76 vitt//AB|POS//advmod//75 skilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//76 vetenskaper//NN|UTR|PLU|IND|NOM//obl//71 och//KN//cc//81 i//PP//case//81 den//DT|UTR|SIN|DEF//det//81 praktiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//81 verksamheten//NN|UTR|SIN|DEF|NOM//nsubj//82 har//VB|PRS|AKT//aux//90 erfarenhetsbaserad//PC|PRF|UTR|SIN|IND|NOM//amod//84 kunskap//NN|UTR|SIN|IND|NOM//obj//82 bland//PP//case//87 de//DT|UTR/NEU|PLU|DEF//det//87 verksamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advcl//82 inom//PP//case//89 fältet//NN|NEU|SIN|DEF|NOM//obl//90 spelat//VB|SUP|AKT//conj//2 en//DT|UTR|SIN|IND//det//93 stor//JJ|POS|UTR|SIN|IND|NOM//amod//93 roll//NN|UTR|SIN|IND|NOM//obj//90 .//MID//punct//2
Förord;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//96 finns//VB|PRS|SFO//parataxis//2 inga//DT|UTR/NEU|PLU|IND//det//100 formulerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//100 vetenskapliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//100 texter//NN|UTR|PLU|IND|NOM//nsubj//96 eller//KN//cc//102 läroböcker//NN|UTR|PLU|IND|NOM//conj//100 som//HP|-|-|-//nsubj//104 förenar//VB|PRS|AKT//acl:relcl//102 dessa//DT|UTR/NEU|PLU|DEF//det//106 perspektiv//NN|NEU|PLU|IND|NOM//obj//104 ,//MID//punct//125 men//KN//cc//125 i//PP//case//111 det//DT|NEU|SIN|DEF//det//111 utvecklingsarbete//NN|NEU|SIN|IND|NOM//obl//125 som//HP|-|-|-//nsubj//113 skett//VB|SUP|AKT//acl:relcl//111 inom//PP//case//115 utbildningssatsningen//NN|UTR|SIN|DEF|NOM//obl//113 har//VB|PRS|AKT//aux//125 såväl//KN//advmod//118 ledande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//119 forskare//NN|UTR|PLU|IND|NOM//nsubj//125 som//HP|-|-|-//mark//122 praktiskt//AB|POS//advmod//122 verksamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl//119 inom//PP//case//124 området//NN|NEU|SIN|DEF|NOM//obl//122 deltagit//VB|SUP|AKT//conj//96 .//MAD//punct//96
Förord;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//129 har//VB|PRS|AKT//aux//129 resulterat//VB|SUP|AKT//parataxis//96 i//PP//case//135 ett//DT|NEU|SIN|IND//det//135 första//RO|NOM//amod//135 mer//AB|KOM//advmod//134 genomarbetat//PC|PRF|NEU|SIN|IND|NOM//amod//135 försök//NN|NEU|SIN|IND|NOM//obl//129 att//IE//mark//137 ringa//VB|INF|AKT//acl//135 in//PL//compound:prt//137 området//NN|NEU|SIN|DEF|NOM//nmod//140 företagshälsovårdskunskap//NN|NEU|SIN|IND|NOM//obj//137 vilket//HP|NEU|SIN|IND//nsubj:pass//142 dokumenteras//VB|PRS|SFO//acl:relcl//140 här//AB//advmod//142 i//PP//case//146 såväl//KN//advmod//146 ord//NN|NEU|PLU|IND|NOM//obl//142 som//KN//mark//149 rörliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//149 bilder//NN|UTR|PLU|IND|NOM//obl//142 .//MAD//punct//96
