Utbildningsanställning;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//0
Utbildningsanställning;Utredningen//NN|UTR|SIN|DEF|NOM//ROOT//0 om//PP//case//2 lärlingsprovanställning//NN|UTR|SIN|IND|NOM//nmod//0
Utbildningsanställning;Stockholm//PM|NOM//ROOT//0 2012//RG|NOM//nummod//0

Till statsrådet Hillevi Engström;Den//DT|UTR|SIN|DEF//det//2 3//RO|NOM//nummod//2 november//NN|UTR|SIN|IND|NOM//obl//4 2011//RG|NOM//nummod//2 beslutade//VB|PRT|AKT//ROOT//4 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//4 att//IE//mark//7 tillkalla//VB|INF|AKT//xcomp//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 utreda//VB|INF|AKT//acl//12 och//KN//cc//16 föreslå//VB|INF|AKT//conj//14 lösningar//NN|UTR|PLU|IND|NOM//obj//16 i//PP//case//23 fråga//NN|UTR|SIN|IND|NOM//fixed//18 om//PP//fixed//18 en//DT|UTR|SIN|IND//det//23 ny//JJ|POS|UTR|SIN|IND|NOM//amod//23 anställningsform//NN|UTR|SIN|IND|NOM//obl//16 med//PP//case//25 utbildningsinnehåll//NN|NEU|SIN|IND|NOM//nmod//23 för//PP//case//27 unga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//25 –//RG|NOM//punct//29 lärlingsprovanställning//NN|UTR|SIN|IND|NOM//appos//25 .//MAD//punct//29
Till statsrådet Hillevi Engström;I//PP//case//32 uppdraget//NN|NEU|SIN|DEF|NOM//obl//33 ingick//VB|PRT|AKT//conj//4 att//IE//mark//35 utreda//VB|INF|AKT//xcomp//33 vilka//HD|UTR/NEU|PLU|IND//det//38 arbetsrättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 regler//NN|UTR|PLU|IND|NOM//obj//35 som//HP|-|-|-//nsubj//41 bör//VB|PRS|AKT//aux//41 gälla//VB|INF|AKT//acl:relcl//38 för//PP//case//43 anställningsformen//NN|UTR|SIN|DEF|NOM//obl//41 ,//MID//punct//46 att//IE//mark//46 analysera//VB|INF|AKT//advcl//33 och//KN//cc//48 lämna//VB|INF|AKT//conj//46 förslag//NN|NEU|SIN|IND|NOM//obj//48 på//PP//mark//56 hur//HA//advmod//56 utbildningsinnehållet//NN|NEU|SIN|DEF|NOM//nsubj:pass//56 i//PP//case//54 anställningen//NN|UTR|SIN|DEF|NOM//nmod//52 ska//VB|PRS|AKT//aux//56 regleras//VB|INF|SFO//advcl//48 och//KN//cc//58 kvalitetssäkras//VB|INF|SFO//conj//56 samt//KN//cc//61 att//IE//mark//61 analysera//VB|INF|AKT//conj//56 och//KN//cc//63 ta//VB|INF|AKT//conj//61 ställning//NN|UTR|SIN|IND|NOM//obj//63 till//PP//case//67 vilka//HD|UTR/NEU|PLU|IND//det//67 möjligheter//NN|UTR|PLU|IND|NOM//obl//61 till//PP//case//69 kombinationer//NN|UTR|PLU|IND|NOM//nmod//67 av//PP//case//72 en//DT|UTR|SIN|IND//det//72 lärlingsprovanställning//NN|UTR|SIN|IND|NOM//nmod//69 med//PP//case//75 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//75 lärlingsprovanställningar//NN|UTR|PLU|IND|NOM//nmod//72 samt//KN//cc//78 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//78 former//NN|UTR|PLU|IND|NOM//conj//75 av//PP//case//80 anställningar//NN|UTR|PLU|IND|NOM//nmod//78 som//HP|-|-|-//nsubj//84 bör//VB|PRS|AKT//aux//84 vara//VB|INF|AKT//cop//84 möjliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//78 .//MAD//punct//4
Till statsrådet Hillevi Engström;Utredaren//NN|UTR|SIN|DEF|NOM//nsubj//89 skulle//VB|PRT|AKT//aux//89 även//AB//advmod//89 analysera//VB|INF|AKT//parataxis//4 relevanta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//91 delar//NN|UTR|PLU|IND|NOM//obj//89 av//PP//case//93 EU-rätten//NN|UTR|SIN|DEF|NOM//nmod//91 och//KN//cc//98 Sveriges//PM|GEN//nmod:poss//98 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//98 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//98 åtaganden//NN|NEU|PLU|IND|NOM//conj//91 för//PP//mark//101 att//IE//mark//101 säkerställa//VB|INF|AKT//advcl//89 att//SN//mark//116 de//DT|UTR/NEU|PLU|DEF//det//105 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//105 reglerna//NN|UTR|PLU|DEF|NOM//nsubj//116 och//KN//cc//108 det//DT|NEU|SIN|DEF//det//108 sätt//NN|NEU|SIN|IND|NOM//conj//105 på//PP//case//110 vilket//HP|NEU|SIN|IND//obl//112 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//112 samverkar//VB|PRS|AKT//acl:relcl//108 med//PP//case//115 befintliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//115 regler//NN|UTR|PLU|IND|NOM//obl//112 stämmer//VB|PRS|AKT//ccomp//101 överens//PL//compound:prt//116 med//PP//case//119 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//obl//116 .//MAD//punct//4
Till statsrådet Hillevi Engström;Till//PP//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//obl//3 förordnades//VB|PRT|SFO//ROOT//3 generaldirektören//NN|UTR|SIN|DEF|NOM//nsubj:pass//3 vid//PP//case//6 Medlingsinstitutet//PM|NOM//nmod//4 ,//MID//punct//8 Claes//PM|NOM//dep//3 Stråth//PM|NOM//flat:name//8 .//MAD//punct//8
Till statsrådet Hillevi Engström;Som//KN//mark//12 huvudsekreterare//NN|UTR|SIN|IND|NOM//obl//15 i//PP//case//14 utredningen//NN|UTR|SIN|DEF|NOM//nmod//12 anställdes//VB|PRT|SFO//conj//3 arbetsrättsjuristen//NN|UTR|SIN|DEF|NOM//nmod//17 Sara//PM|NOM//nsubj:pass//15 Kullgren//PM|NOM//flat//17 och//KN//cc//22 som//KN//case//21 sekreterare//NN|UTR|SIN|IND|NOM//nmod//22 docent//NN|UTR|SIN|IND|NOM//conj//17 ,//MID//punct//22 sedan//PP//case//25 september//NN|UTR|SIN|IND|NOM//obl//15 2012//RG|NOM//nummod//25 ,//MID//punct//15 professor//NN|UTR|SIN|IND|NOM//nmod//29 Jonas//PM|NOM//appos//15 Olofsson//PM|NOM//flat:name//29 .//MAD//punct//3
Till statsrådet Hillevi Engström;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 Utredningen//NN|UTR|SIN|DEF|NOM//obj//2 om//PP//case//6 lärlingsprovanställning//NN|UTR|SIN|IND|NOM//nmod//4 (//PAD//punct//4 A//PM|NOM//appos//4 2011:07//RG|NOM//fixed//8 )//PAD//punct//4 .//MAD//punct//2
Till statsrådet Hillevi Engström;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnade//VB|PRT|AKT//ROOT//4 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//4 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//7 Helle//PM|NOM//obj//4 Ellehöj//PM|NOM//flat:name//7 ,//MID//punct//10 Arbetsmarknadsdepartementet//NN|NEU|SIN|DEF|NOM//conj//7 ,//MID//punct//12 kanslirådet//NN|NEU|SIN|DEF|NOM//conj//7 Per//PM|NOM//nmod//12 Byström//PM|NOM//flat//13 ,//MID//punct//16 Utbildningsdepartementet//NN|NEU|SIN|DEF|NOM//conj//13 samt//KN//cc//19 departementsrådet//NN|NEU|SIN|DEF|NOM//nmod//19 Katarina//PM|NOM//conj//13 Richardson//PM|NOM//flat:name//19 ,//MID//punct//22 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//13 .//MAD//punct//12
