Ny PBL – på rätt sätt;Slutrapport//NN|UTR|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 kompetensinsatser//NN|UTR|PLU|IND|NOM//nmod//2 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//8 en//DT|UTR|SIN|IND//det//8 ny//JJ|POS|UTR|SIN|IND|NOM//amod//8 plan-//NN|UTR|-|-|SMS//obl//0 och//KN//cc//10 bygglag//NN|NEU|SIN|IND|NOM//conj//8
Ny PBL – på rätt sätt;Stockholm//PM|NOM//ROOT//0 2012//RG|NOM//nummod//0

Till statsrådet och civil- och bostadsministern Stefan Attefall;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 12//RG|NOM//nummod//4 maj//NN|UTR|SIN|IND|NOM//obl//1 2010//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 för//PP//mark//13 att//IE//mark//13 underlätta//VB|INF|AKT//advcl//7 införandet//NN|NEU|SIN|DEF|NOM//obj//13 av//PP//case//18 en//DT|UTR|SIN|IND//det//18 ny//JJ|POS|UTR|SIN|IND|NOM//amod//18 plan-//NN|UTR|-|-|SMS//nmod//14 och//KN//cc//20 bygglag//NN|NEU|SIN|IND|NOM//conj//18 genom//PP//mark//23 att//IE//mark//23 organisera//VB|INF|AKT//advcl//13 ,//MID//punct//25 samordna//VB|INF|AKT//conj//23 ,//MID//punct//27 koordinera//VB|INF|AKT//conj//23 och//KN//cc//29 genomföra//VB|INF|AKT//conj//23 utbildnings-//NN|UTR|-|-|SMS//obj//29 och//KN//cc//32 kompetensinsatser//NN|UTR|PLU|IND|NOM//conj//30 .//MAD//punct//1
Till statsrådet och civil- och bostadsministern Stefan Attefall;Till//PP//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//obl//3 förordnades//VB|PRT|SFO//ROOT//3 generaldirektör//NN|UTR|SIN|IND|NOM//xcomp//3 Janna//PM|NOM//nsubj//4 Valik//PM|NOM//flat//5 .//MAD//punct//4
Till statsrådet och civil- och bostadsministern Stefan Attefall;"Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//9 antog//VB|PRT|AKT//parataxis//3 namnet//NN|NEU|SIN|DEF|NOM//obj//9 ""//PAD//punct//13 Ny//JJ|POS|UTR|SIN|IND|NOM//amod//13 PBL//PM|NOM//nmod//10 –//RG|NOM//punct//17 på//PP//case//17 rätt//JJ|POS|NEU|SIN|IND|NOM//amod//17 sätt//NN|NEU|SIN|IND|NOM//obl//9 ”//PAD//punct//9 .//MAD//punct//3"
Till statsrådet och civil- och bostadsministern Stefan Attefall;Sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//3 har//VB|PRS|AKT//aux//3 varit//VB|SUP|AKT//cop//3 sektionschefen//NN|UTR|SIN|DEF|NOM//ROOT//3 Ann-Sofie//PM|NOM//nmod//5 Eriksson//PM|NOM//conj//3 ,//MID//punct//5 länsrådet//NN|NEU|SIN|DEF|NOM//nmod//8 Charlotta//PM|NOM//conj//3 Kabo//PM|NOM//flat//8 Stenberg//PM|NOM//flat:name//8 fr.o.m.//AB|AN//case//12 2010-05-12//RG|NOM//dep//8 t.o.m.//AB|AN//case//14 201108-31//RG|NOM//nmod//8 ,//MID//punct//3 divisionschefen//NN|UTR|SIN|DEF|NOM//nmod//17 Fredrik//PM|NOM//conj//3 Meurman//PM|NOM//flat:name//17 fr.o.m.//AB|AN//case//20 2010-05-12//RG|NOM//dep//17 t.o.m.//AB|AN//advmod//22 2011-03-23//RG|NOM//nmod//17 ,//MID//punct//24 verksamhetschefen//NN|UTR|SIN|DEF|NOM//nmod//25 Martin//PM|NOM//conj//3 Storm//PM|NOM//flat:name//25 fr.o.m.//AB|AN//case//28 2011-03-24//RG|NOM//obl//3 ,//MID//punct//31 länsrådet//NN|NEU|SIN|DEF|NOM//nmod//31 Anna-Lena//PM|NOM//nmod//32 Österborg//PM|NOM//nmod//28 fr.o.m.//AB|AN//case//34 2011-09-01//RG|NOM//advcl//3 och//KN//cc//36 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//37 Maria//PM|NOM//conj//34 Ulfvarson//PM|NOM//flat:name//37 Östlund//PM|NOM//flat:name//37 .//MAD//punct//3
Till statsrådet och civil- och bostadsministern Stefan Attefall;Huvudsekreterare//NN|UTR|SIN|IND|NOM//nsubj//4 har//VB|PRS|AKT//aux//4 varit//VB|SUP|AKT//cop//4 departementsrådet//NN|NEU|SIN|DEF|NOM//nmod//4 Pernilla//PM|NOM//nsubj//54 Knutsson//PM|NOM//flat:name//4 .//MAD//punct//4
Till statsrådet och civil- och bostadsministern Stefan Attefall;Sekreterare//NN|UTR|SIN|IND|NOM//conj//4 har//VB|PRS|AKT//aux//9 varit//VB|SUP|AKT//cop//54 arkitekten//NN|UTR|SIN|DEF|NOM//nmod//11 Eva//PM|NOM//nsubj//9 Gabrielsson//PM|NOM//flat:name//11 fr.o.m.//AB|AN//case//14 2011-01-01//RG|NOM//obl//9 ,//MID//punct//14 lantmätaren//NN|UTR|SIN|DEF|NOM//nmod//18 civilingenjören//NN|UTR|SIN|DEF|NOM//nmod//18 Thomas//PM|NOM//conj//14 Holm//PM|NOM//flat:name//18 fr.o.m.//AB|AN//case//22 15//RG|NOM//nummod//22 oktober//NN|UTR|SIN|IND|NOM//obl//9 2010//RG|NOM//nummod//22 ,//MID//punct//22 arkitekten//NN|UTR|SIN|DEF|NOM//nmod//26 Micaela//PM|NOM//conj//22 Schulman//PM|NOM//flat:name//26 fr.o.m.//AB|AN//case//29 2010-09-20//RG|NOM//obl//9 ,//MID//punct//29 utvecklingsledaren//NN|UTR|SIN|DEF|NOM//nmod//32 Nikolaj//PM|NOM//nsubj//41 Tolstoy//PM|NOM//flat:name//32 fr.o.m.//AB|AN//case//35 2011-03-01//RG|NOM//dep//32 ,//MID//punct//35 civilekonomen//NN|UTR|SIN|DEF|NOM//nmod//38 Viveka//PM|NOM//conj//32 Zetterberg//PM|NOM//flat:name//38 fr.o.m.//AB|AN//case//41 2010-12-15//RG|NOM//conj//29 och//KN//cc//44 byggnadsingenjören//NN|UTR|SIN|DEF|NOM//nmod//44 Stig//PM|NOM//conj//29 Åkerman//PM|NOM//flat:name//44 fr.o.m.//AB|AN//case//47 2010-11-01//RG|NOM//nmod//29 .//MAD//punct//9
Till statsrådet och civil- och bostadsministern Stefan Attefall;Departementssekreterare//NN|UTR|SIN|IND|NOM//nmod//50 Norma//PM|NOM//nsubj//54 Eriksson//PM|NOM//flat:name//50 har//VB|PRS|AKT//aux//54 varit//VB|SUP|AKT//cop//54 informatör//NN|UTR|SIN|IND|NOM//ROOT//54 .//MID//punct//56
Till statsrådet och civil- och bostadsministern Stefan Attefall;Charlotte//PM|NOM//nsubj//60 Carlstedt//PM|NOM//flat//56 var//VB|PRT|AKT//cop//60 biträdande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//60 sekreterare//NN|UTR|SIN|IND|NOM//parataxis//54 t.o.m.//AB|AN//case//62 2011-03-31//RG|NOM//nmod//60 .//MID//punct//60
Till statsrådet och civil- och bostadsministern Stefan Attefall;Till//PP//case//65 kansliet//NN|NEU|SIN|DEF|NOM//obl//66 knöts//VB|PRT|SFO//conj//54 också//AB//advmod//66 på//PP//case//70 begränsad//PC|PRF|UTR|SIN|IND|NOM//amod//70 deltid//NN|UTR|SIN|IND|NOM//obl//66 fr.o.m.//AB|AN//case//74 januari//NN|UTR|SIN|IND|NOM//obl//74 2012//RG|NOM//nummod//74 länsjurist//NN|UTR|SIN|IND|NOM//advcl//66 Anna//PM|NOM//flat:name//74 Kämpe//PM|NOM//flat:name//75 och//KN//cc//78 länsjurist//NN|UTR|SIN|IND|NOM//conj//74 Jonas//PM|NOM//flat:name//78 Ledelius//PM|NOM//flat//79 .//MAD//punct//54
Till statsrådet och civil- och bostadsministern Stefan Attefall;Till//PP//case//1 utredningen//NN|UTR|SIN|DEF|NOM//obl//3 har//VB|PRS|AKT//aux//3 knutits//VB|SUP|SFO//ROOT//3 tre//RG|NOM//nummod//5 referensgrupper//NN|UTR|PLU|IND|NOM//nsubj:pass//3 ,//MID//punct//5 en//RG|UTR|SIN|IND|NOM//appos//5 för//PP//case//9 kommuner//NN|UTR|PLU|IND|NOM//nmod//7 och//KN//cc//12 kommunala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 regionplaneorgan//NN|NEU|PLU|IND|NOM//conj//9 ,//MID//punct//5 en//DT|UTR|SIN|IND//appos//5 för//PP//case//17 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 aktörer//NN|UTR|PLU|IND|NOM//nmod//14 och//KN//cc//21 regionala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 självstyrande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//21 organ//NN|NEU|PLU|IND|NOM//conj//17 samt//KN//cc//23 en//PN|UTR|SIN|IND|SUB/OBJ//conj//5 för//PP//case//27 ”//PAD//punct//27 regionala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 utbildningsanordnare//NN|UTR|PLU|IND|NOM//nmod//23 ”//RG|NOM//punct//3 .//MAD//punct//3
Till statsrådet och civil- och bostadsministern Stefan Attefall;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 sin//PS|UTR|SIN|DEF//nmod:poss//4 slutrapport//NN|UTR|SIN|IND|NOM//obj//1 Ny//JJ|POS|UTR|SIN|IND|NOM//amod//6 PBL//PM|NOM//obj//1 –//RG|NOM//punct//10 på//PP//case//10 rätt//JJ|POS|NEU|SIN|IND|NOM//amod//10 sätt//NN|NEU|SIN|IND|NOM//obl//1 (//PAD//punct//10 SOU//PM|NOM//appos//10 2012:87//RG|NOM//nummod//12 )//PAD//punct//10 .//MAD//punct//1
Till statsrådet och civil- och bostadsministern Stefan Attefall;Uppdraget//NN|NEU|SIN|DEF|NOM//nsubj//3 är//VB|PRS|AKT//cop//3 därmed//AB//advmod//3 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//3 .//MAD//punct//3

Missiv;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 december//NN|UTR|SIN|IND|NOM//nmod//0 2012//RG|NOM//nummod//2
