4 Försäkringsskydd på transportområdet ;I//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 kapitel//NN|NEU|SIN|IND|NOM//obl//3 kartlägger//VB|PRS|AKT//ROOT//3 vi//PN|UTR|PLU|DEF|SUB//nsubj//3 hur//HA//advmod//7 försäkringsutbudet//NN|NEU|SIN|DEF|NOM//nsubj//7 ser//VB|PRS|AKT//ccomp//3 ut//PL//compound:prt//7 på//PP//case//12 de//DT|UTR/NEU|PLU|DEF//det//12 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//12 transportområdena//NN|NEU|PLU|DEF|NOM//obl//7 .//MAD//punct//3
4 Försäkringsskydd på transportområdet ;Vi//PN|UTR|PLU|DEF|SUB//nsubj//15 kartlägger//VB|PRS|AKT//parataxis//3 också//AB//advmod//15 vilka//HD|UTR/NEU|PLU|IND//det//18 krav//NN|NEU|PLU|IND|NOM//obj//15 på//PP//case//20 försäkring//NN|UTR|SIN|IND|NOM//nmod//18 som//HP|-|-|-//nsubj//22 finns//VB|PRS|SFO//acl:relcl//20 ,//MID//punct//15 eftersom//SN//mark//27 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//27 dels//KN//advmod//27 visar//VB|PRS|AKT//advcl//15 vilka//HD|UTR/NEU|PLU|IND//det//29 områden//NN|NEU|PLU|IND|NOM//obj//32 lagstiftaren//NN|UTR|SIN|DEF|NOM//nsubj//32 har//VB|PRS|AKT//aux//32 tyckt//VB|SUP|AKT//ccomp//27 att//SN//mark//36 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//36 är//VB|PRS|AKT//cop//36 angeläget//JJ|POS|NEU|SIN|IND|NOM//ccomp//32 med//PP//case//38 försäkring//NN|UTR|SIN|IND|NOM//nmod//36 ,//MID//punct//27 dels//KN//advmod//41 visar//VB|PRS|AKT//conj//15 när//HA//mark//46 brist//NN|UTR|SIN|IND|NOM//nsubj//46 på//PP//case//45 utbud//NN|NEU|SIN|IND|NOM//nmod//43 avgör//VB|PRS|AKT//advcl//41 om//PP//case//49 en//DT|UTR|SIN|IND//det//49 transportverksamhet//NN|UTR|SIN|IND|NOM//nsubj:pass//52 inte//AB//advmod//52 får//VB|PRS|AKT//aux//52 bedrivas//VB|INF|SFO//xcomp//46 .//MAD//punct//15
4 Försäkringsskydd på transportområdet ;Vi//PN|UTR|PLU|DEF|SUB//nsubj//55 redogör//VB|PRS|AKT//parataxis//15 också//AB//advmod//55 för//PP//case//60 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 försäkringsåtaganden//NN|NEU|PLU|IND|NOM//obl//55 och//KN//cc//62 EU//PM|NOM//conj//60 ://MID//punct//65 s//JJ|AN//amod//65 regelverk//NN|NEU|SIN|IND|NOM//obl//55 för//PP//case//67 statsstöd//NN|NEU|SIN|IND|NOM//nmod//65 .//MAD//punct//15
4 Försäkringsskydd på transportområdet ;Vi//PN|UTR|PLU|DEF|SUB//nsubj//70 inleder//VB|PRS|AKT//parataxis//15 med//PP//mark//73 att//IE//mark//73 beskriva//VB|INF|AKT//advcl//70 hur//HA//advmod//77 försäkringsmarknaden//NN|UTR|SIN|DEF|NOM//nsubj//77 kan//VB|PRS|AKT//aux//77 hantera//VB|INF|AKT//ccomp//73 risker//NN|UTR|PLU|IND|NOM//obj//77 .//MAD//punct//15

4.1 Allmänt om skadeförsäkring;Att//IE//mark//1 teckna//VB|INF|AKT//csubj//5 skadeförsäkring//NN|UTR|SIN|IND|NOM//obj//1 är//VB|PRS|AKT//cop//5 ett//DT|NEU|SIN|IND//det//5 sätt//NN|NEU|SIN|IND|NOM//ROOT//5 att//IE//mark//7 avhända//VB|INF|AKT//acl//5 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//7 risk//NN|UTR|SIN|IND|NOM//obj//7 .//MID//punct//5
4.1 Allmänt om skadeförsäkring;Försäkringsavtal//NN|NEU|SIN|IND|NOM//nsubj:pass//12 tecknas//VB|PRS|SFO//parataxis//5 med//PP//case//15 en//DT|UTR|SIN|IND//det//15 försäkringsgivare//NN|UTR|SIN|IND|NOM//obl//12 som//HP|-|-|-//nsubj//20 mot//PP//case//19 en//DT|UTR|SIN|IND//det//19 premie//NN|UTR|SIN|IND|NOM//obl//20 åtar//VB|PRS|AKT//acl:relcl//15 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//20 att//IE//mark//23 utbetala//VB|INF|AKT//xcomp//20 ett//DT|NEU|SIN|IND//det//26 visst//JJ|POS|NEU|SIN|IND|NOM//amod//26 belopp//NN|NEU|SIN|IND|NOM//obj//23 om//PP//mark//31 en//DT|UTR|SIN|IND//det//30 viss//JJ|POS|UTR|SIN|IND|NOM//amod//30 skada//NN|UTR|SIN|IND|NOM//nsubj//31 uppstår//VB|PRS|AKT//advcl//23 .//MAD//punct//5
4.1 Allmänt om skadeförsäkring;Risken//NN|UTR|SIN|DEF|NOM//nsubj//44 för//PP//mark//39 att//SN//mark//39 en//DT|UTR|SIN|IND//det//37 skada//NN|UTR|SIN|IND|NOM//nsubj//39 ska//VB|PRS|AKT//aux//39 inträffa//VB|INF|AKT//acl//33 liksom//PP//mark//43 skadans//NN|UTR|SIN|DEF|GEN//nmod:poss//43 förväntade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//43 omfattning//NN|UTR|SIN|IND|NOM//obl//39 påverkar//VB|PRS|AKT//parataxis//5 premiens//NN|UTR|SIN|DEF|GEN//nmod:poss//46 storlek//NN|UTR|SIN|IND|NOM//obj//44 .//MAD//punct//44
4.1 Allmänt om skadeförsäkring;I//PP//advmod//44 och//KN//fixed//48 med//PP//mark//54 att//SN//mark//54 en//DT|UTR|SIN|IND//det//53 försäkringsgivare//NN|UTR|SIN|IND|NOM//nsubj//54 ingår//VB|PRS|AKT//advcl//44 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//57 likartade//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//57 avtal//NN|NEU|PLU|IND|NOM//obj//54 med//PP//case//59 kunder//NN|UTR|PLU|IND|NOM//obl//54 som//HP|-|-|-//nsubj//62 är//VB|PRS|AKT//aux:pass//62 utsatta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//59 för//PP//case//65 samma//DT|UTR/NEU|SIN/PLU|IND//det//65 risk//NN|UTR|SIN|IND|NOM//obl//62 sker//VB|PRS|AKT//conj//44 en//DT|UTR|SIN|IND//det//68 riskspridning//NN|UTR|SIN|IND|NOM//nsubj//66 .//MAD//punct//44
4.1 Allmänt om skadeförsäkring;Genom//PP//mark//75 att//SN//mark//75 inte//AB//advmod//75 alla//DT|UTR/NEU|PLU|IND/DEF//det//74 försäkringstagare//NN|UTR|PLU|IND|NOM//nsubj:pass//75 förväntas//VB|PRS|SFO//advcl//83 drabbas//VB|INF|SFO//xcomp//75 av//PP//case//78 skador//NN|UTR|PLU|IND|NOM//obl:agent//76 under//PP//case//80 försäkringsperioden//NN|UTR|SIN|DEF|NOM//nmod//78 kan//VB|PRS|AKT//aux//83 premien//NN|UTR|SIN|DEF|NOM//nsubj:pass//83 hållas//VB|INF|SFO//advcl//44 nere//PL//advmod//83 .//MAD//punct//44
4.1 Allmänt om skadeförsäkring;Riskspridning//NN|UTR|SIN|IND|NOM//nsubj//89 över//PP//case//88 tid//NN|UTR|SIN|IND|NOM//nmod//86 sker//VB|PRS|AKT//conj//44 genom//PP//mark//93 att//SN//mark//93 försäkringsbolagen//NN|NEU|PLU|DEF|NOM//nsubj//93 bygger//VB|PRS|AKT//advcl//89 upp//PL//compound:prt//93 fonder//NN|UTR|PLU|IND|NOM//obj//93 .//MAD//punct//89
