Djurhållning och miljön;–//RG|NOM//punct//1 hantering//NN|UTR|SIN|IND|NOM//ROOT//1 av//PP//case//3 risker//NN|UTR|PLU|IND|NOM//nmod//1 och//KN//cc//5 möjligheter//NN|UTR|PLU|IND|NOM//conj//3 med//PP//case//7 stallgödsel//NN|UTR|SIN|IND|NOM//nmod//5
Djurhållning och miljön;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 miljöbestämmelser//NN|UTR|PLU|IND|NOM//nmod//2 för//PP//case//6 jordbruksföretag//NN|NEU|PLU|IND|NOM//nmod//4 och//KN//cc//8 djurhållning//NN|UTR|SIN|IND|NOM//conj//6
Djurhållning och miljön;Stockholm//PM|NOM//ROOT//0 2013//RG|NOM//nummod//0

Till statsrådet och chefen för Landsbygdsdepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 vid//PP//case//4 sitt//PS|NEU|SIN|DEF//nmod:poss//4 sammanträde//NN|NEU|SIN|IND|NOM//obl//1 den//DT|UTR|SIN|DEF//det//7 9//RO|NOM//nummod//7 juni//NN|UTR|SIN|IND|NOM//obl//1 2011//RG|NOM//nummod//7 (//PAD//punct//7 dir//NN|AN//appos//7 .//MAD//punct//7
Till statsrådet och chefen för Landsbygdsdepartementet;2011:49//RG|NOM//obl//1 )//PAD//punct//15 att//IE//mark//15 tillkalla//VB|INF|AKT//parataxis//1 en//DT|UTR|SIN|IND//det//18 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//18 utredare//NN|UTR|SIN|IND|NOM//obj//15 med//PP//case//20 uppdrag//NN|NEU|SIN|IND|NOM//obl//15 att//IE//mark//22 utreda//VB|INF|AKT//acl//20 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 frågor//NN|UTR|PLU|IND|NOM//obj//22 kopplade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//1 till//PP//case//27 stallgödsel//NN|UTR|SIN|IND|NOM//obl//25 och//KN//cc//31 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 biologiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 produkter//NN|UTR|PLU|IND|NOM//conj//27 som//HP|-|-|-//nsubj//33 förekommer//VB|PRS|AKT//acl:relcl//31 i//PP//case//35 jordbruket//NN|NEU|SIN|DEF|NOM//obl//33 eller//KN//cc//40 i//PP//case//40 annan//JJ|POS|UTR|SIN|IND|NOM//amod//40 djurhållande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//40 verksamhet//NN|UTR|SIN|IND|NOM//conj//35 ,//MID//punct//40 såsom//KN//mark//43 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//62 om//PP//case//45 hantering//NN|UTR|SIN|IND|NOM//nmod//43 ,//MID//punct//48 individuell//JJ|POS|UTR|SIN|IND|NOM//amod//48 prövning//NN|UTR|SIN|IND|NOM//conj//45 av//PP//case//50 djurhållning//NN|UTR|SIN|IND|NOM//nmod//48 och//KN//cc//52 biogasanläggningar//NN|UTR|PLU|IND|NOM//conj//50 på//PP//case//54 gårdsnivå//NN|UTR|SIN|IND|NOM//nmod//52 samt//KN//cc//56 behovet//NN|NEU|SIN|DEF|NOM//conj//54 av//PP//case//59 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//59 information//NN|UTR|SIN|IND|NOM//nmod//56 om//PP//case//61 tillståndsrespektive//NN|NEU|SIN|IND|GEN//nmod//59 anmälningspliktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advcl//25 djurhållande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//64 verksamheter//NN|UTR|PLU|IND|NOM//obj//62 .//MAD//punct//1
Till statsrådet och chefen för Landsbygdsdepartementet;Den//DT|UTR|SIN|DEF//det//2 1//RO|NOM//nummod//2 juli//NN|UTR|SIN|IND|NOM//obl//5 2011//RG|NOM//nummod//2  //_SP////3 förordnades//VB|PRT|SFO//ROOT//5 den//DT|UTR|SIN|DEF//det//8 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 överdirektören//NN|UTR|SIN|DEF|NOM//nmod//9 Christina//PM|NOM//nsubj//5 Huhtasaari//PM|NOM//flat:name//9 som//KN//mark//13 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//13 utredare//NN|UTR|SIN|IND|NOM//xcomp//5 för//PP//case//16 detta//DT|NEU|SIN|DEF//det//16 uppdrag//NN|NEU|SIN|IND|NOM//obl//5 .//MAD//punct//5
Till statsrådet och chefen för Landsbygdsdepartementet;Som//KN//case//1 experter//NN|UTR|PLU|IND|NOM//obl//4 i//PP//case//3 utredningen//NN|UTR|SIN|DEF|NOM//nmod//1 förordnades//VB|PRT|SFO//ROOT//4 fr.o.m.//AB|AN//mark//93 den//DT|UTR|SIN|DEF//det//8 6//RO|NOM//nummod//8 oktober//NN|UTR|SIN|IND|NOM//nmod//11 2011//RG|NOM//nummod//10 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//11 Ingrid//PM|NOM//nsubj//93 Svedinger//PM|NOM//flat:name//11 ,//MID//punct//11 Landsbygdsdepartementet//NN|NEU|SIN|DEF|NOM//conj//11 ,//MID//punct//11 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//17 Conny//PM|NOM//appos//11 Öhman//PM|NOM//flat:name//17 ,//MID//punct//20 Landsbygdsdepartementet//NN|NEU|SIN|DEF|NOM//conj//11 ,//MID//punct//11 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//23 Anna//PM|NOM//appos//11 Josefsson//PM|NOM//flat:name//23 ,//MID//punct//23 Miljödepartementet//NN|NEU|SIN|DEF|NOM//conj//11 ,//MID//punct//26 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//29 Björn//PM|NOM//conj//11 Telenius//PM|NOM//flat:name//29 ,//MID//punct//32 Näringsdepartementet//NN|NEU|SIN|DEF|NOM//conj//11 ,//MID//punct//32 enhetschefen//NN|UTR|SIN|DEF|NOM//nmod//35 Tobias//PM|NOM//conj//11 Olsson//PM|NOM//flat:name//35 ,//MID//punct//38 Jordbruksverket//NN|NEU|SIN|DEF|NOM//conj//11 ,//MID//punct//40 enhetschefen//NN|UTR|SIN|DEF|NOM//nmod//41 Kajsa//PM|NOM//conj//11 Berggren//PM|NOM//flat:name//41 ,//MID//punct//44 Havs-//NN|NEU|-|-|SMS//conj//41 och//KN//cc//46 vattenmyndigheten//NN|UTR|SIN|DEF|NOM//conj//41 ,//MID//punct//11 avdelningsdirektören//NN|UTR|SIN|DEF|NOM//nmod//49 Arne//PM|NOM//conj//11 Joelsson//PM|NOM//flat:name//49 ,//MID//punct//11 Länsstyrelsen//NN|UTR|SIN|DEF|NOM//conj//11 i//PP//case//55 Hallands//PM|GEN//nmod:poss//55 län//NN|NEU|SIN|IND|NOM//nmod//52 ,//MID//punct//11 handläggaren//NN|UTR|SIN|DEF|NOM//nmod//58 Nils//PM|NOM//conj//11 Alesund//PM|NOM//flat:name//58 ,//MID//punct//11 Sveriges//PM|GEN//nmod:poss//62 Kommuner//NN|UTR|PLU|IND|NOM//conj//11 och//KN//cc//64 Landsting//NN|UTR|SIN|IND|NOM//conj//62 ,//MID//punct//62 hovrättsrådet//NN|NEU|SIN|DEF|NOM//nmod//67 Roger//PM|NOM//conj//62 Wikström//PM|NOM//flat:name//67 ,//MID//punct//70 Mark-//NN|UTR|-|-|SMS//conj//67 och//KN//cc//72 miljööverdomstolen//NN|UTR|SIN|DEF|NOM//conj//67 ,//MID//punct//74 jur.kand//PM|NOM//conj//67 .//MID//punct//11
Till statsrådet och chefen för Landsbygdsdepartementet;Ulf//PM|NOM//appos//11 Wickström//PM|NOM//flat:name//76 ,//MID//punct//76 Lantbrukarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//80 Riksförbund//NN|NEU|SIN|IND|NOM//conj//76 och//KN//cc//83 sakkunnige//JJ|POS|MAS|SIN|DEF|NOM//amod//83 Emelie//PM|NOM//conj//76 Hansson//PM|NOM//flat:name//83 ,//MID//punct//87 Svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//87 Naturskyddsföreningen//PM|NOM//conj//76 .//MAD//punct//76
Till statsrådet och chefen för Landsbygdsdepartementet;Som//KN//case//90 experter//NN|UTR|PLU|IND|NOM//obl//93 i//PP//case//92 utredningen//NN|UTR|SIN|DEF|NOM//nmod//90 förordnades//VB|PRT|SFO//advcl//4 även//AB//advmod//96 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//96 Roger//PM|NOM//nsubj//93 Sedin//PM|NOM//flat:name//96 ,//MID//punct//96 Miljödepartementet//NN|NEU|SIN|DEF|NOM//conj//96 ,//MID//punct//99 miljöjuristen//NN|UTR|SIN|DEF|NOM//nmod//102 Sofia//PM|NOM//conj//96 Hedelius//PM|NOM//flat:name//102 Bruu//PM|NOM//flat:name//103 ,//MID//punct//106 Naturvårdsverket//NN|NEU|SIN|DEF|NOM//conj//102 och//KN//cc//108 docenten//NN|UTR|SIN|DEF|NOM//conj//102 i//PP//case//111 miljörätt//NN|UTR|SIN|IND|NOM//nmod//111 Charlotta//PM|NOM//nmod//108 Zetterberg//PM|NOM//flat//111 ,//MID//punct//115 Uppsala//PM|GEN//amod//115 universitet//NN|NEU|SIN|IND|NOM//conj//96 fr.o.m.//AB|AN//case//119 den//DT|UTR|SIN|DEF//det//119 6//RO|NOM//nummod//119 oktober//NN|UTR|SIN|IND|NOM//nmod//115 2011//RG|NOM//nummod//119 .//MAD//punct//4
Till statsrådet och chefen för Landsbygdsdepartementet;Björn//PM|NOM//nsubj:pass//5 Telenius//PM|NOM//flat:name//0 och//KN//cc//3 Tobias//PM|NOM//conj//0 Olsson//PM|NOM//flat//3 entledigades//VB|PRT|SFO//ROOT//5 med//PP//case//7 verkan//NN|UTR|SIN|IND|NOM//obl//5 fr.o.m.//AB|AN//case//11 den//DT|UTR|SIN|DEF//det//11 16//RG|NOM//nummod//11 mars//NN|UTR|SIN|IND|NOM//obl//5 2012//RG|NOM//nummod//11 .//MAD//punct//5
