Frågor och svar;2014-06-26//RG|NOM//ROOT//0


Förbättrad tvistlösning på konsumentområdet;-//MID//punct//2 ny//JJ|POS|UTR|SIN|IND|NOM//amod//2 EU-lagstiftning//NN|UTR|SIN|IND|NOM//ROOT//2 och//KN//cc//5 en//DT|UTR|SIN|IND//det//5 översyn//NN|UTR|SIN|IND|NOM//conj//2 av//PP//case//9 det//DT|NEU|SIN|DEF//det//9 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 systemet//NN|NEU|SIN|DEF|NOM//nmod//5 (//PAD//punct//9 SOU//PM|NOM//appos//9 2014:47//RG|NOM//nummod//11 )//PAD//punct//2

Frågor och svar - Konsumenttvistutredningen (SOU 2014:47);Fråga//VB|IMP|AKT//ROOT//0 1//RG|NOM//nummod//0 ://MID//punct//0
Frågor och svar - Konsumenttvistutredningen (SOU 2014:47); //_SP////2 Vad//HP|NEU|SIN|IND//nsubj//8 är//VB|PRS|AKT//cop//8 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//8 viktigaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//8 slutsatser//NN|UTR|PLU|IND|NOM//parataxis//0 och//KN//cc//10 förslag//NN|NEU|PLU|IND|NOM//conj//8 ?//MAD//punct//0

Svar:;?//MID//punct//15
Svar:;Ökad//PC|PRF|UTR|SIN|IND|NOM//amod//2 tillgång//NN|UTR|SIN|IND|NOM//nsubj:pass//15 till//PP//case//7 enkel//JJ|POS|UTR|SIN|IND|NOM//amod//7 och//KN//cc//6 billig//JJ|POS|UTR|SIN|IND|NOM//conj//4 tvistlösning//NN|UTR|SIN|IND|NOM//nmod//2 för//PP//case//9 konsumenter//NN|UTR|PLU|IND|NOM//nmod//7 .//MAD//punct//2
Svar:; //_SP////10 o//KN//discourse//15  //_SP////12 ARN//PM|NOM//nsubj:pass//15 öppnas//VB|PRS|SFO//ROOT//15 för//PP//case//18 fler//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//18 tvister//NN|UTR|PLU|IND|NOM//obl//15 mellan//PP//case//20 konsumenter//NN|UTR|PLU|IND|NOM//nmod//18 och//KN//punct//15
Svar:;näringsidkare//NN|UTR|PLU|IND|NOM//ROOT//0 .//MAD//punct//0
Svar:;o//KN//advmod//3  //_SP////0 De//DT|UTR/NEU|PLU|DEF//det//3 beloppsgränser//NN|UTR|PLU|IND|NOM//nsubj:pass//15 som//HP|-|-|-//obl//8 en//DT|UTR|SIN|IND//det//6 tvist//NN|UTR|SIN|IND|NOM//nsubj//8 måste//VB|PRS|AKT//aux//8 uppgå//VB|INF|AKT//acl:relcl//3 till//PL//compound:prt//8 för//PP//mark//12 att//IE//mark//12 prövas//VB|INF|SFO//advcl//8 av//PP//case//14 ARN//PM|NOM//obl:agent//12 sänks//VB|PRS|SFO//ROOT//15 .//MAD//punct//15
