Stöd och hjälp till vuxna vid ställningstaganden till vård, omsorg och forskning;–//RG|NOM//punct//1 DEL//NN|UTR|SIN|IND|NOM//ROOT//1 2//RG|NOM//nummod//1
Stöd och hjälp till vuxna vid ställningstaganden till vård, omsorg och forskning;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//6 beslutsoförmögna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//5 personers//NN|UTR|PLU|IND|GEN//nmod:poss//6 ställning//NN|UTR|SIN|IND|NOM//nmod//2 i//PP//case//8 vård//NN|UTR|SIN|IND|NOM//nmod//6 ,//MID//punct//10 omsorg//NN|UTR|SIN|IND|NOM//conj//8 och//KN//cc//12 forskning//NN|UTR|SIN|IND|NOM//conj//8
Stöd och hjälp till vuxna vid ställningstaganden till vård, omsorg och forskning;Stockholm//PM|NOM//ROOT//0 2015//RG|NOM//nummod//0

Särskilt yttrande av experten Niels Lynöe;Undertecknad//PC|PRF|UTR|SIN|IND|NOM//nsubj//1 ställer//VB|PRS|AKT//ROOT//1 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//1 i//PP//case//6 det//DT|NEU|SIN|DEF//det//6 stora//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//6 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//obl//1 bakom//PP//case//9 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//9 analyser//NN|UTR|PLU|IND|NOM//nmod//6 och//KN//cc//11 förslag//NN|NEU|PLU|IND|NOM//conj//9 ,//MID//punct//16 men//KN//cc//16 är//VB|PRS|AKT//cop//16 inte//AB//advmod//16 enig//JJ|POS|UTR|SIN|IND|NOM//conj//1 på//PP//case//19 den//DT|UTR|SIN|DEF//det//19 punkten//NN|UTR|SIN|DEF|NOM//obl//16 som//HP|-|-|-//nsubj//21 gäller//VB|PRS|AKT//acl:relcl//19 frågan//NN|UTR|SIN|DEF|NOM//obj//21 om//PP//case//27 ett//DT|NEU|SIN|IND//det//27 skriftligt//AB|POS//advmod//26 formulerat//PC|PRF|NEU|SIN|IND|NOM//amod//27 förhandsdirektiv//NN|NEU|SIN|IND|NOM//nmod//22 vad//HP|NEU|SIN|IND//nsubj//29 gäller//VB|PRS|AKT//acl:relcl//27 behandling//NN|UTR|SIN|IND|NOM//obj//29 inom//PP//case//32 hälso-//NN|UTR|-|-|SMS//nmod//30 och//KN//cc//34 sjukvården//NN|UTR|SIN|DEF|NOM//conj//32 ska//VB|PRS|AKT//aux//38 vara//VB|INF|AKT//cop//38 legalt//AB|POS//advmod//38 bindande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//29 eller//KN//cc//40 inte//AB//conj//38 .//MAD//punct//1
Särskilt yttrande av experten Niels Lynöe;Ibland//AB//advmod//43 kallas//VB|PRS|SFO//parataxis//1 förhandsdirektiv//NN|NEU|SIN|IND|NOM//xcomp//43 också//AB//advmod//46 livstestamente//NN|NEU|SIN|IND|NOM//xcomp//43 ,//MID//punct//48 vårddirektiv//NN|NEU|SIN|IND|NOM//conj//46 eller//KN//cc//50 livsslutsdirektiv//NN|NEU|SIN|IND|NOM//conj//46 –//PAD//punct//53 här//AB//advmod//53 används//VB|PRS|SFO//advcl//43 beteckningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//53 förhandsdirektiv//NN|NEU|SIN|IND|NOM//xcomp//53 .//MAD//punct//1
Särskilt yttrande av experten Niels Lynöe;Undertecknad//PC|PRF|UTR|SIN|IND|NOM//nsubj//1 anser//VB|PRS|AKT//ROOT//1 att//SN//mark//9 ett//DT|NEU|SIN|IND//det//5 bevittnat//PC|PRF|NEU|SIN|IND|NOM//amod//5 förhandsdirektiv//NN|NEU|SIN|IND|NOM//nsubj//9 ska//VB|PRS|AKT//aux//9 vara//VB|INF|AKT//cop//9 juridiskt//AB|POS//advmod//9 bindande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ccomp//1 ,//MID//punct//12 vilket//HP|NEU|SIN|IND//nsubj//12 innebär//VB|PRS|AKT//advcl//1 att//SN//mark//20 man//PN|UTR|SIN|IND|SUB//nsubj//20 inom//PP//case//16 hälso-//NN|UTR|-|-|SMS//obl//20 och//KN//cc//18 sjukvården//NN|UTR|SIN|DEF|NOM//conj//16 ska//VB|PRS|AKT//aux//20 följa//VB|INF|AKT//ccomp//12 en//DT|UTR|SIN|IND//det//23 persons//NN|UTR|SIN|IND|GEN//nmod:poss//23 önskemål//NN|NEU|SIN|IND|NOM//obj//20 ///MID//cc//25 vilja//NN|UTR|SIN|IND|NOM//conj//23 uttryckt//PC|PRF|NEU|SIN|IND|NOM//conj//20 skriftligen//AB//advmod//26 i//PP//case//31 ett//DT|NEU|SIN|IND//det//30 förhandsdirektiv//NN|NEU|SIN|IND|NOM//amod//31 författat//PC|PRF|NEU|SIN|IND|NOM//obl//26 i//PP//case//34 en//DT|UTR|SIN|IND//det//34 situation//NN|UTR|SIN|IND|NOM//obl//31 där//HA//advmod//38 personen//NN|UTR|SIN|DEF|NOM//nsubj//38 är//VB|PRS|AKT//cop//38 beslutskapabel//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//34 och//KN//cc//43 som//HP|-|-|-//nsubj//43 sedan//AB//advmod//43 är//VB|PRS|AKT//cop//43 tillämpbart//JJ|POS|NEU|SIN|IND|NOM//conj//38 i//PP//case//46 en//DT|UTR|SIN|IND//det//46 situation//NN|UTR|SIN|IND|NOM//obl//43 där//HA//advmod//52 personen//NN|UTR|SIN|DEF|NOM//nsubj//52 inte//AB//advmod//52 längre//AB|KOM//advmod//52 kan//VB|PRS|AKT//aux//52 ge//VB|INF|AKT//acl:relcl//46 uttryck//NN|NEU|SIN|IND|NOM//obj//52 för//PP//case//56 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//56 önskningar//NN|UTR|PLU|IND|NOM//nmod//53 .//MAD//punct//1
Särskilt yttrande av experten Niels Lynöe;Man//PN|UTR|SIN|IND|SUB//nsubj//60 kan//VB|PRS|AKT//aux//60 diskutera//VB|INF|AKT//parataxis//1 hur//HA//advmod//65 konkret//AB|POS//amod//65 och//KN//cc//64 tillämpbar//JJ|POS|UTR|SIN|IND|NOM//conj//62 situationsbeskrivingen//NN|UTR|SIN|DEF|NOM//nsubj//67 bör//VB|PRS|AKT//aux//67 vara//VB|INF|AKT//ccomp//60 .//MAD//punct//60
Särskilt yttrande av experten Niels Lynöe;Erfarenheter//NN|UTR|PLU|IND|NOM//nsubj//80 från//PP//case//72 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//72 länder//NN|NEU|PLU|IND|NOM//nmod//69 där//HA//advmod//75 man//PN|UTR|SIN|IND|SUB//nsubj//75 har//VB|PRS|AKT//acl:relcl//72 juridiskt//AB|POS//advmod//77 bindande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//78 förhandsdirektiv//NN|NEU|SIN|IND|NOM//obj//75 har//VB|PRS|AKT//aux//80 visat//VB|SUP|AKT//parataxis//60 att//SN//mark//91 de//DT|UTR/NEU|PLU|DEF//det//83 personer//NN|UTR|PLU|IND|NOM//nsubj//91 som//HP|-|-|-//nsubj//85 använder//VB|PRS|AKT//acl:relcl//83 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//85 av//PP//case//88 förhandsdirektiv//NN|NEU|PLU|IND|NOM//obl//85 oftast//AB|SUV//advmod//91 är//VB|PRS|AKT//cop//91 sådana//PN|UTR/NEU|PLU|IND|SUB/OBJ//ccomp//80 som//HP|-|-|-//nsubj//94 just//AB//advmod//94 fått//VB|SUP|AKT//acl:relcl//91 en//DT|UTR|SIN|IND//det//96 diagnos//NN|UTR|SIN|IND|NOM//obj//94 och//KN//cc//104 där//HA//advmod//104 sjukdomsförloppet//NN|NEU|SIN|DEF|NOM//nsubj//104 är//VB|PRS|AKT//cop//104 mer//AB|KOM//advmod//104 eller//KN//cc//103 mindre//AB|KOM//conj//101 förutsägbart//JJ|POS|NEU|SIN|IND|NOM//conj//96 .//MID//punct//60
Särskilt yttrande av experten Niels Lynöe;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//108 kan//VB|PRS|AKT//aux//108 röra//VB|INF|AKT//parataxis//60 patienter//NN|UTR|PLU|IND|NOM//obj//108 med//PP//case//112 neurodegenerativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//112 sjukdomar//NN|UTR|PLU|IND|NOM//nmod//109 som//KN//mark//115 exempelvis//AB//advmod//115 ALS//PM|NOM//obl//108 .//MAD//punct//108
