
INNEHÅLL;Referenser//NN|UTR|PLU|IND|NOM//ROOT//0


1.1 Syfte (1);Syftet//NN|NEU|SIN|DEF|NOM//nsubj//6 med//PP//case//3 denna//DT|UTR|SIN|DEF//det//3 rapport//NN|UTR|SIN|IND|NOM//nmod//0 är//VB|PRS|AKT//cop//6 att//IE//mark//6 redovisa//VB|INF|AKT//ROOT//6 en//DT|UTR|SIN|IND//det//8 forsknings-//NN|UTR|-|-|SMS//obj//6 och//KN//cc//10 kunskapsöversikt//NN|UTR|SIN|IND|NOM//conj//8 över//PP//case//13 området//NN|NEU|SIN|DEF|NOM//nmod//13 utbildning//NN|UTR|SIN|IND|NOM//obl//6 för//PP//case//15 elever//NN|UTR|PLU|IND|NOM//nmod//13 som//HP|-|-|-//nsubj//18 är//VB|PRS|AKT//cop//18 döva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//13 eller//KN//cc//20 hörselskadade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//18 ,//MID//punct//18 i//PP//case//25 enlighet//NN|UTR|SIN|IND|NOM//fixed//22 med//PP//fixed//22 direktiv//NN|NEU|PLU|IND|NOM//conj//18 2013:29//RG|NOM//conj//18 ”//PAD//punct//28 Kvalitet//NN|UTR|SIN|IND|NOM//obj//6 i//PP//case//30 utbildningen//NN|UTR|SIN|DEF|NOM//nmod//28 för//PP//case//32 elever//NN|UTR|PLU|IND|NOM//nmod//28 med//PP//case//35 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 funktionsnedsättningar//NN|UTR|PLU|IND|NOM//nmod//32 ”//PAD//punct//28 där//HA//advmod//49 brister//NN|UTR|PLU|IND|NOM//nsubj:pass//49 i//PP//case//42 den//DT|UTR|SIN|DEF//det//42 pedagogiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//42 situationen//NN|UTR|SIN|DEF|NOM//nmod//38 för//PP//case//44 målgruppen//NN|UTR|SIN|DEF|NOM//nmod//42 och//KN//cc//46 behov//NN|NEU|SIN|IND|NOM//conj//44 av//PP//case//48 åtgärder//NN|UTR|PLU|IND|NOM//nmod//46 lyfts//VB|PRS|SFO//acl:relcl//28 fram//PL//advmod//49 .//MAD//punct//28
1.1 Syfte (1);Viktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//53 områden//NN|NEU|PLU|IND|NOM//conj//28 att//IE//mark//55 belysa//VB|INF|AKT//acl//53 utifrån//PP//case//58 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//58 discipliner//NN|UTR|PLU|IND|NOM//obl//55 är//VB|PRS|AKT//cop//61 elevernas//NN|UTR|PLU|DEF|GEN//nmod:poss//61 behov//NN|NEU|PLU|IND|NOM//conj//28 ,//MID//punct//64 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//64 förutsättningar//NN|UTR|PLU|IND|NOM//conj//61 ,//MID//punct//64 pedagogiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//67 konsekvenser//NN|UTR|PLU|IND|NOM//conj//61 av//PP//case//69 hörselnedsättningen//NN|UTR|SIN|DEF|NOM//nmod//67 ,//MID//punct//73 elevernas//NN|UTR|PLU|DEF|GEN//nmod:poss//73 talspråkliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//73 utveckling//NN|UTR|SIN|IND|NOM//conj//28 och//KN//cc//75 behov//NN|NEU|SIN|IND|NOM//conj//73 av//PP//case//77 teckenspråk//NN|NEU|PLU|IND|NOM//nmod//75 samt//KN//cc//80 tekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//80 möjligheter//NN|UTR|PLU|IND|NOM//conj//77 och//KN//cc//82 anpassningar//NN|UTR|PLU|IND|NOM//conj//77 .//MAD//punct//28
1.1 Syfte (1);Forskningsöversikten//NN|UTR|SIN|DEF|NOM//nsubj//86 ska//VB|PRS|AKT//aux//86 ligga//VB|INF|AKT//conj//6 till//PP//case//90 grund//NN|UTR|SIN|IND|NOM//fixed//87 för//PP//fixed//87 förslag//NN|NEU|PLU|IND|NOM//obl//86 om//PP//case//92 områden//NN|NEU|PLU|IND|NOM//nmod//90 för//PP//case//95 ny//JJ|POS|UTR|SIN|IND|NOM//amod//95 forskning//NN|UTR|SIN|IND|NOM//nmod//92 .//MAD//punct//6

1.2 Bakgrund (1);I//PP//case//1 Sverige//PM|NOM//obl//2 föds//VB|PRS|SFO//ROOT//2 årligen//AB//advmod//5 ca//AB|AN//advmod//5 100//RG|NOM//nummod//6 000//RG|NOM//nummod//7 barn//NN|NEU|PLU|IND|NOM//nsubj:pass//2 .//MAD//punct//2
1.2 Bakgrund (1);Av//PP//case//10 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//obl//13 är//VB|PRS|AKT//cop//13 ca//AB|AN//advmod//13 100-400//RG|NOM//conj//2 i//PP//case//15 behov//NN|NEU|SIN|IND|NOM//obl//2 av//PP//case//18 hörselrehabiliterande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 åtgärder//NN|UTR|PLU|IND|NOM//nmod//15 (//PAD//punct//2 SOU//PM|NOM//appos//2 2011:30//RG|NOM//nummod//20 )//PAD//punct//2 .//MAD//punct//2
1.2 Bakgrund (1);Behovet//NN|NEU|SIN|DEF|NOM//nsubj//27 av//PP//case//26 stöd//NN|NEU|SIN|IND|NOM//nmod//24 ökar//VB|PRS|AKT//parataxis//2 med//PP//case//29 åldern//NN|UTR|SIN|DEF|NOM//obl//27 och//KN//cc//33 vid//PP//case//32 skolstart//NN|UTR|SIN|IND|NOM//obl//33 beräknas//VB|PRS|SFO//conj//27 200-800//RG|NOM//nsubj:pass//33 vara//VB|INF|AKT//xcomp//33 i//PP//case//37 behov//NN|NEU|SIN|IND|NOM//obl//35 av//PP//case//39 insatser//NN|UTR|PLU|IND|NOM//nmod//37 .//MAD//punct//27
1.2 Bakgrund (1);Ca//AB|AN//advmod//42 5000//RG|NOM//nummod//43 barn//NN|NEU|PLU|IND|NOM//nsubj//46 med//PP//case//45 hörselnedsättning//NN|UTR|SIN|IND|NOM//nmod//43 går//VB|PRS|AKT//parataxis//27 i//PP//case//48 skolan//NN|UTR|SIN|DEF|NOM//obl//46 och//KN//cc//51 ungefär//AB//advmod//51 2000//RG|NOM//conj//46 av//PP//case//53 dem//PN|UTR/NEU|PLU|DEF|OBJ//nmod//51 har//VB|PRS|AKT//conj//27 behov//NN|NEU|SIN|IND|NOM//obj//54 av//PP//case//57 hörapparat//NN|UTR|SIN|IND|NOM//amod//60 eller//KN//cc//59 tekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//57 hörselhjälpmedel//NN|NEU|PLU|IND|NOM//conj//27 .//MAD//punct//27
