
Bilaga 16;Aktuell//JJ|POS|UTR|SIN|IND|NOM//amod//1 lydelse//NN|UTR|SIN|IND|NOM//ROOT//1

Bilaga 16 / Försäkringskassans föreskrifter (FKFS 2015:7) om genomsnittlig och högsta godtagbara bostadskostnad för år 2016;Storstockholm//PM|NOM//nsubj//1 omfattar//VB|PRS|AKT//ROOT//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//3 kommuner//NN|UTR|PLU|IND|NOM//obj//1 ://MID//punct//3
Bilaga 16 / Försäkringskassans föreskrifter (FKFS 2015:7) om genomsnittlig och högsta godtagbara bostadskostnad för år 2016;Stockholm//PM|NOM//appos//3 ,//MID//punct//7 Botkyrka//PM|NOM//conj//5 ,//MID//punct//9 Danderyd//PM|NOM//conj//5 ,//MID//punct//11 Ekerö//PM|NOM//conj//5 ,//MID//punct//13 Haninge//PM|NOM//conj//5 ,//MID//punct//15 Huddinge//PM|NOM//conj//5 ,//MID//punct//17 Järfälla//PM|NOM//conj//5 ,//MID//punct//19 Lidingö//PM|NOM//conj//5 ,//MID//punct//21 Nacka//PM|NOM//conj//5 ,//MID//punct//23 Norrtälje//PM|NOM//conj//5 ,//MID//punct//25 Nykvarn//PM|NOM//conj//5 ,//MID//punct//27 Nynäshamn//PM|NOM//conj//5 ,//MID//punct//29 Salem//PM|NOM//conj//5 ,//MID//punct//31 Sigtuna//PM|NOM//conj//5 ,//MID//punct//33 Sollentuna//PM|NOM//conj//5 ,//MID//punct//35 Solna//PM|NOM//conj//5 ,//MID//punct//37 Sundbyberg//PM|NOM//conj//5 ,//MID//punct//39 Södertälje//PM|NOM//conj//5 ,//MID//punct//41 Tyresö//PM|NOM//conj//5 ,//MID//punct//43 Täby//PM|NOM//conj//5 ,//MID//punct//45 Upplands-Bro//PM|NOM//conj//5 ,//MID//punct//48 Upplands//PM|GEN//nmod:poss//48 Väsby//PM|NOM//conj//5 ,//MID//punct//50 Vallentuna//PM|NOM//conj//5 ,//MID//punct//52 Vaxholm//PM|NOM//conj//5 ,//MID//punct//54 Värmdö//PM|NOM//conj//5 och//KN//cc//56 Österåker//PM|NOM//conj//5 .//MAD//punct//1
Bilaga 16 / Försäkringskassans föreskrifter (FKFS 2015:7) om genomsnittlig och högsta godtagbara bostadskostnad för år 2016;Storgöteborg//PM|NOM//nsubj//1 omfattar//VB|PRS|AKT//ROOT//1 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//3 kommuner//NN|UTR|PLU|IND|NOM//obj//1 ://MID//punct//3
Bilaga 16 / Försäkringskassans föreskrifter (FKFS 2015:7) om genomsnittlig och högsta godtagbara bostadskostnad för år 2016;Göteborg//PM|NOM//appos//3 ,//MID//punct//5 Ale//PM|NOM//conj//5 ,//MID//punct//9 Alingsås//PM|NOM//conj//5 ,//MID//punct//3
Bilaga 16 / Försäkringskassans föreskrifter (FKFS 2015:7) om genomsnittlig och högsta godtagbara bostadskostnad för år 2016;Härryda//PM|NOM//ROOT//0 ,//MID//punct//2 Kungsbacka//PM|NOM//conj//0 ,//MID//punct//4 Kungälv//PM|NOM//conj//0 ,//MID//punct//6 Lerum//PM|NOM//conj//0 ,//MID//punct//8 Lilla//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 Edet//PM|NOM//conj//0 ,//MID//punct//11 Mölndal//PM|NOM//conj//0 ,//MID//punct//13 Partille//PM|NOM//conj//0 ,//MID//punct//0
Bilaga 16 / Försäkringskassans föreskrifter (FKFS 2015:7) om genomsnittlig och högsta godtagbara bostadskostnad för år 2016;Stenungsund//PM|NOM//ROOT//0 ,//MID//punct//2 Tjörn//PM|NOM//conj//0 och//KN//cc//4 Öckerö//PM|NOM//conj//0 .//MAD//punct//0
Bilaga 16 / Försäkringskassans föreskrifter (FKFS 2015:7) om genomsnittlig och högsta godtagbara bostadskostnad för år 2016;ÖVERGÅNGSBESTÄMMELSER//NN|UTR|PLU|IND|NOM//ROOT//0
Bilaga 16 / Försäkringskassans föreskrifter (FKFS 2015:7) om genomsnittlig och högsta godtagbara bostadskostnad för år 2016;FKFS//NN|UTR|SIN|IND|NOM//ROOT//0 2015:7//RG|NOM//obj//0
Bilaga 16 / Försäkringskassans föreskrifter (FKFS 2015:7) om genomsnittlig och högsta godtagbara bostadskostnad för år 2016;Denna//DT|UTR|SIN|DEF//det//1 författning//NN|UTR|SIN|IND|NOM//nsubj//2 träder//VB|PRS|AKT//ROOT//2 i//PP//compound:prt//2 kraft//NN|UTR|SIN|IND|NOM//fixed//3 den//DT|UTR|SIN|DEF//det//7 21//RG|NOM//nummod//7 december//NN|UTR|SIN|IND|NOM//obl//2 2015//RG|NOM//nummod//7 och//KN//cc//10 tillämpas//VB|PRS|SFO//conj//2 på//PP//case//12 bostadskostnad//NN|UTR|SIN|IND|NOM//obl//10 som//HP|-|-|-//nsubj//14 avser//VB|PRS|AKT//acl:relcl//12 tid//NN|UTR|SIN|IND|NOM//obj//14 från//PP//case//20 och//KN//fixed//16 med//PP//fixed//16 1//RG|NOM//nummod//20 januari//NN|UTR|SIN|IND|NOM//obl//14 2016//RG|NOM//nummod//20 .//MAD//punct//2

