Vägskatt;Volym//NN|UTR|SIN|IND|NOM//ROOT//0 2//RG|NOM//nummod//0
Vägskatt;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Vägslitageskattekommittén//NN|UTR|SIN|DEF|NOM//nmod//0
Vägskatt;Stockholm//PM|NOM//nsubj:pass//98 2017//RG|NOM//nummod//2 3.7.5//RG|NOM//nummod//3 Förmåga//NN|UTR|SIN|IND|NOM//obj//0 att//IE//mark//5 interagera//VB|INF|AKT//acl//3 med//PP//case//8 närliggande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 4.3.3//RG|NOM//obl//5 Det//DT|NEU|SIN|DEF//det//11 sammanlagda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//11 trafikarbetet//NN|NEU|SIN|DEF|NOM//appos//0 på//PP//case//14 svenska//NN|UTR|SIN|IND|NOM//amod//14 4.6//RG|NOM//nmod//11 Tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 överväganden//NN|NEU|PLU|IND|NOM//conj//0 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//19 avståndsbaserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//19 4.6.3//RG|NOM//nmod:poss//21 Vägtrafikskatteutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//21 förslag//NN|NEU|SIN|IND|NOM//conj//0 till//PP//case//25 5.2//RG|NOM//nmod//25 EU-rättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 förutsättningar//NN|UTR|PLU|IND|NOM//nmod//21 för//PP//case//29 en//DT|UTR|SIN|IND//det//29 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//29 5.2.3//RG|NOM//nmod//31 Kommissionens//NN|UTR|SIN|DEF|GEN//nmod:poss//31 beslut//NN|NEU|SIN|IND|NOM//obj//0 om//PP//case//35 det//DT|NEU|SIN|DEF//det//35 europeiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//35 systemet//NN|NEU|SIN|DEF|NOM//obl//0 för//PP//case//38 elektroniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 vägtullar//NN|UTR|PLU|IND|NOM//nmod//35 (//PAD//punct//35 EETS5.2.6//PM|GEN//punct//43 Det//DT|NEU|SIN|DEF//det//43 regionala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//43 transportbidraget//NN|NEU|SIN|DEF|NOM//appos//35 –//RG|NOM//punct//46 ett//DT|NEU|SIN|IND//det//46 stöd//NN|NEU|SIN|IND|NOM//conj//43 som//HP|-|-|-//mark//49 5.3.2//RG|NOM//nmod//49 Vägtrafikskatt//NN|UTR|SIN|IND|NOM//nmod//46 (//PAD//punct//49 fordonsskatt//NN|UTR|SIN|IND|NOM//appos//49 och//KN//cc//53 5.5.2//RG|NOM//conj//51 Kontroll//NN|UTR|SIN|IND|NOM//conj//51 av//PP//case//56 kör-//NN|UTR|-|-|SMS//nmod//54 och//KN//cc//58 vilotider//NN|UTR|PLU|IND|NOM//conj//56 som//HP|-|-|-//nsubj:pass//60 utförs//VB|PRS|SFO//acl:relcl//49 av//PP//case//63 5.5.3//RG|NOM//nummod//63 Avgifter//NN|UTR|PLU|IND|NOM//obl:agent//60 och//KN//cc//66 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//66 effekter//NN|UTR|PLU|IND|NOM//conj//63 vid//PP//case//69 sen//JJ|POS|UTR|SIN|IND|NOM//amod//69 betalning//NN|UTR|SIN|IND|NOM//obl//98 6.4//RG|NOM//case//72 Andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//72 kontroller//NN|UTR|PLU|IND|NOM//nmod//69 som//HP|-|-|-//nsubj//74 kompletterar//VB|PRS|AKT//acl:relcl//72 de//DT|UTR/NEU|PLU|DEF//det//77 tekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//77 7.3.13//RG|NOM//nmod:poss//78 Sammanfattning//NN|UTR|SIN|IND|NOM//obj//74 av//PP//case//83 ländernas//NN|NEU|PLU|DEF|GEN//nmod:poss//82 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//82 7.4//RG|NOM//nmod//83 Länder//NN|NEU|PLU|IND|NOM//nmod//78 som//HP|-|-|-//nsubj//85 har//VB|PRS|AKT//acl:relcl//83 eller//KN//cc//88 har//VB|PRS|AKT//aux//88 haft//VB|SUP|AKT//conj//74 planer//NN|UTR|PLU|IND|NOM//obj//88 på//PP//mark//92 att//IE//mark//92 införa//VB|INF|AKT//acl//89 8.2//RG|NOM//obj//92 Vilka//HD|UTR/NEU|PLU|IND//det//96 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//96 krav//NN|NEU|PLU|IND|NOM//nsubj:pass//98 bör//VB|PRS|AKT//aux//98 ställas//VB|INF|SFO//ROOT//98 på//PP//case//101 ett//DT|NEU|SIN|IND//det//101 vägskattesystem//NN|NEU|SIN|IND|NOM//obl//98 ?//MID//punct//98 ....//MID//punct//98
Vägskatt;334//RG|NOM//nummod//105 8.3//RG|NOM//nsubj:pass//109 Vilka//HD|UTR/NEU|PLU|IND//det//107 integritetsaspekter//NN|UTR|PLU|IND|NOM//nsubj:pass//109 behöver//VB|PRS|AKT//aux//109 beaktas//VB|INF|SFO//parataxis//98 vid//PP//case//111 8.4//RG|NOM//nmod//113 Ett//DT|NEU|SIN|IND//det//113 deklarations-//NN|UTR|-|-|SMS//obl//109 eller//KN//cc//115 avläsningsbaserat//PC|PRF|NEU|SIN|IND|NOM//conj//113 8.8//RG|NOM//conj//113 Vad//HP|NEU|SIN|IND//advcl//120 bör//VB|PRS|AKT//aux//120 skatten//NN|UTR|SIN|DEF|NOM//nsubj:pass//120 baseras//VB|INF|SFO//conj//98 på//PP//case//129 och//KN//cc//129 hur//HA//advmod//129 bör//VB|PRS|AKT//aux//129 den//DT|UTR|SIN|DEF//det//126 9.2//RG|NOM//nsubj//129 Är//VB|PRS|AKT//cop//129 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//129 lämpligt//JJ|POS|NEU|SIN|IND|NOM//obl//120 att//IE//mark//131 överföra//VB|INF|AKT//csubj//129 något//DT|NEU|SIN|IND//det//134 befintligt//JJ|POS|NEU|SIN|IND|NOM//amod//134 9.3//RG|NOM//obj//131 Några//DT|UTR/NEU|PLU|IND//det//137 tänkbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//137 system//NN|NEU|PLU|IND|NOM//obj//131 för//PP//case//141 en//DT|UTR|SIN|IND//det//141 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//141 avståndsbaserad//PC|PRF|UTR|SIN|IND|NOM//obl//131


11.1 Inledning;I//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 kapitel//NN|NEU|SIN|IND|NOM//obl//3 beskrivs//VB|PRS|SFO//ROOT//3 hur//HA//advmod//11 det//DT|NEU|SIN|DEF//det//7 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//7 vägskattesystemet//NN|NEU|SIN|DEF|NOM//nsubj//11 kan//VB|PRS|AKT//aux//11 komma//VB|INF|AKT//aux//11 att//IE//mark//11 fungera//VB|INF|AKT//ccomp//3 i//PP//case//13 praktiken//NN|UTR|SIN|DEF|NOM//obl//11 .//MAD//punct//3
11.1 Inledning;Beskrivningen//NN|UTR|SIN|DEF|NOM//nsubj//16 berör//VB|PRS|AKT//parataxis//3 områden//NN|NEU|PLU|IND|NOM//obj//16 som//HP|-|-|-//nsubj//20 delvis//AB//advmod//20 går//VB|PRS|AKT//acl:relcl//17 utöver//PP//case//23 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//23 förslag//NN|NEU|SIN|IND|NOM//obl//20 och//KN//cc//26 får//VB|PRS|AKT//aux//26 ses//VB|INF|SFO//conj//20 som//KN//case//29 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//29 bedömning//NN|UTR|SIN|IND|NOM//obl//26 av//PP//mark//37 hur//HA//advmod//37 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 hanteringsfrågor//NN|UTR|PLU|IND|NOM//nsubj:pass//37 m.m.//AB|AN//conj//33 bör//VB|PRS|AKT//aux//37 kunna//VB|INF|AKT//aux//37 lösas//VB|INF|SFO//acl//29 .//MAD//punct//3
11.1 Inledning;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//40 ankommer//VB|PRS|AKT//parataxis//3 dock//AB//advmod//40 i//PP//case//44 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 fall//NN|NEU|PLU|IND|NOM//obl//40 på//PP//case//48 de//DT|UTR/NEU|PLU|DEF//det//48 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//48 myndigheterna//NN|UTR|PLU|DEF|NOM//obl//40 att//IE//mark//51 efterhand//AB//advmod//51 fatta//VB|INF|AKT//acl//48 beslut//NN|NEU|SIN|IND|NOM//obj//51 i//PP//case//56 nu//AB//advmod//55 aktuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//56 delar//NN|UTR|PLU|IND|NOM//obl//51 .//MAD//punct//3
11.1 Inledning;Vidare//AB|KOM//advmod//1 redovisas//VB|PRS|SFO//ROOT//1 här//AB//advmod//1 hur//HA//advmod//8 det//DT|NEU|SIN|DEF//det//6 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//6 systemet//NN|NEU|SIN|DEF|NOM//nsubj:pass//8 kan//VB|PRS|AKT//aux//8 genomföras//VB|INF|SFO//ccomp//1 av//PP//case//11 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//11 myndigheter//NN|UTR|PLU|IND|NOM//obl:agent//8 och//KN//cc//15 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 inblandade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//15 aktörer//NN|UTR|PLU|IND|NOM//conj//11 .//MAD//punct//1

