– en utvärdering och utveckling av modellen med presumtionshyra;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//4 hyressättning//NN|UTR|SIN|IND|NOM//nmod//2 vid//PP//case//6 nyproduktion//NN|UTR|SIN|IND|NOM//nmod//4
– en utvärdering och utveckling av modellen med presumtionshyra;Stockholm//PM|NOM//ROOT//0 2017//RG|NOM//nummod//0

Till statsrådet och chefen för Justitiedepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 24//RG|NOM//nummod//4 november//NN|UTR|SIN|IND|NOM//obj//1 2016//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 för//PP//mark//13 att//IE//mark//13 se//VB|INF|AKT//advcl//7 över//PL//case//15 modellen//NN|UTR|SIN|DEF|NOM//obl//13 för//PP//case//17 hyressättning//NN|UTR|SIN|IND|NOM//nmod//15 vid//PP//case//19 nyproduktion//NN|UTR|SIN|IND|NOM//nmod//17 av//PP//case//21 hyreslägenheter//NN|UTR|PLU|IND|NOM//nmod//19 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Den//DT|UTR|SIN|DEF//det//2 20//RG|NOM//nummod//2 december//NN|UTR|SIN|IND|NOM//obl//4 2016//RG|NOM//nummod//2 utsågs//VB|PRT|SFO//ROOT//4 Håkan//PM|NOM//nsubj:pass//4 Julius//PM|NOM//flat:name//5 ,//MID//punct//5 f.d.//JJ|AN//amod//9 hyresråd//NN|NEU|SIN|IND|NOM//conj//5 och//KN//cc//11 chef//NN|UTR|SIN|IND|NOM//conj//5 för//PP//case//13 Hyresnämnden//NN|UTR|SIN|DEF|NOM//nmod//11 i//PP//case//15 Stockholm//PM|NOM//nmod//13 ,//MID//punct//4 till//PP//case//19 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//19 utredare//NN|UTR|SIN|IND|NOM//obl//4 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 medverkande//NN|UTR|PLU|IND|NOM//nsubj:pass//23 anges//VB|PRS|SFO//parataxis//4 på//PP//case//26 nästa//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//26 sida//NN|UTR|SIN|IND|NOM//obl//23 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Utredningsarbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//2 har//VB|PRS|AKT//aux//2 bedrivits//VB|SUP|SFO//ROOT//2 i//PP//case//5 nära//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 samarbete//NN|NEU|SIN|IND|NOM//obl//2 med//PP//case//8 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//8 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//5 och//KN//cc//10 experter//NN|UTR|PLU|IND|NOM//conj//8 .//MAD//punct//2
Till statsrådet och chefen för Justitiedepartementet;Med//PP//case//13 anledning//NN|UTR|SIN|IND|NOM//obl//16 av//PP//case//15 detta//PN|NEU|SIN|DEF|SUB/OBJ//nmod//13 har//VB|PRS|AKT//aux//21 betänkandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//21 i//PP//case//20 väsentliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 delar//NN|UTR|PLU|IND|NOM//nmod//17 skrivits//VB|SUP|SFO//parataxis//2 i//PP//case//23 vi-form//NN|UTR|SIN|IND|NOM//obl//21 .//MAD//punct//2
Till statsrådet och chefen för Justitiedepartementet;Experterna//NN|UTR|PLU|DEF|NOM//nsubj//47 från//PP//case//29 de//DT|UTR/NEU|PLU|DEF//det//29 tre//RG|NOM//nummod//29 intresseorganisationerna//NN|UTR|PLU|DEF|NOM//nmod//25 Hyresgästföreningen//NN|UTR|SIN|DEF|NOM//nmod//29 Riksförbundet//NN|NEU|SIN|DEF|NOM//conj//25 ,//MID//punct//35 Sveriges//PM|GEN//nmod:poss//35 Allmännyttiga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//35 bostadsföretag//NN|NEU|SIN|IND|NOM//conj//31 (//PAD//punct//35 SABO//PM|NOM//conj//31 )//PAD//punct//31 och//KN//cc//41 Fastighetsägarna//NN|UTR|PLU|DEF|NOM//nmod//41 Sverige//PM|NOM//conj//25 har//VB|PRS|AKT//aux//47 dock//AB//advmod//47 i//PP//case//46 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//46 yttranden//NN|NEU|PLU|IND|NOM//obl//47 framfört//VB|SUP|AKT//parataxis//2 synpunkter//NN|UTR|PLU|IND|NOM//obj//47 och//KN//cc//51 avvikande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//51 meningar//NN|UTR|PLU|IND|NOM//conj//48 .//MAD//punct//47
Till statsrådet och chefen för Justitiedepartementet;I//PP//case//55 de//DT|UTR/NEU|PLU|DEF//det//55 delar//NN|UTR|PLU|IND|NOM//obl//60 som//HP|-|-|-//nsubj//57 framgår//VB|PRS|AKT//acl:relcl//55 av//PP//case//59 yttrandena//NN|NEU|PLU|DEF|NOM//obl//57 står//VB|PRS|AKT//advcl//47 dessa//DT|UTR/NEU|PLU|DEF//det//62 experter//NN|UTR|PLU|IND|NOM//nsubj//60 inte//AB//advmod//65 bakom//PP//case//65 förslagen//NN|NEU|PLU|DEF|NOM//obl//60 .//MAD//punct//47
Till statsrådet och chefen för Justitiedepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//13 ,//MID//punct//0 som//HP|-|-|-//nsubj//3 tagit//VB|SUP|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//5 Utredningen//NN|UTR|SIN|DEF|NOM//obj//3 om//PP//case//7 hyressättning//NN|UTR|SIN|IND|NOM//nmod//5 vid//PP//case//9 nyproduktion//NN|UTR|SIN|IND|NOM//nmod//7 ,//MID//punct//0 får//VB|PRS|AKT//aux//13 härmed//AB//advmod//13 överlämna//VB|INF|AKT//ROOT//13 sitt//PS|NEU|SIN|DEF//nmod:poss//15 betänkande//NN|NEU|SIN|IND|NOM//amod//16 Hyran//NN|UTR|SIN|DEF|NOM//obj//13 vid//PP//case//18 nyproduktion//NN|UTR|SIN|IND|NOM//nmod//16 –//RG|NOM//punct//21 en//DT|UTR|SIN|IND//det//21 utvärdering//NN|UTR|SIN|IND|NOM//conj//18 och//KN//cc//23 utveckling//NN|UTR|SIN|IND|NOM//conj//21 av//PP//case//25 modellen//NN|UTR|SIN|DEF|NOM//nmod//23 med//PP//case//27 presumtionshyra//NN|UTR|SIN|IND|NOM//nmod//25 .//MAD//punct//13
