Skärpta regler om utländska månggiften;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//5 strängare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 regler//NN|UTR|PLU|IND|NOM//nmod//2 om//PP//case//8 utländska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 månggiften//NN|NEU|PLU|IND|NOM//nmod//5
Skärpta regler om utländska månggiften;Stockholm//PM|NOM//ROOT//0 2020//RG|NOM//nummod//0

Till statsrådet och chefen för Justitiedepartementet;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 19//RG|NOM//nummod//4 juli//NN|UTR|SIN|IND|NOM//obj//1 2018//RG|NOM//nummod//4 att//IE//mark//7 ge//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 i//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 undersöka//VB|INF|AKT//advcl//7 hur//HA//advmod//25 en//DT|UTR|SIN|IND//det//20 stark//JJ|POS|UTR|SIN|IND|NOM//amod//20 och//KN//cc//19 ändamålsenlig//JJ|POS|UTR|SIN|IND|NOM//conj//17 reglering//NN|UTR|SIN|IND|NOM//nsubj:pass//25 mot//PP//case//23 utländska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 månggiften//NN|NEU|PLU|IND|NOM//nmod//20 kan//VB|PRS|AKT//aux//25 säkerställas//VB|INF|SFO//ccomp//14 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Till//PP//case//29 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//29 utredare//NN|UTR|SIN|IND|NOM//obl//30 förordnades//VB|PRT|SFO//parataxis//1 samma//DT|UTR/NEU|SIN/PLU|IND//det//33 dag//NN|UTR|SIN|IND|NOM//fixed//31 hovrättsrådet//NN|NEU|SIN|DEF|NOM//nsubj:pass//30 och//KN//cc//36 vice//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//36 ordföranden//NN|UTR|SIN|DEF|NOM//nmod//37 Anne//PM|NOM//conj//33 Kuttenkeuler//PM|NOM//flat:name//37 .//MAD//punct//30
Till statsrådet och chefen för Justitiedepartementet;Den//DT|UTR|SIN|DEF//det//2 6//RO|NOM//nummod//2 september//NN|UTR|SIN|IND|NOM//obl//4 2018//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 advokaten//NN|UTR|SIN|DEF|NOM//nmod//6 Ulf//PM|NOM//nsubj:pass//4 Bergquist//PM|NOM//flat:name//6 ,//MID//punct//6 rättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 experterna//NN|UTR|PLU|DEF|NOM//nmod//11 Annika//PM|NOM//appos//6 Eriksson//PM|NOM//flat:name//11 (//PAD//punct//11 Migrationsverket//NN|NEU|SIN|DEF|NOM//flat//6 )//PAD//punct//6 och//KN//cc//17 Anna//PM|NOM//conj//4 Ljungberg//PM|NOM//flat//17 (//PAD//punct//20 Skatteverket//PM|NOM//appos//17 )//PAD//punct//20 ,//MID//punct//24 rådmannen//NN|UTR|SIN|DEF|NOM//nmod//24 Charlotte//PM|NOM//appos//17 Mattsson//PM|NOM//flat:name//24 (//PAD//punct//24 Förvaltningsrätten//NN|UTR|SIN|DEF|NOM//appos//17 i//PP//case//29 Stockholm//PM|NOM//nmod//27 )//PAD//punct//17 och//KN//cc//33 docenten//NN|UTR|SIN|DEF|NOM//nmod//33 Mosa//PM|NOM//dep//4 Sayed//PM|NOM//flat:name//33 (//PAD//punct//37 Uppsala//PM|GEN//amod//37 universitet//NN|NEU|SIN|IND|NOM//appos//33 )//PAD//punct//37 som//KN//case//40 experter//NN|UTR|PLU|IND|NOM//nmod//33 i//PP//case//42 utredningen//NN|UTR|SIN|DEF|NOM//nmod//40 samt//KN//cc//44 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//45 Elisabeth//PM|NOM//nmod//40 Hovmöller//PM|NOM//flat//45 (//PAD//punct//48 Justitiedepartementet//PM|NOM//appos//45 )//PAD//punct//48 som//KN//case//51 sakkunnig//JJ|POS|UTR|SIN|IND|NOM//nmod//33 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Som//KN//case//1 sekreterare//NN|UTR|SIN|IND|NOM//nsubj:pass//2 anställdes//VB|PRT|SFO//ROOT//2 från//PP//advmod//2 och//KN//fixed//3 med//PP//case//8 den//DT|UTR|SIN|DEF//det//7 17//RG|NOM//nummod//8 september//NN|UTR|SIN|IND|NOM//fixed//3 2018//RG|NOM//nummod//10 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//obl//2 Lars//PM|NOM//flat:name//10 Swedenborg//PM|NOM//flat:name//11 .//MAD//punct//2
Till statsrådet och chefen för Justitiedepartementet;Den//DT|UTR|SIN|DEF//det//2 30//RG|NOM//nummod//2 november//NN|UTR|SIN|IND|NOM//obl//4 2018//RG|NOM//nummod//2 förordnades//VB|PRT|SFO//ROOT//4 riksdagsledamöterna//NN|UTR|PLU|DEF|NOM//nmod//6 Alireza//PM|NOM//nmod//7 Akhondi//PM|NOM//nsubj:pass//4 ,//MID//punct//7 Juno//PM|NOM//appos//7 Blom//PM|NOM//flat:name//9 ,//MID//punct//9 Hans//PM|NOM//appos//9 Eklind//PM|NOM//flat//12 ,//MID//punct//15 Mikael//PM|NOM//conj//7 Eskilandersson//PM|NOM//flat//15 ,//MID//punct//15 Elin//PM|NOM//conj//7 Lundgren//PM|NOM//flat:name//18 ,//MID//punct//21 Maria//PM|NOM//conj//7 Stockhaus//PM|NOM//flat//21 ,//MID//punct//21 Jon//PM|NOM//conj//7 Thorbjörnsson//PM|NOM//flat:name//24 samt//KN//cc//29 Kukkamariia//PM|NOM//nmod//28 Valtola//NN|UTR|SIN|IND|NOM//nmod//29 Sjöberg//PM|NOM//conj//24 (//PAD//punct//24 ersättare//NN|UTR|SIN|IND|NOM//appos//24 i//PP//case//33 Landstingsfullmäktige//PM|NOM//nmod//31 i//PP//case//35 Sörmland//PM|NOM//nmod//24 )//PAD//punct//24 som//KN//case//38 ledamöter//NN|UTR|PLU|IND|NOM//xcomp//4 i//PP//case//40 en//DT|UTR|SIN|IND//nmod//38 till//PP//case//42 utredningen//NN|UTR|SIN|DEF|NOM//nmod//40 knuten//PC|PRF|UTR|SIN|IND|NOM//nmod//44 referensgrupp//NN|UTR|SIN|IND|NOM//nmod//38 .//MAD//punct//4
Till statsrådet och chefen för Justitiedepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 överlämnar//VB|PRS|AKT//ROOT//1 härmed//AB//advmod//1 betänkandet//NN|NEU|SIN|DEF|NOM//nmod//5 Skärpta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 regler//NN|UTR|PLU|IND|NOM//obj//1 om//PP//case//8 utländska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 månggiften//NN|NEU|PLU|IND|NOM//nmod//5 ,//MID//punct//10 SOU//PM|NOM//obl//1 2020:2//RG|NOM//nummod//10 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//14 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//17 är//VB|PRS|AKT//cop//17 därmed//AB//advmod//17 slutfört//PC|PRF|NEU|SIN|IND|NOM//parataxis//1 .//MAD//punct//1
Till statsrådet och chefen för Justitiedepartementet;Experterna//NN|UTR|PLU|DEF|NOM//nsubj//8 och//KN//cc//3 den//DT|UTR|SIN|DEF//det//3 sakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//0 har//VB|PRS|AKT//aux//8 i//PP//advmod//8 huvudsak//NN|UTR|SIN|IND|NOM//fixed//5 varit//VB|SUP|AKT//cop//8 eniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ROOT//8 med//PP//case//10 utredningen//NN|UTR|SIN|DEF|NOM//obl//8 vid//PP//case//12 utformningen//NN|UTR|SIN|DEF|NOM//nmod//10 av//PP//case//15 de//DT|UTR/NEU|PLU|DEF//det//15 överväganden//NN|NEU|PLU|IND|NOM//nmod//12 och//KN//cc//17 förslag//NN|NEU|PLU|IND|NOM//conj//15 som//HP|-|-|-//nsubj:pass//19 presenteras//VB|PRS|SFO//acl:relcl//17 .//MAD//punct//8
