En ny socialtjänstlag;Del//NN|UTR|SIN|IND|NOM//nmod//1 2//RG|NOM//ROOT//1
En ny socialtjänstlag;Slutbetänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//4 Utredningen//NN|UTR|SIN|DEF|NOM//nmod:poss//4 Framtidens//NN|UTR|SIN|DEF|GEN//nmod:poss//4 socialtjänst//NN|UTR|SIN|IND|NOM//nmod//0
En ny socialtjänstlag;Stockholm//PM|NOM//nsubj//153 2020//RG|NOM//nummod//2 1.28//RG|NOM//conj//0 Förslag//NN|NEU|PLU|IND|NOM//obj//0 till//PP//case//5 lag//NN|UTR|SIN|IND|NOM//nmod//3 om//PP//case//7 ändring//NN|UTR|SIN|IND|NOM//nmod//5 i//PP//case//9 lagen//NN|UTR|SIN|DEF|NOM//nmod//7 (//PAD//punct//0 2005:466//RG|NOM//appos//0 )//PAD//punct//11 om//PP//case//14 beräkning//NN|UTR|SIN|IND|NOM//obl//0 av//PP//case//17 inkomstprövade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//17 socialförsäkringsförmåner//NN|UTR|PLU|IND|NOM//nmod//14 m.m.//AB|AN//conj//14 för//PP//case//20 neurosedynskadade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//nmod//14 ...//MID//punct//14 171//RG|NOM//nummod//23 1.29//RG|NOM//nmod:poss//24 Förslag//NN|NEU|PLU|IND|NOM//nmod//14 till//PP//case//26 lag//NN|UTR|SIN|IND|NOM//nmod//24 om//PP//case//28 ändring//NN|UTR|SIN|IND|NOM//nmod//26 i//PP//case//30 utlänningslagen//NN|UTR|SIN|DEF|NOM//nmod//28 (//PAD//punct//32 2005:716//RG|NOM//nmod//30 )//PAD//punct//32 ...//MID//punct//37 172//RG|NOM//nummod//36 1.30//RG|NOM//nmod:poss//37 Förslag//NN|NEU|PLU|IND|NOM//conj//14 till//PP//case//39 lag//NN|UTR|SIN|IND|NOM//nmod//37 om//PP//case//41 ändring//NN|UTR|SIN|IND|NOM//nmod//39 i//PP//case//43 lagen//NN|UTR|SIN|DEF|NOM//nmod//41 (//PAD//punct//45 2005:807//RG|NOM//conj//14 )//PAD//punct//45 om//PP//case//48 ersättning//NN|UTR|SIN|IND|NOM//nmod//14 för//PP//case//51 viss//JJ|POS|UTR|SIN|IND|NOM//amod//51 mervärdesskatt//NN|UTR|SIN|IND|NOM//nmod//48 för//PP//case//53 kommuner//NN|UTR|PLU|IND|NOM//nmod//51 ,//MID//punct//55 regioner//NN|UTR|PLU|IND|NOM//conj//53 ,//MID//punct//57 kommunalförbund//NN|NEU|SIN|IND|NOM//conj//53 och//KN//cc//59 samordningsförbund//NN|NEU|SIN|IND|NOM//conj//53 .....//MID//punct//53 173//RG|NOM//nummod//62 1.31//RG|NOM//nmod//63 Förslag//NN|NEU|PLU|IND|NOM//conj//53 till//PP//case//65 lag//NN|UTR|SIN|IND|NOM//nmod//63 om//PP//case//67 ändring//NN|UTR|SIN|IND|NOM//nmod//65 i//PP//case//69 lagen//NN|UTR|SIN|DEF|NOM//nmod//67 (//PAD//punct//71 2006:469//RG|NOM//conj//53 )//PAD//punct//71 om//PP//case//74 behandling//NN|UTR|SIN|IND|NOM//conj//53 av//PP//case//76 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//74 vid//PP//case//78 Inspektionen//NN|UTR|SIN|DEF|NOM//nmod//74 1.32//RG|NOM//nummod//80 Förslag//NN|NEU|PLU|IND|NOM//conj//74 till//PP//case//82 lag//NN|UTR|SIN|IND|NOM//nmod//80 om//PP//case//84 ändring//NN|UTR|SIN|IND|NOM//nmod//82 i//PP//case//86 lagen//NN|UTR|SIN|DEF|NOM//nmod//84 (//PAD//punct//88 2006:546//RG|NOM//appos//80 )//PAD//punct//88 om//PP//case//91 utrymning//NN|UTR|SIN|IND|NOM//nmod//74 och//KN//cc//93 inkvartering//NN|UTR|SIN|IND|NOM//conj//91 m.m.//AB|AN//conj//91 under//PP//case//97 höjd//PC|PRF|UTR|SIN|IND|NOM//amod//97 beredskap//NN|UTR|SIN|IND|NOM//nmod//74 ...//MID//punct//74 175//RG|NOM//nummod//100 1.33//RG|NOM//nmod:poss//101 Förslag//NN|NEU|PLU|IND|NOM//nmod//74 till//PP//case//103 lag//NN|UTR|SIN|IND|NOM//nmod//101 om//PP//case//105 ändring//NN|UTR|SIN|IND|NOM//nmod//103 i//PP//case//107 lagen//NN|UTR|SIN|DEF|NOM//nmod//105 (//PAD//punct//109 2007:171//RG|NOM//nmod//105 )//PAD//punct//109 om//PP//case//112 registerkontroll//NN|UTR|SIN|IND|NOM//nmod//74 av//PP//case//114 personal//NN|UTR|SIN|IND|NOM//nmod//112 vid//PP//case//117 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//117 boenden//NN|NEU|PLU|IND|NOM//nmod//118 1.34//RG|NOM//nummod//119 Förslag//NN|NEU|PLU|IND|NOM//nmod//74 till//PP//case//121 lag//NN|UTR|SIN|IND|NOM//nmod//119 om//PP//case//123 ändring//NN|UTR|SIN|IND|NOM//nmod//121 i//PP//case//125 lagen//NN|UTR|SIN|DEF|NOM//nmod//123 (//PAD//punct//127 2008:450//RG|NOM//nmod//123 )//PAD//punct//127 med//PP//case//131 kompletterande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//131 bestämmelser//NN|UTR|PLU|IND|NOM//nmod//74 till//PP//case//133 Bryssel//PM|NOM//nmod//134 II1.61//PM|GEN//nmod//131 Förslag//NN|NEU|SIN|IND|NOM//nmod//74 till//PP//case//137 förordning//NN|UTR|SIN|IND|NOM//nmod//135 om//PP//case//139 ändring//NN|UTR|SIN|IND|NOM//nmod//137 i//PP//case//141 förordningen//NN|UTR|SIN|DEF|NOM//nmod//139 (//PAD//punct//141 2001:637//RG|NOM//appos//141 )//PAD//punct//141 om//PP//case//146 behandling//NN|UTR|SIN|IND|NOM//nmod//74 av//PP//case//148 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//146 inom//PP//case//150 7.2.3//RG|NOM//nmod//146 Socialtjänsten//NN|UTR|SIN|DEF|NOM//flat//150 ska//VB|PRS|AKT//aux//153 främja//VB|INF|AKT//ROOT//153 jämställda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//155 7.2.4//RG|NOM//obj//153 Uppdrag//NN|NEU|PLU|IND|NOM//obj//153 om//PP//case//160 fördjupad//PC|PRF|UTR|SIN|IND|NOM//amod//159 beskrivning//NN|UTR|SIN|IND|NOM//nmod//160 7.3.4//RG|NOM//nmod//156 Socialtjänsten//NN|UTR|SIN|DEF|NOM//nsubj//163 ska//VB|PRS|AKT//aux//163 ha//VB|INF|AKT//acl:relcl//160 ett//DT|NEU|SIN|IND//det//167 förebyggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//167 7.4.2//RG|NOM//nmod//167 Bestämmelser//NN|UTR|PLU|IND|NOM//obj//163 om//PP//case//169 tillgänglighet//NN|UTR|SIN|IND|NOM//nmod//167 som//HP|-|-|-//nsubj//171 rör//VB|PRS|AKT//acl:relcl//169 7.4.3//RG|NOM//nmod//173 Socialtjänsten//NN|UTR|SIN|DEF|NOM//obj//171 ska//VB|PRS|AKT//aux//175 inriktas//VB|INF|SFO//conj//153 på//PP//case//181 att//IE//mark//181 vara//VB|INF|AKT//cop//180 lätt//AB|POS//advmod//180 14.2.1//RG|NOM//nmod:poss//181 Krav//NN|NEU|PLU|IND|NOM//obl//175 på//PP//case//183 kunskap//NN|UTR|SIN|IND|NOM//nmod//181 inom//PP//case//185 hälso-//NN|UTR|-|-|SMS//nmod//183 och//KN//cc//187 sjukvården//NN|UTR|SIN|DEF|NOM//conj//185 16.2.2//RG|NOM//nummod//189 Förhållandet//NN|NEU|SIN|DEF|NOM//conj//185 mellan//PP//case//192 skälig//JJ|POS|UTR|SIN|IND|NOM//amod//192 levnadsnivå//NN|UTR|SIN|IND|NOM//nmod//189 17.2.4//RG|NOM//conj//153 Kritik//NN|UTR|SIN|IND|NOM//obj//153 från//PP//case//196 IVO//PM|NOM//nmod//194 och//KN//cc//198 avgöranden//NN|NEU|PLU|IND|NOM//conj//196 i//PP//case//201 17.4.2//RG|NOM//nmod//201 Överlämnande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//198 av//PP//case//203 uppgifter//NN|UTR|PLU|IND|NOM//nmod//201 till//PP//case//207 privaträttsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//206 20.3.2//RG|NOM//nmod//207 Förslag//NN|NEU|PLU|IND|NOM//nmod//198 från//PP//case//210  //_SP////208 2010-talet//NN|NEU|SIN|DEF|NOM//nmod//207 om//PP//case//213 sammanhållen//NN|UTR|SIN|DEF|NOM//amod//213 20.4.1//RG|NOM//nmod//210 Behövs//VB|PRS|SFO//advcl//153 en//DT|UTR|SIN|IND//det//216 särlagstiftning//NN|UTR|SIN|IND|NOM//nsubj:pass//214 för//PP//case//218 äldreomsorgen//NN|UTR|SIN|DEF|NOM//nmod//216 ?//MID//punct//153 .....//MID//punct//153
En ny socialtjänstlag;855//RG|NOM//nummod//224 20.4.2//RG|NOM//amod//224 Fortsatt//PC|PRF|NEU|SIN|IND|NOM//amod//224 arbete//NN|NEU|SIN|IND|NOM//parataxis//153 med//PP//case//228 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//225 i//PP//fixed//225 socialtjänstlagen//NN|UTR|SIN|DEF|NOM//nmod//224 och//KN//cc//230 lagstiftningen//NN|UTR|SIN|DEF|NOM//conj//228 20.4.3//RG|NOM//nummod//233 Demokratisk//JJ|POS|UTR|SIN|IND|NOM//amod//233 förankring//NN|UTR|SIN|IND|NOM//obj//153 av//PP//case//237 äldreomsorgens//NN|UTR|SIN|DEF|GEN//nmod:poss//237 23.1.2//RG|NOM//nummod//237 Förhållandet//NN|NEU|SIN|DEF|NOM//nmod//233 mellan//PP//case//239 socialtjänstlagen//NN|UTR|SIN|DEF|NOM//nmod//237 23.2.3//RG|NOM//nmod:poss//241 Beslut//NN|NEU|SIN|IND|NOM//obj//153 om//PP//case//243 umgängesbegränsning//NN|UTR|SIN|IND|NOM//nmod//241 och//KN//cc//245 hemlighållande//NN|NEU|SIN|IND|NOM//conj//243 av//PP//case//247 vistelseort//NN|UTR|SIN|IND|NOM//nmod//245 får//VB|PRS|AKT//aux//250 bara//AB//advmod//250 delegeras//VB|INF|SFO//conj//153 23.2.4//RG|NOM//advmod//250 Utvidgad//PC|PRF|UTR|SIN|IND|NOM//nmod:poss//253 rätt//NN|UTR|SIN|IND|NOM//advmod//250 för//PP//case//255 socialnämnden//NN|UTR|SIN|DEF|NOM//nmod//253 att//IE//mark//257 delegera//VB|INF|AKT//acl//255 23.2.5//RG|NOM//obj//257 Beslut//NN|NEU|PLU|IND|NOM//flat//258 om//PP//case//261 umgängesbegränsning//NN|UTR|SIN|IND|NOM//nmod//258 och//KN//cc//263 hemlighållande//NN|NEU|SIN|IND|NOM//conj//261 av//PP//case//265 vistelseort//NN|UTR|SIN|IND|NOM//nmod//263 ska//VB|PRS|AKT//aux//267 kunna//VB|INF|AKT//conj//153 23.2.6//RG|NOM//nummod//269 Möjligheten//NN|UTR|SIN|DEF|NOM//obj//267 att//IE//mark//271 delegera//VB|INF|AKT//acl//269 beslut//NN|NEU|SIN|IND|NOM//obj//271 om//PP//case//274 ansökan//NN|UTR|SIN|IND|NOM//obl//271 om//PP//case//277 fortsatt//PC|PRF|NEU|SIN|IND|NOM//amod//277 omhändertagande//NN|NEU|SIN|IND|NOM//nmod//274 för//PP//case//280 tillfällig//JJ|POS|UTR|SIN|IND|NOM//amod//280 vård//NN|UTR|SIN|IND|NOM//nmod//277 23.2.7//RG|NOM//nummod//283 Inget//DT|NEU|SIN|IND//det//283 behov//NN|NEU|SIN|IND|NOM//obl//271 av//PP//mark//286 att//IE//mark//286 delegera//VB|INF|AKT//acl//283 ärenden//NN|NEU|PLU|IND|NOM//obj//286 om//PP//mark//289 upphörande//NN|NEU|SIN|IND|NOM//advcl//286 av//PP//case//291 medgivande//NN|NEU|SIN|IND|NOM//obl//289 till//PP//case//295 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//294 27.3.6//RG|NOM//nummod//295 Stöd//NN|NEU|PLU|IND|NOM//obl//271 för//PP//case//297 utvecklingen//NN|UTR|SIN|DEF|NOM//obl//295 av//PP//case//302 en//DT|UTR|SIN|IND//det//302 mer//AB|KOM//advmod//301 hållbar//JJ|POS|UTR|SIN|IND|NOM//amod//302 28.12//RG|NOM//nummod//303 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//297 till//PP//case//305 lag//NN|UTR|SIN|IND|NOM//nmod//303 om//PP//case//307 ändring//NN|UTR|SIN|IND|NOM//nmod//305 i//PP//case//309 lagen//NN|UTR|SIN|DEF|NOM//nmod//307 (//PAD//punct//311 1990:1402//RG|NOM//nmod//307 )//PAD//punct//311 om//PP//case//314 övertagande//NN|NEU|SIN|IND|NOM//obl//271 av//PP//case//317 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//317 sjukhem//NN|NEU|PLU|IND|NOM//nmod//314 och//KN//cc//319 andra//RO|NOM//conj//317 28.18//RG|NOM//nummod//321 Förslaget//NN|NEU|SIN|DEF|NOM//conj//314 till//PP//case//323 lag//NN|UTR|SIN|IND|NOM//obl//314 om//PP//case//325 ändring//NN|UTR|SIN|IND|NOM//nmod//323 i//PP//case//327 lagen//NN|UTR|SIN|DEF|NOM//nmod//325 (//PAD//punct//329 1997:191//RG|NOM//nmod//327 )//PAD//punct//329 med//PP//case//332 anledning//NN|UTR|SIN|IND|NOM//obl//314 av//PP//case//335 Sveriges//PM|GEN//nmod:poss//335 tillträde//NN|NEU|SIN|IND|NOM//nmod//332 till//PP//case//337 Haagkonventionen//NN|UTR|SIN|DEF|NOM//nmod//338 28.23//RG|NOM//nummod//339 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//314 till//PP//case//341 lag//NN|UTR|SIN|IND|NOM//obl//314 om//PP//case//343 ändring//NN|UTR|SIN|IND|NOM//nmod//341 i//PP//case//345 lagen//NN|UTR|SIN|DEF|NOM//nmod//343 (//PAD//punct//347 2001:181//RG|NOM//conj//314 )//PAD//punct//347 om//PP//case//350 behandling//NN|UTR|SIN|IND|NOM//conj//314 av//PP//case//352 uppgifter//NN|UTR|PLU|IND|NOM//nmod//350 i//PP//case//355 Skatteverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//355 28.28//RG|NOM//nmod//356 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//350 till//PP//case//358 lag//NN|UTR|SIN|IND|NOM//nmod//350 om//PP//case//360 ändring//NN|UTR|SIN|IND|NOM//nmod//358 i//PP//case//362 lagen//NN|UTR|SIN|DEF|NOM//nmod//360 (//PAD//punct//364 2005:466//RG|NOM//nmod//350 )//PAD//punct//364 om//PP//case//367 beräkning//NN|UTR|SIN|IND|NOM//nmod//371 av//PP//case//370 inkomstprövade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//370 socialförsäkrings28.30//NN|UTR|SIN|IND|NOM//nmod//367 Förslaget//NN|NEU|SIN|DEF|NOM//conj//350 till//PP//case//373 lag//NN|UTR|SIN|IND|NOM//nmod//350 om//PP//case//375 ändring//NN|UTR|SIN|IND|NOM//nmod//373 i//PP//case//377 lagen//NN|UTR|SIN|DEF|NOM//nmod//375 (//PAD//punct//379 2005:807//RG|NOM//conj//350 )//PAD//punct//379 om//PP//case//382 ersättning//NN|UTR|SIN|IND|NOM//conj//350 för//PP//case//385 viss//JJ|POS|UTR|SIN|IND|NOM//amod//385 mervärdesskatt//NN|UTR|SIN|IND|NOM//nmod//382 för//PP//case//387 kommuner//NN|UTR|PLU|IND|NOM//nmod//385 ,//MID//punct//389 regioner//NN|UTR|PLU|IND|NOM//conj//387 ,//MID//punct//391 kommunalförbund//NN|NEU|SIN|IND|NOM//conj//387 och//KN//cc//393 samordningsförbund//NN|NEU|SIN|IND|NOM//conj//387 ...//MID//punct//269 1188//RG|NOM//nummod//397 28.31//RG|NOM//nummod//395 Förslaget//NN|NEU|SIN|DEF|NOM//appos//269 till//PP//case//399 lag//NN|UTR|SIN|IND|NOM//nmod//397 om//PP//case//401 ändring//NN|UTR|SIN|IND|NOM//nmod//399 i//PP//case//403 lagen//NN|UTR|SIN|DEF|NOM//nmod//401 (//PAD//punct//405 2006:469//RG|NOM//nmod//397 )//PAD//punct//405 om//PP//case//408 behandling//NN|UTR|SIN|IND|NOM//nmod//397 av//PP//case//410 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//408 vid//PP//case//412 Inspektionen//NN|UTR|SIN|DEF|NOM//nmod//408 för//PP//case//415 28.32//RG|NOM//nummod//415 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//412 till//PP//case//417 lag//NN|UTR|SIN|IND|NOM//nmod//415 om//PP//case//419 ändring//NN|UTR|SIN|IND|NOM//nmod//417 i//PP//case//421 lagen//NN|UTR|SIN|DEF|NOM//nmod//419 (//PAD//punct//423 2006:546//RG|NOM//nmod//419 )//PAD//punct//423 om//PP//case//426 utrymning//NN|UTR|SIN|IND|NOM//nmod//419 och//KN//cc//428 inkvartering//NN|UTR|SIN|IND|NOM//conj//426 m.m.//AB|AN//conj//426 under//PP//case//432 höjd//NN|UTR|SIN|IND|NOM//nmod//432 28.33//RG|NOM//nummod//433 Förslaget//NN|NEU|SIN|DEF|NOM//obj//153 till//PP//case//435 lag//NN|UTR|SIN|IND|NOM//nmod//433 om//PP//case//437 ändring//NN|UTR|SIN|IND|NOM//nmod//435 i//PP//case//439 lagen//NN|UTR|SIN|DEF|NOM//nmod//437 (//PAD//punct//441 2007:171//RG|NOM//nmod//437 )//PAD//punct//441 om//PP//case//444 registerkontroll//NN|UTR|SIN|IND|NOM//obl//153 av//PP//case//446 personal//NN|UTR|SIN|IND|NOM//nmod//444 vid//PP//case//449 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//449 boenden//NN|NEU|PLU|IND|NOM//nmod//450 28.44//RG|NOM//nummod//451 Förslaget//NN|NEU|SIN|DEF|NOM//nmod//444 till//PP//case//453 lag//NN|UTR|SIN|IND|NOM//nmod//451 om//PP//case//455 ändring//NN|UTR|SIN|IND|NOM//nmod//453 i//PP//case//457 alkohollagen//NN|UTR|SIN|DEF|NOM//nmod//455 (//PAD//punct//459 2010:1622//RG|NOM//appos//457 )//PAD//punct//459 .//MAD//punct//153
En ny socialtjänstlag;1208//RG|NOM//nummod//463 28.45//RG|NOM//nummod//464 Förslaget//NN|NEU|SIN|DEF|NOM//parataxis//153 till//PP//case//466 lag//NN|UTR|SIN|IND|NOM//nmod//464 om//PP//case//468 ändring//NN|UTR|SIN|IND|NOM//nmod//466 i//PP//case//470 lagen//NN|UTR|SIN|DEF|NOM//nmod//468 (//PAD//punct//472 2012:318//RG|NOM//appos//464 )//PAD//punct//472 28.54//RG|NOM//nummod//475 Förslaget//NN|NEU|SIN|DEF|NOM//obj//153 till//PP//case//477 lag//NN|UTR|SIN|IND|NOM//nmod//475 om//PP//case//479 ändring//NN|UTR|SIN|IND|NOM//nmod//477 i//PP//case//481 lagen//NN|UTR|SIN|DEF|NOM//nmod//479 (//PAD//punct//483 2018:162//RG|NOM//conj//481 )//PAD//punct//483 om//PP//case//487 statlig//JJ|POS|UTR|SIN|IND|NOM//amod//487 ersättning//NN|UTR|SIN|IND|NOM//nmod//479 till//PP//case//489 personer//NN|UTR|PLU|IND|NOM//nmod//487 som//HP|-|-|-//nsubj//492 har//VB|PRS|AKT//aux//492 fått//VB|SUP|AKT//acl:relcl//489 ändrad//PC|PRF|UTR|SIN|IND|NOM//amod//494 28.56//RG|NOM//nummod//495 Förslaget//NN|NEU|SIN|DEF|NOM//obj//492 till//PP//case//497 lag//NN|UTR|SIN|IND|NOM//obl//492 om//PP//case//499 ändring//NN|UTR|SIN|IND|NOM//nmod//497 i//PP//case//501 lagen//NN|UTR|SIN|DEF|NOM//nmod//499 (//PAD//punct//503 2018:649//RG|NOM//nmod//499 )//PAD//punct//503 om//PP//case//506 förbud//NN|NEU|SIN|IND|NOM//obl//492 mot//PP//case//510 innehav//NN|NEU|SIN|IND|NOM//fixed//507 av//PP//case//510 berusningsmedel//NN|NEU|PLU|IND|NOM//nmod//506 m.m.//AB|AN//conj//510


21.1 Behovet av att samverka inom socialtjänsten;Kommuner//NN|UTR|PLU|IND|NOM//nsubj//3 och//KN//cc//2 regioner//NN|UTR|PLU|IND|NOM//conj//0 samverkar//VB|PRS|AKT//ROOT//3 i//PP//advmod//3 dag//NN|UTR|SIN|IND|NOM//fixed//4 i//PP//case//8 stor//JJ|POS|UTR|SIN|IND|NOM//amod//8 utsträckning//NN|UTR|SIN|IND|NOM//obl//3 inom//PP//case//15 både//KN//cc//15 de//DT|UTR/NEU|PLU|DEF//det//15 frivilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 och//KN//cc//14 obligatoriska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//12 områdena//NN|NEU|PLU|DEF|NOM//obl//3 .//MAD//punct//3
21.1 Behovet av att samverka inom socialtjänsten;Samverkan//NN|UTR|SIN|IND|NOM//parataxis//3 är//VB|PRS|AKT//cop//21 som//KN//advmod//21 regel//NN|UTR|SIN|IND|NOM//fixed//19 frivillig//JJ|POS|UTR|SIN|IND|NOM//conj//3 .//MAD//punct//3
21.1 Behovet av att samverka inom socialtjänsten;Samverkan//NN|UTR|SIN|IND|NOM//nsubj//24 sker//VB|PRS|AKT//parataxis//3 antingen//KN//cc//30 i//PP//case//30 formella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 eller//KN//cc//29 informella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//27 former//NN|UTR|PLU|IND|NOM//obl//24 .//MAD//punct//24
21.1 Behovet av att samverka inom socialtjänsten;Den//DT|UTR|SIN|DEF//det//34 enklaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//34 formen//NN|UTR|SIN|DEF|NOM//nsubj//43 av//PP//case//36 samverkan//NN|UTR|SIN|IND|NOM//nmod//34 är//VB|PRS|AKT//cop//34 när//HA//advmod//43 två//RG|NOM//nummod//42 eller//KN//cc//41 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//conj//39 kommuner//NN|UTR|PLU|IND|NOM//nsubj//43 fattar//VB|PRS|AKT//parataxis//24 likalydande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//45 beslut//NN|NEU|PLU|IND|NOM//obj//43 .//MAD//punct//3
