Del 2;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Djurhälsolagsutredningen//PM|NOM//nmod//0
Del 2;Stockholm//PM|NOM//ROOT//0 2020//RG|NOM//nummod//0
Del 2;I//PP//case//2 (//PAD//punct//2 Lagstiftningsakter//NN|UTR|PLU|IND|NOM//ROOT//2 )//PAD//punct//2
Del 2;FÖRORDNINGAR//NN|UTR|PLU|IND|NOM//ROOT//0

av den 9 mars 2016 om överförbara djursjukdomar och om ändring och upphävande av vissa akter med avseende på djurhälsa (”djurhälsolag”) (Text av betydelse för EES);med//PP//case//1 beaktande//NN|NEU|SIN|IND|NOM//obl//126 av//PP//case//3 fördraget//NN|NEU|SIN|DEF|NOM//nmod//1 om//PP//case//7 Europeiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//6 unionens//NN|UTR|SIN|DEF|GEN//nmod:poss//7 funktionssätt//NN|NEU|SIN|IND|NOM//nmod//3 ,//MID//punct//1 särskilt//AB//advmod//10 artiklarna//NN|UTR|PLU|DEF|NOM//nmod//11 43.2//RG|NOM//appos//1 ,//MID//punct//13 114//RG|NOM//conj//11 och//KN//cc//15 168.4//RO|NOM//conj//11 b//NN|NEU|SIN|IND|NOM//nmod//1 ,//MID//punct//16 med//PP//case//19 beaktande//NN|NEU|SIN|IND|NOM//nmod//1 av//PP//case//23 Europeiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//22 kommissionens//NN|UTR|SIN|DEF|GEN//nmod:poss//23 förslag//NN|NEU|SIN|IND|NOM//nmod//19 ,//MID//punct//26 efter//PP//case//26 översändande//NN|NEU|SIN|IND|NOM//conj//19 av//PP//case//28 utkastet//NN|NEU|SIN|DEF|NOM//nmod//26 till//PP//case//30 lagstiftningsakt//NN|UTR|SIN|IND|NOM//nmod//28 till//PP//case//34 de//DT|UTR/NEU|PLU|DEF//det//34 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 parlamenten//NN|NEU|PLU|DEF|NOM//nmod//28 ,//MID//punct//37 med//PP//case//37 beaktande//NN|NEU|SIN|IND|NOM//conj//26 av//PP//case//44 Europeiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 och//KN//cc//42 sociala//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//40 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//44 yttrande//NN|NEU|SIN|IND|NOM//nmod//37 (//PAD//punct//37 )//PAD//punct//26 ,//MID//punct//51 efter//PP//mark//51 att//IE//mark//51 ha//VB|INF|AKT//aux//51 hört//VB|SUP|AKT//conj//1 Regionkommittén//NN|UTR|SIN|DEF|NOM//obj//51 ,//MID//punct//59 i//PP//case//59 enlighet//NN|UTR|SIN|IND|NOM//fixed//54 med//PP//fixed//54 det//DT|NEU|SIN|DEF//det//59 ordinarie//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//59 lagstiftningsförfarandet//NN|NEU|SIN|DEF|NOM//obl//51 (//PAD//punct//59 )//PAD//punct//59 ,//MID//punct//66 och//KN//cc//66 av//PP//case//66 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//66 skäl//NN|NEU|PLU|IND|NOM//conj//51 ://MID//punct//66
av den 9 mars 2016 om överförbara djursjukdomar och om ändring och upphävande av vissa akter med avseende på djurhälsa (”djurhälsolag”) (Text av betydelse för EES);(//PAD//punct//66 1//RG|NOM//nummod//66 )//PAD//punct//66 Effekterna//NN|UTR|PLU|DEF|NOM//obj//51 av//PP//case//74 överförbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//74 djursjukdomar//NN|UTR|PLU|IND|NOM//nmod//71 och//KN//cc//77 de//DT|UTR/NEU|PLU|DEF//det//77 åtgärder//NN|UTR|PLU|IND|NOM//conj//71 som//HP|-|-|-//nsubj:pass//79 krävs//VB|PRS|SFO//acl:relcl//77 för//PP//mark//82 att//IE//mark//82 begränsa//VB|INF|AKT//advcl//79 dessa//DT|UTR/NEU|PLU|DEF//det//84 sjukdomar//NN|UTR|PLU|IND|NOM//obj//82 kan//VB|PRS|AKT//aux//87 vara//VB|INF|AKT//cop//87 förödande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//51 för//PP//case//90 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//90 djur//NN|NEU|PLU|IND|NOM//obl//87 ,//MID//punct//92 djurpopulationer//NN|UTR|PLU|IND|NOM//conj//90 ,//MID//punct//94 djurhållare//NN|UTR|PLU|IND|NOM//conj//90 och//KN//cc//96 ekonomin//NN|UTR|SIN|DEF|NOM//conj//90 .//MAD//punct//51
av den 9 mars 2016 om överförbara djursjukdomar och om ändring och upphävande av vissa akter med avseende på djurhälsa (”djurhälsolag”) (Text av betydelse för EES);(//PAD//punct//99 2//RG|NOM//discourse//107 )//PAD//punct//99 Som//KN//case//105 den//DT|UTR|SIN|DEF//det//104 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//104 tidens//NN|UTR|SIN|DEF|GEN//nmod:poss//105 erfarenheter//NN|UTR|PLU|IND|NOM//nsubj//107 har//VB|PRS|AKT//aux//107 visat//VB|SUP|AKT//conj//1 kan//VB|PRS|AKT//aux//112 överförbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//110 djursjukdomar//NN|UTR|PLU|IND|NOM//nsubj//112 också//AB//advmod//112 ha//VB|INF|AKT//xcomp//107 en//DT|UTR|SIN|IND//det//115 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//115 effekt//NN|UTR|SIN|IND|NOM//obj//112 på//PP//case//118 människors//NN|UTR|PLU|IND|GEN//nmod:poss//118 hälsa//NN|UTR|SIN|IND|NOM//obl//112 och//KN//cc//120 livsmedelssäkerheten//NN|UTR|SIN|DEF|NOM//conj//118 .//MAD//punct//1
av den 9 mars 2016 om överförbara djursjukdomar och om ändring och upphävande av vissa akter med avseende på djurhälsa (”djurhälsolag”) (Text av betydelse för EES);(//PAD//punct//123 3//RG|NOM//conj//1 )//PAD//punct//123 Dessutom//AB//advmod//126 uppkommer//VB|PRS|AKT//advcl//1447 negativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//129 interaktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//129 effekter//NN|UTR|PLU|IND|NOM//obj//126 när//HA//case//134 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//130 gäller//VB|PRS|AKT//fixed//130 biologisk//JJ|POS|UTR|SIN|IND|NOM//amod//134 mångfald//NN|UTR|SIN|IND|NOM//obl//126 ,//MID//punct//136 klimatförändringen//NN|UTR|SIN|DEF|NOM//conj//134 och//KN//cc//139 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//139 miljöaspekter//NN|UTR|PLU|IND|NOM//conj//134 .//MAD//punct//126
av den 9 mars 2016 om överförbara djursjukdomar och om ändring och upphävande av vissa akter med avseende på djurhälsa (”djurhälsolag”) (Text av betydelse för EES);Klimatförändringen//NN|UTR|SIN|DEF|NOM//nsubj//143 kan//VB|PRS|AKT//aux//143 påverka//VB|INF|AKT//parataxis//126 uppkomsten//NN|UTR|SIN|DEF|NOM//obj//143 av//PP//case//147 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//147 sjukdomar//NN|UTR|PLU|IND|NOM//nmod//144 ,//MID//punct//151 befintliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//150 sjukdomars//NN|UTR|PLU|IND|GEN//nmod:poss//151 prevalens//NN|UTR|SIN|IND|NOM//conj//144 och//KN//cc//155 den//DT|UTR|SIN|DEF//det//155 geografiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//155 utbredningen//NN|UTR|SIN|DEF|NOM//conj//151 av//PP//case//157 sjukdomsagens//NN|UTR|SIN|DEF|GEN//nmod//155 och//KN//cc//159 vektorer//NN|UTR|PLU|IND|NOM//conj//157 ,//MID//punct//162 inklusive//PP//case//162 sådana//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//143 som//HP|-|-|-//nsubj//165 kan//VB|PRS|AKT//aux//165 drabba//VB|INF|AKT//acl:relcl//162 vilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//167 djur//NN|NEU|PLU|IND|NOM//obj//165 .//MAD//punct//143
av den 9 mars 2016 om överförbara djursjukdomar och om ändring och upphävande av vissa akter med avseende på djurhälsa (”djurhälsolag”) (Text av betydelse för EES);(//PAD//punct//170 4//RG|NOM//appos//143 )//PAD//punct//170 För//PP//mark//174 att//IE//mark//174 säkerställa//VB|INF|AKT//advcl//201 en//DT|UTR|SIN|IND//det//177 hög//JJ|POS|UTR|SIN|IND|NOM//amod//177 standard//NN|UTR|SIN|IND|NOM//obj//174 för//PP//case//182 djurs//NN|NEU|PLU|IND|GEN//nmod:poss//182 och//KN//cc//181 människors//NN|UTR|PLU|IND|GEN//conj//179 hälsa//NN|UTR|SIN|IND|NOM//obl//174 i//PP//case//184 unionen//NN|UTR|SIN|DEF|NOM//nmod//182 och//KN//cc//188 en//DT|UTR|SIN|IND//det//188 rationell//JJ|POS|UTR|SIN|IND|NOM//amod//188 utveckling//NN|UTR|SIN|IND|NOM//conj//182 av//PP//case//190 jordbruks-//NN|NEU|-|-|SMS//nmod//188 och//KN//cc//192 vattenbrukssektorn//NN|UTR|SIN|DEF|NOM//conj//190 samt//KN//cc//196 för//PP//mark//196 att//IE//mark//196 öka//VB|INF|AKT//conj//174 produktiviteten//NN|UTR|SIN|DEF|NOM//obj//196 ,//MID//punct//201 bör//VB|PRS|AKT//aux//201 djurhälsobestämmelser//NN|UTR|PLU|IND|NOM//nsubj:pass//201 fastställas//VB|INF|SFO//advcl//143 på//PP//case//203 unionsnivå//NN|UTR|SIN|IND|NOM//obl//201 .//MAD//punct//143
