Sammanfattning av uppdraget (1);En//DT|UTR|SIN|IND//det//2 parlamentarisk//JJ|POS|UTR|SIN|IND|NOM//amod//2 kommitté//NN|UTR|SIN|IND|NOM//nsubj//4 skall//VB|PRS|AKT//aux//4 följa//VB|INF|AKT//ROOT//4 den//DT|UTR|SIN|DEF//det//7 pågående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 utvecklingen//NN|UTR|SIN|DEF|NOM//obj//4 i//PP//case//9 gymnasieskolan//NN|UTR|SIN|DEF|NOM//nmod//7 .//MAD//punct//4
Sammanfattning av uppdraget (1);Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//14 skall//VB|PRS|AKT//aux//14 vara//VB|INF|AKT//cop//14 verksam//JJ|POS|UTR|SIN|IND|NOM//parataxis//4 till//PP//advmod//14 och//KN//cc//19 med//PP//case//18 juni//NN|UTR|SIN|IND|NOM//nmod//19 1997//RG|NOM//conj//14 och//KN//cc//22 årligen//AB//advmod//22 redovisa//VB|INF|AKT//conj//14 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//24 bedömningar//NN|UTR|PLU|IND|NOM//obj//22 till//PP//case//26 regeringen//NN|UTR|SIN|DEF|NOM//nmod//24 .//MAD//punct//4

Bakgrund (1);Riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 i//PP//case//4 december//NN|UTR|SIN|IND|NOM//nmod//4 1993//RG|NOM//obl//1 (//PAD//punct//1 bet//VB|PRT|AKT//parataxis//1 .//MAD//punct//6
Bakgrund (1);1993/94//RG|NOM//obl//1 ://MID//punct//8
Bakgrund (1);UbU2//PM|NOM//appos//8 ,//MID//punct//12 rskr//PM|NOM//conj//10 .//MID//punct//10
Bakgrund (1);1993/94:93//RG|NOM//conj//10 )//PAD//punct//16 ge//VB|INF|AKT//parataxis//1 regeringen//NN|UTR|SIN|DEF|NOM//obj//16 till//PP//mark//19 känna//VB|INF|AKT//advcl//16 att//SN//mark//26 en//DT|UTR|SIN|IND//det//23 parlamentarisk//JJ|POS|UTR|SIN|IND|NOM//amod//23 kommitté//NN|UTR|SIN|IND|NOM//nmod//25 bö//UO//advmod//25 r//NN|NEU|SIN|IND|NOM//nsubj:pass//26 tillsättas//VB|INF|SFO//ccomp//19 för//PP//mark//29 att//IE//mark//29 följa//VB|INF|AKT//advcl//26 utvecklingsarbetet//NN|NEU|SIN|DEF|NOM//obj//29 i//PP//case//32 gymnasieskolan//NN|UTR|SIN|DEF|NOM//obl//29 .//MAD//punct//16
Bakgrund (1);Den//DT|UTR|SIN|DEF//det//35 parla//JJ|POS|MAS|SIN|DEF|NOM//nsubj//44 -//MID//punct//35 mentariska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//38 kommittén//NN|UTR|SIN|DEF|NOM//nsubj//40 bör//VB|PRS|AKT//aux//40 enli//VB|INF|AKT//acl:relcl//35 gt//NN|NEU|SIN|IND|NOM//fixed//40 riksdagens//NN|UTR|SIN|DEF|GEN//nmod:poss//43 mening//NN|UTR|SIN|IND|NOM//nsubj//44 bestå//VB|INF|AKT//parataxis//16 av//PP//case//46 företrädare//NN|UTR|PLU|IND|NOM//obl:agent//44 för//PP//case//48 partierna//NN|NEU|PLU|DEF|NOM//nmod//46 i//PP//case//50 riksdagen//NN|UTR|SIN|DEF|NOM//nmod//48 .//MAD//punct//1

1991 och 1992 års beslut om reformeringen av gymnasieskolan;Den//DT|UTR|SIN|DEF//nsubj//8 av//PP//case//2 riksdagen//NN|UTR|SIN|DEF|NOM//nmod//0 våren//NN|UTR|SIN|DEF|NOM//nmod//4 1991//RG|NOM//nmod//2 och//KN//cc//4 våren//NN|UTR|SIN|DEF|NOM//nmod//7 1992//RG|NOM//nummod//4 beslutade//VB|PRT|AKT//ROOT//8 förändringen//NN|UTR|SIN|DEF|NOM//obj//8 a//PM|NOM//case//12 v//PM|NOM//nummod//12 gymnasieskolan//NN|UTR|SIN|DEF|NOM//obl//8 genomförs//VB|PRS|SFO//xcomp//8 nu//AB//advmod//13 (//PAD//punct//13 prop//NN|UTR|SIN|IND|NOM//appos//13 .//MAD//punct//13
1991 och 1992 års beslut om reformeringen av gymnasieskolan;1990/91:85//RG|NOM//nummod//19 Växa//NN|UTR|SIN|IND|NOM//nsubj//91 med//PP//case//21 kunskaper//NN|UTR|PLU|IND|NOM//nmod//19 -//MID//punct//19 om//PP//case//24 gymnasieskolan//NN|UTR|SIN|DEF|NOM//nmod//19 och//KN//cc//26 vuxenutbildningen//NN|UTR|SIN|DEF|NOM//conj//24 ,//MID//punct//24 bet//VB|PRT|AKT//conj//24 .//MAD//punct//19
1991 och 1992 års beslut om reformeringen av gymnasieskolan;1990/91//RG|NOM//nmod//19 ://MID//punct//30
1991 och 1992 års beslut om reformeringen av gymnasieskolan;UbU16//NN|NEU|SIN|IND|NOM//appos//30 ,//MID//punct//32 rskr//VB|PRT|AKT//conj//32 .//MID//punct//32
1991 och 1992 års beslut om reformeringen av gymnasieskolan;1990/91:356//RG|NOM//conj//30 samt//KN//cc//38 prop//NN|UTR|SIN|IND|NOM//conj//36 .//MID//punct//19
1991 och 1992 års beslut om reformeringen av gymnasieskolan;1991/92:157//RG|NOM//appos//19 om//PP//case//43 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 gymnasie-//NN|UTR|-|-|SMS//nmod//40 och//KN//cc//45 vuxenutbildningsfrågor//NN|UTR|PLU|IND|NOM//conj//43 m.m.//AB|AN//conj//43 ,//MID//punct//48 bet//VB|PRT|AKT//conj//40 .//MAD//punct//40
1991 och 1992 års beslut om reformeringen av gymnasieskolan;1991/92//RG|NOM//nmod//40 ://MID//punct//50
1991 och 1992 års beslut om reformeringen av gymnasieskolan;UbU26//PM|GEN//appos//19 ,//MID//punct//54 rskr//NN|NEU|SIN|IND|NOM//conj//52 .//MID//punct//52
1991 och 1992 års beslut om reformeringen av gymnasieskolan;1991/92:311//RG|NOM//conj//52 )//PAD//punct//56 .//MAD//punct//70
