Uppdraget;Mitt//PS|NEU|SIN|DEF//nmod:poss//1 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//2 består//VB|PRS|AKT//ROOT//2 av//PP//case//5 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//5 delar//NN|UTR|PLU|IND|NOM//obl//2 .//MAD//punct//2
Uppdraget;Jag//PN|UTR|SIN|DEF|SUB//nsubj//9 ska//VB|PRS|AKT//aux//9 utvärdera//VB|INF|AKT//parataxis//2 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//11 producentansvar//NN|NEU|SIN|IND|NOM//obj//9 för//PP//case//13 förpackningar//NN|UTR|PLU|IND|NOM//nmod//11 ,//MID//punct//15 bilar//NN|UTR|PLU|IND|NOM//conj//13 ,//MID//punct//17 däck//NN|NEU|PLU|IND|NOM//conj//13 och//KN//cc//19 returpapper//NN|NEU|PLU|IND|NOM//conj//13 ,//MID//punct//21 systemen//NN|NEU|PLU|DEF|NOM//conj//11 för//PP//case//23 returdryckesförpackningar//NN|UTR|PLU|IND|NOM//nmod//21 ,//MID//punct//27 de//DT|UTR/NEU|PLU|DEF//det//27 frivilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 åtagandena//NN|NEU|PLU|DEF|NOM//appos//9 för//PP//case//29 kontorspapper//NN|UTR|PLU|IND|NOM//nmod//27 och//KN//cc//31 byggsektorn//NN|UTR|SIN|DEF|NOM//conj//29 ,//MID//punct//36 samt//KN//cc//36 vid//PP//case//35 behov//NN|NEU|SIN|IND|NOM//obl//36 ge//VB|INF|AKT//conj//9 förslag//NN|NEU|SIN|IND|NOM//obj//36 till//PP//case//39 förbättringar//NN|UTR|PLU|IND|NOM//nmod//37 .//MAD//punct//9
Uppdraget;Jag//PN|UTR|SIN|DEF|SUB//nsubj//45 har//VB|PRS|AKT//aux//45 också//AB//advmod//45 i//PP//case//45 uppdrag//NN|NEU|SIN|IND|NOM//conj//9 att//IE//mark//47 överväga//VB|INF|AKT//acl//45 om//SN//mark//53 det//DT|NEU|SIN|DEF//det//51 lagstadgade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//51 producentansvaret//NN|NEU|SIN|DEF|NOM//nsubj:pass//53 ska//VB|PRS|AKT//aux//53 utvidgas//VB|INF|SFO//advcl//45 till//PP//case//56 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//56 varugrupper//NN|UTR|PLU|IND|NOM//obl//53 .//MAD//punct//9
Uppdraget;Därutöver//AB//advmod//61 ska//VB|PRS|AKT//aux//61 jag//PN|UTR|SIN|DEF|SUB//nsubj//61 utreda//VB|INF|AKT//parataxis//9 och//KN//cc//63 lämna//VB|INF|AKT//conj//61 förslag//NN|NEU|SIN|IND|NOM//obj//63 till//PP//case//67 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//67 garantier//NN|UTR|PLU|IND|NOM//nmod//64 för//PP//case//70 producentansvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//70 fullföljande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//67 .//MAD//punct//9

Utgångspunkterna;De//DT|UTR/NEU|PLU|DEF//det//2 miljöpolitiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 syftena//NN|NEU|PLU|DEF|NOM//nsubj//15 med//PP//mark//7 producentansvaret//NN|NEU|SIN|DEF|NOM//nsubj//7 har//VB|PRS|AKT//aux//7 varit//VB|SUP|AKT//cop//7 utgångspunkt//NN|UTR|SIN|IND|NOM//acl//2 för//PP//case//10 både//KN//cc//10 utvärderingen//NN|UTR|SIN|DEF|NOM//obl//7 och//KN//cc//13 mina//PS|UTR/NEU|PLU|DEF//nmod:poss//13 förslag//NN|NEU|PLU|IND|NOM//conj//10 .//MAD//punct//2
Utgångspunkterna;Målsättningen//NN|UTR|SIN|DEF|NOM//ROOT//15 är//VB|PRS|AKT//cop//15 att//IE//mark//18 minska//VB|INF|AKT//csubj//15 mängden//NN|UTR|SIN|DEF|NOM//nmod//20 avfall//NN|NEU|SIN|IND|NOM//obj//18 till//PP//case//22 deponi//NN|UTR|SIN|IND|NOM//obl//18 ,//MID//punct//15 minska//VB|INF|AKT//conj//15 miljöpåverkan//NN|UTR|SIN|IND|NOM//obj//24 genom//PP//case//27 hushållning//NN|UTR|SIN|IND|NOM//obl//24 med//PP//case//29 material//NN|NEU|SIN|IND|NOM//nmod//27 och//KN//cc//31 energi//NN|UTR|SIN|IND|NOM//conj//29 under//PP//case//34 produktens//NN|UTR|SIN|DEF|GEN//nmod:poss//34 livscykel//NN|UTR|SIN|IND|NOM//nmod//31 ,//MID//punct//36 minska//VB|INF|AKT//conj//15 användningen//NN|UTR|SIN|DEF|NOM//obj//36 av//PP//case//41 farliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 kemiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 ämnen//NN|NEU|PLU|IND|NOM//nmod//37 ,//MID//punct//43 minska//VB|INF|AKT//conj//15 nedskräpningen//NN|UTR|SIN|DEF|NOM//obj//43 .//MAD//punct//15
Utgångspunkterna;Andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 viktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//2 utgångspunkter//NN|UTR|PLU|IND|NOM//nsubj//10 för//PP//case//4 utvärderingen//NN|UTR|SIN|DEF|NOM//nmod//2 och//KN//cc//7 mina//PS|UTR/NEU|PLU|DEF//nmod:poss//7 förslag//NN|NEU|PLU|IND|NOM//conj//4 är//VB|PRS|AKT//cop//10 aktörernas//NN|UTR|PLU|DEF|GEN//nmod:poss//10 roller//NN|UTR|PLU|IND|NOM//ROOT//10 och//KN//cc//13 systemens//NN|NEU|PLU|DEF|GEN//nmod:poss//13 effektivitet//NN|UTR|SIN|IND|NOM//conj//10 ,//MID//punct//16 samhällsekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 effekter//NN|UTR|PLU|IND|NOM//conj//13 och//KN//cc//18 konkurrensaspekter//NN|UTR|PLU|IND|NOM//conj//13 som//KN//punct//10 t.ex.//AB|AN//advmod//10 problem//NN|NEU|PLU|IND|NOM//appos//10 med//PP//case//23 friåkare//NN|UTR|PLU|IND|NOM//nmod//21 och//KN//cc//25 monopoltendenser//NN|UTR|PLU|IND|NOM//conj//23 .//MAD//punct//10

Resultatet av utvärderingen;Återvinningsmålen//NN|UTR|SIN|DEF|NOM//ROOT//0 .//MID//punct//0
Resultatet av utvärderingen;Jag//PN|UTR|SIN|DEF|SUB//nsubj//3 gör//VB|PRS|AKT//parataxis//0 bedömningen//NN|UTR|SIN|DEF|NOM//obj//3 att//SN//mark//22 återvinningsmålen//NN|NEU|PLU|DEF|NOM//nsubj:pass//22 för//PP//case//10 det//DT|NEU|SIN|DEF//det//10 lagstadgade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//10 producentansvaret//NN|NEU|SIN|DEF|NOM//nmod//6 ,//MID//punct//12 returdryckesförpackningarna//NN|UTR|PLU|DEF|NOM//conj//10 och//KN//cc//16 de//DT|UTR/NEU|PLU|DEF//det//16 frivilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 åtagandena//NN|NEU|PLU|DEF|NOM//conj//10 i//PP//case//20 de//DT|UTR/NEU|PLU|DEF//det//20 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//amod//20 fall//NN|NEU|PLU|IND|NOM//nmod//16 har//VB|PRS|AKT//aux//22 nåtts//VB|SUP|SFO//ccomp//3 på//PP//case//26 ett//DT|NEU|SIN|IND//det//26 tillfredställande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//26 sätt//NN|NEU|SIN|IND|NOM//obl//22 .//MAD//punct//3
Resultatet av utvärderingen;Några//DT|UTR/NEU|PLU|IND//det//29 områden//NN|NEU|PLU|IND|NOM//nsubj//37 där//HA//advmod//34 målen//NN|NEU|PLU|DEF|NOM//nsubj//34 inte//AB//advmod//34 har//VB|PRS|AKT//aux//34 nåtts//VB|SUP|SFO//acl:relcl//29 är//VB|PRS|AKT//cop//37 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 förpackningsslag//NN|NEU|PLU|IND|NOM//parataxis//0 och//KN//cc//41 byggsektorns//NN|UTR|SIN|DEF|GEN//nmod:poss//41 frivilliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//41 åtagande//NN|NEU|SIN|IND|NOM//conj//37 .//MAD//punct//37
Resultatet av utvärderingen;Miljöpolitiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 syften//NN|NEU|PLU|IND|NOM//nsubj:pass//10 .//MAD//punct//1
Resultatet av utvärderingen; //_SP////2 De//DT|UTR/NEU|PLU|DEF//det//6 miljöpolitiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 huvudsyftena//NN|NEU|PLU|DEF|NOM//conj//1 med//PP//case//8 producentansvaret//NN|NEU|SIN|DEF|NOM//nmod//6 har//VB|PRS|AKT//aux//10 nåtts//VB|SUP|SFO//ROOT//10 dvs.//AB|AN//advmod//12 minskade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//13 mängder//NN|UTR|PLU|IND|NOM//obj//10 till//PP//case//15 deponi//NN|UTR|SIN|IND|NOM//nmod//13 och//KN//cc//17 hushållning//NN|UTR|SIN|IND|NOM//conj//15 med//PP//case//19 material//NN|NEU|SIN|IND|NOM//nmod//17 och//KN//cc//21 energi//NN|UTR|SIN|IND|NOM//conj//19 .//MAD//punct//10
Resultatet av utvärderingen;Livscykelanalyser//NN|UTR|PLU|IND|NOM//nsubj//24 visar//VB|PRS|AKT//parataxis//10 att//SN//mark//31 deponering//NN|UTR|SIN|IND|NOM//nsubj//31 är//VB|PRS|AKT//cop//31 det//DT|NEU|SIN|DEF//det//31 miljömässigt//AB|POS//advmod//31 sämsta//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//31 alternativet//NN|NEU|SIN|DEF|NOM//ccomp//24 .//MAD//punct//10
