Inledning;I//PP//case//2 föreliggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//2 betänkande//NN|NEU|SIN|IND|NOM//obl//3 lägger//VB|PRS|AKT//ROOT//3 utredningen//NN|UTR|SIN|DEF|NOM//obj//3 i//PP//case//9 enlighet//NN|UTR|SIN|IND|NOM//fixed//5 med//PP//case//9 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//9 direktiv//NN|NEU|PLU|IND|NOM//obl//3 fram//PL//advmod//3 en//DT|UTR|SIN|IND//det//13 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//13 utvärdering//NN|UTR|SIN|IND|NOM//obj//3 av//PP//case//17 den//DT|UTR|SIN|DEF//det//17 arbetsgivarpolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//17 reform//NN|UTR|SIN|IND|NOM//nmod//13 ,//MID//punct//13 som//HP|-|-|-//nsubj:pass//20 genomfördes//VB|PRT|SFO//acl:relcl//13 den//DT|UTR|SIN|DEF//det//23 1//RO|NOM//nummod//23 juli//NN|UTR|SIN|IND|NOM//obl//20 1994//RG|NOM//nummod//23 .//MAD//punct//3

Bakgrund;Den//DT|UTR|SIN|DEF//det//2 arbetsgivarpolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 reformen//NN|UTR|SIN|DEF|NOM//nsubj//3 innebar//VB|PRT|AKT//ROOT//3 att//SN//mark//6 Arbetsgivarverket//PM|NOM//nsubj:pass//6 ombildades//VB|PRT|SFO//ccomp//3 till//PP//case//9 en//DT|UTR|SIN|IND//det//9 uppdragsmyndighet//NN|UTR|SIN|IND|NOM//obl//6 ,//MID//punct//11 finansierad//PC|PRF|UTR|SIN|IND|NOM//conj//9 och//KN//cc//13 styrd//PC|PRF|UTR|SIN|IND|NOM//conj//9 av//PP//case//15 myndigheterna//NN|UTR|PLU|DEF|NOM//nmod//13 .//MAD//punct//3
Bakgrund;Reformen//NN|UTR|SIN|DEF|NOM//nsubj//18 innebar//VB|PRT|AKT//conj//3 vidare//AB|KOM//advmod//18 att//SN//mark//25 riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//25 inte//AB//advmod//25 längre//AB|KOM//advmod//25 skulle//VB|PRT|AKT//aux//25 godkänna//VB|INF|AKT//ccomp//18 kollektivavtal//NN|NEU|SIN|IND|NOM//obj//25 om//PP//case//28 anställningsvillkor//NN|NEU|PLU|IND|NOM//nmod//26 för//PP//case//31 de//DT|UTR/NEU|PLU|DEF//det//31 anställda//NN|UTR|PLU|IND|NOM//nmod//28 inom//PP//case//35 det//DT|NEU|SIN|DEF//det//35 statliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//35 avtalsområdet//NN|NEU|SIN|DEF|NOM//nmod//28 .//MAD//punct//18
Bakgrund;En//DT|UTR|SIN|IND//det//38 förutsättning//NN|UTR|SIN|IND|NOM//conj//18 för//PP//case//40 reformen//NN|UTR|SIN|DEF|NOM//nmod//38 var//VB|PRT|AKT//cop//47 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//47 några//DT|UTR/NEU|PLU|IND//det//44 år//NN|NEU|PLU|IND|NOM//obl//46 tidigare//AB|KOM//advmod//46 införda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//47 systemet//NN|NEU|SIN|DEF|NOM//nsubj//38 med//PP//case//49 ramanslag//NN|NEU|PLU|IND|NOM//nmod//47 ,//MID//punct//38 varigenom//HA//advmod//55 en//DT|UTR|SIN|IND//det//54 tydlig//JJ|POS|UTR|SIN|IND|NOM//amod//54 gräns//NN|UTR|SIN|IND|NOM//nsubj:pass//55 drogs//VB|PRT|SFO//acl:relcl//38 mellan//PP//case//60 riksdagens//NN|UTR|SIN|DEF|GEN//nmod:poss//60 och//KN//cc//59 regeringens//NN|UTR|SIN|DEF|GEN//conj//57 ansvar//NN|NEU|SIN|IND|NOM//obl//55 för//PP//case//64 den//DT|UTR|SIN|DEF//det//64 totala//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//64 utgiftsutvecklingen//NN|UTR|SIN|DEF|NOM//nmod//60 och//KN//cc//67 parternas//NN|UTR|PLU|DEF|GEN//nmod:poss//67 ansvar//NN|NEU|SIN|IND|NOM//conj//64 för//PP//case//71 en//DT|UTR|SIN|IND//det//71 ändamålsenlig//JJ|POS|UTR|SIN|IND|NOM//amod//71 lönebildning//NN|UTR|SIN|IND|NOM//nmod//67 .//MAD//punct//38
Bakgrund;Det//DT|NEU|SIN|DEF//det//74 ansvar//NN|NEU|SIN|IND|NOM//conj//38 som//HP|-|-|-//obl//82 riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//82 och//KN//cc//78 regeringen//NN|UTR|SIN|DEF|NOM//conj//76 i//PP//advmod//82 dag//NN|UTR|SIN|IND|NOM//fixed//79 har//VB|PRS|AKT//aux//82 kommer//VB|PRS|AKT//acl:relcl//74 till//PP//compound:prt//82 uttryck//NN|NEU|SIN|IND|NOM//fixed//83 genom//PP//mark//90 att//SN//mark//90 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//90 via//PP//case//89 rambudgeteringen//NN|UTR|SIN|DEF|NOM//obl//90 anger//VB|PRS|AKT//advcl//82 de//DT|UTR/NEU|PLU|DEF//det//93 finansiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//93 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//90 för//PP//case//96 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//96 arbetsgivarpolitik//NN|UTR|SIN|IND|NOM//obl//90 .//MAD//punct//18
Bakgrund;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//9 har//VB|PRS|AKT//aux//9 i//PP//case//5 8//RG|NOM//nummod//4 §//NN|AN//nmod//5 verksförordningen//NN|UTR|SIN|DEF|NOM//obl//9 (//PAD//punct//5 1995:1322//RG|NOM//appos//5 )//PAD//punct//7 förtydligat//VB|SUP|AKT//ROOT//9 myndighetschefernas//NN|UTR|PLU|DEF|GEN//nmod:poss//11 ansvar//NN|NEU|SIN|IND|NOM//obj//9 för//PP//case//13 arbetsgivarpolitiken//NN|UTR|SIN|DEF|NOM//nmod//11 i//PP//case//15 staten//NN|UTR|SIN|DEF|NOM//nmod//13 .//MAD//punct//9
Bakgrund;De//DT|UTR/NEU|PLU|DEF//det//19 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 myndigheternas//NN|UTR|PLU|DEF|GEN//nmod:poss//20 chefer//NN|UTR|PLU|IND|NOM//obj//9 skall//VB|PRS|AKT//aux//24 dels//KN//advmod//24  //_SP////22 ansvara//VB|INF|AKT//conj//9 för//PP//case//26 arbetsgivarpolitiken//NN|UTR|SIN|DEF|NOM//obl//24 vid//PP//case//30 den//DT|UTR|SIN|DEF//det//30 egna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//30 myndigheten//NN|UTR|SIN|DEF|NOM//nmod//26 och//KN//cc//32 företräda//VB|INF|AKT//conj//9 myndigheten//NN|UTR|SIN|DEF|NOM//obj//32 som//KN//mark//35 arbetsgivare//NN|UTR|SIN|IND|NOM//obl//32 ,//MID//punct//9 dels//KN//advmod//40  //_SP////37 i//PP//case//40 samverkan//NN|UTR|SIN|IND|NOM//obl//9 med//PP//case//43 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 myndighetschefer//NN|UTR|PLU|IND|NOM//nmod//40 utveckla//VB|INF|AKT//conj//9 och//KN//cc//46 samordna//VB|INF|AKT//conj//44 den//DT|UTR|SIN|DEF//det//49 statliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//49 arbetsgivarpolitiken//NN|UTR|SIN|DEF|NOM//obj//46 .//MAD//punct//9
Bakgrund;Vidare//AB|KOM//advmod//54 skall//VB|PRS|AKT//aux//54 chefen//NN|UTR|SIN|DEF|NOM//nsubj//54 se//VB|INF|AKT//parataxis//9 till//PL//compound:prt//54 att//SN//mark//61 de//DT|UTR/NEU|PLU|DEF//det//58 anställda//NN|UTR|PLU|IND|NOM//nsubj//61 är//VB|PRS|AKT//cop//61 väl//AB|POS//advmod//61 förtrogna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ccomp//54 med//PP//case//63 målen//NN|NEU|PLU|DEF|NOM//obl//61 för//PP//case//65 verksamheten//NN|UTR|SIN|DEF|NOM//nmod//63 samt//KN//cc//67 skapa//VB|INF|AKT//conj//54 goda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//69 arbetsförhållanden//NN|NEU|PLU|IND|NOM//obj//67 och//KN//cc//71 ta//VB|INF|AKT//conj//54 till//PP//compound:prt//71 vara//NN|-|-|-|-//obj//71 och//KN//cc//75 utveckla//VB|INF|AKT//conj//54 de//DT|UTR/NEU|PLU|DEF//det//77 anställdas//PC|PRF|UTR/NEU|PLU|IND/DEF|GEN//nmod:poss//78 kompetens//NN|UTR|SIN|IND|NOM//obj//75 och//KN//cc//80 erfarenhet//NN|UTR|SIN|IND|NOM//conj//78 .//MAD//punct//54

Uppdraget;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 uppdrag//NN|NEU|SIN|IND|NOM//nsubj//5 har//VB|PRS|AKT//aux//5 varit//VB|SUP|AKT//cop//5 att//IE//mark//5 utvärdera//VB|INF|AKT//ROOT//5 den//DT|UTR|SIN|DEF//det//8 arbetsgivarpolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//8 reformen//NN|UTR|SIN|DEF|NOM//obj//5 och//KN//punct//5 därvid//AB//advmod//5
