Sammanfattning av uppdraget;En//DT|UTR|SIN|IND//det//1 utredning//NN|UTR|SIN|IND|NOM//nsubj//3 skall//VB|PRS|AKT//aux//3 se//VB|INF|AKT//ROOT//3 över//PL//case//6 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 frågor//NN|UTR|PLU|IND|NOM//obl//3 med//PP//case//8 anknytning//NN|UTR|SIN|IND|NOM//nmod//6 till//PP//case//11 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 adoptioner//NN|UTR|PLU|IND|NOM//nmod//8 .//MAD//punct//3
Sammanfattning av uppdraget;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//4 skall//VB|PRS|AKT//aux//4 bl.a.//AB|AN//advmod//4 –//RG|NOM//punct//4 beskriva//VB|INF|AKT//ROOT//4 den//DT|UTR|SIN|DEF//det//7 internationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//7 adoptionsverksamheten//NN|UTR|SIN|DEF|NOM//obj//4 ,//MID//punct//4 –//PAD//punct//10 pröva//VB|INF|AKT//conj//4 om//SN//mark//13 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//13 går//VB|PRS|AKT//ccomp//10 att//IE//mark//15 stärka//VB|INF|AKT//csubj//13 barnets//NN|NEU|SIN|DEF|GEN//nmod:poss//17 rätt//NN|UTR|SIN|IND|NOM//obj//15 i//PP//case//19 adoptionsprocessen//NN|UTR|SIN|DEF|NOM//nmod//17 ,//MID//punct//10 –//PAD//punct//22 anvisa//VB|INF|AKT//conj//4 former//NN|UTR|PLU|IND|NOM//obj//22 för//PP//mark//26 att//IE//mark//26 förbättra//VB|INF|AKT//advcl//22 hemutredningarna//NN|UTR|PLU|DEF|NOM//obj//26 i//PP//case//29 syfte//NN|NEU|SIN|IND|NOM//obl//26 att//IE//mark//31 tillförsäkra//VB|INF|AKT//advcl//26 adoptivbarnen//NN|NEU|PLU|DEF|NOM//obj//31 så//AB//advmod//34 goda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 förhållanden//NN|NEU|PLU|IND|NOM//obj//31 som//KN//mark//37 möjligt//JJ|POS|NEU|SIN|IND|NOM//acl//35 i//PP//case//41 det//DT|NEU|SIN|DEF//det//41 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//41 hemmet//NN|NEU|SIN|DEF|NOM//obl//37 ,//MID//punct//22 –//PAD//punct//44 pröva//VB|INF|AKT//conj//4 om//SN//case//48 det//DT|NEU|SIN|DEF//det//48 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//48 systemet//NN|NEU|SIN|DEF|NOM//obl//44 för//PP//case//51 psykosocialt//JJ|POS|NEU|SIN|IND|NOM//amod//51 stöd//NN|NEU|SIN|IND|NOM//nmod//48 och//KN//cc//53 rådgivning//NN|UTR|SIN|IND|NOM//conj//51 tillgodoser//VB|PRS|AKT//obj//44 adoptivfamiljernas//NN|UTR|PLU|DEF|GEN//nmod:poss//56 behov//NN|NEU|SIN|IND|NOM//obj//54 ,//MID//punct//44 –//PAD//punct//59 analysera//VB|INF|AKT//conj//4 processen//NN|UTR|SIN|DEF|NOM//obj//59 för//PP//case//62 auktorisation//NN|UTR|SIN|IND|NOM//obl//59 av//PP//case//64 adoptionsorganisationer//NN|UTR|PLU|IND|NOM//nmod//62 och//KN//cc//67 vid//PP//case//67 behov//NN|NEU|SIN|IND|NOM//conj//64 föreslå//VB|INF|AKT//conj//59 förändringar//NN|UTR|PLU|IND|NOM//obj//68 av//PP//case//71 regelsystemet//NN|NEU|SIN|DEF|NOM//nmod//69 ,//MID//punct//59 –//PAD//punct//74 se//VB|IMP|AKT//conj//4 över//PL//case//76 organisationen//NN|UTR|SIN|DEF|NOM//obl//74 för//PP//case//79 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//79 nämnd//NN|UTR|SIN|IND|NOM//nmod//76 för//PP//case//82 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//82 adoptionsfrågor//NN|UTR|PLU|IND|NOM//nmod//79 (//PAD//punct//82 NIA//PM|NOM//appos//82 )//PAD//punct//82 ,//MID//punct//74 –//PAD//punct//88 analysera//VB|INF|AKT//conj//4 kostnadsfrågor//NN|UTR|PLU|IND|NOM//obj//88 i//PP//case//94 samband//NN|NEU|SIN|IND|NOM//fixed//90 med//PP//fixed//90 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//94 adoptioner//NN|UTR|PLU|IND|NOM//obl//88 samt//KN//cc//97 –//RG|NOM//punct//97 föreslå//VB|INF|AKT//conj//88 författningsändringar//NN|UTR|PLU|IND|NOM//obj//97 eller//KN//cc//101 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//101 åtgärder//NN|UTR|PLU|IND|NOM//conj//98 som//HP|-|-|-//obj//105 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//104 arbete//NN|NEU|SIN|IND|NOM//nsubj//105 föranleder//VB|PRS|AKT//acl:relcl//101 .//MAD//punct//4

Bakgrund;Inledning//NN|UTR|SIN|IND|NOM//ROOT//0
Bakgrund;Cirka//AB//advmod//1 1//RG|NOM//nummod//2 000//RG|NOM//nummod//3 barn//NN|NEU|PLU|IND|NOM//nsubj:pass//4 adopteras//VB|PRS|SFO//ROOT//4 från//PP//case//6 utlandet//NN|NEU|SIN|DEF|NOM//obl//4 varje//DT|UTR/NEU|SIN|IND//det//8 år//NN|NEU|SIN|IND|NOM//obl//4 .//MAD//punct//4
Bakgrund;Verksamheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//11 regleras//VB|PRS|SFO//parataxis//4 huvudsakligen//AB//advmod//11 genom//PP//case//14 lagen//NN|UTR|SIN|DEF|NOM//obl//11 (//PAD//punct//16 1997:192//RG|NOM//appos//14 )//PAD//punct//16 om//PP//case//20 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//20 adoptionsförmedling//NN|UTR|SIN|IND|NOM//obl//11 .//MAD//punct//11
Bakgrund;Den//DT|UTR|SIN|DEF//det//24 fortlöpande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 utvecklingen//NN|UTR|SIN|DEF|NOM//appos//11 –//RG|NOM//punct//24 både//KN//cc//28 i//PP//case//28 Sverige//PM|NOM//conj//24 och//KN//cc//30 utomlands//AB//conj//28 –//RG|NOM//punct//32 gör//VB|PRS|AKT//conj//4 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//32 nu//AB//advmod//35 lämpligt//AB|POS//xcomp//32 att//IE//mark//37 ompröva//VB|INF|AKT//acl//35 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 delar//NN|UTR|PLU|IND|NOM//obj//37 av//PP//case//41 regelsystemet//NN|NEU|SIN|DEF|NOM//nmod//39 för//PP//case//44 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 adoptioner//NN|UTR|PLU|IND|NOM//nmod//41 .//MAD//punct//4
Bakgrund;Konsekvenser//NN|UTR|PLU|IND|NOM//ROOT//0 av//PP//case//4 1993//RG|NOM//nummod//3 års//NN|NEU|SIN|IND|GEN//nmod:poss//4 Haagkonvention//NN|UTR|SIN|IND|NOM//nmod//0 om//PP//case//6 skydd//NN|NEU|SIN|IND|NOM//nmod//4 av//PP//case//8 barn//NN|NEU|SIN|IND|NOM//nmod//6 och//KN//cc//10 samarbete//NN|NEU|SIN|IND|NOM//conj//8 vid//PP//case//13 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 adoptioner//NN|UTR|PLU|IND|NOM//nmod//4
Bakgrund;År//NN|NEU|SIN|IND|NOM//nmod//1 1997//RG|NOM//obl//2 genomfördes//VB|PRT|SFO//ROOT//2 ett//DT|NEU|SIN|IND//det//4 antal//NN|NEU|SIN|IND|NOM//nmod//5 förändringar//NN|UTR|PLU|IND|NOM//nsubj:pass//2 av//PP//case//9 den//DT|UTR|SIN|DEF//det//9 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 adoptionslagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//5 i//PP//mark//15 samband//NN|NEU|SIN|IND|NOM//fixed//10 med//PP//fixed//10 att//SN//mark//15 Sverige//PM|NOM//nsubj//15 tillträdde//VB|PRT|AKT//advcl//2 1993//RG|NOM//nummod//17 års//NN|NEU|SIN|IND|GEN//nmod:poss//18 Haagkonvention//NN|UTR|SIN|IND|NOM//obj//15 om//PP//case//20 skydd//NN|NEU|SIN|IND|NOM//nmod//18 av//PP//case//22 barn//NN|NEU|SIN|IND|NOM//nmod//20 och//KN//cc//24 samarbete//NN|NEU|SIN|IND|NOM//conj//22 vid//PP//case//27 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 adoptioner//NN|UTR|PLU|IND|NOM//obl//15 .//MAD//punct//2
Bakgrund;Konventionen//NN|UTR|SIN|DEF|NOM//nsubj//30 trädde//VB|PRT|AKT//parataxis//2 för//PP//case//33 Sveriges//PM|GEN//nmod:poss//33 del//NN|UTR|SIN|IND|NOM//obl//30 i//PP//advmod//30 kraft//NN|UTR|SIN|IND|NOM//fixed//34 den//DT|UTR|SIN|DEF//det//37 1//RO|NOM//nummod//38 september//NN|UTR|SIN|IND|NOM//obl//30 1997//RG|NOM//nummod//38 .//MAD//punct//30
