Statsbidragen till kommuner och landsting En kartläggning och analys (2003:5);I//PP//case//1 sammanfattningen//NN|UTR|SIN|DEF|NOM//obl//2 återges//VB|PRS|SFO//ROOT//2 huvuddelen//NN|UTR|SIN|DEF|NOM//nsubj:pass//2 av//PP//case//6 rapportens//NN|UTR|SIN|DEF|GEN//nmod:poss//6 kapitel//NN|NEU|SIN|IND|NOM//nmod//3 1//RG|NOM//nummod//6 och//KN//cc//10 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 kapitel//NN|NEU|SIN|IND|NOM//conj//3 6//RG|NOM//nummod//10 .//MAD//punct//2


1.1 Uppdraget till statskontoret;Utjämningskommittén//NN|UTR|SIN|DEF|NOM//nsubj//1 gav//VB|PRT|AKT//ROOT//1 i//PP//compound:prt//1 augusti//NN|UTR|SIN|IND|NOM//obl//4 2002//RG|NOM//nummod//5 Statskontoret//NN|NEU|SIN|DEF|NOM//obl//1 i//PP//case//7 uppdrag//NN|NEU|SIN|IND|NOM//obl//1 att//IE//mark//9 kartlägga//VB|INF|AKT//acl//7 och//KN//cc//11 analysera//VB|INF|AKT//conj//9 statsbidragsgivningen//NN|UTR|SIN|DEF|NOM//obj//11 till//PP//case//14 kommuner//NN|UTR|PLU|IND|NOM//obl//11 och//KN//cc//16 landsting//NN|NEU|PLU|IND|NOM//conj//14 samt//KN//cc//20 vilka//HD|UTR/NEU|PLU|IND//det//20 eventuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 förändringar//NN|UTR|PLU|IND|NOM//conj//1 av//PP//case//23 det//DT|NEU|SIN|DEF//det//23 generella//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//20 och//KN//cc//27 de//DT|UTR/NEU|PLU|DEF//det//27 specialdestinerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//27 statsbidragen//NN|NEU|PLU|DEF|NOM//conj//20 som//HP|-|-|-//nsubj//29 skett//VB|SUP|AKT//acl:relcl//27 sedan//PP//case//32 år//NN|NEU|SIN|IND|NOM//nmod//32 1993//RG|NOM//obl//29 .//MAD//punct//1
1.1 Uppdraget till statskontoret;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//4 med//PP//case//3 Statskontorets//NN|NEU|SIN|DEF|GEN//nmod:poss//3 uppdrag//NN|NEU|SIN|IND|NOM//nmod//0 är//VB|PRS|AKT//ROOT//4 att//IE//mark//6 beskriva//VB|INF|AKT//xcomp//4 och//KN//cc//8 analysera//VB|INF|AKT//conj//6
1.1 Uppdraget till statskontoret;•//PP//case//2 vilka//HD|UTR/NEU|PLU|IND//det//2 statsbidrag//NN|NEU|PLU|IND|NOM//ROOT//2 som//HP|-|-|-//nsubj//4 utgår//VB|PRS|AKT//acl:relcl//2 till//PP//case//6 kommuner//NN|UTR|PLU|IND|NOM//obl//4 och//KN//cc//8 landsting//NN|NEU|SIN|IND|NOM//conj//6 ,//MID//punct//2
1.1 Uppdraget till statskontoret;•//PP//ROOT//0 de//DT|UTR/NEU|PLU|DEF//det//3 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 bidragens//NN|NEU|PLU|DEF|GEN//nmod:poss//4 syfte//NN|NEU|SIN|IND|NOM//nsubj:pass//0 ,//MID//punct//6 omfattning//NN|UTR|SIN|IND|NOM//conj//4 ,//MID//punct//8 konstruktion//NN|UTR|SIN|IND|NOM//conj//4 och//KN//cc//10 finansiering//NN|UTR|SIN|IND|NOM//conj//4 ,//MID//punct//4
1.1 Uppdraget till statskontoret;•//NN|UTR|SIN|IND|NOM//case//2 bidragens//NN|NEU|PLU|DEF|GEN//nmod:poss//2 fördelning//NN|UTR|SIN|IND|NOM//ROOT//2 på//PP//case//5 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 kommuner//NN|UTR|PLU|IND|NOM//nmod//2 och//KN//cc//7 landsting//NN|NEU|SIN|IND|NOM//conj//5 ,//MID//punct//2
1.1 Uppdraget till statskontoret;•//NN|UTR|SIN|IND|NOM//nsubj//15 om//PP//case//2 några//PN|UTR/NEU|PLU|IND|SUB/OBJ//nmod//0 av//PP//case//4 bidragen//NN|NEU|PLU|DEF|NOM//nmod//2 (//PAD//punct//4 inklusive//PP//case//9 den//DT|UTR|SIN|DEF//det//9 åldersrelaterade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//9 delen//NN|UTR|SIN|DEF|NOM//nmod//4 av//PP//case//13 det//DT|NEU|SIN|DEF//det//13 generella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 statsbidraget//NN|NEU|SIN|DEF|NOM//nmod//9 )//PAD//punct//2 har//VB|PRS|AKT//ROOT//15 en//DT|UTR|SIN|IND//det//17 konstruktion//NN|UTR|SIN|IND|NOM//obj//15 som//HP|-|-|-//nsubj//19 påverkar//VB|PRS|AKT//acl:relcl//17 utjämningen//NN|UTR|SIN|DEF|NOM//obj//19 mellan//PP//case//22 kommuner//NN|UTR|PLU|IND|NOM//nmod//20 och//KN//cc//24 landsting//NN|NEU|SIN|IND|NOM//conj//22 samt//KN//cc//26 omfattningen//NN|UTR|SIN|DEF|NOM//conj//22 av//PP//case//30 denna//DT|UTR|SIN|DEF//det//30 eventuella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//30 påverkan//NN|UTR|SIN|IND|NOM//nmod//26 .//MAD//punct//15
1.1 Uppdraget till statskontoret;I//PP//case//1 uppdraget//NN|NEU|SIN|DEF|NOM//obl//2 ingår//VB|PRS|AKT//ROOT//2 även//AB//advmod//2 att//IE//mark//5 bedöma//VB|INF|AKT//xcomp//2 möjligheterna//NN|UTR|PLU|DEF|NOM//obj//5 att//IE//mark//8 inordna//VB|INF|AKT//acl//6 ytterligare//AB|KOM//advmod//10 specialdestinerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//11 statsbidrag//NN|NEU|PLU|IND|NOM//obj//8 i//PP//case//15 det//DT|NEU|SIN|DEF//det//15 generella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//15 bidraget//NN|NEU|SIN|DEF|NOM//obl//8 .//MAD//punct//2
1.1 Uppdraget till statskontoret;Specialdestinerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//18 statsbidrag//NN|NEU|PLU|IND|NOM//nsubj//26 som//HP|-|-|-//nsubj//20 tillkommit//VB|SUP|AKT//acl:relcl//18 sedan//PP//case//23 år//NN|NEU|SIN|IND|NOM//nmod//23 1993//RG|NOM//obl//20 skall//VB|PRS|AKT//aux//26 särskilt//AB//advmod//26 uppmärksammas//VB|INF|SFO//parataxis//2 .//MAD//punct//26
