Utredningsuppdraget;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//5 har//VB|PRS|AKT//aux//5 enligt//PP//case//4 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//4 direktiv//NN|NEU|PLU|IND|NOM//obl//5 haft//VB|SUP|AKT//ROOT//5 i//PP//compound:prt//5 uppdrag//NN|NEU|SIN|IND|NOM//fixed//6 att//IE//mark//9 lämna//VB|INF|AKT//xcomp//5 förslag//NN|NEU|SIN|IND|NOM//obj//9 till//PP//case//17 hur//HA//advmod//17 Europaparlamentets//NN|NEU|SIN|DEF|GEN//nmod:poss//16 och//KN//cc//15 rådets//NN|NEU|SIN|DEF|GEN//conj//13 direktiv//NN|NEU|PLU|IND|NOM//nmod//17 2005/29//RG|NOM//obl//9 ///MID//cc//19 EG//PM|NOM//conj//17 av//PP//case//23 den//DT|UTR|SIN|DEF//det//23 11//RG|NOM//nummod//23 maj//NN|UTR|SIN|IND|NOM//obl//9 2005//RG|NOM//nummod//23 om//PP//case//27 otillbörliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 affärsmetoder//NN|UTR|PLU|IND|NOM//obl//9 som//HP|-|-|-//nsubj:pass//29 tillämpas//VB|PRS|SFO//acl:relcl//27 av//PP//case//31 näringsidkare//NN|UTR|PLU|IND|NOM//obl:agent//29 gentemot//PP//case//33 konsumenter//NN|UTR|PLU|IND|NOM//nmod//31 på//PP//case//37 den//DT|UTR|SIN|DEF//det//37 inre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//37 marknaden//NN|UTR|SIN|DEF|NOM//nmod//33 och//KN//cc//40 om//PP//case//40 ändring//NN|UTR|SIN|IND|NOM//nsubj:pass//80 av//PP//case//44 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//44 direktiv//NN|NEU|SIN|IND|NOM//amod//44 84/450//RG|NOM//nmod//40 ///MID//cc//46 EEG//NN|AN//conj//44 och//KN//cc//48 Europaparlamentets//NN|NEU|SIN|DEF|GEN//conj//44 och//KN//cc//52 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//52 direktiv//NN|NEU|SIN|IND|NOM//amod//52 97/7//RG|NOM//conj//48 ///MID//cc//54 EG//PM|NOM//conj//48 ,//MID//punct//56 98/27//RG|NOM//conj//44 ///MID//cc//58 EG//PM|NOM//nmod//56 och//KN//cc//60 2002/65//RG|NOM//conj//58 ///MID//cc//62 EG//PM|NOM//conj//44 samt//KN//cc//67 Europaparlamentets//NN|NEU|SIN|DEF|GEN//nmod:poss//67 och//KN//cc//66 rådets//NN|NEU|SIN|DEF|GEN//conj//64 förordning//NN|UTR|SIN|IND|NOM//conj//40 (//PAD//punct//69 EG//PM|NOM//appos//67 )//PAD//punct//69 nr//NN|AN//nmod//72 2006/2004//RG|NOM//nmod//40 (//PAD//punct//74 direktivet//NN|NEU|SIN|DEF|NOM//appos//40 om//PP//case//77 otillbörliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//77 affärsmetoder//NN|UTR|PLU|IND|NOM//nmod//74 )//PAD//punct//74 skall//VB|PRS|AKT//aux//80 genomföras//VB|INF|SFO//advcl//5 i//PP//case//83 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//83 rätt//NN|UTR|SIN|IND|NOM//obl//80 .//MAD//punct//5
Utredningsuppdraget;I//PP//case//1 uppdraget//NN|NEU|SIN|DEF|NOM//obl//3 har//VB|PRS|AKT//aux//3 ingått//VB|SUP|AKT//ROOT//3 att//IE//mark//5 lägga//VB|INF|AKT//xcomp//3 fram//PL//compound:prt//5 förslag//NN|NEU|PLU|IND|NOM//obj//5 till//PP//case//10 de//DT|UTR/NEU|PLU|DEF//det//10 författningsändringar//NN|UTR|PLU|IND|NOM//obl//5 som//HP|-|-|-//nsubj//12 bedöms//VB|PRS|SFO//acl:relcl//10 vara//VB|INF|AKT//cop//14 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//17 och//KN//cc//16 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//14 åtgärder//NN|UTR|PLU|IND|NOM//obj//5 som//HP|-|-|-//obl//21 direktivet//NN|NEU|SIN|DEF|NOM//nsubj//21 kan//VB|PRS|AKT//aux//21 ge//VB|INF|AKT//acl:relcl//17 anledning//NN|UTR|SIN|IND|NOM//obj//21 till//PP//case//18 .//MAD//punct//3
Utredningsuppdraget;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//29 har//VB|PRS|AKT//aux//29 därutöver//AB//advmod//29 varit//VB|SUP|AKT//cop//29 fri//JJ|POS|UTR|SIN|IND|NOM//parataxis//3 att//IE//mark//31 lämna//VB|INF|AKT//advcl//29 de//DT|UTR/NEU|PLU|DEF//det//33 förslag//NN|NEU|PLU|IND|NOM//obj//31 i//PP//advmod//31 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//34 som//HA//mark//39 utredningsarbetet//NN|NEU|SIN|DEF|NOM//nsubj//39 kan//VB|PRS|AKT//aux//39 föranleda//VB|INF|AKT//advcl//31 .//MAD//punct//29
Utredningsuppdraget;I//PP//case//42 utredningsdirektiven//NN|NEU|PLU|DEF|NOM//obl//45 har//VB|PRS|AKT//aux//45 särskilt//AB//advmod//45 framhållits//VB|SUP|SFO//amod//46 vikten//NN|UTR|SIN|DEF|NOM//obl//29 av//PP//mark//56 att//SN//mark//56 genomförandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//56 av//PP//case//51 direktivet//NN|NEU|SIN|DEF|NOM//nmod//49 så//AB//advmod//53 långt//AB|POS//advmod//56 som//KN//mark//55 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//56 anpassas//VB|INF|SFO//acl//46 till//PP//case//60 den//DT|UTR|SIN|DEF//det//60 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//60 lagstiftningen//NN|UTR|SIN|DEF|NOM//obl//56 på//PP//case//64 det//DT|NEU|SIN|DEF//det//64 marknadsrättsliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//64 området//NN|NEU|SIN|DEF|NOM//obl//56 .//MAD//punct//29

Gällande rätt;Marknadsföringslagen//NN|UTR|SIN|DEF|NOM//nsubj//4 (//PAD//punct//0 1995:450//RG|NOM//appos//0 )//PAD//punct//0 innehåller//VB|PRS|AKT//ROOT//4 den//DT|UTR|SIN|DEF//det//7 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//7 regleringen//NN|UTR|SIN|DEF|NOM//obj//4 av//PP//case//9 reklam//NN|UTR|SIN|IND|NOM//nmod//7 och//KN//cc//12 annan//JJ|POS|UTR|SIN|IND|NOM//amod//12 marknadsföring//NN|UTR|SIN|IND|NOM//conj//9 i//PP//case//15 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//15 rätt//NN|UTR|SIN|IND|NOM//obl//4 .//MAD//punct//4
Gällande rätt;Lagen//NN|UTR|SIN|DEF|NOM//nsubj//18 trädde//VB|PRT|AKT//parataxis//4 i//PP//advmod//18 kraft//NN|UTR|SIN|IND|NOM//fixed//19 den//DT|UTR|SIN|DEF//det//23 1//RO|NOM//nummod//23 januari//NN|UTR|SIN|IND|NOM//obl//18 1996//RG|NOM//nummod//23 då//HA//advmod//29 1975//RG|NOM//nummod//27 års//NN|NEU|SIN|IND|GEN//nmod:poss//28 marknadsföringslag//NN|NEU|SIN|IND|NOM//nsubj//29 upphörde//VB|PRT|AKT//acl:relcl//23 att//IE//mark//31 gälla//VB|INF|AKT//xcomp//29 och//KN//cc//33 syftar//VB|PRS|AKT//conj//31 till//PP//mark//36 att//IE//mark//36 främja//VB|INF|AKT//advcl//33 konsumenternas//NN|UTR|PLU|DEF|GEN//nmod:poss//40 och//KN//cc//39 näringslivets//NN|NEU|SIN|DEF|GEN//conj//37 intressen//NN|NEU|PLU|IND|NOM//obj//36 i//PP//case//44 samband//NN|NEU|SIN|IND|NOM//fixed//41 med//PP//fixed//41 marknadsföring//NN|UTR|SIN|IND|NOM//nmod//40 av//PP//case//46 produkter//NN|UTR|PLU|IND|NOM//nmod//44 och//KN//cc//49 att//IE//mark//49 motverka//VB|INF|AKT//conj//36 marknadsföring//NN|UTR|SIN|IND|NOM//obj//49 som//HP|-|-|-//nsubj//53 är//VB|PRS|AKT//cop//53 otillbörlig//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//50 mot//PP//case//55 konsumenter//NN|UTR|PLU|IND|NOM//obl//53 och//KN//cc//57 näringsidkare//NN|UTR|PLU|IND|NOM//conj//55 .//MAD//punct//18
Gällande rätt;Lagen//NN|UTR|SIN|DEF|NOM//nsubj//1 bygger//VB|PRS|AKT//ROOT//1 på//PP//case//4 två//RG|NOM//nummod//4 generalklausuler//NN|UTR|PLU|IND|NOM//obl//1 om//PP//case//6 otillbörlighet//NN|UTR|SIN|IND|NOM//nmod//4 i//PP//case//8 marknadsföring//NN|UTR|SIN|IND|NOM//nmod//6 (//PAD//punct//1 4//RG|NOM//nummod//11 §//NN|AN//nmod//13 första//RO|NOM//amod//13 stycket//NN|NEU|SIN|DEF|NOM//obl//1 )//PAD//punct//13 respektive//AB//cc//16 informationsskyldighet//NN|UTR|SIN|IND|NOM//conj//13 (//PAD//punct//16 4//RG|NOM//nummod//19 §//NN|AN//nmod//21 andra//RO|NOM//amod//21 stycket//NN|NEU|SIN|DEF|NOM//appos//16 )//PAD//punct//16 ,//MID//punct//25 vilka//HP|UTR/NEU|PLU|IND//nsubj:pass//25 kompletteras//VB|PRS|SFO//advcl//1 med//PP//case//28 en//DT|UTR|SIN|IND//det//28 katalog//NN|UTR|SIN|IND|NOM//obl//25 med//PP//case//31 specifika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 regler//NN|UTR|PLU|IND|NOM//nmod//28 rörande//PP//case//34 bl.a.//AB|AN//advmod//34 reklamidentifiering//NN|UTR|SIN|IND|NOM//nmod//28 ,//MID//punct//37 vilseledande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//37 reklam//NN|UTR|SIN|IND|NOM//conj//34 ,//MID//punct//40 jämförande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//40 reklam//NN|UTR|SIN|IND|NOM//conj//34 ,//MID//punct//43 obeställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//43 produkter//NN|UTR|PLU|IND|NOM//conj//34 ,//MID//punct//45 fakturaskojeri//NN|NEU|PLU|IND|NOM//conj//34 ,//MID//punct//47 förmånserbjudanden//NN|NEU|PLU|IND|NOM//conj//34 ,//MID//punct//49 garantier//NN|UTR|PLU|IND|NOM//conj//34 och//KN//cc//52 obeställd//JJ|POS|UTR|SIN|IND|NOM//amod//52 reklam//NN|UTR|SIN|IND|NOM//conj//34 (//PAD//punct//52 5–13//NN|UTR|SIN|IND|NOM//appos//52 d//NN|NEU|SIN|IND|NOM//case//57 §//NN|AN//nmod//57 §//NN|AN//nmod//54 )//PAD//punct//52 .//MAD//punct//1
Gällande rätt;Därutöver//AB//advmod//61 finns//VB|PRS|SFO//conj//1 i//PP//case//63 17//RG|NOM//nummod//66 och//KN//cc//63 18//RG|NOM//nummod//63 §//NN|AN//nmod:poss//67 §//NN|AN//nmod//69 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//69 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//61 med//PP//case//71 förbud//NN|NEU|SIN|IND|NOM//nmod//69 mot//PP//case//73 marknadsföring//NN|UTR|SIN|IND|NOM//nmod//69 av//PP//case//76 otjänliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//76 produkter//NN|UTR|PLU|IND|NOM//nmod//73 .//MAD//punct//61
Gällande rätt;Marknadsföringslagen//NN|UTR|SIN|DEF|NOM//nsubj//1 genomför//VB|PRS|AKT//ROOT//1 sedan//PP//advmod//1 tidigare//AB|KOM//advmod//1 helt//AB|POS//advmod//1 eller//KN//cc//9 delvis//AB//advmod//9 ett//DT|NEU|SIN|IND//det//8 antal//NN|NEU|SIN|IND|NOM//nmod//9 EG-direktiv//NN|NEU|PLU|IND|NOM//conj//4 ,//MID//punct//1 bl.a.//AB|AN//advmod//13 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//13 direktiv//NN|NEU|PLU|IND|NOM//amod//14 84/450//RG|NOM//conj//1 ///MID//cc//16 EEG//NN|AN//conj//14 av//PP//case//20 den//DT|UTR|SIN|DEF//det//20 10//RG|NOM//nummod//20 september//NN|UTR|SIN|IND|NOM//obl//1 1984//RG|NOM//nummod//20 om//PP//case//26 vilseledande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//26 och//KN//cc//25 jämförande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//23 reklam//NN|UTR|SIN|IND|NOM//obl//1 .//MAD//punct//1
