Sammanfattning;Sammanfattningsvis//AB//advmod//1 innebär//VB|PRS|AKT//ROOT//1 det//PN|NEU|SIN|DEF|SUB/OBJ//det//3 anförda//PC|PRF|UTR/NEU|SIN|DEF|NOM//obj//1 att//SN//mark//6 vi//PN|UTR|PLU|DEF|SUB//nsubj//6 funnit//VB|SUP|AKT//ccomp//1 att//SN//mark//16 en//DT|UTR|SIN|IND//det//10 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//10 manual//NN|UTR|SIN|IND|NOM//nsubj//16 i//PP//case//13 humanitär//JJ|POS|UTR|SIN|IND|NOM//amod//13 rätt//NN|UTR|SIN|IND|NOM//nmod//10 bör//VB|PRS|AKT//aux//16 kunna//VB|INF|AKT//aux//16 möta//VB|INF|AKT//ccomp//6 en//DT|UTR|SIN|IND//det//18 rad//NN|UTR|SIN|IND|NOM//nmod//20 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 behov//NN|NEU|PLU|IND|NOM//obj//16 som//HP|-|-|-//obl//25 sammantaget//PC|PRF|NEU|SIN|IND|NOM//nsubj//25 är//VB|PRS|AKT//cop//25 så//AB//advmod//25 starka//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//20 att//SN//mark//29 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//29 väl//AB|POS//advmod//29 motiverar//VB|PRS|AKT//advcl//25 att//SN//mark//41 arbete//NN|NEU|SIN|IND|NOM//nsubj:pass//41 med//PP//mark//34 att//IE//mark//34 ta//VB|INF|AKT//acl//31 fram//PL//compound:prt//34 ett//DT|NEU|SIN|IND//det//37 utkast//NN|NEU|SIN|IND|NOM//obj//34 till//PP//case//40 en//DT|UTR|SIN|IND//det//40 manual//NN|UTR|SIN|IND|NOM//obl//34 inleds//VB|PRS|SFO//ccomp//29 .//MAD//punct//1

9.3.2 Utformning;I//PP//case//2 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//2 direktiv//NN|NEU|PLU|IND|NOM//obl//3 sägs//VB|PRS|SFO//ROOT//3 att//SN//mark//7 om//SN//mark//7 vi//PN|UTR|PLU|DEF|SUB//nsubj//7 finner//VB|PRS|AKT//advcl//3 att//SN//mark//10 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//10 finns//VB|PRS|SFO//ccomp//7 behov//NN|NEU|SIN|IND|NOM//nsubj//10 av//PP//case//16 en//DT|UTR|SIN|IND//det//16 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//16 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//16 manual//NN|UTR|SIN|IND|NOM//nmod//11 i//PP//case//19 humanitär//JJ|POS|UTR|SIN|IND|NOM//amod//19 rätt//NN|UTR|SIN|IND|NOM//nmod//16 så//AB//advcl//24 ska//VB|PRS|AKT//aux//24 vi//PN|UTR|PLU|DEF|SUB//nsubj//24 också//AB//advmod//24 lämna//VB|INF|AKT//conj//7 förslag//NN|NEU|SIN|IND|NOM//obj//24 till//PP//case//28 en//DT|UTR|SIN|IND//det//28 sådan//JJ|POS|UTR|SIN|IND|NOM//nmod//25 .//MID//punct//7
9.3.2 Utformning;Som//HA//mark//31 framgår//VB|PRS|AKT//appos//7 av//PP//case//34 den//DT|UTR|SIN|DEF//det//34 redovisning//NN|UTR|SIN|IND|NOM//obl//31 vi//PN|UTR|PLU|DEF|SUB//nsubj//36 lämnat//VB|SUP|AKT//acl:relcl//34 för//PP//case//39 de//DT|UTR/NEU|PLU|DEF//det//39 manualer//NN|UTR|PLU|IND|NOM//obl//36 som//HP|-|-|-//nsubj:pass//41 tagits//VB|SUP|SFO//acl:relcl//39 fram//PL//compound:prt//41 i//PP//case//46 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 stater//NN|UTR|PLU|IND|NOM//obl//41 har//VB|PRS|AKT//parataxis//3 arbetet//NN|NEU|SIN|DEF|NOM//nsubj//47 med//PP//case//50 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//obl//47 i//PP//advmod//53 allmänhet//NN|UTR|SIN|IND|NOM//fixed//51 pågått//VB|SUP|AKT//acl:relcl//50 under//PP//case//56 lång//JJ|POS|UTR|SIN|IND|NOM//amod//56 tid//NN|UTR|SIN|IND|NOM//obl//53 .//MAD//punct//53
9.3.2 Utformning;Detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//59 framstår//VB|PRS|AKT//conj//3 också//AB//advmod//59 som//KN//mark//62 förståeligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//59 med//PP//case//68 hänsyn//NN|UTR|SIN|IND|NOM//fixed//63 till//PP//fixed//63 de//DT|UTR/NEU|PLU|DEF//det//68 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//68 rättsområden//NN|NEU|PLU|IND|NOM//obl//59 som//HP|-|-|-//nsubj:pass//71 behöver//VB|PRS|AKT//aux//71 täckas//VB|INF|SFO//acl:relcl//68 in//PL//compound:prt//71 i//PP//case//75 en//DT|UTR|SIN|IND//det//75 manual//NN|UTR|SIN|IND|NOM//obl//71 och//KN//cc//79 de//DT|UTR/NEU|PLU|DEF//det//79 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//79 ställningstaganden//NN|NEU|PLU|IND|NOM//conj//68 som//HP|-|-|-//nsubj:pass//81 krävs//VB|PRS|SFO//acl:relcl//79 i//PP//case//85 ofta//AB|POS//advmod//84 kontroversiella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//85 frågor//NN|UTR|PLU|IND|NOM//obl//81 .//MAD//punct//59
9.3.2 Utformning;Därtill//AB//advmod//96 kommer//VB|PRS|AKT//aux//96 att//SN//mark//96 innehållet//NN|NEU|SIN|DEF|NOM//nsubj:pass//96 i//PP//case//93 en//DT|UTR|SIN|IND//det//93 manual//NN|UTR|SIN|IND|NOM//nmod//90 knappast//AB|SUV//advmod//96 bör//VB|PRS|AKT//aux//96 slås//VB|INF|SFO//advcl//59 fast//PL//compound:prt//96 mer//AB|KOM//advmod//99 definitivt//AB|POS//advmod//96 innan//SN//mark//103 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//103 kunnat//VB|SUP|AKT//aux//103 testas//VB|INF|SFO//advcl//96 i//PP//case//105 utbildning//NN|UTR|SIN|IND|NOM//obl//103 och//KN//cc//107 övningar//NN|UTR|PLU|IND|NOM//conj//105 och//KN//cc//111 eventuell//JJ|POS|UTR|SIN|IND|NOM//amod//111 praktisk//JJ|POS|UTR|SIN|IND|NOM//amod//111 tillämpning//NN|UTR|SIN|IND|NOM//conj//105 .//MAD//punct//59
9.3.2 Utformning;Vi//PN|UTR|PLU|DEF|SUB//nsubj//114 har//VB|PRS|AKT//aux//119 mot//PP//case//117 den//DT|UTR|SIN|DEF//det//117 bakgrunden//NN|UTR|SIN|DEF|NOM//obl//119 inte//AB//advmod//119 uppfattat//VB|SUP|AKT//parataxis//59 vårt//PS|NEU|SIN|DEF//nmod:poss//121 uppdrag//NN|NEU|SIN|IND|NOM//obj//119 på//PP//case//124 det//DT|NEU|SIN|DEF//det//124 sättet//NN|NEU|SIN|DEF|NOM//obl//119 att//SN//mark//128 vi//PN|UTR|PLU|DEF|SUB//nsubj:pass//128 skulle//VB|PRT|AKT//aux//128 förväntas//VB|INF|SFO//ccomp//119 ta//VB|INF|AKT//xcomp//128 fram//PL//compound:prt//129 ett//DT|NEU|SIN|IND//det//137 fullständigt//JJ|POS|NEU|SIN|IND|NOM//amod//137 och//KN//cc//136 i//PP//case//135 detalj//NN|UTR|SIN|IND|NOM//obl//136 genomarbetat//PC|PRF|NEU|SIN|IND|NOM//amod//137 förslag//NN|NEU|SIN|IND|NOM//obj//129 till//PP//case//139 manual//NN|UTR|SIN|IND|NOM//nmod//137 .//MAD//punct//59
9.3.2 Utformning;Vad//HP|NEU|SIN|IND//dislocated//3 som//HP|-|-|-//nsubj//3 varit//VB|SUP|AKT//cop//3 möjligt//JJ|POS|NEU|SIN|IND|NOM//ROOT//3 inom//PP//case//8 ramen//NN|UTR|SIN|DEF|NOM//fixed//4 för//PP//fixed//4 de//DT|UTR/NEU|PLU|DEF//det//8 resurser//NN|UTR|PLU|IND|NOM//obl//3 och//KN//cc//11 den//DT|UTR|SIN|DEF//det//11 tid//NN|UTR|SIN|IND|NOM//conj//8 som//HP|-|-|-//obj//14 vi//PN|UTR|PLU|DEF|SUB//nsubj//14 haft//VB|SUP|AKT//acl:relcl//11 till//PP//case//17 vårt//PS|NEU|SIN|DEF//nmod:poss//17 förfogande//NN|NEU|SIN|IND|NOM//obl//14 är//VB|PRS|AKT//cop//3 endast//AB//advmod//18 att//SN//mark//23 sekretariatet//NN|NEU|SIN|DEF|NOM//nsubj//23 har//VB|PRS|AKT//aux//23 tagit//VB|SUP|AKT//csubj//3 fram//PL//compound:prt//23 ett//DT|NEU|SIN|IND//det//26 utkast//NN|NEU|SIN|IND|NOM//obj//23 till//PP//case//28 manual//NN|UTR|SIN|IND|NOM//obl//23 som//KN//mark//30 kommittén//NN|UTR|SIN|DEF|NOM//acl//28 som//KN//nsubj//34 helhet//NN|UTR|SIN|IND|NOM//nsubj//34 inte//AB//advmod//34 haft//VB|SUP|AKT//acl:relcl//30 tid//NN|UTR|SIN|IND|NOM//obj//34 att//IE//mark//37 ta//VB|INF|AKT//advcl//34 ställning//NN|UTR|SIN|IND|NOM//obj//37 till//PP//compound:prt//37 i//PP//case//42 alla//DT|UTR/NEU|PLU|IND/DEF//det//42 detaljer//NN|UTR|PLU|IND|NOM//obl//37 .//MID//punct//3
9.3.2 Utformning;Detta//DT|NEU|SIN|DEF//det//45 utkast//NN|NEU|SIN|IND|NOM//nsubj//47 är//VB|PRS|AKT//cop//47 bifogat//PC|PRF|NEU|SIN|IND|NOM//parataxis//3 som//KN//case//50 en//DT|UTR|SIN|IND//det//50 bilaga//NN|UTR|SIN|IND|NOM//obl//47 till//PP//case//52 betänkandet//NN|NEU|SIN|DEF|NOM//obl//47 (//PAD//punct//52 bilaga//NN|UTR|SIN|IND|NOM//appos//52 7//RG|NOM//nummod//54 ,//MID//punct//54 Svensk//JJ|POS|UTR|SIN|IND|NOM//amod//58 manual//NN|UTR|SIN|IND|NOM//conj//52 i//PP//case//62 humanitär//JJ|POS|UTR|SIN|IND|NOM//amod//62 rätt//NN|UTR|SIN|IND|NOM//amod//62 m.m.//AB|AN//nmod//58 )//PAD//punct//52 .//MAD//punct//47
9.3.2 Utformning;Vid//PP//case//2 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//2 överväganden//NN|NEU|PLU|IND|NOM//obl//12 om//PP//mark//9 hur//HA//advmod//9 en//DT|UTR|SIN|IND//det//6 manual//NN|UTR|SIN|IND|NOM//nsubj:pass//9 lämpligen//AB//advmod//9 bör//VB|PRS|AKT//aux//9 utformas//VB|INF|SFO//acl//2 har//VB|PRS|AKT//aux//12 vi//PN|UTR|PLU|DEF|SUB//nsubj//12 utgått//VB|SUP|AKT//ROOT//12 från//PP//case//16 de//DT|UTR/NEU|PLU|DEF//det//16 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 manualer//NN|UTR|PLU|IND|NOM//obl//12 som//HP|-|-|-//obj//19 vi//PN|UTR|PLU|DEF|SUB//nsubj//19 redovisat//VB|SUP|AKT//acl:relcl//16 ovan//AB//advmod//19 .//MAD//punct//12
9.3.2 Utformning;Av//PP//case//23 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//obl//24 framstår//VB|PRS|AKT//parataxis//12 Storbritanniens//PM|GEN//nsubj//24 som//KN//mark//29 den//DT|UTR|SIN|DEF//det//29 mest//AB|SUV//advmod//29 utförliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//xcomp//24 och//KN//cc//35 även//AB//advmod//33 i//PP//case//33 detalj//NN|UTR|SIN|IND|NOM//obl//35 mest//AB|SUV//advmod//35 utarbetade//PC|PRF|UTR/NEU|SIN|DEF|NOM//conj//29 manualen//NN|UTR|SIN|DEF|NOM//obj//35 .//MAD//punct//24
