Uppdraget;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 haft//VB|SUP|AKT//ROOT//2 i//PP//case//4 uppdrag//NN|NEU|SIN|IND|NOM//obj//2 att//IE//mark//6 se//VB|INF|AKT//acl//4 över//PL//compound:prt//6 det//DT|NEU|SIN|DEF//det//9 disciplinansvarssystem//NN|NEU|SIN|IND|NOM//obj//6 som//HP|-|-|-//nsubj//11 gäller//VB|PRS|AKT//acl:relcl//9 för//PP//case//13 Försvarsmakten//NN|UTR|SIN|DEF|NOM//obl//11 och//KN//cc//16 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 delar//NN|UTR|PLU|IND|NOM//conj//13 av//PP//case//18 totalförsvaret//NN|NEU|SIN|DEF|NOM//nmod//16 ,//MID//punct//21 och//KN//cc//21 föreslå//VB|INF|AKT//conj//2 de//DT|UTR/NEU|PLU|DEF//det//23 åtgärder//NN|UTR|PLU|IND|NOM//obj//21 som//HP|-|-|-//nsubj:pass//25 behövs//VB|PRS|SFO//acl:relcl//23 för//PP//mark//33 att//SN//mark//33 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//33 om//PP//case//30 disciplinansvar//NN|NEU|SIN|IND|NOM//nmod//28 bättre//AB|KOM//advmod//33 ska//VB|PRS|AKT//aux//33 passa//VB|INF|AKT//advcl//25 det//DT|NEU|SIN|DEF//det//36 reformerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//36 försvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//38 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//38 uppgifter//NN|UTR|PLU|IND|NOM//obj//33 .//MAD//punct//2

Bakgrund;Anställd//PC|PRF|UTR|SIN|IND|NOM//amod//1 personal//NN|UTR|SIN|IND|NOM//nsubj:pass//4 inom//PP//case//3 Försvarsmakten//PM|NOM//nmod//1 omfattas//VB|PRS|SFO//ROOT//4 i//PP//case//6 fredstid//NN|UTR|SIN|IND|NOM//obl//4 av//PP//case//10 de//DT|UTR/NEU|PLU|DEF//det//10 disciplinära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 reglerna//NN|UTR|PLU|DEF|NOM//nmod//6 i//PP//case//12 lagen//NN|UTR|SIN|DEF|NOM//nmod//10 (//PAD//punct//14 1994:260//RG|NOM//nmod//10 )//PAD//punct//14 om//PP//case//18 offentlig//JJ|POS|UTR|SIN|IND|NOM//amod//18 anställning//NN|UTR|SIN|IND|NOM//nmod//10 (//PAD//punct//18 LOA//NN|AN//appos//18 )//PAD//punct//18 .//MID//punct//4
Bakgrund;Disciplinansvaret//NN|NEU|SIN|DEF|NOM//det//26 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//26 övrig//JJ|POS|UTR|SIN|IND|NOM//amod//26 personal//NN|UTR|SIN|IND|NOM//nsubj:pass//29 inom//PP//case//28 totalförsvaret//NN|NEU|SIN|DEF|NOM//nmod//26 regleras//VB|PRS|SFO//parataxis//4 genom//PP//case//31 lagen//NN|UTR|SIN|DEF|NOM//obl//29 (//PAD//punct//33 1994:1811//RG|NOM//appos//31 )//PAD//punct//33 om//PP//case//36 disciplinansvar//NN|NEU|SIN|IND|NOM//obl//29 inom//PP//case//38 totalförsvaret//NN|NEU|SIN|DEF|NOM//nmod//36 ,//MID//punct//40 m.m.//AB|AN//conj//38 (//PAD//punct//42 LDT//NN|AN//conj//38 )//PAD//punct//42 .//MAD//punct//4
Bakgrund;LDT//PM|NOM//parataxis//4 ://MID//punct//45 s//JJ|AN//advmod//49 tillämpningsområde//NN|NEU|SIN|IND|NOM//fixed//47 omfattar//VB|PRS|AKT//parataxis//45 värnpliktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obj//49 ,//MID//punct//52 civilpliktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//50 ,//MID//punct//54 rekryter//NN|UTR|PLU|IND|NOM//conj//50 ,//MID//punct//56 officersaspiranter//NN|UTR|PLU|IND|NOM//conj//50 och//KN//cc//58 hemvärnsmän//NN|UTR|PLU|IND|NOM//conj//50 samt//KN//cc//62 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//62 anställd//PC|PRF|UTR|SIN|IND|NOM//amod//62 personal//NN|UTR|SIN|IND|NOM//conj//49 som//HP|-|-|-//nsubj//64 tjänstgör//VB|PRS|AKT//acl:relcl//62 utomlands//AB//advmod//64 i//PP//case//70 en//DT|UTR|SIN|IND//det//70 internationell//JJ|POS|UTR|SIN|IND|NOM//amod//70 militär//JJ|POS|UTR|SIN|IND|NOM//amod//70 insats//NN|UTR|SIN|IND|NOM//obl//64 .//MID//punct//4
Bakgrund;Är//VB|PRS|AKT//aux//76 Sverige//PM|NOM//nsubj//76 i//PP//case//75 krig//NN|NEU|SIN|IND|NOM//nmod//73 gäller//VB|PRS|AKT//conj//4 LDT//PM|NOM//obj//76 för//PP//case//79 alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//76 som//HP|-|-|-//nsubj//82 är//VB|PRS|AKT//cop//82 tjänstgöringsskyldiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//79 i//PP//case//84 Försvarsmakten//PM|NOM//obl//82 m.fl.//AB|AN//punct//4
Bakgrund;LOA//NN|AN//nsubj//3 och//KN//cc//2 LDT//PM|NOM//conj//0 innehåller//VB|PRS|AKT//ROOT//3 likartade//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 disciplinregler//NN|UTR|PLU|IND|NOM//obj//3 .//MAD//punct//3
Bakgrund;Vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 skillnader//NN|UTR|PLU|IND|NOM//nsubj//9 föreligger//VB|PRS|AKT//parataxis//3 dock//AB//advmod//9 .//MAD//punct//3
Bakgrund;Disciplinfrågor//NN|UTR|PLU|IND|NOM//nsubj:pass//15 enligt//PP//case//14 LOA//PM|NOM//nmod//12 avgörs//VB|PRS|SFO//parataxis//3 av//PP//case//18 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//18 personalansvarsnämnd//NN|UTR|SIN|IND|NOM//obl:agent//15 till//PP//case//22 skillnad//NN|UTR|SIN|IND|NOM//fixed//19 från//PP//fixed//19 LDT//PM|NOM//obl//15 där//HA//advmod//27 beslut//NN|NEU|SIN|IND|NOM//nsubj:pass//27 i//PP//advmod//27 regel//NN|UTR|SIN|IND|NOM//fixed//25 fattas//VB|PRS|SFO//acl:relcl//22 av//PP//case//30 en//DT|UTR|SIN|IND//det//30 förbandschef//NN|UTR|SIN|IND|NOM//obl:agent//27 .//MAD//punct//15
Bakgrund;De//DT|UTR/NEU|PLU|DEF//det//33 disciplinpåföljder//NN|UTR|PLU|IND|NOM//nsubj//42 som//HP|-|-|-//nsubj//36 kan//VB|PRS|AKT//aux//36 komma//VB|INF|AKT//acl:relcl//33 i//PP//compound:prt//36 fråga//NN|UTR|SIN|IND|NOM//fixed//37 enligt//PP//case//40 LOA//PM|NOM//obl//36 är//VB|PRS|AKT//cop//42 varning//NN|UTR|SIN|IND|NOM//parataxis//15 och//KN//cc//44 löneavdrag//NN|NEU|SIN|IND|NOM//conj//42 .//MAD//punct//42
Bakgrund;Disciplinpåföljderna//NN|UTR|PLU|DEF|NOM//nsubj//50 enligt//PP//case//48 LDT//PM|NOM//nmod//46 är//VB|PRS|AKT//cop//50 varning//NN|UTR|SIN|IND|NOM//parataxis//42 ,//MID//punct//52 löneavdrag//NN|NEU|SIN|IND|NOM//conj//50 och//KN//cc//54 extratjänst//NN|UTR|SIN|IND|NOM//conj//50 .//MAD//punct//50
