Sammanfattning;Veteranutredningen//NN|UTR|SIN|DEF|NOM//nsubj//8 har//VB|PRS|AKT//aux//8 i//PP//advmod//8 uppdrag//NN|NEU|SIN|IND|NOM//fixed//2 att//IE//mark//8 i//PP//case//7 detta//DT|NEU|SIN|DEF//det//7 delbetänkande//NN|NEU|SIN|IND|NOM//obl//8 lämna//VB|INF|AKT//ROOT//8 förslag//NN|NEU|SIN|IND|NOM//obj//8 till//PP//mark//16 hur//HA//advmod//16 den//DT|UTR|SIN|DEF//det//14 frivilliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 försvarsverksamheten//NN|UTR|SIN|DEF|NOM//nsubj:pass//16 kan//VB|PRS|AKT//aux//16 utvidgas//VB|INF|SFO//advcl//8 till//PP//mark//19 att//IE//mark//19 innefatta//VB|INF|AKT//advcl//16 verksamhet//NN|UTR|SIN|IND|NOM//obj//19 till//PP//case//22 stöd//NN|NEU|SIN|IND|NOM//obl//19 för//PP//case//25 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//25 personal//NN|UTR|SIN|IND|NOM//obl//19 vid//PP//case//29 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 militära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 insatser//NN|UTR|PLU|IND|NOM//obl//19 (//PAD//punct//29 tjänstgörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//32 personalen//NN|UTR|SIN|DEF|NOM//appos//29 )//PAD//punct//29 och//KN//cc//35 veteransoldater//NN|UTR|PLU|IND|NOM//conj//29 samt//KN//cc//38 deras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//38 anhöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//29 .//MAD//punct//8

Veteranpolitiken;Grunden//NN|UTR|SIN|DEF|NOM//nsubj:pass//5 till//PP//case//3 dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 veteranpolitik//NN|UTR|SIN|IND|NOM//nmod//0 har//VB|PRS|AKT//aux//5 lagts//VB|SUP|SFO//ROOT//5 genom//PP//case//8 Veteransoldatutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//8 arbete//NN|NEU|SIN|IND|NOM//obl//5 och//KN//cc//11 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//11 betänkande//NN|NEU|SIN|IND|NOM//conj//8 En//DT|UTR|SIN|IND//det//14 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//14 veteranpolitik//NN|UTR|SIN|IND|NOM//obj//5 –//RG|NOM//punct//16 Ansvaret//NN|NEU|SIN|DEF|NOM//nsubj//43 för//PP//case//18 personalen//NN|UTR|SIN|DEF|NOM//nmod//16 före//PP//advmod//16 ,//MID//punct//26 under//PP//advmod//20 och//KN//cc//26 efter//PP//case//26 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 militära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 insatser//NN|UTR|PLU|IND|NOM//nmod//16 .//MAD//punct//16
Veteranpolitiken;Genom//PP//case//30 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//30 proposition//NN|UTR|SIN|IND|NOM//nmod//32 Modern//JJ|POS|UTR|SIN|IND|NOM//amod//32 personalförsörjning//NN|UTR|SIN|IND|NOM//nmod//16 för//PP//case//37 ett//DT|NEU|SIN|IND//det//37 användbart//JJ|POS|NEU|SIN|IND|NOM//amod//37 försvarvissa//NN|NEU|SIN|IND|NOM//amod//37 frågor//NN|UTR|PLU|IND|NOM//nmod//32 om//PP//case//40 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//40 personal//NN|UTR|SIN|IND|NOM//nmod//37 2//RG|NOM//nummod//40  //_SP////41 har//VB|PRS|AKT//aux//50 en//DT|UTR|SIN|IND//det//47 samlad//PC|PRF|UTR|SIN|IND|NOM//amod//47 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//47 veteranpolitik//NN|UTR|SIN|IND|NOM//nsubj:pass//50 för//PP//case//49 veteransoldater//NN|UTR|PLU|IND|NOM//nmod//47 antagits//VB|SUP|SFO//conj//5 av//PP//case//52 regeringen//NN|UTR|SIN|DEF|NOM//obl:agent//50 och//KN//cc//54 riksdagen//NN|UTR|SIN|DEF|NOM//conj//52 .//MAD//punct//5
Veteranpolitiken;En//DT|UTR|SIN|IND//det//1 utgångspunkt//NN|UTR|SIN|IND|NOM//ROOT//1 i//PP//case//3 veteranpolitikern//NN|UTR|SIN|DEF|NOM//nmod//1 är//VB|PRS|AKT//cop//1 att//SN//mark//8 denna//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//8 ska//VB|PRS|AKT//aux//8 grundas//VB|INF|SFO//csubj//1 på//PP//case//11 en//DT|UTR|SIN|IND//det//11 helhetssyn//NN|UTR|SIN|IND|NOM//obl//8 som//HP|-|-|-//nsubj//13 inkluderar//VB|PRS|AKT//acl:relcl//11 rekrytering//NN|UTR|SIN|IND|NOM//obj//13 av//PP//case//16 personalen//NN|UTR|SIN|DEF|NOM//nmod//14 ,//MID//punct//18 utbildning//NN|UTR|SIN|IND|NOM//conj//16 och//KN//cc//20 förberedelser//NN|UTR|PLU|IND|NOM//conj//16 inför//PP//case//22 insatsen//NN|UTR|SIN|DEF|NOM//nmod//20 ,//MID//punct//24 stöd//NN|NEU|SIN|IND|NOM//conj//22 och//KN//cc//26 åtgärder//NN|UTR|PLU|IND|NOM//conj//22 under//PP//case//28 insatsen//NN|UTR|SIN|DEF|NOM//nmod//14 ,//MID//punct//30 omhändertagande//NN|NEU|SIN|IND|NOM//conj//28 samt//KN//cc//32 stöd//NN|NEU|SIN|IND|NOM//conj//28 och//KN//cc//35 eventuell//JJ|POS|UTR|SIN|IND|NOM//amod//35 rehabilitering//NN|UTR|SIN|IND|NOM//conj//28 efter//PP//case//37 insatsen//NN|UTR|SIN|DEF|NOM//nmod//35 .//MAD//punct//1
Veteranpolitiken;Också//AB//advmod//40 stödet//NN|NEU|SIN|DEF|NOM//nsubj//48 till//PP//case//43 de//DT|UTR/NEU|PLU|DEF//det//43 anhöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//40 ,//MID//punct//40 särskilt//AB//amod//46 barnen//NN|NEU|PLU|DEF|NOM//appos//40 ,//MID//punct//40 utgör//VB|PRS|AKT//parataxis//1 en//DT|UTR|SIN|IND//det//51 viktig//JJ|POS|UTR|SIN|IND|NOM//amod//51 del//NN|UTR|SIN|IND|NOM//obj//48 i//PP//case//54 denna//DT|UTR|SIN|DEF//det//54 helhetssyn//NN|UTR|SIN|IND|NOM//obl//48 .//MAD//punct//1
Veteranpolitiken;En//DT|UTR|SIN|IND//det//2 annan//JJ|POS|UTR|SIN|IND|NOM//amod//2 utgångspunkt//NN|UTR|SIN|IND|NOM//ROOT//2 i//PP//case//4 veteranpolitiken//NN|UTR|SIN|DEF|NOM//nmod//2 är//VB|PRS|AKT//cop//2 att//SN//mark//32 samhället//NN|NEU|SIN|DEF|NOM//nsubj//32 som//KN//nsubj//11 helhet//NN|UTR|SIN|IND|NOM//nsubj//11 bör//VB|PRS|AKT//aux//11 medverka//VB|INF|AKT//acl:relcl//7 i//PP//case//13 genomförandet//NN|NEU|SIN|DEF|NOM//obl//11 av//PP//case//16 denna//DT|UTR|SIN|DEF//det//16 politik//NN|UTR|SIN|IND|NOM//nmod//13 ,//MID//punct//20 dvs.//AB|AN//advmod//20 den//DT|UTR|SIN|DEF//det//20 myndighet//NN|UTR|SIN|IND|NOM//nsubj//32 eller//KN//cc//22 organisation//NN|UTR|SIN|IND|NOM//conj//20 som//HP|-|-|-//nsubj//30 från//PP//case//27 ett//DT|NEU|SIN|IND//det//27 samlat//PC|PRF|NEU|SIN|IND|NOM//amod//27 samhällsperspektiv//NN|NEU|SIN|IND|NOM//obl//30 är//VB|PRS|AKT//cop//30 mest//AB|SUV//advmod//30 lämpad//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//22 bör//VB|PRS|AKT//aux//32 ansvara//VB|INF|AKT//ccomp//5 för//PP//case//34 åtgärden//NN|UTR|SIN|DEF|NOM//obl//32 ,//MID//punct//34 dvs.//AB|AN//advmod//37 Försvarsmakten//NN|UTR|SIN|DEF|NOM//appos//34 ,//MID//punct//40 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//40 myndigheter//NN|UTR|PLU|IND|NOM//conj//37 och//KN//cc//42 aktörer//NN|UTR|PLU|IND|NOM//conj//37 ,//MID//punct//45 frivilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//45 organisationer//NN|UTR|PLU|IND|NOM//conj//37 ,//MID//punct//49 den//DT|UTR|SIN|DEF//det//49 enskilde//JJ|POS|MAS|SIN|DEF|NOM//amod//49 veteranen//NN|UTR|SIN|DEF|NOM//conj//32 ,//MID//punct//51 anhöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//49 m.fl.//AB|AN//conj//49 ,//MID//punct//54 medverkar//VB|PRS|AKT//conj//32 i//PP//mark//57 att//IE//mark//57 utveckla//VB|INF|AKT//advcl//54 veteransoldatpolitiken//NN|UTR|SIN|DEF|NOM//obj//57 .//MAD//punct//2
Veteranpolitiken;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//5 av//PP//case//2 riksdagen//NN|UTR|SIN|DEF|NOM//nmod//0 och//KN//cc//4 regeringen//NN|UTR|SIN|DEF|NOM//conj//2 beslutade//VB|PRT|AKT//ROOT//5 veteransoldatpolitiken//NN|UTR|SIN|DEF|NOM//obj//5 innebär//VB|PRS|AKT//xcomp//5 bl.a.//AB|AN//advmod//7 att//SN//mark//27 lagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//27 (//PAD//punct//12 2010:449//RG|NOM//nmod//10 )//PAD//punct//12 respektive//AB//cc//15 förordningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//27 (//PAD//punct//15 2010:651//RG|NOM//nummod//15 )//PAD//punct//15 om//PP//case//21 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//21 personal//NN|UTR|SIN|IND|NOM//nmod//15 vid//PP//case//25 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 militära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 insatser//NN|UTR|PLU|IND|NOM//nmod//21 har//VB|PRS|AKT//aux//27 införts//VB|SUP|SFO//ccomp//7 .//MAD//punct//27
Veteranpolitiken;Med//PP//case//30 stöd//NN|NEU|SIN|IND|NOM//obl//34 av//PP//case//33 dessa//DT|UTR/NEU|PLU|DEF//det//33 författningar//NN|UTR|PLU|IND|NOM//nmod//30 utvecklar//VB|PRS|AKT//conj//27 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod:poss//36 verksamhet//NN|UTR|SIN|IND|NOM//obj//34 till//PP//case//38 stöd//NN|NEU|SIN|IND|NOM//obl//34 för//PP//case//40 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//34 som//HP|-|-|-//nsubj:pass//42 omfattas//VB|PRS|SFO//acl:relcl//40 av//PP//case//45 angivna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//45 författningar//NN|UTR|PLU|IND|NOM//obl//42 .//MAD//punct//5
Veteranpolitiken;Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//49 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//49 åtgärder//NN|UTR|PLU|IND|NOM//nsubj//56 i//PP//case//52 detta//DT|NEU|SIN|DEF//det//52 avseende//NN|NEU|SIN|IND|NOM//nmod//49 ,//MID//punct//49 bl.a.//AB|AN//advmod//56 vad//HP|NEU|SIN|IND//nsubj//56 avser//VB|PRS|AKT//parataxis//5 information//NN|UTR|SIN|IND|NOM//obj//56 ,//MID//punct//59 rekrytering//NN|UTR|SIN|IND|NOM//conj//57 ,//MID//punct//61 utbildning//NN|UTR|SIN|IND|NOM//conj//57 ,//MID//punct//63 stöd//NN|NEU|SIN|IND|NOM//conj//57 och//KN//cc//65 uppföljning//NN|UTR|SIN|IND|NOM//conj//57 samt//KN//cc//67 rehabilitering//NN|UTR|SIN|IND|NOM//conj//57 utgör//VB|PRS|AKT//conj//5 i//PP//advmod//68 dag//NN|UTR|SIN|IND|NOM//fixed//69 en//DT|UTR|SIN|IND//det//73 integrerad//PC|PRF|UTR|SIN|IND|NOM//amod//73 del//NN|UTR|SIN|IND|NOM//obj//68 av//PP//case//76 myndighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//76 verksamhet//NN|UTR|SIN|IND|NOM//nmod//73 för//PP//mark//79 att//IE//mark//79 genomföra//VB|INF|AKT//advcl//68 den//PN|UTR|SIN|DEF|SUB/OBJ//obj//79 av//PP//case//82 riksdagen//NN|UTR|SIN|DEF|NOM//obl//79 och//KN//cc//84 regeringen//NN|UTR|SIN|DEF|NOM//conj//82 beslutade//VB|PRT|AKT//conj//5 veteransoldatpolitiken//NN|UTR|SIN|DEF|NOM//obj//85 och//KN//cc//90 för//PP//mark//90 att//IE//mark//90 säkerställa//VB|INF|AKT//conj//85 och//KN//cc//92 utveckla//VB|INF|AKT//conj//90 operativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//94 förmågor//NN|UTR|PLU|IND|NOM//obj//92 ,//MID//punct//99 vilka//HP|UTR/NEU|PLU|IND//nsubj:pass//99 ska//VB|PRS|AKT//aux//99 kunna//VB|INF|AKT//aux//99 användas//VB|INF|SFO//advcl//90 såväl//KN//advmod//102 vid//PP//case//102 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obl//99 som//KN//mark//105 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//105 insatser//NN|UTR|PLU|IND|NOM//nmod//102 .//MAD//punct//5
Veteranpolitiken;Erfarenheterna//NN|UTR|PLU|DEF|NOM//obj//5 från//PP//case//110 såväl//KN//advmod//110 genomförandet//NN|NEU|SIN|DEF|NOM//nmod//107 av//PP//case//114 den//DT|UTR|SIN|DEF//det//114 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//114 veteransoldatpolitiken//NN|UTR|SIN|DEF|NOM//nmod//110 som//KN//case//116 erfarenheter//NN|UTR|PLU|IND|NOM//nmod//107 från//PP//mark//122 att//SN//mark//122 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//121 jämförbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//121 länder//NN|NEU|PLU|IND|NOM//nsubj//122 visar//VB|PRS|AKT//advcl//5 dock//AB//advmod//122 att//SN//mark//127 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//127 kan//VB|PRS|AKT//aux//127 finnas//VB|INF|SFO//ccomp//122 en//DT|UTR|SIN|IND//det//130 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//130 utvecklingspotential//NN|UTR|SIN|IND|NOM//xcomp//127 i//PP//case//132 veteranpolitiken//NN|UTR|SIN|DEF|NOM//nmod//130 .//MAD//punct//5
