Sammanfattning;Utstationeringskommittén//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 haft//VB|SUP|AKT//ROOT//2 i//PP//compound:prt//2 uppdrag//NN|NEU|SIN|IND|NOM//fixed//3 att//IE//mark//6 göra//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//8 översyn//NN|UTR|SIN|IND|NOM//obj//6 av//PP//case//11 lex//PM|NOM//compound//11 Laval//PM|NOM//nmod//8 ,//MID//punct//2 dvs.//AB|AN//advmod//15 de//DT|UTR/NEU|PLU|DEF//det//15 ändringar//NN|UTR|PLU|IND|NOM//appos//2 i//PP//case//17 lagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//15 om//PP//case//19 utstationering//NN|UTR|SIN|IND|NOM//nmod//15 av//PP//case//21 arbetstagare//NN|UTR|PLU|IND|NOM//nmod//19 i//PP//case//23 Sverige//PM|NOM//nmod//21 som//HP|-|-|-//nsubj:pass//25 infördes//VB|PRT|SFO//acl:relcl//15 den//DT|UTR|SIN|DEF//det//28 15//RG|NOM//nummod//28 april//NN|UTR|SIN|IND|NOM//obl//25 2010//RG|NOM//nummod//28 till//PP//case//34 följd//NN|UTR|SIN|IND|NOM//fixed//30 av//PP//fixed//30 EU-domstolens//NN|UTR|SIN|DEF|GEN//nmod:poss//34 dom//NN|UTR|SIN|IND|NOM//obl//25 i//PP//case//38 det//DT|NEU|SIN|DEF//det//38 s.k.//AB|AN//amod//38 Lavalmålet//NN|NEU|SIN|DEF|NOM//obl//25 .//MID//punct//2
Sammanfattning;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//41 lämnar//VB|PRS|AKT//parataxis//2 ett//DT|NEU|SIN|IND//det//43 antal//NN|NEU|SIN|IND|NOM//nmod//44 förslag//NN|NEU|PLU|IND|NOM//obj//41 för//PP//mark//49 att//IE//mark//49 i//PP//advmod//49 utstationeringssituationer//NN|UTR|PLU|IND|NOM//fixed//47 värna//VB|INF|AKT//acl//44 den//DT|UTR|SIN|DEF//det//52 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//52 arbetsmarknadsmodellen//NN|UTR|SIN|DEF|NOM//obj//49 och//KN//cc//55 kollektivavtalens//NN|UTR|SIN|DEF|GEN//nmod:poss//55 ställning//NN|UTR|SIN|IND|NOM//conj//52 .//MAD//punct//44
Sammanfattning;Förslagen//NN|NEU|PLU|DEF|NOM//obl//41 ,//MID//punct//57 som//HP|-|-|-//obj//63 kommittén//NN|UTR|SIN|DEF|NOM//nsubj//63 bedömer//VB|PRS|AKT//aux//63 är//VB|PRS|AKT//cop//63 förenliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//57 med//PP//case//65 EU-rätten//NN|UTR|SIN|DEF|NOM//obl//63 och//KN//cc//68 som//HP|-|-|-//nsubj:pass//68 föreslås//VB|PRS|SFO//conj//57 träda//VB|INF|AKT//xcomp//68 i//PP//compound:prt//69 kraft//NN|UTR|SIN|IND|NOM//fixed//70 den//DT|UTR|SIN|DEF//det//74 1//RO|NOM//nummod//74 januari//NN|UTR|SIN|IND|NOM//nsubj//80 2017//RG|NOM//nummod//74 ,//MID//punct//74 är//VB|PRS|AKT//cop//80 i//PP//advmod//80 huvudsak//NN|UTR|SIN|IND|NOM//fixed//78 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obj//69 .//MAD//punct//2

En utstationerande arbetsgivare ska på begäran utse en företrädare med behörighet att förhandla om och sluta kollektivavtal;På//PP//case//1 begäran//NN|UTR|SIN|IND|NOM//obl//10 av//PP//case//4 en//DT|UTR|SIN|IND//det//4 arbetstagarorganisation//NN|UTR|SIN|IND|NOM//nmod//1 ska//VB|PRS|AKT//aux//10 arbetsgivaren//NN|UTR|SIN|DEF|NOM//nsubj//10 inom//PP//case//9 tio//RG|NOM//nummod//9 dagar//NN|UTR|PLU|IND|NOM//obl//10 utse//VB|INF|AKT//ROOT//10 en//DT|UTR|SIN|IND//det//12 företrädare//NN|UTR|SIN|IND|NOM//obj//10 som//HP|-|-|-//nsubj//14 har//VB|PRS|AKT//acl:relcl//12 behörighet//NN|UTR|SIN|IND|NOM//obj//14 att//IE//mark//19 för//PP//case//18 arbetsgivaren//NN|UTR|SIN|DEF|NOM//obl//19 förhandla//VB|INF|AKT//advcl//14 om//PL//compound:prt//19 och//KN//cc//22 sluta//VB|INF|AKT//conj//19 kollektivavtal//NN|NEU|SIN|IND|NOM//obj//22 och//KN//cc//25 meddela//VB|INF|AKT//conj//19 organisationen//NN|UTR|SIN|DEF|NOM//obj//25 vem//HP|UTR|SIN|IND//dislocated//29 som//HP|-|-|-//nsubj:pass//29 utsetts//VB|SUP|SFO//acl:relcl//26 och//KN//cc//32 dennes//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//32 kontaktuppgifter//NN|UTR|PLU|IND|NOM//conj//29 .//MAD//punct//10
En utstationerande arbetsgivare ska på begäran utse en företrädare med behörighet att förhandla om och sluta kollektivavtal;Arbetstagarorganisationens//NN|UTR|SIN|DEF|GEN//nmod:poss//35 begäran//NN|UTR|SIN|IND|NOM//nsubj//37 ska//VB|PRS|AKT//aux//37 innehålla//VB|INF|AKT//parataxis//10 uppgift//NN|UTR|SIN|IND|NOM//obj//37 om//PP//mark//42 att//SN//mark//42 organisationen//NN|UTR|SIN|DEF|NOM//nsubj//42 önskar//VB|PRS|AKT//acl//38 sluta//VB|INF|AKT//xcomp//42 kollektivavtal//NN|NEU|SIN|IND|NOM//obj//43 och//KN//cc//46 upplysning//NN|UTR|SIN|IND|NOM//conj//44 om//PP//case//48 organisationen//NN|UTR|SIN|DEF|NOM//obl//43 har//VB|PRS|AKT//parataxis//10 medlemmar//NN|UTR|PLU|IND|NOM//obj//49 hos//PP//case//52 arbetsgivaren//NN|UTR|SIN|DEF|NOM//obl//49 eller//KN//cc//56 inte//AB//advmod//56 och//KN//cc//56 minimivillkoren//NN|UTR|SIN|DEF|NOM//conj//52 i//PP//case//60 den//DT|UTR|SIN|DEF//det//60 aktuella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//60 branschen//NN|UTR|SIN|DEF|NOM//nmod//56 samt//KN//cc//62 kontaktuppgifter//NN|UTR|PLU|IND|NOM//conj//60 till//PP//case//65 en//DT|UTR|SIN|IND//det//65 företrädare//NN|UTR|SIN|IND|NOM//nmod//62 som//HP|-|-|-//nsubj//67 har//VB|PRS|AKT//acl:relcl//65 behörighet//NN|UTR|SIN|IND|NOM//obj//67 att//IE//mark//72 för//PP//case//71 organisationen//NN|UTR|SIN|DEF|NOM//obl//72 förhandla//VB|INF|AKT//advcl//67 om//PL//compound:prt//72 och//KN//cc//75 sluta//VB|INF|AKT//conj//72 kollektivavtal//NN|NEU|SIN|IND|NOM//obj//75 .//MAD//punct//10
En utstationerande arbetsgivare ska på begäran utse en företrädare med behörighet att förhandla om och sluta kollektivavtal;Arbetsgivarens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 företrädare//NN|UTR|PLU|IND|NOM//nsubj//2 ska//VB|PRS|AKT//ROOT//2 inom//PP//case//5 sju//RG|NOM//nummod//5 dagar//NN|UTR|PLU|IND|NOM//obl//7 efter//PP//case//7 utgången//NN|UTR|SIN|DEF|NOM//obl//2 av//PP//case//9 fristen//NN|UTR|SIN|DEF|NOM//nmod//7 för//PP//mark//12 att//IE//mark//12 utse//VB|INF|AKT//advcl//2 företrädare//NN|UTR|PLU|IND|NOM//obj//12 ta//VB|INF|AKT//xcomp//12 kontakt//NN|UTR|SIN|IND|NOM//obj//14 med//PP//case//18 arbetstagarorganisationens//NN|UTR|SIN|DEF|GEN//nmod:poss//18 företrädare//NN|UTR|PLU|IND|NOM//obl//14 och//KN//cc//20 redogöra//VB|INF|AKT//conj//12 för//PP//case//23 arbetsgivarens//NN|UTR|SIN|DEF|GEN//nmod:poss//23 inställning//NN|UTR|SIN|IND|NOM//obl//20 till//PP//case//25 önskemålet//NN|NEU|SIN|DEF|NOM//obl//20 om//PP//mark//28 att//IE//mark//28 sluta//VB|INF|AKT//acl//25 kollektivavtal//NN|NEU|SIN|IND|NOM//obj//28 .//MAD//punct//2
En utstationerande arbetsgivare ska på begäran utse en företrädare med behörighet att förhandla om och sluta kollektivavtal;Om//SN//mark//5 arbetsgivaren//NN|UTR|SIN|DEF|NOM//nsubj//5 eller//KN//cc//4 dennes//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//4 företrädare//NN|UTR|PLU|IND|NOM//conj//1 bryter//VB|PRS|AKT//advcl//12 mot//PP//case//8 dessa//DT|UTR/NEU|PLU|DEF//det//8 skyldigheter//NN|UTR|PLU|IND|NOM//obl//5 ,//MID//punct//5 ska//VB|PRS|AKT//aux//12 arbetsgivaren//NN|UTR|SIN|DEF|NOM//nsubj//12 betala//VB|INF|AKT//ROOT//12 skadestånd//NN|NEU|SIN|IND|NOM//obj//12 till//PP//case//16 den//DT|UTR|SIN|DEF//det//16 arbetstagarorganisation//NN|UTR|SIN|IND|NOM//obl//12 som//HP|-|-|-//nsubj//18 gjort//VB|SUP|AKT//acl:relcl//16 begäran//NN|UTR|SIN|IND|NOM//obj//18 .//MAD//punct//12
En utstationerande arbetsgivare ska på begäran utse en företrädare med behörighet att förhandla om och sluta kollektivavtal;Skadeståndet//NN|NEU|SIN|DEF|NOM//nsubj//23 ska//VB|PRS|AKT//aux//23 innefatta//VB|INF|AKT//parataxis//12 ersättning//NN|UTR|SIN|IND|NOM//obj//23 för//PP//case//27 den//DT|UTR|SIN|DEF//det//27 förlust//NN|UTR|SIN|IND|NOM//obl//23 som//HP|-|-|-//nsubj:pass//29 uppkommit//VB|SUP|AKT//acl:relcl//27 och//KN//cc//32 den//DT|UTR|SIN|DEF//det//32 kränkning//NN|UTR|SIN|IND|NOM//conj//27 som//HP|-|-|-//nsubj//35 har//VB|PRS|AKT//aux//35 inträffat//VB|SUP|AKT//acl:relcl//32 .//MAD//punct//23
En utstationerande arbetsgivare ska på begäran utse en företrädare med behörighet att förhandla om och sluta kollektivavtal;Om//SN//mark//40 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//40 är//VB|PRS|AKT//cop//40 skäligt//JJ|POS|NEU|SIN|IND|NOM//advcl//23 ,//MID//punct//44 kan//VB|PRS|AKT//aux//44 skadeståndet//NN|NEU|SIN|DEF|NOM//nsubj:pass//44 sättas//VB|INF|SFO//conj//40 ned//PL//compound:prt//44 eller//KN//cc//48 helt//AB|POS//advmod//48 falla//VB|INF|AKT//conj//44 bort//PL//compound:prt//48 .//MAD//punct//40
En utstationerande arbetsgivare ska på begäran utse en företrädare med behörighet att förhandla om och sluta kollektivavtal;I//PP//case//54 fråga//NN|UTR|SIN|IND|NOM//fixed//51 om//PP//case//54 preskription//NN|UTR|SIN|IND|NOM//obl//65 ska//VB|PRS|AKT//aux//65 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//57 regler//NN|UTR|PLU|IND|NOM//obj//55 som//HP|-|-|-//mark//60 enligt//PP//case//60 lagen//NN|UTR|SIN|DEF|NOM//nsubj//65 (//PAD//punct//62 1976:580//RG|NOM//nmod//60 )//PAD//punct//62 om//PP//case//65 medbestämmande//NN|NEU|SIN|IND|NOM//conj//40 i//PP//case//67 arbetslivet//NN|NEU|SIN|DEF|NOM//obl//65 gälla//VB|INF|AKT//conj//40 .//MAD//punct//23
