Sammanfattning;1//RG|NOM//nummod//1 Uppdraget//NN|NEU|SIN|DEF|NOM//ROOT//1 och//KN//cc//9 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//7 genomförande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 2//RG|NOM//nummod//6 Dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//7 utsökningsförfarande//NN|NEU|SIN|IND|NOM//amod//9 3//RG|NOM//nummod//9 Behovet//NN|NEU|SIN|DEF|NOM//conj//1 av//PP//case//12 en//DT|UTR|SIN|IND//det//12 översyn//NN|UTR|SIN|IND|NOM//nmod//9 av//PP//case//16 det//DT|NEU|SIN|DEF//det//16 utsökningsrättsliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//16 regelverket//NN|NEU|SIN|DEF|NOM//nmod//12 och//KN//cc//18 utgångspunkter//NN|UTR|PLU|IND|NOM//conj//16 för//PP//case//21 vår//PS|UTR|SIN|DEF//nmod:poss//21 översyn//NN|UTR|SIN|IND|NOM//nmod//18 4//RG|NOM//nummod//21 En//DT|UTR|SIN|IND//det//25 modernare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//25 utsökningsbalk//NN|UTR|SIN|IND|NOM//nmod//28 5//RG|NOM//nummod//27 Kronofogdemyndighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//28 medverkan//NN|UTR|SIN|IND|NOM//appos//1 till//PP//case//31 frivilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 överenskommelser//NN|UTR|PLU|IND|NOM//nmod//28 och//KN//cc//33 processledning//NN|UTR|SIN|IND|NOM//conj//31 6//RG|NOM//nummod//35 Utredning//NN|UTR|SIN|IND|NOM//nmod//33 av//PP//case//37 tillgångar//NN|UTR|PLU|IND|NOM//nmod//35 och//KN//cc//39 myndighetssamverkan//NN|UTR|SIN|DEF|NOM//conj//37 7//RG|NOM//nummod//41 Reglerna//NN|UTR|PLU|DEF|NOM//conj//1 om//PP//case//43 beneficium//NN|NEU|SIN|IND|NOM//nmod//41 vid//PP//case//45 utmätning//NN|UTR|SIN|IND|NOM//nmod//43 8//RG|NOM//nummod//47 Löneutmätning//NN|UTR|SIN|IND|NOM//conj//1 9//RG|NOM//nummod//50 Tvångsvis//PM|GEN//amod//50 försäljning//NN|UTR|SIN|IND|NOM//conj//1 och//KN//cc//52 redovisning//NN|UTR|SIN|IND|NOM//conj//50 av//PP//case//54 pengar//NN|UTR|PLU|IND|NOM//nmod//52 10//RG|NOM//nummod//56 Avhysning//NN|UTR|SIN|IND|NOM//appos//1 11//RG|NOM//nummod//58 Avgifter//NN|UTR|PLU|IND|NOM//conj//1 och//KN//cc//60 rättegångskostnader//NN|UTR|PLU|IND|NOM//conj//58 12//RG|NOM//nummod//62 Överklagande-//NN|NEU|-|-|SMS//appos//1 och//KN//cc//64 delgivningsfrågor//NN|UTR|PLU|IND|NOM//conj//62

Band 2;13//RG|NOM//nummod//1 Författningsförslag//NN|NEU|SIN|IND|NOM//ROOT//1 14//RG|NOM//nummod//3 Ikraftträdande//NN|UTR|PLU|IND|NOM//appos//1 och//KN//cc//5 övergångsbestämmelser//NN|UTR|PLU|IND|NOM//conj//3 15//RG|NOM//nummod//7 Författningskommentar//NN|UTR|PLU|IND|NOM//nmod//1

Band 3;16.3.2//RG|NOM//amod//1 Förslag//NN|NEU|PLU|IND|NOM//nsubj//9 som//HP|-|-|-//nsubj:pass//3 förväntas//VB|PRS|SFO//acl:relcl//1 medföra//VB|INF|AKT//xcomp//3 ökade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//6 intäkter//NN|UTR|PLU|IND|NOM//obj//4 16.3.4//RG|NOM//nmod//8 Förslagen//NN|NEU|PLU|DEF|NOM//nsubj//9 medför//VB|PRS|AKT//ROOT//9 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 engångsvisa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 införande16.3.5//PM|GEN//amod//13 Förslag//NN|NEU|SIN|IND|NOM//obj//9 som//HP|-|-|-//nsubj:pass//15 förväntas//VB|PRS|SFO//acl:relcl//13 medföra//VB|INF|AKT//xcomp//15 minskade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//19 årsvisa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 kostnader//NN|UTR|PLU|IND|NOM//obj//16 för//PP//case//22 16.3.6//RG|NOM//amod//22 Förslag//NN|NEU|PLU|IND|NOM//nmod//19 som//HP|-|-|-//nsubj:pass//24 förväntas//VB|PRS|SFO//acl:relcl//22 medföra//VB|INF|AKT//xcomp//24 ökade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//28 årsvisa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//28 16.9//RG|NOM//nummod//29 Konsekvenser//NN|UTR|PLU|IND|NOM//obj//25 av//PP//case//31 förslagen//NN|NEU|PLU|DEF|NOM//nmod//29 om//PP//case//34 Kronofogdemyndighetens//PM|GEN//nmod:poss//34 medverkan//NN|UTR|SIN|IND|NOM//nmod//31 till//PP//case//37 frivilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 överenskommelser//NN|UTR|PLU|IND|NOM//nmod//34 och//KN//cc//40 16.9.1//RG|NOM//nummod//40 Förslaget//NN|NEU|SIN|DEF|NOM//conj//31 att//SN//mark//45 Kronofogdemyndigheten//NN|UTR|SIN|DEF|NOM//nsubj//45 ska//VB|PRS|AKT//aux//45 kunna//VB|INF|AKT//aux//45 medverka//VB|INF|AKT//acl:relcl//29 till//PP//mark//49 att//SN//mark//49 parterna//NN|UTR|PLU|DEF|NOM//nsubj//49 uppnår//VB|PRS|AKT//advcl//45 16.9.2//RG|NOM//nummod//51 Förslaget//NN|NEU|SIN|DEF|NOM//obj//49 om//PP//case//55 en//DT|UTR|SIN|IND//det//55 lagfäst//PC|PRF|UTR|SIN|IND|NOM//amod//55 skyldighet//NN|UTR|SIN|IND|NOM//nmod//51 att//IE//mark//57 utöva//VB|INF|AKT//acl//55


16.1 Inledning;I//PP//case//2 detta//DT|NEU|SIN|DEF//det//2 kapitel//NN|NEU|SIN|IND|NOM//obl//5 ska//VB|PRS|AKT//aux//5 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//5 bedöma//VB|INF|AKT//ROOT//5 konsekvenserna//NN|UTR|PLU|DEF|NOM//obj//5 av//PP//case//8 övervägandena//NN|NEU|PLU|DEF|NOM//nmod//6 .//MAD//punct//5
16.1 Inledning;Vi//PN|UTR|PLU|DEF|SUB//nsubj//13 kommer//VB|PRS|AKT//aux//13 att//IE//mark//13 följa//VB|INF|AKT//parataxis//5 de//DT|UTR/NEU|PLU|DEF//det//15 bestämmelser//NN|UTR|PLU|IND|NOM//obj//13 om//PP//case//17 kostnadsberäkningar//NN|UTR|PLU|IND|NOM//nmod//15 och//KN//cc//20 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//20 konsekvensbeskrivningar//NN|UTR|PLU|IND|NOM//conj//17 som//HP|-|-|-//nsubj//22 finns//VB|PRS|SFO//acl:relcl//20 i//PP//case//24 kommittéförordningen//NN|UTR|SIN|DEF|NOM//obl//22 (//PAD//punct//24 1998:1474//RG|NOM//appos//24 )//PAD//punct//24 och//KN//cc//29 förordningen//NN|UTR|SIN|DEF|NOM//conj//24 om//PP//case//31 konsekvensutredning//NN|UTR|SIN|IND|NOM//nmod//29 vid//PP//case//33 regelgivning//NN|UTR|SIN|IND|NOM//nmod//31 (//PAD//punct//24 2007:1244//RG|NOM//appos//24 )//PAD//punct//24 .//MAD//punct//13
16.1 Inledning;I//PP//case//41 enlighet//NN|UTR|SIN|IND|NOM//fixed//38 med//PP//fixed//38 direktiven//NN|NEU|PLU|DEF|NOM//obl//44 ska//VB|PRS|AKT//aux//44 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//44 bedöma//VB|INF|AKT//conj//13 de//DT|UTR/NEU|PLU|DEF//det//47 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//47 konsekvenserna//NN|UTR|PLU|DEF|NOM//obj//44 av//PP//case//49 förslagen//NN|NEU|PLU|DEF|NOM//nmod//47 för//PP//case//51 näringslivet//NN|NEU|SIN|DEF|NOM//nmod//49 ,//MID//punct//44 särskilt//AB//advmod//58 för//PP//case//58 små//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//58 och//KN//cc//57 medelstora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//55 företag//NN|NEU|PLU|IND|NOM//appos//44 ,//MID//punct//60 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//58 och//KN//cc//63 det//DT|NEU|SIN|DEF//det//63 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//conj//58 .//MAD//punct//13
16.1 Inledning;Vidare//AB|KOM//advmod//68 ska//VB|PRS|AKT//aux//68 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//68 redovisa//VB|INF|AKT//conj//13 vilka//HD|UTR/NEU|PLU|IND//det//70 konsekvenser//NN|UTR|PLU|IND|NOM//obj//76 de//DT|UTR/NEU|PLU|DEF//det//72 förslag//NN|NEU|PLU|IND|NOM//nsubj//76 som//HP|-|-|-//nsubj:pass//74 lämnas//VB|PRS|SFO//acl:relcl//72 kan//VB|PRS|AKT//aux//76 få//VB|INF|AKT//ccomp//68 för//PP//case//78 jämställdheten//NN|UTR|SIN|DEF|NOM//obl//76 mellan//PP//case//80 kvinnor//NN|UTR|PLU|IND|NOM//nmod//78 och//KN//cc//82 män//NN|UTR|PLU|IND|NOM//conj//80 .//MAD//punct//68
16.1 Inledning;Om//SN//mark//86 förslagen//NN|NEU|PLU|DEF|NOM//nsubj//86 medför//VB|PRS|AKT//advcl//96 ökade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//88 kostnader//NN|UTR|PLU|IND|NOM//obj//86 för//PP//case//91 det//DT|NEU|SIN|DEF//det//91 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//nmod//88 ska//VB|PRS|AKT//aux//96 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//96 till//PP//case//95 finansiering//NN|UTR|SIN|IND|NOM//nmod//93 redovisas//VB|INF|SFO//conj//68 .//MAD//punct//13
16.1 Inledning;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 redovisning//NN|UTR|SIN|IND|NOM//nsubj//10 av//PP//case//3 kostnader//NN|UTR|PLU|IND|NOM//nmod//1 eller//KN//cc//5 besparingar//NN|UTR|PLU|IND|NOM//conj//3 till//PP//case//9 följd//NN|UTR|SIN|IND|NOM//fixed//6 av//PP//fixed//6 förslagen//NN|NEU|PLU|DEF|NOM//nmod//5 grundar//VB|PRS|AKT//ROOT//10 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//10 på//PP//case//13 uppskattningar//NN|UTR|PLU|IND|NOM//obl//10 och//KN//cc//15 uppgifter//NN|UTR|PLU|IND|NOM//conj//13 som//HP|-|-|-//obj//18 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//18 fått//VB|SUP|AKT//acl:relcl//15 från//PP//case//20 Kronofogdemyndigheten//PM|NOM//obl//18 och//KN//cc//24 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//24 myndigheter//NN|UTR|PLU|IND|NOM//conj//20 och//KN//cc//26 aktörer//NN|UTR|PLU|IND|NOM//conj//24 .//MAD//punct//10
16.1 Inledning;Kronofogdemyndighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//30 expert//NN|UTR|SIN|IND|NOM//amod//30 Christina//PM|NOM//nsubj//32 Sundblad//PM|NOM//flat//30 ställer//VB|PRS|AKT//conj//10 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//32 bakom//PP//case//36 Kronofogdemyndighetens//PM|GEN//nmod:poss//36 uppskattningar//NN|UTR|PLU|IND|NOM//obl//32 och//KN//cc//38 kostnadsberäkningar//NN|UTR|PLU|IND|NOM//conj//36 medan//SN//mark//43 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//42 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 deltagare//NN|UTR|PLU|IND|NOM//nsubj//43 ifrågasätter//VB|PRS|AKT//advcl//32 vissa//PN|UTR/NEU|PLU|IND|SUB/OBJ//obj//43 av//PP//case//47 Kronofogdemyndighetens//PM|GEN//nmod:poss//47 kalkyler//NN|UTR|PLU|IND|NOM//nmod//44 .//MAD//punct//32
16.1 Inledning;I//PP//case//51 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//51 fall//NN|NEU|PLU|IND|NOM//obl//55 har//VB|PRS|AKT//aux//55 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//55 inte//AB//advmod//55 haft//VB|SUP|AKT//conj//32 någon//DT|UTR|SIN|IND//det//57 möjlighet//NN|UTR|SIN|IND|NOM//obj//55 att//IE//mark//59 göra//VB|INF|AKT//acl//57 någon//DT|UTR|SIN|IND//det//63 mer//AB|KOM//advmod//62 ingående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//63 bedömning//NN|UTR|SIN|IND|NOM//obj//59 av//PP//case//67 de//DT|UTR/NEU|PLU|DEF//det//67 ekonomiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//67 konsekvenser//NN|UTR|PLU|IND|NOM//nmod//63 som//HP|-|-|-//obj//70 Kronofogdemyndigheten//PM|NOM//nsubj//70 angett//VB|SUP|AKT//acl:relcl//67 .//MAD//punct//32
16.1 Inledning;Kronofogdemyndighetens//PM|GEN//nmod:poss//73 beräkningar//NN|UTR|PLU|IND|NOM//nsubj:pass//76 och//KN//cc//75 uppskattningar//NN|UTR|PLU|IND|NOM//conj//73 redovisas//VB|PRS|SFO//conj//32 löpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//76 och//KN//cc//85 när//HA//mark//81 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//81 är//VB|PRS|AKT//cop//85 av//PP//case//85 en//DT|UTR|SIN|IND//det//85 annan//JJ|POS|UTR|SIN|IND|NOM//amod//85 uppfattning//NN|UTR|SIN|IND|NOM//conj//10 än//KN//mark//87 Kronofogdemyndigheten//NN|UTR|SIN|DEF|NOM//nmod//85 redovisas//VB|PRS|SFO//advcl//10 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//88 särskilt//AB//advmod//88 i//PP//case//93 de//DT|UTR/NEU|PLU|DEF//det//93 delavsnitt//NN|NEU|PLU|IND|NOM//obl//88 där//HA//advmod//97 respektive//AB//amod//96 förslag//NN|NEU|SIN|IND|NOM//nsubj:pass//97 redovisas//VB|PRS|SFO//acl:relcl//93 .//MAD//punct//10
